Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
2001-11-29,40.16,43.4,40.08,41.64,123700.0,13.292985092623,371100.0
2001-11-30,41.64,42.8,41.64,42.8,55100.0,13.663298798373,165300.0
2001-12-03,42.7,42.7,41.35,41.35,42500.0,13.200406666185,127500.0
2001-12-04,41.35,41.35,39.7,39.7,31800.0,12.673667343350001,95400.0
2001-12-05,40.3,44.35,40.3,44.0,199400.0,14.046381942252,598200.0
2001-12-06,44.2,44.2,43.71,43.72,52400.0,13.956995875347,157200.0
2001-12-07,43.75,44.0,43.4,44.0,71700.0,14.046381942252,215100.0
2001-12-10,43.9,43.92,43.76,43.85,39700.0,13.998496549267001,119100.0
2001-12-11,43.8,44.13,43.76,43.76,126200.0,13.969765313477001,378600.0
2001-12-12,43.75,43.75,42.11,42.3,38200.0,13.503680821756001,114600.0
2001-12-13,42.25,42.8,41.9,41.9,37900.0,13.375986440462999,113700.0
2001-12-14,41.85,41.85,40.55,40.89,77800.0,13.053558127697999,233400.0
2001-12-17,40.99,42.0,40.99,41.0,35400.0,13.088674082553,106200.0
2001-12-18,41.05,41.6,41.0,41.0,33800.0,13.088674082553,101400.0
2001-12-19,41.0,41.05,40.74,41.05,52600.0,13.104635880215001,157800.0
2001-12-20,41.2,42.69,41.2,42.3,32400.0,13.503680821756001,97200.0
2001-12-21,42.55,45.9,42.5,45.34,219800.0,14.474158119584999,659400.0
2001-12-24,45.3,46.05,45.2,45.8,16900.0,14.621006658072,50700.0
2001-12-26,45.9,46.96,45.8,46.0,126000.0,14.684853848718,378000.0
2001-12-27,47.25,47.65,46.2,46.95,116400.0,14.98812800429,349200.0
2001-12-28,47.2,47.2,46.9,47.05,98500.0,15.020051599613,295500.0
2001-12-31,47.1,49.75,46.7,49.75,85300.0,15.881988673341999,255900.0
2002-01-02,48.5,48.5,47.65,47.78,44100.0,15.253093845473002,132300.0
2002-01-03,47.7,47.71,45.3,45.3,29900.0,14.461388681454999,89700.0
2002-01-04,45.3,45.6,41.0,42.5,115500.0,13.567528012402999,346500.0
2002-01-07,42.5,43.1,39.85,41.8,200500.0,13.34406284514,601500.0
2002-01-08,41.55,41.8,40.5,41.1,147400.0,13.120597677876999,442200.0
2002-01-09,41.15,41.6,41.1,41.2,20000.0,13.1525212732,60000.0
2002-01-10,41.2,42.4,41.2,42.1,72100.0,13.43983363111,216300.0
2002-01-11,43.0,44.25,42.95,43.5,113600.0,13.886763965636,340800.0
2002-01-14,43.5,43.7,42.9,42.9,76900.0,13.695222393696001,230700.0
2002-01-15,44.25,46.35,44.25,46.01,343400.0,14.688046208250999,1030200.0
2002-01-16,45.93,47.35,45.5,46.9,175400.0,14.972166206628001,526200.0
2002-01-17,47.0,47.8,47.0,47.2,14300.0,15.067936992598,42900.0
2002-01-18,47.1,48.0,46.7,47.3,23500.0,15.099860587921,70500.0
2002-01-22,47.31,47.31,45.7,46.7,43600.0,14.908319015982,130800.0
2002-01-23,46.8,47.15,46.7,46.9,12900.0,14.972166206628001,38700.0
2002-01-24,47.0,47.2,46.0,46.25,41700.0,14.764662837026998,125100.0
2002-01-25,46.4,47.3,45.95,46.9,29600.0,14.972166206628001,88800.0
2002-01-28,47.05,47.7,45.78,46.3,25100.0,14.780624634688001,75300.0
2002-01-29,46.35,46.6,46.3,46.36,9100.0,14.799778791882,27300.0
2002-01-30,46.4,46.7,46.1,46.65,22600.0,14.89235721832,67800.0
2002-01-31,46.75,47.1,46.45,46.85,12200.0,14.956204408966999,36600.0
2002-02-01,46.95,47.2,46.95,47.1,3000.0,15.036013397275,9000.0
2002-02-04,47.0,47.0,46.3,46.33,4400.0,14.790201713285,13200.0
2002-02-05,46.1,46.15,45.85,45.89,13100.0,14.649737893863001,39300.0
2002-02-06,45.79,45.8,45.5,45.7,18100.0,14.589083062749,54300.0
2002-02-07,44.5,44.85,43.8,44.7,72000.0,14.269847109516,216000.0
2002-02-08,44.65,44.85,44.5,44.8,23700.0,14.301770704839,71100.0
2002-02-11,44.7,45.5,44.6,45.4,7200.0,14.493312276779001,21600.0
2002-02-12,45.5,46.2,45.5,46.2,4700.0,14.748701039365,14100.0
2002-02-13,46.0,46.1,44.9,45.0,24700.0,14.365617895485,74100.0
2002-02-14,45.1,45.1,44.4,44.65,19500.0,14.253885311854,58500.0
2002-02-15,44.55,44.6,44.5,44.6,5700.0,14.237923514192,17100.0
2002-02-19,44.7,44.79,44.45,44.5,3300.0,14.205999918868999,9900.0
2002-02-20,44.4,45.75,43.9,44.2,29500.0,14.110229132899,88500.0
2002-02-21,44.0,44.38,43.8,44.38,44100.0,14.167691604481002,132300.0
2002-02-22,44.38,44.95,44.38,44.9,15200.0,14.333694300162001,45600.0
2002-02-25,44.8,45.3,44.8,45.0,8600.0,14.365617895485,25800.0
2002-02-26,45.1,45.3,45.0,45.1,29600.0,14.397541490809,88800.0
2002-02-27,45.15,45.6,44.95,45.1,42400.0,14.397541490809,127200.0
2002-02-28,45.2,45.2,44.5,44.8,7500.0,14.301770704839,22500.0
2002-03-01,44.8,44.8,43.55,43.9,73000.0,14.014458346928999,219000.0
2002-03-04,43.8,44.2,43.55,43.9,43100.0,14.014458346928999,129300.0
2002-03-05,43.9,43.9,43.2,43.7,89700.0,13.950611156283,269100.0
2002-03-06,43.6,43.99,43.35,43.6,167000.0,13.918687560959,501000.0
2002-03-07,42.2,42.2,40.8,40.9,4510100.0,13.056750487230001,13530300.0
2002-03-08,41.01,41.59,40.52,41.5,1045000.0,13.24829205917,3135000.0
2002-03-11,41.5,42.2,41.0,41.99,1049200.0,13.404717676254,3147600.0
2002-03-12,41.5,41.95,41.4,41.8,552600.0,13.34406284514,1657800.0
2002-03-13,41.5,41.85,41.5,41.7,259300.0,13.312139249817,777900.0
2002-03-14,42.0,43.2,41.9,43.1,901800.0,13.759069584342999,2705400.0
2002-03-15,43.1,44.45,42.85,44.35,574400.0,14.158114525883999,1723200.0
2002-03-18,44.0,44.31,43.75,44.25,431900.0,14.126190930560998,1295700.0
2002-03-19,44.15,45.1,44.0,45.0,309800.0,14.365617895485,929400.0
2002-03-20,45.0,45.0,44.48,44.56,188400.0,14.225154076063001,565200.0
2002-03-21,44.45,44.6,43.8,44.5,174200.0,14.205999918868999,522600.0
2002-03-22,44.35,44.53,44.15,44.25,305500.0,14.126190930560998,916500.0
2002-03-25,44.0,44.4,43.75,44.05,145800.0,14.062343739914,437400.0
2002-03-26,44.0,45.0,44.0,45.0,312300.0,14.365617895485,936900.0
2002-03-27,45.0,45.1,44.95,45.05,119200.0,14.381579693147,357600.0
2002-03-28,45.1,46.05,45.1,46.0,337700.0,14.684853848718,1013100.0
2002-04-01,46.0,46.08,45.62,46.01,174900.0,14.688046208250999,524700.0
2002-04-02,46.0,46.0,44.86,45.0,672800.0,14.365617895485,2018400.0
2002-04-03,45.0,45.0,43.69,43.85,398500.0,13.998496549267001,1195500.0
2002-04-04,43.85,44.2,43.8,43.98,200700.0,14.039997223188,602100.0
2002-04-05,44.25,44.5,44.1,44.5,161200.0,14.205999918868999,483600.0
2002-04-08,44.5,45.0,43.95,45.0,170300.0,14.365617895485,510900.0
2002-04-09,45.15,46.75,45.15,46.7,198200.0,14.908319015982,594600.0
2002-04-10,46.7,47.75,46.7,47.75,277800.0,15.243516766875999,833400.0
2002-04-11,47.63,48.0,47.4,47.71,179100.0,15.230747328747,537300.0
2002-04-12,47.6,47.85,47.4,47.6,261600.0,15.195631373891,784800.0
2002-04-15,48.3,48.7,47.9,48.2,322800.0,15.387172945831,968400.0
2002-04-16,48.3,48.75,48.3,48.65,272800.0,15.530829124786,818400.0
2002-04-17,48.7,49.2,48.5,49.0,59200.0,15.642561708417,177600.0
2002-04-18,49.0,49.2,48.0,49.08,235800.0,15.668100584676,707400.0
2002-04-19,49.2,50.05,49.2,50.0,280500.0,15.96179766165,841500.0
2002-04-22,50.25,50.25,49.65,49.9,198300.0,15.929874066326999,594900.0
2002-04-23,49.9,51.0,49.8,51.0,265200.0,16.281033614883,795600.0
2002-04-24,51.15,51.55,51.15,51.35,238300.0,16.392766198515,714900.0
2002-04-25,54.5,57.5,54.35,57.5,1264800.0,18.356067310898,3794400.0
2002-04-26,57.4,57.4,56.1,56.75,351400.0,18.116640345973,1054200.0
2002-04-29,56.9,57.4,56.0,56.3,174900.0,17.972984167018,524700.0
2002-04-30,56.3,59.2,56.3,59.2,368500.0,18.898768431394,1105500.0
2002-05-01,59.6,60.2,58.62,59.1,439400.0,18.866844836071,1318200.0
2002-05-02,59.1,59.25,58.62,58.9,61800.0,18.802997645424,185400.0
2002-05-03,59.1,59.15,58.8,58.89,109800.0,18.799805285892,329400.0
2002-05-06,58.8,59.15,58.4,58.5,134000.0,18.675303264131,402000.0
2002-05-07,58.5,60.9,58.5,60.38,196300.0,19.275466856209,588900.0
2002-05-08,60.38,60.9,59.44,59.95,215200.0,19.138195396319002,645600.0
2002-05-09,59.9,59.95,59.11,59.3,137000.0,18.930692026717,411000.0
2002-05-10,59.25,59.3,58.9,58.91,140800.0,18.806190004957,422400.0
2002-05-13,58.8,58.8,58.14,58.61,116800.0,18.710419218987,350400.0
2002-05-14,58.6,60.9,58.6,60.41,187500.0,19.285043934806,562500.0
2002-05-15,60.55,62.19,60.55,61.86,200800.0,19.747936066994,602400.0
2002-05-16,61.86,62.0,61.01,61.31,170000.0,19.572356292716,510000.0
2002-05-17,61.4,61.5,60.9,61.09,75600.0,19.502124383005,226800.0
2002-05-20,61.15,61.49,61.05,61.45,110600.0,19.617049326168,331800.0
2002-05-21,61.46,61.5,59.2,59.55,327100.0,19.010501015025998,981300.0
2002-05-22,60.4,61.01,57.5,60.08,1429700.0,19.179696070239,4289100.0
2002-05-23,58.6,59.15,56.26,59.04,2031400.0,18.847690678877,6094200.0
2002-05-24,58.95,60.55,58.9,59.4,192500.0,18.962615622041,577500.0
2002-05-28,59.3,59.3,57.5,58.1,273800.0,18.547608882838,821400.0
2002-05-29,58.0,58.1,56.18,56.25,324200.0,17.957022369357,972600.0
2002-05-30,55.75,55.9,54.8,54.9,376300.0,17.526053832492,1128900.0
2002-05-31,54.9,58.45,54.9,57.8,509400.0,18.451838096868,1528200.0
2002-06-03,57.8,58.71,56.94,58.45,375000.0,18.659341466468998,1125000.0
2002-06-04,58.38,59.4,57.81,58.87,440400.0,18.793420566827,1321200.0
2002-06-05,58.75,60.0,57.8,57.95,219700.0,18.499723489853,659100.0
2002-06-06,57.95,57.95,56.9,57.4,271300.0,18.324143715574998,813900.0
2002-06-07,57.39,57.4,56.3,57.35,590500.0,18.308181917913,1771500.0
2002-06-10,58.75,59.35,58.6,58.7,403100.0,18.739150454778,1209300.0
2002-06-11,58.5,59.23,58.0,58.15,249800.0,18.5635706805,749400.0
2002-06-12,57.25,57.65,56.4,57.44,456300.0,18.336913153704,1368900.0
2002-06-13,57.44,57.95,57.0,57.61,237500.0,18.391183265754,712500.0
2002-06-14,57.45,58.0,55.95,58.0,469200.0,18.515685287514998,1407600.0
2002-06-17,58.5,59.3,58.25,58.65,496200.0,18.723188657116,1488600.0
2002-06-18,58.66,59.65,58.6,59.4,226600.0,18.962615622041,679800.0
2002-06-19,59.35,61.2,59.26,60.3,401100.0,19.249927979949998,1203300.0
2002-06-20,60.25,61.35,59.24,61.16,471600.0,19.524470899731,1414800.0
2002-06-21,61.15,61.76,60.4,61.01,445500.0,19.476585506745998,1336500.0
2002-06-24,60.95,61.3,58.85,59.9,259600.0,19.122233598657,778800.0
2002-06-25,60.0,60.05,57.1,57.49,251000.0,18.352874951366,753000.0
2002-06-26,55.75,56.2,54.3,55.09,623800.0,17.586708663607,1871400.0
2002-06-27,56.5,56.65,54.05,54.74,331200.0,17.474976079975,993600.0
2002-06-28,54.85,55.7,53.1,54.51,853500.0,17.401551810731,2560500.0
2002-07-01,54.4,54.75,52.2,52.4,422500.0,16.72796394941,1267500.0
2002-07-02,52.35,52.6,49.6,50.6,1044300.0,16.15333923359,3132900.0
2002-07-03,50.5,51.2,47.4,50.91,909700.0,16.252302379093006,2729100.0
2002-07-05,50.91,51.3,50.06,50.35,246400.0,16.073530245282,739200.0
2002-07-08,50.35,52.35,50.35,51.75,549500.0,16.520460579808,1648500.0
2002-07-09,51.76,52.2,49.9,50.24,322800.0,16.038414290425994,968400.0
2002-07-10,50.15,50.76,48.0,48.55,479100.0,15.498905529463,1437300.0
2002-07-11,48.8,49.0,44.9,48.01,738500.0,15.326518114716999,2215500.0
2002-07-12,48.0,49.5,47.1,48.51,447800.0,15.486136091333,1343400.0
2002-07-15,48.31,48.32,42.7,46.2,878200.0,14.748701039365,2634600.0
2002-07-16,46.0,46.01,44.0,44.9,532500.0,14.333694300162001,1597500.0
2002-07-17,46.2,47.73,44.25,46.81,660400.0,14.943434970837,1981200.0
2002-07-18,46.81,48.5,46.21,47.8,912000.0,15.259478564538,2736000.0
2002-07-19,47.65,47.75,45.44,45.81,430000.0,14.624199017604,1290000.0
2002-07-22,46.0,46.7,41.4,43.5,527400.0,13.886763965636,1582200.0
2002-07-23,43.4,43.8,41.6,42.95,664700.0,13.711184191357999,1994100.0
2002-07-24,42.25,47.7,41.59,47.25,863000.0,15.083898790260001,2589000.0
2002-07-25,47.0,47.2,43.4,46.0,483700.0,14.684853848718,1451100.0
2002-07-26,46.1,48.13,45.2,46.55,269600.0,14.860433622997,808800.0
2002-07-29,47.25,49.1,47.0,48.9,418200.0,15.610638113094002,1254600.0
2002-07-30,48.75,50.1,46.5,49.3,485300.0,15.738332494387,1455900.0
2002-07-31,49.05,50.5,47.8,50.26,702900.0,16.044799009491,2108700.0
2002-08-01,50.01,50.01,47.5,48.6,467900.0,15.514867327124,1403700.0
2002-08-02,48.45,48.47,45.45,47.17,382900.0,15.058359914001,1148700.0
2002-08-05,47.0,47.0,43.67,43.8,517500.0,13.982534751606,1552500.0
2002-08-06,43.8,46.5,43.8,45.15,414600.0,14.413503288470002,1243800.0
2002-08-07,45.35,46.15,45.0,45.95,400300.0,14.668892051057,1200900.0
2002-08-08,46.3,47.0,45.0,47.0,518100.0,15.004089801951,1554300.0
2002-08-09,47.25,49.15,46.9,48.8,503200.0,15.578714517771001,1509600.0
2002-08-12,48.55,48.89,47.7,48.8,360100.0,15.578714517771001,1080300.0
2002-08-13,48.6,50.4,48.6,50.01,533700.0,15.964990021183,1601100.0
2002-08-14,50.01,50.7,48.25,50.1,423600.0,15.993721256974,1270800.0
2002-08-15,50.5,51.4,50.09,50.85,1117700.0,16.233148221899,3353100.0
2002-08-16,50.7,52.75,50.25,51.7,504100.0,16.504498782147,1512300.0
2002-08-19,51.75,54.4,51.72,53.55,698700.0,17.095085295628,2096100.0
2002-08-20,53.45,53.94,53.21,53.3,373100.0,17.015276307319,1119300.0
2002-08-21,53.75,54.35,53.25,54.2,246100.0,17.302588665229006,738300.0
2002-08-22,54.21,54.64,53.8,54.4,399700.0,17.366435855876,1199100.0
2002-08-23,54.2,54.5,53.88,54.49,110000.0,17.395167091667,330000.0
2002-08-26,54.51,54.55,53.5,54.03,305900.0,17.24831855318,917700.0
2002-08-27,54.0,54.01,53.3,53.49,303500.0,17.075931138434,910500.0
2002-08-28,53.25,53.74,51.91,52.3,673100.0,16.696040354086,2019300.0
2002-08-29,52.0,52.65,50.89,52.21,281400.0,16.667309118294998,844200.0
2002-08-30,52.5,53.3,52.01,52.25,136200.0,16.680078556425,408600.0
2002-09-03,51.95,51.96,50.0,50.2,509700.0,16.025644852297006,1529100.0
2002-09-04,49.95,50.35,48.15,49.19,551500.0,15.703216539532,1654500.0
2002-09-05,48.9,49.7,48.7,49.25,291200.0,15.722370696726001,873600.0
2002-09-06,49.7,50.5,49.65,50.2,369300.0,16.025644852297006,1107900.0
2002-09-09,50.15,51.8,49.85,51.8,266200.0,16.536422377470007,798600.0
2002-09-10,51.55,53.3,51.35,53.3,179400.0,17.015276307319,538200.0
2002-09-11,55.0,55.0,53.49,53.87,420800.0,17.197240800662,1262400.0
2002-09-12,54.0,54.3,52.95,53.4,532900.0,17.047199902643,1598700.0
2002-09-13,53.15,53.62,52.3,53.36,159900.0,17.034430464512994,479700.0
2002-09-16,53.34,53.88,52.6,53.45,165100.0,17.063161700304,495300.0
2002-09-17,53.7,54.25,52.98,53.9,943400.0,17.206817879259,2830200.0
2002-09-18,53.55,53.7,51.7,52.65,254200.0,16.807772937718,762600.0
2002-09-19,52.23,52.52,51.26,51.65,269400.0,16.488536984485,808200.0
2002-09-20,51.65,52.2,51.04,51.8,257400.0,16.536422377470007,772200.0
2002-09-23,51.55,51.6,49.56,50.49,304800.0,16.118223278735,914400.0
2002-09-24,50.24,50.43,47.9,49.16,493600.0,15.693639460935,1480800.0
2002-09-25,51.0,52.95,50.25,52.95,820000.0,16.903543723688,2460000.0
2002-09-26,53.2,54.85,53.0,54.71,540800.0,17.465399001378,1622400.0
2002-09-27,54.61,54.99,52.95,54.51,519700.0,17.401551810731,1559100.0
2002-09-30,53.91,53.99,52.2,52.74,475200.0,16.836504173509,1425600.0
2002-10-01,52.76,54.0,51.06,53.5,469400.0,17.079123497966002,1408200.0
2002-10-02,53.5,55.6,53.09,54.98,736200.0,17.551592708751,2208600.0
2002-10-03,55.23,55.5,53.5,54.0,460000.0,17.238741474583,1380000.0
2002-10-04,54.0,54.4,51.5,53.27,481100.0,17.005699228722,1443300.0
2002-10-07,53.27,55.3,52.6,53.5,555600.0,17.079123497966002,1666800.0
2002-10-08,53.7,54.35,51.15,53.45,671100.0,17.063161700304,2013300.0
2002-10-09,52.85,53.55,52.06,52.8,377000.0,16.855658330703,1131000.0
2002-10-10,52.3,53.1,51.6,52.83,350500.0,16.865235409300002,1051500.0
2002-10-11,53.1,55.0,53.0,54.5,562900.0,17.398359451199,1688700.0
2002-10-14,54.3,57.39,53.9,56.15,747000.0,17.925098774033,2241000.0
2002-10-15,56.65,57.46,56.0,57.21,558700.0,18.263488884460003,1676100.0
2002-10-16,56.96,56.96,55.3,56.31,532000.0,17.976176526551,1596000.0
2002-10-17,57.0,58.34,51.0,52.1,2207700.0,16.63219316344,6623100.0
2002-10-18,52.0,53.45,51.42,53.4,1001000.0,17.047199902643,3003000.0
2002-10-21,53.5,54.98,53.15,54.4,553300.0,17.366435855876,1659900.0
2002-10-22,54.0,54.9,53.3,54.0,355900.0,17.238741474583,1067700.0
2002-10-23,54.0,54.95,53.67,54.2,325600.0,17.302588665229006,976800.0
2002-10-24,54.3,55.5,53.74,54.33,815300.0,17.344089339149,2445900.0
2002-10-25,54.33,54.95,53.26,53.96,374100.0,17.225972036452998,1122300.0
2002-10-28,54.3,54.4,52.9,53.69,515000.0,17.13977832908,1545000.0
2002-10-29,53.7,54.2,52.37,53.3,298900.0,17.015276307319,896700.0
2002-10-30,53.35,53.96,52.4,53.25,245500.0,16.999314509658,736500.0
2002-10-31,53.3,54.15,53.21,53.55,280200.0,17.095085295628,840600.0
2002-11-01,52.0,53.3,51.95,52.55,733100.0,16.775849342395002,2199300.0
2002-11-04,52.9,53.74,52.22,52.55,360300.0,16.775849342395002,1080900.0
2002-11-05,52.55,53.22,51.91,52.63,229900.0,16.801388218653,689700.0
2002-11-06,52.65,52.9,52.01,52.2,221200.0,16.664116758763,663600.0
2002-11-07,51.85,52.35,51.6,52.05,198800.0,16.616231365778,596400.0
2002-11-08,52.06,52.94,51.4,52.11,191300.0,16.635385522972,573900.0
2002-11-11,52.15,52.19,50.41,50.7,510300.0,16.185262828914002,1530900.0
2002-11-12,51.07,51.4,50.13,50.7,295100.0,16.185262828914002,885300.0
2002-11-13,50.7,52.4,50.45,52.05,317400.0,16.616231365778,952200.0
2002-11-14,52.75,53.93,52.5,53.65,483400.0,17.127008890951,1450200.0
2002-11-15,53.65,54.31,53.4,53.82,198400.0,17.181279003001002,595200.0
2002-11-18,54.4,54.46,51.7,52.4,722800.0,16.72796394941,2168400.0
2002-11-19,52.41,53.98,51.45,52.95,994700.0,16.903543723688,2984100.0
2002-11-20,52.95,53.77,52.0,53.3,1007400.0,17.015276307319,3022200.0
2002-11-21,53.5,54.9,53.5,54.44,653100.0,17.379205294005,1959300.0
2002-11-22,54.42,54.6,52.65,53.8,853000.0,17.174894283936,2559000.0
2002-11-25,54.0,54.15,49.0,51.7,2213700.0,16.504498782147,6641100.0
2002-11-26,50.47,50.77,48.75,49.88,1633500.0,15.923489347263,4900500.0
2002-11-27,50.1,51.91,49.53,51.91,492200.0,16.571538332326,1476600.0
2002-11-29,52.3,52.65,51.0,51.55,184400.0,16.456613389161998,553200.0
2002-12-02,51.25,52.5,49.2,49.44,564100.0,15.78302552784,1692300.0
2002-12-03,49.39,49.96,48.2,48.96,567400.0,15.629792270288,1702200.0
2002-12-04,48.75,50.27,48.5,50.25,547700.0,16.041606649959,1643100.0
2002-12-05,50.25,50.67,49.5,50.17,315400.0,16.016067773699998,946200.0
2002-12-06,50.0,51.04,49.45,50.75,208800.0,16.201224626575,626400.0
2002-12-09,50.3,51.45,50.05,51.2,751900.0,16.34488080553,2255700.0
2002-12-10,52.15,52.85,51.96,52.8,915500.0,16.855658330703,2746500.0
2002-12-11,53.0,53.1,51.85,52.55,4473600.0,16.775849342395002,13420800.0
2002-12-12,52.5,52.51,49.95,50.05,3490500.0,15.977759459312,10471500.0
2002-12-13,50.06,50.06,46.7,48.22,2336400.0,15.393557664895999,7009200.0
2002-12-16,48.23,49.97,48.23,49.97,551100.0,15.952220583053,1653300.0
2002-12-17,49.97,50.44,49.4,49.86,478300.0,15.917104628197999,1434900.0
2002-12-18,49.86,49.96,48.49,49.36,653200.0,15.757486651580999,1959600.0
2002-12-19,49.37,49.85,48.49,48.55,507600.0,15.498905529463,1522800.0
2002-12-20,48.6,49.64,48.6,49.3,413600.0,15.738332494387,1240800.0
2002-12-23,49.15,49.3,48.0,49.05,276300.0,15.658523506079,828900.0
2002-12-24,49.02,49.05,48.54,48.58,117300.0,15.50848260806,351900.0
