Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1983-04-05,20.75,20.75,20.38,20.75,313728.34393444,1.8658055260923,2311300.0
1983-04-06,20.75,20.88,20.5,20.88,235503.25649039,1.8774949101112,1735000.0
1983-04-07,20.88,21.12,20.88,21.0,193533.45423862,1.888285110744,1425800.0
1983-04-08,21.0,21.38,20.62,20.88,404712.68562061,1.8774949101112,2981600.0
1983-04-11,20.88,21.0,20.75,20.88,132967.71761267,1.8774949101112,979599.99999997
1983-04-12,20.75,20.88,20.5,20.75,69388.625197631,1.8658055260923,511200.0
1983-04-13,20.62,20.75,20.0,20.13,441768.81762169,1.8100561561561,3254600.0
1983-04-14,20.13,20.38,19.63,20.25,229327.23449021,1.8208463567889,1689500.0
1983-04-15,20.38,20.38,19.87,20.13,937588.00800101,1.8100561561561,6907400.0
1983-04-18,20.13,20.38,19.5,20.13,873900.32618816,1.8100561561561,6438200.0
1983-04-19,20.13,20.75,19.87,20.25,722187.36377933,1.8208463567889,5320500.0
1983-04-20,20.5,20.88,20.38,20.62,548471.47464019,1.8541161420734,4040700.0
1983-04-21,23.0,23.25,22.62,22.75,2089219.2927511,2.045642203306,15391700.0
1983-04-22,22.62,24.12,22.62,23.37,858969.28398992,2.1013915732423003,6328200.0
1983-04-25,23.25,23.87,22.5,22.75,475933.75690621,2.045642203306,3506300.0
1983-04-26,22.75,23.37,22.13,23.25,1021568.3335286998,2.0906013726095,7526099.9999998
1983-04-27,23.25,23.75,22.62,23.13,783621.81558772,2.0798111719766,5773100.0
1983-04-28,23.13,23.37,22.88,23.13,172304.22696767,2.0798111719766,1269400.0
1983-04-29,23.0,23.25,22.62,22.88,254370.66435908,2.0573315873249,1874000.0
1983-05-02,22.5,22.62,22.25,22.5,223137.63881531,2.0235312838426,1643900.0
1983-05-03,22.5,22.5,22.0,22.5,171856.29570172,2.0235312838426,1266100.0
1983-05-04,22.5,22.75,22.25,22.5,156857.38512986,2.0235312838426,1155600.0
1983-05-05,22.5,22.75,22.13,22.13,157522.49519141,1.9902554360639,1160500.0
1983-05-06,22.25,22.5,21.38,22.25,855915.20717664,2.001047602911,6305700.0
1983-05-09,22.25,22.38,21.87,22.13,303181.59867259,1.9902554360639,2233600.0
1983-05-10,22.25,22.75,22.25,22.75,166413.25213673,2.0460149647742,1226000.0
1983-05-11,22.88,23.13,22.75,22.75,325455.99889742,2.0460149647742,2397700.0
1983-05-12,23.0,23.5,22.88,23.5,796340.34880567,2.1134660075689,5866800.0
1983-05-13,23.75,24.25,23.5,23.87,863448.59664939,2.1467418553477,6361200.0
1983-05-16,23.75,24.0,23.37,24.0,259338.62930867,2.1584333694321,1910600.0
1983-05-17,24.0,24.25,23.75,23.75,430434.79922576,2.1359496885005,3171100.0
