Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
2001-06-15,13.16,13.16,12.75,12.86,511400.0,12.86,511400.0
2001-06-18,12.85,13.15,12.7,13.11,408000.0,13.11,408000.0
2001-06-19,13.4,13.6,13.15,13.55,216400.0,13.55,216400.0
2001-06-20,13.5,13.65,13.3,13.55,54400.0,13.55,54400.0
2001-06-21,13.53,13.9,13.52,13.88,80700.0,13.88,80700.0
2001-06-22,14.0,14.98,14.0,14.55,127900.0,14.55,127900.0
2001-06-25,14.75,14.85,14.4,14.65,87100.0,14.65,87100.0
2001-06-26,14.7,14.78,14.65,14.7,48900.0,14.7,48900.0
2001-06-27,14.6,15.15,14.55,15.11,139800.0,15.11,139800.0
2001-06-28,15.01,15.25,14.9,15.0,195100.0,15.0,195100.0
2001-06-29,15.1,15.9,15.0,15.0,130700.0,15.0,130700.0
2001-07-02,15.25,15.6,14.31,14.4,42000.0,14.4,42000.0
2001-07-03,14.45,15.05,14.45,14.97,35600.0,14.97,35600.0
2001-07-05,14.9,15.45,14.9,15.2,97100.0,15.2,97100.0
2001-07-06,15.4,15.4,14.75,14.95,149700.0,14.95,149700.0
2001-07-09,15.0,15.2,14.86,14.9,130000.0,14.9,130000.0
2001-07-10,14.9,15.1,14.7,14.7,189200.0,14.7,189200.0
2001-07-11,14.7,14.8,14.6,14.6,76800.0,14.6,76800.0
2001-07-12,14.7,15.21,14.7,15.21,177600.0,15.21,177600.0
2001-07-13,15.0,15.81,15.0,15.81,144200.0,15.81,144200.0
2001-07-16,15.81,15.81,15.21,15.5,38600.0,15.5,38600.0
2001-07-17,15.5,16.0,15.5,15.85,32900.0,15.85,32900.0
2001-07-18,15.8,16.75,15.5,16.75,102500.0,16.75,102500.0
2001-07-19,16.9,17.4,16.0,16.4,303700.0,16.4,303700.0
2001-07-20,16.4,16.4,14.7,14.95,82700.0,14.95,82700.0
2001-07-23,14.98,15.05,14.81,14.85,55500.0,14.85,55500.0
2001-07-24,14.85,14.85,14.0,14.1,45600.0,14.1,45600.0
2001-07-25,14.1,14.1,13.5,13.5,65800.0,13.5,65800.0
2001-07-26,13.5,13.9,13.5,13.75,653100.0,13.75,653100.0
2001-07-27,13.85,14.15,13.84,14.15,62000.0,14.15,62000.0
2001-07-30,14.15,14.5,14.15,14.38,54800.0,14.38,54800.0
