Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1984-07-19,17.13,17.75,17.13,17.75,13127.272727273,0.3994023988087701,433200.0
1984-07-20,17.5,18.0,17.5,17.5,29490.909090908997,0.39377701291005,973199.99999997
1984-07-23,17.75,17.75,17.0,17.0,20181.818181818002,0.38252624111262,665999.99999998
1984-07-24,17.0,17.5,17.0,17.0,9490.909090909101,0.38252624111262,313199.99999999
1984-07-25,17.0,17.0,16.63,16.63,12945.454545455,0.3742006699825201,427200.0
1984-07-26,16.63,16.75,16.5,16.63,9672.7272727273,0.3742006699825201,319199.99999999
1984-07-27,16.75,16.75,16.5,16.63,1636.3636363635999,0.3742006699825201,53999.999999997
1984-07-30,16.5,16.5,16.25,16.25,10218.181818182,0.36565008341648,337200.0
1984-07-31,16.25,17.13,16.25,17.13,11309.090909091,0.3854514417799501,373199.99999999
1984-08-01,17.13,17.88,17.0,17.88,21090.909090908997,0.4023275994761,695999.99999998
1984-08-02,18.12,18.5,18.0,18.5,47490.909090909,0.41627855650491,1567200.0
1984-08-03,18.5,19.13,18.38,19.0,49090.909090909,0.4275293283023401,1620000.0
1984-08-06,19.37,20.0,19.25,20.0,166363.63636364,0.4500308718972,5490000.0
1984-08-07,19.87,20.5,19.5,20.37,45818.18181818201,0.4583564430273,1512000.0
1984-08-08,20.37,20.62,20.0,20.13,140545.45454545,0.45295607256454,4637999.9999997
1984-08-09,19.75,20.5,19.75,20.37,76218.181818182,0.45845882505066,2515199.9999999
1984-08-10,21.0,21.62,21.0,21.62,80218.181818182,0.48659203719172,2647199.9999999
1984-08-13,21.38,21.5,20.75,20.88,40218.181818182005,0.4699371756042101,1327200.0
1984-08-14,21.12,21.38,21.12,21.25,33272.727272727,0.47826460639796,1098000.0
1984-08-15,21.38,21.62,21.0,21.5,30036.363636364,0.48389124882617,991199.99999999
1984-08-16,21.25,22.37,21.25,22.37,51090.909090909,0.5034719644763499,1686000.0
1984-08-17,22.37,22.37,21.88,22.12,16545.454545455,0.49784532204814,546000.0
1984-08-20,21.88,22.25,21.88,22.12,12181.818181818,0.49784532204814,401999.99999998
1984-08-21,22.37,22.63,22.12,22.12,36727.272727273,0.49784532204814,1212000.0
1984-08-22,22.25,22.5,21.88,22.12,41309.090909091,0.49784532204814,1363200.0
1984-08-23,22.37,22.37,21.75,22.0,20181.818181818002,0.4951445336826,665999.99999998
1984-08-24,22.0,22.0,21.75,21.75,7127.272727272702,0.48951789125438,235199.99999999
1984-08-27,21.75,22.0,21.75,21.75,9490.909090909101,0.48951789125438,313199.99999999
1984-08-28,21.75,22.0,21.75,21.88,9490.909090909101,0.49244374531705,313199.99999999
1984-08-29,22.12,22.25,21.75,21.88,8000.0,0.49244374531705,263999.99999999
1984-08-30,22.0,22.63,22.0,22.5,26400.0,0.50639781853902,871199.99999998
1984-08-31,22.63,22.63,22.25,22.37,70400.0,0.5034719644763499,2323199.9999999
1984-09-04,22.37,22.5,22.25,22.37,34363.636363636004,0.5034719644763499,1134000.0
1984-09-05,22.5,22.75,22.5,22.63,40181.818181817995,0.50932367260169,1326000.0
1984-09-06,22.75,23.0,22.63,22.75,34218.181818182005,0.51202446096723,1129200.0
1984-09-07,22.75,23.0,22.5,22.5,15636.363636364,0.50639781853902,516000.0
1984-09-10,22.5,22.63,22.25,22.37,23127.272727272997,0.5034719644763499,763199.99999999
1984-09-11,22.5,22.87,22.37,22.87,6545.4545454545,0.5147252493327701,215999.99999999
1984-09-12,22.87,23.63,22.5,23.5,32036.363636364,0.52890438825186,1057200.0
1984-09-13,23.75,23.75,23.13,23.13,13454.545454545,0.5205769574581101,443999.99999997
1984-09-14,23.63,23.63,22.87,22.87,21090.909090908997,0.5147252493327701,695999.99999998
1984-09-17,22.75,22.75,21.75,21.75,22181.818181818,0.48951789125438,731999.99999998
1984-09-18,21.88,21.88,21.5,21.88,18581.818181818002,0.49244374531705,613199.99999998
1984-09-19,21.88,22.0,21.5,21.5,14727.272727273,0.48389124882617,486000.0
1984-09-20,21.38,21.5,21.0,21.0,10581.818181818,0.4726379639697501,349199.99999999
1984-09-21,21.12,21.5,20.88,21.25,18000.0,0.47826460639796,593999.99999999
1984-09-24,21.38,22.0,21.25,21.75,32945.454545455,0.48951789125438,1087200.0
1984-09-25,21.62,22.0,21.62,22.0,9272.7272727273,0.4951445336826,305999.99999999
1984-09-26,22.25,22.25,21.75,21.88,22218.181818182,0.49244374531705,733199.99999999
1984-09-27,22.0,22.25,22.0,22.0,7672.727272727298,0.4951445336826,253199.99999999
1984-09-28,21.88,21.88,21.5,21.62,9272.7272727273,0.48659203719172,305999.99999999
