Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1992-03-03,12.12,12.38,12.12,12.12,6700.0,5.495648637657584,13400.0
1992-03-04,12.38,12.38,12.12,12.38,3100.0,5.613542090280602,6200.0
1992-03-05,12.12,12.38,11.88,12.12,12800.0,5.495648637657584,25600.0
1992-03-06,12.25,12.25,11.88,12.25,3900.0,5.554595363969092,7800.0
1992-03-09,11.88,12.25,11.88,12.25,1100.0,5.554595363969092,2200.0
1992-03-10,11.88,12.25,11.75,11.75,24200.0,5.327877185847907,48400.0
1992-03-11,12.0,12.0,11.75,11.75,3900.0,5.327877185847907,7800.0
1992-03-12,12.0,12.0,11.5,11.88,17200.0,5.386823912159414,34400.0
1992-03-13,12.0,12.0,11.25,11.25,187600.0,5.101159007726718,375200.0
1992-03-16,11.25,11.75,11.0,11.5,96700.0,5.2145180967873115,193400.0
1992-03-17,11.0,11.5,11.0,11.5,9000.0,5.2145180967873115,18000.0
1992-03-18,11.0,11.38,10.75,11.0,131800.0,4.987799918666124,263600.0
1992-03-19,11.0,11.38,10.75,11.38,22200.0,5.160105734038226,44400.0
1992-03-20,11.38,11.38,10.75,11.0,38600.0,4.987799918666124,77200.0
1992-03-23,10.75,11.25,10.75,10.75,29900.0,4.874440829605531,59800.0
1992-03-24,10.75,11.25,10.75,10.75,8000.0,4.874440829605531,16000.0
1992-03-25,10.75,11.25,10.75,11.25,14600.0,5.101159007726718,29200.0
1992-03-26,10.75,11.12,10.75,10.75,72200.0,4.874440829605531,144400.0
1992-03-27,10.75,11.0,10.38,10.5,50400.0,4.761081740544936,100800.0
1992-03-30,10.25,10.62,10.0,10.12,14500.0,4.5887759251728335,29000.0
1992-03-31,10.25,10.25,10.0,10.25,11300.0,4.647722651484343,22600.0
1992-04-01,10.25,10.25,9.88,9.88,15600.0,4.479951199674665,31200.0
1992-04-02,9.88,10.0,9.5,9.88,15700.0,4.479951199674665,31400.0
1992-04-03,9.88,10.0,9.5,9.5,165400.0,4.307645384302562,330800.0
1992-04-06,9.75,10.0,9.5,9.62,35100.0,4.362057747051646,70200.0
1992-04-07,9.5,9.75,9.25,9.75,93300.0,4.4210044733631575,186600.0
1992-04-08,9.25,9.5,8.88,8.88,37800.0,4.02651484343229,75600.0
1992-04-09,9.38,9.5,8.88,9.5,19500.0,4.307645384302562,39000.0
1992-04-10,9.5,10.0,9.12,9.88,39700.0,4.479951199674665,79400.0
1992-04-13,9.88,10.0,9.62,9.75,43200.0,4.4210044733631575,86400.0
1992-04-14,9.88,9.88,9.62,9.75,8200.0,4.4210044733631575,16400.0
1992-04-15,9.62,9.75,9.62,9.62,17000.0,4.362057747051646,34000.0
