Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1983-12-29,26.0,26.25,25.75,25.88,7100.0,3.4952009150050003,28400.0
1983-12-30,25.88,27.12,25.62,27.12,154900.0,3.6626680376714,619600.0
1984-01-03,26.88,26.88,26.12,26.12,13100.0,3.5276139064888,52400.0
1984-01-04,26.12,26.62,26.12,26.62,8600.0,3.5951409720801,34400.0
1984-01-05,27.0,27.12,27.0,27.12,150100.0,3.6626680376714,600400.0
1984-01-06,27.12,27.12,27.0,27.12,66300.0,3.6626680376714,265200.0
1984-01-09,27.12,27.5,27.0,27.5,58500.0,3.7139886075208,234000.0
1984-01-10,27.5,28.12,27.12,28.0,26900.0,3.781515673112101,107600.0
1984-01-11,28.0,28.0,27.62,27.62,13400.0,3.7301951032627,53600.0
1984-01-12,27.62,28.12,27.62,27.62,61200.0,3.7301951032627,244800.0
1984-01-13,27.62,28.12,27.62,28.0,26300.0,3.781515673112101,105200.0
1984-01-16,28.0,28.12,27.5,27.5,34000.0,3.7139886075208,136000.0
1984-01-17,27.12,27.12,26.88,26.88,19500.0,3.6302550461876,78000.0
1984-01-18,26.88,26.88,25.75,26.0,22800.0,3.5114074107469,91200.0
1984-01-19,25.88,25.88,25.0,25.5,69500.0,3.4438803451556,278000.0
1984-01-20,25.5,26.0,25.5,26.0,65600.0,3.5114074107469,262400.0
1984-01-23,25.75,25.75,25.12,25.12,63100.0,3.3925597753062005,252400.0
1984-01-24,25.12,25.5,25.0,25.0,40100.0,3.3763532795643,160400.0
1984-01-25,25.0,25.62,24.88,24.88,16500.0,3.3601467838224,66000.0
1984-01-26,24.75,24.75,24.12,24.5,25000.0,3.308826213973,100000.0
1984-01-27,24.5,25.25,24.5,25.25,18800.0,3.41011681236,75200.0
1984-01-30,25.25,25.25,25.0,25.0,3000.0,3.3763532795643,12000.0
1984-01-31,24.88,24.88,24.5,24.88,16500.0,3.3601467838224,66000.0
1984-02-01,24.88,25.12,24.75,25.0,25000.0,3.3763532795643,100000.0
1984-02-02,25.0,25.75,25.0,25.75,117200.0,3.4776438779513,468800.0
1984-02-03,26.12,26.12,26.12,26.12,121900.0,3.5276139064888,487600.0
1984-02-06,26.12,27.12,26.12,27.12,14400.0,3.6626680376714,57600.0
1984-02-07,27.12,27.12,26.5,26.5,116000.0,3.5789344763382,464000.0
1984-02-08,26.5,26.75,26.12,26.12,37600.0,3.5276139064888,150400.0
1984-02-09,26.12,26.12,25.75,26.12,66400.0,3.5276139064888,265600.0
1984-02-10,26.12,26.5,26.12,26.12,41900.0,3.5276139064888,167600.0
1984-02-13,26.12,26.12,25.88,25.88,6800.0,3.4952009150050003,27200.0
1984-02-14,25.88,26.25,25.88,26.25,48100.0,3.5451709435426,192400.0
1984-02-15,26.25,26.25,26.0,26.0,36800.0,3.5114074107469,147200.0
1984-02-16,26.12,26.12,26.12,26.12,11200.0,3.5276139064888,44800.0
1984-02-17,26.0,26.0,25.75,25.88,14500.0,3.4952009150050003,58000.0
1984-02-21,25.88,26.0,25.12,25.12,86000.0,3.3925597753062005,344000.0
1984-02-22,24.88,24.88,23.75,24.12,164900.0,3.2575056441237003,659600.0
1984-02-23,24.12,24.12,23.88,24.0,47100.0,3.2412991483818,188400.0
1984-02-24,24.12,26.25,24.12,26.12,38200.0,3.5276139064888,152800.0
1984-02-27,26.12,26.5,25.88,26.0,43500.0,3.5114074107469,174000.0
1984-02-28,25.88,25.88,25.62,25.62,8500.0,3.4600868408975,34000.0
1984-02-29,25.62,25.62,25.12,25.62,18300.0,3.4600868408975,73200.0
1984-03-01,25.25,25.25,24.88,25.0,29600.0,3.3763532795643,118400.0
1984-03-02,25.12,25.25,25.12,25.12,50900.0,3.3925597753062005,203600.0
1984-03-05,25.12,26.0,25.12,25.12,10300.0,3.3925597753062005,41200.0
1984-03-06,25.12,25.62,25.12,25.62,13200.0,3.4600868408975,52800.0
1984-03-07,25.62,25.62,25.12,25.12,24000.0,3.3925597753062005,96000.0
