Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1991-04-02,27.5,29.5,26.25,29.38,2286800.0,7.345,9147200.0
1991-04-03,29.12,29.38,27.5,29.25,850800.0,7.3125,3403200.0
1991-04-04,29.12,29.12,28.38,28.88,207800.0,7.22,831200.0
1991-04-05,28.5,28.75,28.38,28.5,114300.0,7.125,457200.0
1991-04-08,28.25,28.75,27.5,28.5,152200.0,7.125,608800.0
1991-04-09,28.5,29.0,28.5,28.75,118100.0,7.1875,472400.0
1991-04-10,28.5,30.0,28.5,30.0,195400.0,7.5,781600.0
1991-04-11,31.0,33.12,31.0,32.25,334800.0,8.0625,1339200.0
1991-04-12,32.5,33.0,32.25,32.62,117200.0,8.155,468800.0
1991-04-15,32.88,32.88,31.75,32.0,88200.0,8.0,352800.0
1991-04-16,31.88,32.62,31.12,32.38,66600.0,8.095,266400.0
1991-04-17,32.5,32.5,31.62,31.75,61600.0,7.9375,246400.0
1991-04-18,31.88,32.25,31.5,32.0,74700.0,8.0,298800.0
1991-04-19,31.75,32.25,31.75,32.12,51200.0,8.03,204800.0
1991-04-22,32.0,32.25,30.38,30.38,97000.0,7.595,388000.0
1991-04-23,30.88,31.38,30.62,31.25,64100.0,7.8125,256400.0
1991-04-24,31.38,32.25,31.38,32.12,63500.0,8.03,254000.0
1991-04-25,32.38,32.5,32.25,32.25,20600.0,8.0625,82400.0
1991-04-26,32.12,32.25,31.5,32.0,26700.0,8.0,106800.0
1991-04-29,32.75,33.0,32.5,32.75,76600.0,8.1875,306400.0
1991-04-30,32.5,32.5,31.0,32.25,46900.0,8.0625,187600.0
1991-05-01,32.5,32.75,32.25,32.75,49100.0,8.1875,196400.0
1991-05-02,32.5,33.12,32.5,33.0,38800.0,8.25,155200.0
1991-05-03,33.0,33.12,32.5,33.0,21400.0,8.25,85600.0
1991-05-06,32.75,32.88,32.12,32.62,13800.0,8.155,55200.0
1991-05-07,32.88,32.88,32.12,32.12,34600.0,8.03,138400.0
1991-05-08,32.0,32.0,31.88,32.0,25600.0,8.0,102400.0
1991-05-09,32.0,32.38,31.88,32.25,31100.0,8.0625,124400.0
1991-05-10,32.12,32.12,31.75,31.75,15400.0,7.9375,61600.0
1991-05-13,31.62,31.75,31.12,31.12,21400.0,7.78,85600.0
1991-05-14,31.25,31.25,29.75,30.0,74000.0,7.5,296000.0
1991-05-15,30.0,31.25,29.88,30.62,41400.0,7.655,165600.0
1991-05-16,30.75,31.0,30.5,31.0,29000.0,7.75,116000.0
1991-05-17,30.75,30.75,29.25,29.88,216000.0,7.47,864000.0
1991-05-20,30.0,31.0,29.88,30.75,43700.0,7.6875,174800.0
1991-05-21,31.62,31.88,30.88,31.0,58800.0,7.75,235200.0
1991-05-22,31.12,31.5,31.0,31.5,13400.0,7.875,53600.0
1991-05-23,31.5,31.5,30.75,30.88,6000.0,7.72,24000.0
1991-05-24,31.0,31.38,30.88,31.25,15600.0,7.8125,62400.0
1991-05-28,31.0,31.12,30.5,31.0,11600.0,7.75,46400.0
1991-05-29,31.12,31.12,30.5,30.5,45900.0,7.625,183600.0
1991-05-30,30.5,30.5,29.75,30.25,76600.0,7.5625,306400.0
1991-05-31,30.25,30.25,29.88,30.12,9200.0,7.53,36800.0
1991-06-03,30.0,30.75,30.0,30.75,64300.0,7.6875,257200.0
1991-06-04,30.88,31.38,30.62,31.38,27700.0,7.845,110800.0
1991-06-05,31.38,32.62,31.38,32.62,66700.0,8.155,266800.0
1991-06-06,32.5,33.0,32.5,32.62,26300.0,8.155,105200.0
1991-06-07,32.62,33.0,32.5,32.75,77300.0,8.1875,309200.0
1991-06-10,32.75,33.38,32.75,33.38,25800.0,8.345,103200.0
1991-06-11,33.62,33.75,33.25,33.62,49400.0,8.405,197600.0
1991-06-12,33.62,33.75,32.12,32.12,59100.0,8.03,236400.0
1991-06-13,32.12,32.12,31.62,31.75,21200.0,7.9375,84800.0
1991-06-14,32.0,33.88,32.0,33.5,74700.0,8.375,298800.0
1991-06-17,33.5,34.75,33.5,34.62,87200.0,8.655,348800.0
1991-06-18,34.5,34.75,34.38,34.62,18700.0,8.655,74800.0
1991-06-19,34.62,34.62,33.5,33.5,25600.0,8.375,102400.0
1991-06-20,33.25,33.25,32.88,33.0,12800.0,8.25,51200.0
1991-06-21,33.25,33.5,33.12,33.25,48200.0,8.3125,192800.0
1991-06-24,33.0,33.25,32.38,32.62,32200.0,8.155,128800.0
1991-06-25,32.25,32.25,31.62,31.88,34400.0,7.97,137600.0
1991-06-26,31.62,31.88,31.25,31.88,58900.0,7.97,235600.0
1991-06-27,32.12,33.5,32.12,33.5,46700.0,8.375,186800.0
1991-06-28,33.5,34.0,33.5,33.88,55500.0,8.47,222000.0
1991-07-01,34.62,36.25,34.5,36.25,105400.0,9.0625,421600.0
1991-07-02,36.12,37.62,35.88,37.12,114800.0,9.28,459200.0
1991-07-03,36.88,37.25,36.5,37.12,60900.0,9.28,243600.0
1991-07-05,37.25,38.62,37.25,38.5,62200.0,9.625,248800.0
1991-07-08,38.5,39.75,38.25,39.62,117700.0,9.905,470800.0
1991-07-09,39.88,41.0,39.75,40.75,80000.0,10.1875,320000.0
1991-07-10,40.75,41.0,40.0,40.25,120400.0,10.0625,481600.0
1991-07-11,40.25,40.25,37.88,38.5,101000.0,9.625,404000.0
1991-07-12,38.5,38.75,38.12,38.5,99500.0,9.625,398000.0
1991-07-15,38.5,40.0,38.5,40.0,54200.0,10.0,216800.0
1991-07-16,40.0,40.0,39.75,39.75,36400.0,9.9375,145600.0
1991-07-17,39.62,40.0,39.62,39.88,50100.0,9.97,200400.0
1991-07-18,40.0,40.5,39.88,40.38,26200.0,10.095,104800.0
1991-07-19,40.25,40.25,39.75,40.0,43000.0,10.0,172000.0
1991-07-22,40.0,40.0,39.0,39.0,48900.0,9.75,195600.0
1991-07-23,39.0,39.0,38.88,39.0,29400.0,9.75,117600.0
1991-07-24,38.75,38.88,38.5,38.62,22100.0,9.655,88400.0
1991-07-25,38.25,39.25,38.25,39.0,27900.0,9.75,111600.0
1991-07-26,39.25,39.25,38.75,38.88,45600.0,9.72,182400.0
1991-07-29,38.88,38.88,38.75,38.88,48400.0,9.72,193600.0
