Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1984-09-07,38.88,39.13,38.25,38.75,16400.0,2.7159907025588,221400.0
1984-09-10,38.75,39.25,38.25,38.63,14059.259259258999,2.7075798926412005,189800.0
1984-09-11,38.88,39.5,38.75,39.5,47792.592592593,2.7685582645438,645200.00000001
1984-09-12,39.5,39.5,39.0,39.38,78192.59259259299,2.7601474546262,1055600.0
1984-09-13,39.38,39.38,38.75,39.0,22992.592592593,2.7335132232205,310400.00000001
1984-09-14,39.0,39.5,38.75,39.0,32992.592592593,2.7335132232205,445400.00000001
1984-09-17,39.0,39.0,38.0,38.13,24800.0,2.6725348513179,334800.0
1984-09-18,38.13,38.25,37.63,37.63,13792.592592593,2.6374898099945,186200.00000001
1984-09-19,37.63,37.88,37.5,37.63,24800.0,2.6374898099945,334800.0
1984-09-20,37.63,37.63,37.5,37.5,8800.0,2.6283780992505,118800.0
1984-09-21,37.5,38.5,37.5,38.5,66800.0,2.6984681818971,901800.0
1984-09-24,38.5,38.75,38.5,38.5,19600.0,2.6984681818971,264600.0
1984-09-25,38.5,38.75,38.5,38.75,2666.6666666667,2.7159907025588,36000.0
1984-09-26,38.75,39.0,38.38,38.38,17392.592592593,2.6900573719795,234800.00000001
1984-09-27,38.63,39.0,38.63,38.88,10266.666666666999,2.7251024133029,138600.0
1984-09-28,39.25,39.38,39.13,39.25,19659.259259259,2.7510357438821,265400.0
1984-10-01,39.25,39.5,38.88,38.88,19200.0,2.7251024133029,259200.0
1984-10-02,38.88,39.25,38.63,38.63,28992.592592593,2.7075798926412005,391400.00000001
1984-10-03,38.63,38.88,38.38,38.5,42000.0,2.6984681818971,567000.0
1984-10-04,38.5,38.88,38.13,38.63,40992.592592593,2.7075798926412005,553400.00000001
1984-10-05,38.63,38.63,38.13,38.5,1659.2592592592996,2.6984681818971,22400.000000001
1984-10-08,38.13,38.13,37.38,37.38,46059.259259259,2.6199672893328,621800.0
1984-10-09,37.38,37.38,37.25,37.38,13600.0,2.6199672893328,183600.0
1984-10-10,37.38,37.88,37.38,37.88,10400.0,2.6550123306562,140400.0
1984-10-11,38.13,38.88,38.13,38.88,29200.0,2.7251024133029,394200.0
1984-10-12,39.25,40.25,39.25,39.75,57659.259259259,2.7860807852055003,778400.0
1984-10-15,39.75,40.13,39.5,39.63,26992.592592593,2.7776699752879,364400.00000001
1984-10-16,39.63,39.88,39.5,39.75,6459.259259259301,2.7860807852055003,87200.00000000099
1984-10-17,39.75,39.88,39.5,39.63,6192.5925925926,2.7776699752879,83600.0
1984-10-18,39.88,40.25,39.88,40.25,28192.592592593,2.8211258265287995,380600.00000001
1984-10-19,40.5,41.13,40.5,40.63,28800.0,2.8477600579346003,388800.0
1984-10-22,40.5,40.5,40.13,40.25,9259.259259259301,2.8211258265287995,125000.0
1984-10-23,40.25,40.88,40.13,40.13,7066.666666666701,2.8127150166112,95400.0
1984-10-24,40.13,40.25,39.75,40.13,12059.259259258999,2.8127150166112,162800.0
1984-10-25,40.13,40.88,40.13,40.88,7466.666666666701,2.8652825785962004,100800.0
1984-10-26,40.25,40.25,39.75,40.13,27200.0,2.8127150166112,367200.0
1984-10-29,40.13,40.25,40.13,40.13,10266.666666666999,2.8127150166112,138600.0
1984-10-30,40.13,40.13,39.5,39.5,15200.0,2.7685582645438,205200.0
1984-10-31,39.5,39.75,39.5,39.75,12592.592592593,2.7860807852055003,170000.00000001
1984-11-01,39.75,41.13,39.75,41.13,20859.259259259,2.8828050992579,281600.0
1984-11-02,41.13,41.13,40.63,40.63,9200.0,2.8477600579346003,124200.0
1984-11-05,40.63,41.13,40.5,40.5,4859.2592592593,2.8386483471905,65600.00000000099
1984-11-06,40.5,41.13,40.5,40.88,8666.6666666667,2.8652825785962004,117000.0
1984-11-07,40.88,41.5,40.25,41.5,16000.0,2.9087384298372,216000.0
1984-11-08,41.5,41.5,40.88,41.25,11466.666666666999,2.8912159091755,154800.0
1984-11-09,41.25,41.25,40.75,40.75,7066.666666666701,2.8561708678522004,95400.0
1984-11-12,40.75,41.13,40.5,40.5,7200.0,2.8386483471905,97200.0
1984-11-13,40.5,40.5,40.25,40.25,3392.5925925926,2.8211258265287995,45800.0
1984-11-14,40.25,40.25,40.13,40.13,4992.5925925926,2.8127150166112,67400.0
1984-11-15,40.13,40.13,39.63,39.75,4859.2592592593,2.7860807852055003,65600.00000000099
1984-11-16,39.75,39.88,39.5,39.88,7600.0,2.7951924959495003,102600.0
1984-11-19,39.88,39.88,39.63,39.63,6800.0,2.7776699752879,91800.0
1984-11-20,39.63,39.75,39.5,39.63,3466.6666666666997,2.7776699752879,46800.0
1984-11-21,39.5,39.5,38.63,38.88,8192.5925925926,2.7251024133029,110600.0
1984-11-23,38.88,38.88,38.63,38.88,1659.2592592592996,2.7251024133029,22400.000000001
1984-11-26,38.88,38.88,38.38,38.38,28000.0,2.6900573719795,378000.0
1984-11-27,38.38,38.38,37.88,38.13,15792.592592593,2.6725348513179,213200.00000001
1984-11-28,38.5,38.5,38.5,38.5,18192.592592593,2.6984681818971,245600.00000001
1984-11-29,38.5,38.88,38.5,38.5,18459.259259259,2.6984681818971,249200.0
1984-11-30,38.13,38.13,37.75,37.88,15792.592592593,2.6550123306562,213200.00000001
1984-12-03,37.88,38.13,37.88,37.88,14666.666666666999,2.6550123306562,198000.0
1984-12-04,37.88,38.13,36.75,37.25,26459.259259259,2.6108555785888,357200.0
1984-12-05,37.25,37.88,37.25,37.75,29066.666666667003,2.6459006199121,392400.0
1984-12-06,37.75,37.75,37.5,37.75,5392.5925925926,2.6459006199121,72800.0
1984-12-07,37.75,38.63,37.75,38.13,14000.0,2.6725348513179,189000.0
1984-12-10,38.13,39.75,38.13,39.5,6666.666666666701,2.7685582645438,90000.0
1984-12-11,39.75,40.25,39.75,39.88,12992.592592593,2.7951924959495003,175400.00000001
1984-12-12,40.13,40.25,40.13,40.13,21659.259259259,2.8127150166112,292400.0
1984-12-13,40.25,40.63,40.25,40.5,81600.0,2.8386483471905,1101600.0
1984-12-14,40.5,40.5,39.75,40.25,21392.592592593,2.8211258265287995,288800.00000001
1984-12-17,40.25,40.63,39.88,40.5,5066.6666666667,2.8386483471905,68400.0
1984-12-18,40.25,40.25,39.88,40.25,25259.259259259,2.8211258265287995,341000.0
1984-12-19,40.13,40.13,39.25,39.5,13066.666666666999,2.7685582645438,176400.0
1984-12-20,39.5,39.75,39.25,39.25,34666.666666667,2.7510357438821,468000.0
1984-12-21,39.25,40.13,39.25,39.25,12266.666666666999,2.7510357438821,165600.0
1984-12-24,39.5,39.88,39.5,39.88,4592.5925925926,2.7951924959495003,62000.0
1984-12-26,39.88,40.25,39.88,40.25,3866.6666666666997,2.8211258265287995,52200.0
1984-12-27,40.25,40.88,39.88,40.63,22666.666666667003,2.8477600579346003,306000.0
1984-12-28,40.63,40.63,40.25,40.25,13792.592592593,2.8211258265287995,186200.00000001
1984-12-31,40.25,41.25,40.13,41.13,30000.0,2.8828050992579,405000.0
1985-01-02,41.5,42.25,41.5,42.0,19259.259259259,2.9437834711605,260000.0
1985-01-03,41.5,41.5,40.13,40.13,42992.592592593,2.8127150166112,580400.00000001
1985-01-04,40.13,40.5,39.25,39.25,10192.592592593,2.7510357438821,137600.00000001
1985-01-07,39.25,39.88,38.88,39.75,10666.666666666999,2.7860807852055003,144000.0
1985-01-08,39.75,40.25,39.75,39.75,6400.0,2.7860807852055003,86400.0
1985-01-09,39.75,40.13,39.25,39.5,22400.0,2.7685582645438,302400.0
1985-01-10,39.5,39.88,39.5,39.88,21866.666666667,2.7951924959495003,295200.0
1985-01-11,39.88,39.88,39.5,39.75,28992.592592593,2.7860807852055003,391400.00000001
1985-01-14,39.75,40.63,39.75,40.63,20000.0,2.8477600579346003,270000.0
1985-01-15,42.0,43.25,42.0,43.25,65466.666666667,3.0313960744689,883800.0
1985-01-16,43.25,44.25,42.88,44.25,133466.66666667,3.1014861571155,1801800.0
1985-01-17,44.25,44.63,43.25,43.63,29392.592592593,3.0580303058746,396800.00000001
1985-01-18,43.63,45.38,43.63,44.88,77659.25925925901,3.1456429091829,1048400.0
1985-01-21,44.88,46.0,44.88,44.88,51600.0,3.1456429091829,696600.0
1985-01-22,44.88,45.38,44.88,44.88,56992.592592593,3.1456429091829,769400.00000001
1985-01-23,44.88,44.88,44.25,44.5,35200.0,3.1190086777772,475200.0
1985-01-24,44.5,44.88,44.0,44.25,21466.666666667,3.1014861571155,289800.0
1985-01-25,43.25,43.25,42.0,42.0,36192.592592593,2.9437834711605,488600.00000001
1985-01-28,42.0,42.0,41.5,41.75,48459.259259259,2.9262609504988,654200.0
1985-01-29,41.75,43.88,41.5,42.88,30266.666666667003,3.0054627438896,408600.0
1985-01-30,43.88,44.88,43.88,44.5,93259.25925925901,3.1190086777772,1259000.0
1985-01-31,44.5,44.88,43.5,44.63,36992.592592593,3.1281203885213,499400.00000001
1985-02-01,44.5,44.5,43.88,44.25,22400.0,3.1014861571155,302400.0
1985-02-04,44.25,44.88,44.25,44.63,33392.592592593,3.1281203885213,450800.00000001
1985-02-05,44.63,44.88,43.63,43.88,22266.666666667003,3.0755528265362995,300600.0
1985-02-06,43.88,44.5,43.88,44.25,15792.592592593,3.1014861571155,213200.00000001
1985-02-07,44.25,44.5,44.0,44.5,47066.666666667,3.1190086777772,635400.0
1985-02-08,44.5,44.63,44.5,44.63,18059.259259259,3.1281203885213,243800.0
