Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1987-12-31,9.37,9.63,9.25,9.63,7314.8767676768,0.63547311559328,66300.0
1988-01-04,9.63,9.63,9.63,9.63,2625.8531986532003,0.63547311559328,23800.0
1988-01-05,9.75,9.75,9.75,9.75,12081.131313131002,0.64339178370036,109500.0
1988-01-06,9.75,10.25,9.5,10.25,7447.272727272702,0.67638623414653,67500.0
1988-01-07,10.25,10.5,10.0,10.5,6167.4451178451,0.6928834593696199,55900.0
1988-01-08,10.75,11.12,10.75,10.75,10293.785858586,0.7093806845927,93300.00000000099
1988-01-11,10.75,11.37,10.75,11.37,18171.345454545,0.75029380314595,164700.0
1988-01-12,11.37,11.37,11.37,11.37,99.29696969696998,0.75029380314595,900.0
1988-01-13,11.12,11.12,11.12,11.12,1588.7515151515,0.7337965779228699,14400.0
1988-01-14,11.12,11.12,10.75,11.12,3574.6909090909003,0.7337965779228699,32400.0
1988-01-15,11.12,11.37,10.88,11.37,3342.997979798,0.75029380314595,30300.0
1988-01-18,11.37,11.37,11.12,11.12,904.7057239057201,0.7337965779228699,8200.0
1988-01-19,11.12,11.12,10.75,11.12,1401.1905723906,0.7337965779228699,12700.0
1988-01-20,10.75,10.75,10.75,10.75,7689.9986531987,0.7093806845927,69700.0
1988-01-21,10.75,10.75,10.75,10.75,6619.797979798001,0.7093806845927,60000.0
1988-01-22,10.75,10.88,10.75,10.88,1732.1804713805,0.71795924170871,15700.0
1988-01-25,10.88,10.88,10.88,10.88,11.032996632997,0.71795924170871,100.0
1988-01-26,10.88,11.12,10.5,11.12,1401.1905723906,0.7337965779228699,12700.0
1988-01-27,11.12,11.12,10.5,11.12,4677.9905723906,0.7337965779228699,42400.0
1988-01-28,11.12,11.12,11.12,11.12,992.9696969697001,0.7337965779228699,9000.0
1988-01-29,11.12,11.63,11.12,11.63,8186.483501683499,0.7674509173779599,74200.0
1988-02-01,12.0,13.25,12.0,12.75,33760.96969697,0.8413584863773901,306000.0
1988-02-02,12.75,12.75,12.0,12.75,3342.997979798,0.8413584863773901,30300.0
1988-02-03,12.75,12.75,12.0,12.0,1886.6424242424,0.79186681070813,17100.0
1988-02-04,12.0,12.5,11.88,12.5,5229.6404040403995,0.8248612611543,47400.0
1988-02-05,12.25,12.25,11.63,11.63,4380.099663299699,0.7674509173779599,39700.0
1988-02-08,11.63,12.0,11.37,11.37,10227.587878788001,0.75029380314595,92700.00000000099
1988-02-09,11.37,12.0,11.37,11.37,992.9696969697001,0.75029380314595,9000.0
1988-02-10,11.63,12.0,11.63,11.63,3740.185858585901,0.7674509173779599,33900.0
1988-02-11,11.75,12.0,11.75,12.0,1401.1905723906,0.79186681070813,12700.0
1988-02-12,12.0,12.0,11.63,12.0,6553.6,0.79186681070813,59400.0
1988-02-16,12.0,12.0,11.63,12.0,5604.7622895623,0.79186681070813,50800.0
1988-02-17,12.0,12.0,11.63,12.0,9036.0242424242,0.79186681070813,81900.0
1988-02-18,12.0,12.0,11.63,12.0,4380.099663299699,0.79186681070813,39700.0
1988-02-19,12.0,12.25,11.63,12.25,8649.8693602694,0.8083640359312199,78400.0
1988-02-22,12.25,12.25,11.88,11.88,297.89090909091,0.78394814260105,2700.0
1988-02-23,11.88,12.5,11.88,11.88,1952.8404040404,0.78394814260105,17700.0
1988-02-24,12.0,13.0,12.0,12.75,16549.494949495,0.8413584863773901,150000.0
1988-02-25,12.75,13.0,12.5,13.0,4677.9905723906,0.8578557116004799,42400.0
1988-02-26,13.0,13.0,12.5,13.0,34654.642424242,0.8578557116004799,314100.0
1988-02-29,13.0,13.0,12.5,13.0,4468.3636363636,0.8578557116004799,40500.0
1988-03-01,13.25,13.63,13.25,13.25,35018.731313131,0.87435293682356,317400.0
1988-03-02,13.25,13.25,13.25,13.25,99.29696969696998,0.87435293682356,900.0
1988-03-03,13.25,13.63,13.25,13.25,62204.035016835,0.87435293682356,563800.0
1988-03-04,13.25,13.37,13.25,13.25,1732.1804713805,0.87435293682356,15700.0
1988-03-07,13.0,13.0,13.0,13.0,1136.3986531987,0.8578557116004799,10300.0
1988-03-08,13.25,13.37,13.25,13.25,12522.451178451001,0.87435293682356,113500.0
1988-03-09,13.25,13.37,13.0,13.0,17741.058585859,0.8578557116004799,160800.0
1988-03-10,13.0,13.0,13.0,13.0,540.61683501684,0.8578557116004799,4900.0
1988-03-11,13.0,13.25,12.75,13.25,1401.1905723906,0.87435293682356,12700.0
1988-03-14,13.25,13.37,12.5,12.5,110318.93333333,0.8248612611543,999899.99999997
1988-03-15,12.5,13.25,12.5,12.5,18469.236363636002,0.8248612611543,167400.0
1988-03-16,12.75,13.25,12.75,13.0,7447.272727272702,0.8578557116004799,67500.0
1988-03-17,13.0,13.37,13.0,13.0,18171.345454545,0.8578557116004799,164700.0
1988-03-18,13.25,13.88,13.25,13.63,35614.513131313,0.89942871916265,322800.0
1988-03-21,13.63,14.12,13.63,14.12,14695.951515151999,0.9317632805999,133200.0
1988-03-22,14.12,14.25,13.63,13.63,3342.997979798,0.89942871916265,30300.0
1988-03-23,13.88,14.12,13.88,13.88,5571.6632996633,0.91592594438574,50500.0
1988-03-24,13.88,14.25,13.88,13.88,3574.6909090909003,0.91592594438574,32400.0
1988-03-25,13.88,14.25,13.88,14.25,13052.035016835,0.94048767318688,118300.0
1988-03-28,14.12,14.12,13.88,14.12,17741.058585859,0.93190778564202,160800.0
1988-03-29,14.12,14.12,13.88,13.88,540.61683501684,0.9160679932515,4900.0
1988-03-30,13.88,14.12,13.88,13.88,22937.6,0.9160679932515,207900.0
1988-03-31,13.88,14.12,13.88,14.12,7546.5696969697,0.93190778564202,68400.0
1988-04-04,14.12,14.12,13.88,13.88,661.9797979798001,0.9160679932515,6000.0
1988-04-05,13.88,13.88,13.88,13.88,66.19797979798,0.9160679932515,600.0
1988-04-06,13.88,14.25,13.88,13.88,6619.797979798001,0.9160679932515,60000.0
1988-04-07,13.88,14.12,13.88,13.88,12158.362289562,0.9160679932515,110200.0
1988-04-08,13.88,14.12,13.88,13.88,4016.0107744108,0.9160679932515,36400.0
1988-04-11,13.88,14.5,13.88,14.25,16549.494949495,0.94048767318688,150000.0
1988-04-12,14.25,14.75,14.25,14.75,6255.7090909091,0.97348724066712,56700.0
1988-04-13,14.75,14.75,14.25,14.25,1136.3986531987,0.94048767318688,10300.0
1988-04-14,14.25,14.5,14.25,14.25,20102.11986532,0.94048767318688,182200.0
1988-04-15,14.25,14.5,14.25,14.25,7248.6787878788,0.94048767318688,65700.0
1988-04-18,14.25,14.5,14.25,14.5,2989.9420875421,0.956987456927,27100.0
1988-04-19,14.5,14.5,14.5,14.5,1136.3986531987,0.956987456927,10300.0
1988-04-20,14.12,14.12,14.12,14.12,1401.1905723906,0.93190778564202,12700.0
1988-04-21,14.12,14.5,14.12,14.12,1500.4875420875,0.93190778564202,13600.0
1988-04-22,14.12,14.12,14.12,14.12,1401.1905723906,0.93190778564202,12700.0
1988-04-25,14.12,14.12,14.12,14.12,66.19797979798,0.93190778564202,600.0
1988-04-26,14.12,14.12,14.12,14.12,0.0,0.93190778564202,0.0
1988-04-27,13.88,13.88,13.88,13.88,992.9696969697001,0.9160679932515,9000.0
1988-04-28,13.88,13.88,13.88,13.88,1588.7515151515,0.9160679932515,14400.0
1988-04-29,13.88,14.25,13.88,14.25,5207.5744107744,0.94048767318688,47200.0
1988-05-02,13.63,13.63,13.63,13.63,904.7057239057201,0.8995682095113801,8200.0
1988-05-03,13.63,13.63,13.63,13.63,661.9797979798001,0.8995682095113801,6000.0
1988-05-04,13.63,13.63,13.63,13.63,11.032996632997,0.8995682095113801,100.0
1988-05-05,13.63,13.63,13.63,13.63,2151.4343434343,0.8995682095113801,19500.0
1988-05-06,13.63,14.12,13.63,14.12,2449.3252525253,0.93190778564202,22200.0
1988-05-09,14.12,14.12,13.63,14.12,3342.997979798,0.93190778564202,30300.0
1988-05-10,13.63,13.63,13.63,13.63,1401.1905723906,0.8995682095113801,12700.0
1988-05-11,13.37,13.37,13.0,13.37,5604.7622895623,0.8824084344216501,50800.0
1988-05-12,13.25,13.25,13.0,13.0,5604.7622895623,0.8579887544862801,50800.0
1988-05-13,13.0,13.37,13.0,13.25,14210.4996633,0.8744885382264,128800.0
1988-05-16,13.25,13.25,13.0,13.0,1952.8404040404,0.8579887544862801,17700.0
1988-05-17,13.0,13.25,13.0,13.25,1136.3986531987,0.8744885382264,10300.0
1988-05-18,13.25,13.25,12.25,12.25,1732.1804713805,0.80848940326591,15700.0
1988-05-19,12.25,12.63,12.25,12.25,1886.6424242424,0.80848940326591,17100.0
1988-05-20,12.75,13.25,12.75,13.0,15192.436363636001,0.8579887544862801,137700.0
1988-05-23,13.0,13.25,12.75,13.25,4082.2087542088,0.8744885382264,37000.0
1988-05-24,13.25,13.37,13.0,13.25,14695.951515151999,0.8744885382264,133200.0
1988-05-25,13.25,13.25,13.25,13.25,661.9797979798001,0.8744885382264,6000.0
1988-05-26,13.25,13.37,13.25,13.25,1401.1905723906,0.8744885382264,12700.0
1988-05-27,13.25,13.25,13.0,13.25,99.29696969696998,0.8744885382264,900.0
1988-05-31,13.25,13.25,13.25,13.25,4170.4727272727005,0.8744885382264,37800.0
1988-06-01,13.25,13.37,13.0,13.0,31079.951515152003,0.8579887544862801,281700.0
1988-06-02,13.0,13.25,13.0,13.0,15931.647138047,0.8579887544862801,144400.0
1988-06-03,13.0,13.25,12.88,13.25,3342.997979798,0.8744885382264,30300.0
1988-06-06,12.88,12.88,12.88,12.88,992.9696969697001,0.85006885829102,9000.0
1988-06-07,12.88,13.0,12.88,13.0,16549.494949495,0.8579887544862801,150000.0
1988-06-08,13.0,13.25,12.88,13.25,1136.3986531987,0.8744885382264,10300.0
1988-06-09,13.25,13.25,13.0,13.25,19362.909090908997,0.8744885382264,175500.0
1988-06-10,13.25,13.88,13.12,13.88,54525.069360269,0.9160679932515,494200.0
1988-06-13,13.88,14.25,13.63,13.88,29998.717845117997,0.9160679932515,271900.0
1988-06-14,13.88,14.5,13.88,14.5,13052.035016835,0.956987456927,118300.0
1988-06-15,14.5,14.75,14.25,14.5,9378.047138047099,0.956987456927,85000.0
1988-06-16,14.5,15.0,14.5,14.5,12875.507070706999,0.956987456927,116700.0
1988-06-17,14.5,14.75,14.25,14.75,4677.9905723906,0.97348724066712,42400.0
1988-06-20,14.75,15.0,14.12,14.12,8738.133333333299,0.93190778564202,79200.0
1988-06-21,14.5,14.75,14.5,14.75,9036.0242424242,0.97348724066712,81900.0
1988-06-22,14.75,15.0,14.5,15.0,8186.483501683499,0.98998702440724,74200.0
1988-06-23,15.0,15.0,14.75,14.75,46338.585858586,0.97348724066712,420000.0
1988-06-24,15.0,15.75,15.0,15.25,9543.5420875421,1.0064868081474,86500.0
1988-06-27,15.25,15.88,15.25,15.25,3342.997979798,1.0066326662356,30300.0
1988-06-28,15.25,15.75,15.25,15.75,55275.313131313,1.0396370159483002,501000.0
1988-06-29,15.75,15.88,15.5,15.75,18976.754208754,1.0396370159483002,172000.0
1988-06-30,15.75,15.75,15.5,15.75,49449.890909090995,1.0396370159483002,448200.0
1988-07-01,15.5,15.5,15.5,15.5,22639.709090909,1.0231348410919,205200.0
1988-07-05,15.5,15.88,15.5,15.5,1886.6424242424,1.0231348410919,17100.0
1988-07-06,15.5,15.88,15.5,15.5,8440.2424242424,1.0231348410919,76500.0
1988-07-07,15.5,15.75,15.5,15.75,11187.458585859,1.0396370159483002,101400.0
1988-07-08,15.75,17.25,15.5,16.63,39387.797979798,1.0977246714425,357000.0
1988-07-11,16.63,17.0,16.63,16.63,11021.963636363998,1.0977246714425,99900.00000000301
1988-07-12,16.63,16.88,16.63,16.63,7292.810774410799,1.0977246714425,66100.0
1988-07-13,16.63,17.25,16.63,16.88,22705.907070707002,1.1142268462988,205800.0
1988-07-14,16.88,17.25,16.88,16.88,26512.290909091,1.1142268462988,240300.0
1988-07-15,16.88,17.25,16.88,16.88,7447.272727272702,1.1142268462988,67500.0
1988-07-18,16.88,17.25,16.88,16.88,31278.545454545,1.1142268462988,283500.0
1988-07-19,16.88,17.25,16.88,17.12,17741.058585859,1.1300689341609,160800.0
1988-07-20,17.12,17.25,16.88,16.88,17222.507744108,1.1142268462988,156100.0
1988-07-21,16.88,17.0,16.88,16.88,20499.307744108002,1.1142268462988,185800.0
1988-07-22,16.88,17.25,16.63,16.63,22937.6,1.0977246714425,207900.0
1988-07-25,16.63,17.25,16.63,16.63,1136.3986531987,1.0977246714425,10300.0
1988-07-26,16.63,17.0,16.63,16.88,45047.725252525,1.1142268462988,408300.0
1988-07-27,16.88,17.0,16.63,17.0,34996.665319865,1.1221478902298998,317200.0
1988-07-28,17.0,17.0,16.63,17.0,37037.76969697,1.1221478902298998,335700.0
1988-07-29,17.0,17.0,16.63,17.0,8738.133333333299,1.1221478902298998,79200.0
1988-08-01,17.0,17.25,16.88,16.88,6255.7090909091,1.1142268462988,56700.0
1988-08-02,16.88,17.0,16.88,16.88,10525.478787879,1.1142268462988,95400.000000002
1988-08-03,16.88,17.0,16.88,17.0,18270.642424242,1.1221478902298998,165600.0
1988-08-04,17.0,17.0,16.88,17.0,44529.174410774,1.1221478902298998,403600.0
1988-08-05,17.0,17.0,16.63,17.0,739.21077441077,1.1221478902298998,6700.0
1988-08-08,17.0,17.0,16.63,16.63,7910.658585858598,1.0977246714425,71700.0
1988-08-09,16.63,17.0,16.63,16.63,16549.494949495,1.0977246714425,150000.0
1988-08-10,16.63,16.63,16.12,16.63,4677.9905723906,1.0977246714425,42400.0
1988-08-11,16.25,16.25,15.88,16.0,17741.058585859,1.0561391908046,160800.0
1988-08-12,16.0,16.12,15.88,16.12,661.9797979798001,1.0640602347356,6000.0
1988-08-15,16.12,16.63,15.88,15.88,540.61683501684,1.0482181468736,4900.0
1988-08-16,15.88,16.12,15.5,16.12,7546.5696969697,1.0640602347356,68400.0
1988-08-17,15.75,15.75,15.75,15.75,661.9797979798001,1.0396370159483002,6000.0
1988-08-18,15.75,16.12,15.75,15.75,5207.5744107744,1.0396370159483002,47200.0
1988-08-19,15.75,15.88,15.75,15.75,4380.099663299699,1.0396370159483002,39700.0
1988-08-22,15.75,15.88,15.75,15.88,2989.9420875421,1.0482181468736,27100.0
1988-08-23,15.88,15.88,15.75,15.88,1401.1905723906,1.0482181468736,12700.0
1988-08-24,15.88,15.88,15.88,15.88,2681.0181818182,1.0482181468736,24300.0
1988-08-25,15.75,15.75,15.75,15.75,297.89090909091,1.0396370159483002,2700.0
1988-08-26,15.75,15.88,15.75,15.75,7689.9986531987,1.0396370159483002,69700.0
1988-08-29,15.75,15.75,15.75,15.75,66.19797979798,1.0396370159483002,600.0
1988-08-30,15.75,15.88,15.75,15.75,7910.658585858598,1.0396370159483002,71700.0
1988-08-31,15.75,16.63,15.75,16.37,13945.707744108,1.0805624095919,126400.0
1988-09-01,16.37,16.63,15.88,16.63,739.21077441077,1.0977246714425,6700.0
1988-09-02,16.63,16.63,16.63,16.63,540.61683501684,1.0977246714425,4900.0
1988-09-06,16.63,16.63,15.88,16.37,4468.3636363636,1.0805624095919,40500.0
1988-09-07,16.37,16.63,16.12,16.12,661.9797979798001,1.0640602347356,6000.0
1988-09-08,16.37,16.63,16.37,16.37,3442.2949494949,1.0805624095919,31200.0
1988-09-09,16.38,16.88,16.38,16.88,2524.3496296296,1.2256495309287,20800.0
1988-09-12,16.88,17.25,16.75,17.25,7973.546666666701,1.2525150715948,65700.0
1988-09-13,17.25,17.25,17.0,17.25,15740.776296296,1.2525150715948,129700.0
1988-09-14,17.25,18.0,17.25,18.0,9733.309629629599,1.3069722486207,80200.0
1988-09-15,18.0,18.0,17.5,17.5,2148.1244444444,1.2706674639368,17700.0
1988-09-16,17.75,18.25,17.75,18.0,6553.6,1.3069722486207,54000.0
1988-09-19,18.0,18.5,18.0,18.0,4162.7496296296,1.3069722486207,34300.0
1988-09-20,18.0,18.5,18.0,18.5,2524.3496296296,1.3432770333046,20800.0
1988-09-21,18.37,18.37,18.0,18.0,5182.198518518499,1.3069722486207,42700.0
1988-09-22,18.0,18.0,18.0,18.0,72.81777777777799,1.3069722486207,600.0
1988-09-23,18.25,18.37,18.25,18.25,109.22666666667,1.3251246409626,900.00000000003
1988-09-26,18.25,18.25,18.25,18.25,0.0,1.3253010822162,0.0
1988-09-27,18.0,18.0,18.0,18.0,5728.331851851899,1.3071462728708,47200.0
1988-09-28,18.0,18.0,17.5,18.0,18022.4,1.3071462728708,148500.0
1988-09-29,18.0,18.25,17.75,18.25,2148.1244444444,1.3253010822162,17700.0
1988-09-30,18.25,18.25,17.75,17.75,24588.136296296,1.2889914635253,202600.0
1988-10-03,17.75,17.75,17.75,17.75,995.1762962963,1.2889914635253,8200.0
1988-10-04,17.75,17.75,17.75,17.75,1322.8562962963001,1.2889914635253,10900.0
1988-10-05,17.75,18.25,17.75,18.25,18204.444444443998,1.3253010822162,150000.0
1988-10-06,18.25,18.25,17.75,17.75,5182.198518518499,1.2889914635253,42700.0
1988-10-07,17.75,18.12,17.75,17.75,9077.9496296296,1.2889914635253,74800.0
1988-10-10,17.75,18.25,17.75,18.25,4745.2918518519,1.3253010822162,39100.0
1988-10-11,18.0,18.0,17.5,18.0,19988.48,1.3071462728708,164700.0
1988-10-12,18.0,18.0,17.5,18.0,3932.16,1.3071462728708,32400.0
1988-10-13,17.75,17.75,17.5,17.75,3179.7096296296004,1.2889914635253,26200.0
1988-10-14,17.75,17.75,17.75,17.75,0.0,1.2889914635253,0.0
1988-10-17,17.5,17.5,17.5,17.5,1250.0385185185,1.2708366541799,10300.0
1988-10-18,17.5,17.87,17.5,17.87,8022.091851851899,1.2977057720111,66100.0
1988-10-19,17.87,18.25,17.5,17.5,8301.2266666667,1.2708366541799,68400.0
1988-10-20,17.5,18.25,17.5,18.25,2148.1244444444,1.3253010822162,17700.0
1988-10-21,18.25,18.25,17.75,18.25,4332.6577777778,1.3253010822162,35700.0
1988-10-24,18.25,18.25,17.75,17.75,1322.8562962963001,1.2889914635253,10900.0
1988-10-25,17.75,17.87,17.75,17.75,1322.8562962963001,1.2889914635253,10900.0
1988-10-26,18.0,18.12,18.0,18.0,12124.16,1.3071462728708,99900.0
1988-10-27,18.0,18.37,17.75,18.0,29394.10962963,1.3071462728708,242200.0
1988-10-28,18.0,18.25,17.75,18.25,10497.896296296,1.3253010822162,86499.99999999799
1988-10-31,18.25,18.25,17.75,18.25,1650.5362962963,1.3253010822162,13600.0
1988-11-01,18.25,18.25,18.25,18.25,12.136296296296,1.3253010822162,99.999999999998
1988-11-02,18.12,18.12,17.5,18.12,8701.724444444399,1.3158605813566,71700.0
1988-11-03,18.12,18.12,17.5,17.5,2148.1244444444,1.2708366541799,17700.0
1988-11-04,17.5,18.12,17.5,18.12,10060.98962963,1.3158605813566,82900.000000003
1988-11-07,18.0,18.0,17.75,17.87,9332.811851851899,1.2977057720111,76900.0
1988-11-08,17.87,18.0,17.75,18.0,3604.48,1.3071462728708,29700.0
1988-11-09,18.0,18.25,17.75,17.75,7475.9585185185,1.2889914635253,61600.0
1988-11-10,17.75,18.0,17.75,17.75,11323.164444443999,1.2889914635253,93299.999999996
1988-11-11,17.75,18.0,17.75,18.0,2038.8977777778,1.3071462728708,16800.0
1988-11-14,17.75,17.75,17.0,17.0,2852.0296296296,1.2345270354891,23500.0
1988-11-15,17.0,17.5,16.75,17.5,2524.3496296296,1.2708366541799,20800.0
1988-11-16,17.5,17.5,17.0,17.0,2560.7585185185,1.2345270354891,21100.0
1988-11-17,17.0,17.0,17.0,17.0,0.0,1.2345270354891,0.0
1988-11-18,17.0,17.0,17.0,17.0,72.81777777777799,1.2345270354891,600.0
1988-11-21,17.75,17.75,17.75,17.75,594.67851851852,1.2889914635253,4900.0
1988-11-22,17.0,17.0,17.0,17.0,72.81777777777799,1.2345270354891,600.0
1988-11-23,17.0,17.0,17.0,17.0,1322.8562962963001,1.2345270354891,10900.0
1988-11-25,17.0,17.0,16.75,17.0,2038.8977777778,1.2345270354891,16800.0
1988-11-28,17.0,17.0,17.0,17.0,1747.6266666667002,1.2345270354891,14400.0
1988-11-29,17.0,17.5,17.0,17.5,4927.3362962963,1.2708366541799,40600.0
1988-11-30,17.5,17.5,17.13,17.13,1322.8562962963001,1.2439675363487,10900.0
