Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1990-03-26,23.75,24.25,23.5,24.25,144800.0,0.074578110147506,41702400.0
1990-03-27,24.0,24.75,23.75,24.75,55300.0,0.076115803140238,15926400.0
1990-03-28,24.75,24.75,24.5,24.5,34000.0,0.075346956643872,9792000.0
1990-03-29,24.5,24.5,24.0,24.5,56500.0,0.075346956643872,16272000.0
1990-03-30,24.0,24.0,23.0,23.5,99800.0,0.072271570658408,28742400.0
1990-04-02,22.75,23.25,22.25,23.0,55100.0,0.07073387766567599,15868800.0
1990-04-03,22.75,23.5,22.75,23.25,29000.0,0.07150272416204201,8352000.0
1990-04-04,23.25,23.5,23.25,23.25,49600.0,0.07150272416204201,14284800.0
1990-04-05,23.5,23.5,23.0,23.13,28900.0,0.07113367784378599,8323200.0
1990-04-06,23.0,23.25,22.75,22.75,37400.0,0.06996503116931,10771200.0
1990-04-09,23.0,23.0,22.5,22.5,23200.0,0.069196184672944,6681600.0
1990-04-10,22.5,23.0,21.5,22.0,120800.0,0.067658491680212,34790400.0
1990-04-11,22.0,22.25,21.75,22.0,86100.0,0.067658491680212,24796800.0
1990-04-12,22.25,22.25,21.75,22.25,45700.0,0.06842733817657799,13161600.0
1990-04-16,22.25,22.5,22.0,22.25,19500.0,0.06842733817657799,5616000.0
1990-04-17,22.0,22.5,21.75,22.5,22800.0,0.069196184672944,6566400.0
1990-04-18,22.5,23.0,22.25,22.75,85000.0,0.06996503116931,24480000.0
1990-04-19,22.5,23.0,22.5,23.0,87300.0,0.07073387766567599,25142400.0
1990-04-20,23.0,23.0,22.25,22.25,30400.0,0.06842733817657799,8755200.0
1990-04-23,22.25,22.75,22.0,22.5,18600.0,0.069196184672944,5356800.0
1990-04-24,23.0,23.0,22.75,22.88,35700.0,0.07036483134742,10281600.0
1990-04-25,23.0,23.25,23.0,23.0,23500.0,0.07073387766567599,6768000.0
1990-04-26,23.0,23.5,23.0,23.0,37200.0,0.07073387766567599,10713600.0
1990-04-27,23.0,23.25,22.75,22.75,14600.0,0.06996503116931,4204800.0
1990-04-30,23.25,24.25,23.0,23.75,119200.0,0.07304041715477401,34329600.0
1990-05-01,24.25,24.25,23.75,24.13,99900.0,0.07420906382925,28771200.0
1990-05-02,24.0,24.25,23.75,23.75,10900.0,0.07304041715477401,3139200.0
1990-05-03,24.25,24.5,24.0,24.5,25100.0,0.075346956643872,7228800.0
1990-05-04,24.25,24.75,24.25,24.75,19800.0,0.076115803140238,5702400.0
1990-05-07,24.75,25.5,24.75,25.0,47000.0,0.076884649636604,13536000.0
1990-05-08,25.5,25.5,24.75,25.25,50300.0,0.07765349613297,14486400.0
1990-05-09,25.25,25.25,24.5,24.75,33600.0,0.076115803140238,9676800.0
1990-05-10,25.0,25.0,24.5,24.5,9700.0,0.075346956643872,2793600.0
1990-05-11,25.5,25.75,24.5,24.75,103900.0,0.076115803140238,29923200.0
1990-05-14,25.25,25.25,24.75,24.75,52900.0,0.076115803140238,15235200.0
1990-05-15,25.25,25.25,24.75,24.87,83800.0,0.076484849458494,24134400.0
1990-05-16,25.25,25.25,24.5,24.75,65000.0,0.076115803140238,18720000.0
1990-05-17,25.0,25.0,24.75,25.0,22900.0,0.076884649636604,6595200.0
1990-05-18,24.75,25.0,24.25,24.5,157700.0,0.075346956643872,45417600.0
1990-05-21,24.25,25.0,24.25,24.5,14000.0,0.075346956643872,4032000.0
1990-05-22,24.5,24.75,24.5,24.5,79800.0,0.075346956643872,22982400.0
1990-05-23,24.5,24.75,24.25,24.25,137900.0,0.074578110147506,39715200.0
1990-05-24,24.75,24.75,24.25,24.75,28200.0,0.076115803140238,8121600.0
1990-05-25,24.0,24.5,23.75,24.0,13900.0,0.07380926365114,4003200.0
1990-05-29,24.0,24.5,23.5,23.75,71900.0,0.07304041715477401,20707200.0
1990-05-30,24.0,24.0,23.25,23.5,334300.0,0.072271570658408,96278400.0
1990-05-31,23.25,25.0,23.25,24.75,357600.0,0.076115803140238,102988800.0
1990-06-01,24.75,25.5,24.5,25.0,358100.0,0.076884649636604,103132800.0
1990-06-04,25.25,25.75,24.75,25.75,168400.0,0.079191189125702,48499200.0
1990-06-05,25.5,27.0,25.5,26.75,194900.0,0.082266575111166,56131200.0
1990-06-06,26.75,26.75,26.0,26.5,80700.0,0.08149772861480001,23241600.0
1990-06-07,26.75,26.75,25.5,25.75,63000.0,0.079191189125702,18144000.0
1990-06-08,26.0,26.0,25.0,25.25,22800.0,0.07765349613297,6566400.0
1990-06-11,24.5,25.25,24.5,25.13,12800.0,0.07728444981471401,3686400.0
1990-06-12,25.25,28.0,25.0,27.5,463200.0,0.08457311460026501,133401600.0
1990-06-13,28.0,28.0,27.75,27.75,180900.0,0.08534196109663099,52099200.0
1990-06-14,28.0,28.25,27.5,28.0,188800.0,0.08611080759299701,54374400.0
1990-06-15,27.5,28.0,27.5,27.5,22700.0,0.08457311460026501,6537600.0
1990-06-18,28.0,28.0,26.5,27.0,41400.0,0.083035421607532,11923200.0
1990-06-19,26.0,26.75,26.0,26.75,72400.0,0.082266575111166,20851200.0
1990-06-20,26.75,27.25,26.5,27.0,104600.0,0.083035421607532,30124800.0
1990-06-21,26.75,27.25,26.5,27.25,34500.0,0.083804268103899,9936000.0
1990-06-22,27.25,27.25,26.75,27.25,2800.0,0.083804268103899,806400.0
1990-06-25,27.25,27.25,26.75,26.88,12500.0,0.082666375289277,3600000.0
1990-06-26,26.75,27.0,26.0,26.5,16200.0,0.08149772861480001,4665600.0
1990-06-27,26.75,26.75,26.0,26.5,13200.0,0.08149772861480001,3801600.0
1990-06-28,26.0,26.5,25.0,26.25,533500.0,0.080728882118434,153648000.0
1990-06-29,26.25,26.5,26.0,26.5,167600.0,0.08149772861480001,48268800.0
1990-07-02,26.5,27.0,26.0,26.75,132400.0,0.082266575111166,38131200.0
1990-07-03,26.5,27.0,26.5,26.75,9900.0,0.082266575111166,2851200.0
1990-07-05,26.5,26.5,26.0,26.38,22600.0,0.081128682296545,6508800.0
1990-07-06,26.0,26.38,26.0,26.38,8600.0,0.081128682296545,2476800.0
1990-07-09,26.38,26.5,26.0,26.25,50800.0,0.080728882118434,14630400.0
1990-07-10,26.75,27.0,26.25,27.0,144200.0,0.083035421607532,41529600.0
1990-07-11,27.0,27.75,26.75,27.5,112900.0,0.08457311460026501,32515200.0
1990-07-12,27.75,28.75,27.5,28.75,57700.0,0.08841734708209499,16617600.0
1990-07-13,28.25,30.25,28.25,30.25,161900.0,0.093030426060291,46627200.0
1990-07-16,30.0,30.25,29.0,29.5,277700.0,0.090723886571193,79977600.0
