Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1972-06-01,64.22,64.37,63.5,64.25,23000.0,1.7519291536603,552000.0
1972-06-02,64.25,65.63,64.25,65.5,16500.0,1.7860133784396002,396000.0
1972-06-05,65.38,65.38,64.5,65.25,10100.0,1.7791965334838,242400.0
1972-06-06,65.25,65.5,64.5,64.63,18700.0,1.7622907579932,448800.0
1972-06-07,64.25,64.25,63.75,63.88,24100.0,1.7418402231256005,578400.0
1972-06-08,64.13,64.75,64.13,64.5,8700.0,1.7587459986161,208800.0
1972-06-09,64.37,64.37,64.0,64.13,900.0,1.7486570680813998,21600.0
1972-06-12,64.13,64.37,63.0,63.0,5200.0,1.7178449288809,124800.0
1972-06-13,62.25,62.25,60.5,62.25,11500.0,1.6973943940132,276000.0
1972-06-14,62.63,64.0,62.63,63.25,8800.0,1.7246617738367,211200.0
1972-06-15,63.25,64.75,63.13,63.5,10400.0,1.7314786187926,249600.0
1972-06-16,63.5,63.75,63.5,63.75,12900.0,1.7382954637485,309600.0
1972-06-19,63.75,63.88,63.5,63.75,2300.0,1.7382954637485,55200.0
1972-06-20,63.75,64.0,63.62,63.75,8000.0,1.7382954637485,192000.0
1972-06-21,63.75,63.88,63.25,63.25,9300.0,1.7246617738367,223200.0
1972-06-22,63.25,63.25,62.25,62.5,7300.0,1.7042112389691002,175200.0
1972-06-23,62.5,62.5,61.13,61.13,5900.0,1.6668549286109,141600.0
1972-06-26,60.25,60.25,58.75,59.5,21600.0,1.6224090994986,518400.0
1972-06-27,59.87,60.37,59.87,60.0,8300.0,1.6360427894103995,199200.0
1972-06-28,60.0,60.0,59.5,59.87,3900.0,1.6324980300333,93600.0
1972-06-29,59.5,59.5,58.87,59.25,7600.0,1.6155922545427,182400.0
1972-06-30,59.25,60.0,59.25,59.25,17100.0,1.6155922545427,410400.0
1972-07-03,59.25,59.25,58.75,59.25,5500.0,1.6155922545427,132000.0
1972-07-05,59.5,59.87,59.5,59.75,6100.0,1.6292259444545,146400.0
1972-07-06,60.0,60.5,60.0,60.25,40100.0,1.6428596343662,962400.0
1972-07-07,60.75,62.0,60.75,62.0,26900.0,1.6905775490574,645600.0
1972-07-10,62.0,62.0,61.75,61.75,24200.0,1.6837607041015,580800.0
1972-07-11,61.75,62.0,61.63,62.0,5500.0,1.6905775490574,132000.0
1972-07-12,62.0,62.12,61.75,62.0,16800.0,1.6905775490574,403200.0
1972-07-13,62.0,62.12,61.5,61.87,112000.0,1.6870327896803,2688000.0
1972-07-14,61.87,61.87,61.25,61.87,5300.0,1.6870327896803,127200.0
1972-07-17,61.87,62.0,61.5,62.0,5500.0,1.6905775490574,132000.0
1972-07-18,62.0,62.12,61.75,62.12,17800.0,1.6938496346362,427200.0
1972-07-19,62.12,62.63,62.0,62.5,4200.0,1.7042112389691002,100800.0
1972-07-20,62.5,62.63,62.12,62.12,15000.0,1.6938496346362,360000.0
1972-07-21,62.12,62.12,61.75,62.0,25500.0,1.6905775490574,612000.0
1972-07-24,62.0,62.0,61.5,61.5,7100.0,1.6769438591456003,170400.0
1972-07-25,61.5,62.0,61.25,61.25,5700.0,1.6701270141897,136800.0
1972-07-26,61.75,62.25,61.75,62.25,16200.0,1.6973943940132,388800.0
1972-07-27,62.25,62.25,61.0,61.25,10400.0,1.6701270141897,249600.0
1972-07-28,61.25,61.25,60.75,60.75,10200.0,1.656493324278,244800.0
1972-07-31,60.75,60.88,60.5,60.62,10400.0,1.6529485649009,249600.0
1972-08-01,60.62,60.62,60.0,60.25,18000.0,1.6428596343662,432000.0
1972-08-02,60.25,60.5,59.87,60.25,8200.0,1.6428596343662,196800.0
1972-08-03,60.25,60.75,60.0,60.75,24700.0,1.656493324278,592800.0
1972-08-04,60.75,61.37,60.37,61.13,19700.0,1.6668549286109,472800.0
1972-08-07,61.13,63.0,60.75,63.0,38500.0,1.7178449288809,924000.0
1972-08-08,63.0,64.0,63.0,64.0,35800.0,1.7451123087043998,859200.0
1972-08-09,64.0,64.37,63.75,64.37,38200.0,1.7552012392391003,916800.0
1972-08-10,64.5,65.38,64.5,65.38,13700.0,1.7827412928608,328800.0
1972-08-11,65.5,68.25,65.5,67.5,48200.0,1.8405481380866,1156800.0
1972-08-14,67.5,68.75,66.75,68.5,173900.0,1.8678155179102,4173600.0
1972-08-15,68.75,70.25,68.75,69.88,70600.0,1.9054445020666,1694400.0
1972-08-16,69.75,69.75,68.0,69.5,74700.0,1.8950828977337,1792800.0
1972-08-17,70.75,73.0,70.75,72.37,90600.0,1.9733402778271,2174400.0
1972-08-18,72.37,74.0,72.37,74.0,2212.5,2.0177861069394,53100.0
1972-08-21,74.0,75.37,73.25,74.25,70100.0,2.0246029518953,1682400.0
1972-08-22,74.75,77.0,74.75,77.0,81700.0,2.09958824641,1960800.0
1972-08-23,77.0,77.5,76.25,77.5,58800.0,2.1132219363217,1411200.0
1972-08-24,77.5,77.75,76.5,77.12,54300.0,2.1028603319888,1303200.0
1972-08-25,77.12,77.5,75.75,77.12,56400.0,2.1035193845591,1353600.0
1972-08-28,77.12,77.87,75.25,75.88,44100.0,2.0696972367783,1058400.0
1972-08-29,75.88,75.88,74.75,75.25,27900.0,2.0525134036317,669600.0
1972-08-30,75.25,77.5,75.13,77.25,42600.0,2.1070652548910003,1022400.0
1972-08-31,77.25,78.5,77.12,78.25,35700.0,2.1343411805206003,856800.0
1972-09-01,78.25,78.75,78.25,78.25,12200.0,2.1343411805206003,292800.0
1972-09-05,78.13,78.13,77.25,77.87,16000.0,2.1239763287814,384000.0
1972-09-06,77.87,77.87,77.25,77.87,21300.0,2.1239763287814,511200.0
1972-09-07,77.87,78.25,77.63,77.63,18000.0,2.1174301066302,432000.0
1972-09-08,77.75,78.0,77.75,78.0,11900.0,2.1275221991132,285600.0
1972-09-11,78.0,78.0,77.38,77.38,10700.0,2.1106111252228,256800.0
1972-09-12,77.25,77.25,73.5,74.25,31900.0,2.025237478002,765600.0
1972-09-13,74.25,74.87,74.0,74.87,32100.0,2.0421485518924,770400.0
1972-09-14,75.0,75.5,75.0,75.37,13100.0,2.0557865147072,314400.0
1972-09-15,75.37,75.37,74.75,74.87,11800.0,2.0421485518924,283200.0
1972-09-18,74.75,74.75,74.0,74.0,16200.0,2.0184184965946,388800.0
1972-09-19,74.12,74.75,74.12,74.5,16100.0,2.0320564594094,386400.0
1972-09-20,74.5,74.75,74.38,74.5,10700.0,2.0320564594094,256800.0
1972-09-21,74.38,74.38,73.87,73.87,15700.0,2.0148726262627,376800.0
1972-09-22,37.25,37.25,35.0,36.0,26900.0,1.9638666453353,322800.0
1972-09-25,36.0,36.75,36.0,36.25,34000.0,1.9775046081501,408000.0
1972-09-26,36.88,37.63,36.88,37.5,51800.0,2.0456944222242,621600.0
1972-09-27,37.5,39.0,37.25,39.0,91700.0,2.1275221991132,1100400.0
1972-09-28,39.0,40.0,39.0,40.0,51700.0,2.1820740503725,620400.0
1972-09-29,40.37,42.0,40.37,40.63,117500.0,2.2164417166659,1410000.0
1972-10-02,40.63,40.63,39.13,39.5,64200.0,2.1547981247429,770400.0
1972-10-03,39.5,40.0,39.5,40.0,38400.0,2.1820740503725,460800.0
1972-10-04,40.0,41.12,39.88,40.37,66400.0,2.2022582353385003,796800.0
1972-10-05,40.37,40.5,38.62,39.25,83300.0,2.141160161928,999600.0
1972-10-06,39.25,39.88,38.5,39.62,62100.0,2.161344346894,745200.0
1972-10-09,40.0,40.75,40.0,40.5,38400.0,2.2093499760022004,460800.0
1972-10-10,40.5,41.0,40.5,40.75,23700.0,2.222987938817,284400.0
1972-10-11,40.75,40.88,40.37,40.37,28400.0,2.2022582353385003,340800.0
1972-10-12,40.37,40.5,40.0,40.25,46300.0,2.1957120131873,555600.0
1972-10-13,40.0,40.0,39.25,39.75,15600.0,2.1684360875577,187200.0
1972-10-16,39.75,39.75,39.13,39.25,22400.0,2.141160161928,268800.0
1972-10-17,39.25,40.0,38.75,39.75,17400.0,2.1684360875577,208800.0
1972-10-18,39.75,40.0,39.25,39.25,23800.0,2.141160161928,285600.0
1972-10-19,39.25,39.5,38.75,38.75,44900.0,2.1138842362984,538800.0
1972-10-20,38.75,40.0,38.12,39.75,56900.0,2.1684360875577,682800.0
1972-10-23,40.0,40.63,40.0,40.37,62000.0,2.2022582353385003,744000.0
1972-10-24,40.37,40.37,39.88,40.0,35700.0,2.1820740503725,428400.0
1972-10-25,40.12,40.5,40.12,40.5,47900.0,2.2093499760022004,574800.0
1972-10-26,40.5,40.88,39.88,40.0,70500.0,2.1820740503725,846000.0
1972-10-27,39.88,39.88,35.87,37.88,278400.0,2.0664241257028,3340800.0
1972-10-30,38.12,39.25,38.12,39.0,57900.0,2.1275221991132,694800.0
1972-10-31,39.5,41.25,39.5,41.25,74100.0,2.2502638644467003,889200.0
1972-11-01,41.5,42.25,41.5,42.0,135600.0,2.2911777528911,1627200.0
1972-11-02,42.0,44.0,42.0,43.75,83200.0,2.3866434925949,998400.0
1972-11-03,43.75,44.38,42.75,43.25,135600.0,2.3593675669653,1627200.0
1972-11-06,43.25,44.25,42.5,43.88,75700.0,2.3937352332587,908400.0
1972-11-08,43.88,44.5,42.75,43.75,99900.0,2.3866434925949,1198800.0
1972-11-09,43.75,45.0,43.5,44.87,114400.0,2.4477415660054,1372800.0
1972-11-10,44.87,45.5,44.12,44.25,174100.0,2.4139194182246,2089200.0
1972-11-13,44.25,44.25,43.5,43.88,54200.0,2.3937352332587,650400.0
1972-11-14,43.88,44.12,43.75,44.12,108900.0,2.4068276775609,1306800.0
1972-11-15,44.12,44.25,43.63,43.88,82400.0,2.3937352332587,988800.0
1972-11-16,43.88,44.0,43.0,43.88,84800.0,2.3937352332587,1017600.0
1972-11-17,43.88,45.0,43.63,45.0,56900.0,2.4548333066691,682800.0
1972-11-20,45.0,45.5,44.75,45.5,55600.0,2.4821092322987,667200.0
1972-11-21,45.75,47.0,45.75,47.0,113200.0,2.5639370091877,1358400.0
1972-11-22,47.0,47.5,46.5,46.75,114600.0,2.5502990463729,1375200.0
1972-11-24,46.37,46.37,45.13,45.88,57300.0,2.5028389357773,687600.0
1972-11-27,45.88,46.37,45.25,45.62,44800.0,2.4898828711032004,537600.0
1972-11-28,45.62,46.63,45.62,46.63,81800.0,2.5450074151587,981600.0
1972-11-29,46.75,47.25,46.75,47.0,95400.0,2.5652015550603,1144800.0
1972-11-30,47.12,47.62,47.12,47.5,33300.0,2.5924909333056,399600.0
1972-12-01,47.5,48.0,47.0,47.62,52200.0,2.5990403840845,626400.0
1972-12-04,47.62,47.75,46.37,47.12,53100.0,2.5717510058392,637200.0
1972-12-05,47.12,47.12,46.25,46.37,42000.0,2.5308169384712,504000.0
1972-12-06,46.37,46.63,45.62,46.63,36700.0,2.5450074151587,440400.0
1972-12-07,46.63,46.88,46.0,46.5,37100.0,2.537912176815,445200.0
1972-12-08,46.37,46.37,44.87,45.38,38500.0,2.4767839695454,462000.0
1972-12-11,45.5,46.0,45.5,45.62,61500.0,2.4898828711032004,738000.0
1972-12-12,45.88,46.75,45.88,46.12,42900.0,2.5171722493485,514800.0
1972-12-13,46.12,46.12,45.62,45.88,17300.0,2.5040733477908,207600.0
1972-12-14,45.88,46.0,45.13,45.75,25800.0,2.496978109447,309600.0
1972-12-15,45.75,46.0,45.13,45.75,26900.0,2.496978109447,322800.0
1972-12-18,45.5,45.5,43.75,45.0,34400.0,2.456044042079,412800.0
1972-12-19,45.0,46.5,44.5,46.25,110900.0,2.5242674876923,1330800.0
1972-12-20,46.25,46.88,46.12,46.75,97200.0,2.5515568659376,1166400.0
1972-12-21,46.63,46.63,45.25,45.88,90200.0,2.5040733477908,1082400.0
1972-12-22,45.88,46.0,44.5,45.0,96700.0,2.456044042079,1160400.0
1972-12-26,45.0,45.0,44.38,44.75,15500.0,2.4423993529563,186000.0
1972-12-27,44.75,45.0,44.38,44.5,21600.0,2.4287546638337,259200.0
1972-12-29,44.62,45.75,44.62,45.75,55200.0,2.496978109447,662400.0
1973-01-02,45.75,45.88,44.75,44.75,58700.0,2.4423993529563,704400.0
1973-01-03,44.75,45.0,44.5,44.75,74400.0,2.4423993529563,892800.0
1973-01-04,44.75,44.87,44.25,44.75,80600.0,2.4423993529563,967200.0
1973-01-05,44.75,44.75,42.5,44.12,46700.0,2.4080147363672,560400.0
1973-01-08,44.0,44.0,42.75,43.37,41000.0,2.3670806689992,492000.0
1973-01-09,43.5,45.38,43.5,45.38,45800.0,2.4767839695454,549600.0
1973-01-10,45.38,46.63,45.13,45.38,114500.0,2.4767839695454,1374000.0
1973-01-11,45.38,45.5,44.75,44.75,82100.0,2.4423993529563,985200.0
1973-01-12,44.75,45.38,44.38,44.38,54800.0,2.4222052130547995,657600.0
1973-01-15,44.38,45.0,42.5,43.25,105100.0,2.3605312182204,1261200.0
1973-01-16,43.25,43.5,41.62,42.5,83700.0,2.3195971508524,1004400.0
1973-01-17,42.5,43.0,41.75,42.5,32800.0,2.3195971508524,393600.0
1973-01-18,42.5,42.75,42.0,42.38,79100.0,2.3130477000735,949200.0
1973-01-19,42.38,42.5,40.37,41.87,40100.0,2.2852125342633,481200.0
1973-01-22,41.87,42.38,41.25,41.62,183600.0,2.2715678451406003,2203200.0
