,Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
0,1996-12-26,15.62,15.75,15.25,15.25,5500.0,3.3670163525724,22000.0
1,1996-12-27,15.25,15.25,15.25,15.25,200.0,3.3670163525724,800.0
2,1996-12-30,15.38,15.38,15.12,15.12,7100.0,3.3383139180915,28400.0
3,1996-12-31,15.0,15.12,15.0,15.12,3900.0,3.3383139180915,15600.0
4,1997-01-02,15.0,15.0,14.62,14.62,177500.0,3.2279199393186,710000.0
5,1997-01-03,14.62,15.12,14.62,15.0,394900.0,3.311819363186,1579600.0
6,1997-01-06,15.12,15.25,15.0,15.12,622700.0,3.3383139180915,2490800.0
7,1997-01-07,15.25,16.0,15.12,16.0,160300.0,3.5326073207317,641200.0
8,1997-01-08,16.25,16.75,16.12,16.12,84000.0,3.5591018756372006,336000.0
9,1997-01-09,16.12,16.38,16.12,16.25,114800.0,3.5878043101182,459200.0
10,1997-01-10,16.38,16.5,16.25,16.38,203200.0,3.616506744599101,812800.0
11,1997-01-13,16.38,16.38,16.0,16.25,842500.0,3.5878043101182,3370000.0
12,1997-01-14,16.88,17.75,16.75,17.75,504500.0,3.9189862464368,2018000.0
13,1997-01-15,17.25,17.38,16.38,16.38,662100.0,3.616506744599101,2648400.0
14,1997-01-16,16.0,16.25,15.88,16.0,731500.0,3.5326073207317,2926000.0
15,1997-01-17,16.0,16.25,15.88,16.12,330900.0,3.5591018756372006,1323600.0
16,1997-01-20,16.0,16.12,15.88,15.88,592100.0,3.5061127658262,2368400.0
17,1997-01-21,16.0,16.12,16.0,16.0,586800.0,3.5326073207317,2347200.0
18,1997-01-22,16.12,16.12,16.0,16.0,699400.0,3.5326073207317,2797600.0
19,1997-01-23,16.25,16.62,16.25,16.38,264700.0,3.616506744599101,1058800.0
20,1997-01-24,16.38,17.12,16.12,16.12,313700.0,3.5591018756372006,1254800.0
21,1997-01-27,16.12,16.38,16.12,16.12,414500.0,3.5591018756372006,1658000.0
22,1997-01-28,16.12,16.75,16.0,16.0,251400.0,3.5326073207317,1005600.0
23,1997-01-29,16.0,16.38,15.88,16.0,378000.0,3.5326073207317,1512000.0
24,1997-01-30,16.0,16.25,15.88,16.0,552800.0,3.5326073207317,2211200.0
25,1997-01-31,15.75,16.0,15.62,15.75,385100.0,3.4774103313453,1540400.0
26,1997-02-03,15.75,16.25,15.62,16.25,472400.0,3.5878043101182,1889600.0
27,1997-02-04,16.25,16.5,16.12,16.5,466400.0,3.6430012995046,1865600.0
