Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1987-09-09,,,,,0.0,,0.0
1987-11-05,8.25,8.5,8.0,8.38,20200.0,0.51046128950104,323200.0
1987-11-06,7.75,8.62,7.75,8.5,45400.0,0.51777099770392,726400.0
1987-11-09,7.88,8.5,7.88,8.0,26400.0,0.48731388019192,422400.0
1987-11-10,7.75,8.25,7.5,7.62,35400.0,0.46416647088281,566400.0
1987-11-11,7.75,8.0,7.75,7.75,26200.0,0.47208532143592,419200.0
1987-11-12,8.12,8.12,7.88,7.88,37700.0,0.48000417198904,603200.0
1987-11-13,8.0,8.12,7.88,8.0,31300.0,0.48731388019192,500800.0
1987-11-16,7.88,8.0,7.62,7.75,24500.0,0.47208532143592,392000.0
1987-11-17,7.5,7.5,7.0,7.25,39000.0,0.44162820392393,624000.0
1987-11-18,7.25,7.5,7.25,7.5,16400.0,0.45685676267993,262400.0
1987-11-19,7.62,7.62,7.38,7.38,12800.0,0.44954705447705,204800.0
1987-11-20,7.25,7.38,7.25,7.25,10800.0,0.44162820392393,172800.0
1987-11-23,7.38,7.62,7.25,7.38,34900.0,0.44954705447705,558400.0
1987-11-24,7.62,8.12,7.12,7.88,130500.0,0.48000417198904,2088000.0
1987-11-25,8.0,8.0,7.75,7.88,36000.0,0.48000417198904,576000.0
1987-11-27,8.0,8.12,8.0,8.12,8100.0,0.4946235883948,129600.0
1987-11-30,7.88,7.88,7.25,7.5,44800.0,0.45685676267993,716800.0
1987-12-01,7.62,7.62,7.38,7.38,14200.0,0.44954705447705,227200.0
1987-12-02,7.38,7.38,7.0,7.25,14400.0,0.44162820392393,230400.0
1987-12-03,7.12,7.25,7.0,7.0,52100.0,0.42639964516793,833600.0
1987-12-04,7.0,7.0,6.5,6.5,23500.0,0.39594252765594,376000.0
1987-12-07,6.62,6.75,6.5,6.62,22800.0,0.4032522358588101,364800.0
1987-12-08,6.75,7.25,6.62,7.12,45700.0,0.43370935337081,731200.0
1987-12-09,7.25,7.75,7.12,7.75,40800.0,0.47208532143592,652800.0
1987-12-10,7.25,7.88,7.25,7.5,191200.0,0.45685676267993,3059200.0
1987-12-11,7.62,7.75,7.0,7.12,232600.0,0.43370935337081,3721600.0
1987-12-14,7.62,8.0,7.62,7.88,58700.0,0.48000417198904,939200.0
1987-12-15,7.88,8.75,7.88,8.75,56800.0,0.5329995564599099,908800.0
1987-12-16,8.88,9.12,8.75,8.75,73600.0,0.5329995564599099,1177600.0
1987-12-17,8.75,9.12,8.75,8.75,54900.0,0.5329995564599099,878400.0
1987-12-18,8.88,9.12,8.88,9.0,31400.0,0.54822811521591,502400.0
1987-12-21,9.0,9.12,8.75,8.88,19700.0,0.5409184070130301,315200.0
1987-12-22,8.75,9.0,8.75,8.88,20300.0,0.5409184070130301,324800.0
1987-12-23,8.75,9.75,8.75,9.25,34000.0,0.56345667397191,544000.0
1987-12-24,9.38,9.38,9.0,9.25,14900.0,0.56345667397191,238400.0
1987-12-28,9.12,9.12,8.5,8.62,24400.0,0.5250807059068,390400.0
1987-12-29,8.5,8.62,8.38,8.62,15400.0,0.5250807059068,246400.0
1987-12-30,8.5,8.62,8.38,8.38,19900.0,0.51046128950104,318400.0
1987-12-31,8.25,8.75,8.25,8.5,14400.0,0.51777099770392,230400.0
1988-01-04,8.5,9.0,8.5,9.0,27100.0,0.54822811521591,433600.0
1988-01-05,9.0,9.38,8.75,8.75,32300.0,0.5329995564599099,516800.0
1988-01-06,8.5,8.88,8.5,8.62,18700.0,0.5250807059068,299200.0
1988-01-07,8.5,8.5,8.25,8.5,27100.0,0.51777099770392,433600.0
1988-01-08,8.5,8.5,7.5,7.5,23700.0,0.45685676267993,379200.0
1988-01-11,7.62,7.88,7.62,7.88,37600.0,0.48000417198904,601600.0
1988-01-12,7.75,8.12,7.75,8.0,25600.0,0.48731388019192,409600.0
1988-01-13,8.0,8.0,7.75,7.88,6700.0,0.48000417198904,107200.0
1988-01-14,8.0,8.0,7.75,7.88,303700.0,0.48000417198904,4859200.0
1988-01-15,8.0,8.5,8.0,8.25,200800.0,0.50254243894792,3212800.0
1988-01-18,8.25,9.0,8.25,8.75,30400.0,0.5329995564599099,486400.0
1988-01-19,8.62,8.75,8.38,8.75,33700.0,0.5329995564599099,539200.0
1988-01-20,8.62,8.75,8.38,8.75,61100.0,0.5329995564599099,977600.0
1988-01-21,8.75,9.0,8.62,9.0,107200.0,0.54822811521591,1715200.0
1988-01-22,9.12,9.75,9.12,9.38,51400.0,0.57137552452503,822400.0
1988-01-25,9.38,9.5,9.25,9.5,25200.0,0.5786852327279101,403200.0
1988-01-26,9.5,9.62,9.0,9.25,16300.0,0.56345667397191,260800.0
1988-01-27,9.25,9.25,9.12,9.12,3300.0,0.55553782341879,52800.0
1988-01-28,9.25,9.38,8.88,8.88,85700.0,0.5409184070130301,1371200.0
1988-01-29,9.25,9.5,9.25,9.5,27100.0,0.5786852327279101,433600.0
1988-02-01,9.5,9.88,9.5,9.75,44800.0,0.5939137914839,716800.0
1988-02-02,9.62,9.75,9.5,9.5,17900.0,0.5786852327279101,286400.0
1988-02-03,9.62,9.62,9.0,9.0,21600.0,0.54822811521591,345600.0
1988-02-04,9.0,9.0,9.0,9.0,2700.0,0.54822811521591,43200.0
1988-02-05,9.25,9.25,9.12,9.12,17500.0,0.55553782341879,280000.0
1988-02-08,9.25,9.25,8.62,8.62,15200.0,0.5250807059068,243200.0
1988-02-09,8.62,8.75,8.5,8.5,6000.0,0.51777099770392,96000.0
1988-02-10,8.75,9.5,8.75,9.5,23200.0,0.5786852327279101,371200.0
1988-02-11,9.38,9.5,9.12,9.25,20800.0,0.56345667397191,332800.0
1988-02-12,9.38,9.5,9.12,9.5,107700.0,0.5786852327279101,1723200.0
1988-02-16,9.5,9.5,9.12,9.5,24700.0,0.5786852327279101,395200.0
1988-02-17,9.62,9.88,9.5,9.88,79600.0,0.60183264203702,1273600.0
1988-02-18,9.75,10.62,9.75,10.62,77000.0,0.64690917595478,1232000.0
1988-02-19,10.25,10.25,10.0,10.0,22000.0,0.6091423502399,352000.0
1988-02-22,10.12,10.38,10.12,10.38,11500.0,0.63228975954902,184000.0
1988-02-23,10.25,10.25,10.0,10.0,45800.0,0.6091423502399,732800.0
1988-02-24,10.12,10.62,10.12,10.5,24500.0,0.6395994677519,392000.0
1988-02-25,10.5,10.75,10.5,10.5,22500.0,0.6395994677519,360000.0
1988-02-26,10.38,10.5,10.38,10.5,400.0,0.6395994677519,6400.0
1988-02-29,10.62,11.0,10.62,10.88,40800.0,0.66274687706101,652800.0
1988-03-01,11.0,11.0,10.75,10.88,43000.0,0.66274687706101,688000.0
1988-03-02,10.88,10.88,10.75,10.88,7900.0,0.66274687706101,126400.0
1988-03-03,10.62,10.88,10.5,10.75,19300.0,0.65482802650789,308800.0
1988-03-04,10.75,10.75,10.5,10.75,39400.0,0.65482802650789,630400.0
1988-03-07,10.88,10.88,10.38,10.5,35800.0,0.6395994677519,572800.0
1988-03-08,10.62,10.88,10.5,10.88,64900.0,0.66274687706101,1038400.0
1988-03-09,10.88,11.25,10.62,11.25,68100.0,0.6852851440198899,1089600.0
1988-03-10,11.0,11.5,11.0,11.0,104500.0,0.67005658526389,1672000.0
1988-03-11,11.0,11.12,10.75,11.0,25800.0,0.67005658526389,412800.0
1988-03-14,11.0,11.12,11.0,11.12,12900.0,0.67736629346677,206400.0
1988-03-15,11.25,11.75,11.12,11.75,26500.0,0.71574226153188,424000.0
1988-03-16,11.75,11.88,11.75,11.88,47200.0,0.723661112085,755200.0
1988-03-17,11.88,12.25,11.88,12.12,134600.0,0.73828052849076,2153600.0
1988-03-18,12.0,12.12,11.75,11.75,51900.0,0.71574226153188,830400.0
