Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
2008-09-18,12.8,18.5,12.8,16.0,5801300.0,16.0,5801300.0
2008-09-19,15.25,20.0,15.25,16.7,763900.0,16.7,763900.0
2008-09-22,16.88,17.04,15.6,16.87,1712200.0,16.87,1712200.0
2008-09-23,16.51,17.41,16.0,16.62,912900.0,16.62,912900.0
2008-09-24,16.22,17.0,15.16,15.85,745600.0,15.85,745600.0
2008-09-25,15.81,16.95,15.11,16.07,1389000.0,16.07,1389000.0
2008-09-26,15.5,16.0,15.32,15.5,666000.0,15.5,666000.0
2008-09-29,15.03,15.35,13.09,14.62,1796600.0,14.62,1796600.0
2008-09-30,13.7,14.49,13.52,14.16,1536700.0,14.16,1536700.0
2008-10-01,13.16,14.32,13.16,14.31,1279700.0,14.31,1279700.0
2008-10-02,14.13,14.3,13.01,13.4,1228000.0,13.4,1228000.0
2008-10-03,13.33,13.64,12.55,12.99,1541900.0,12.99,1541900.0
2008-10-06,12.37,12.94,11.56,12.47,1137400.0,12.47,1137400.0
2008-10-07,12.75,13.21,11.36,11.8,1429200.0,11.8,1429200.0
2008-10-08,8.78,11.75,8.78,11.21,1401200.0,11.21,1401200.0
2008-10-09,11.49,12.0,10.4,10.88,880700.0,10.88,880700.0
2008-10-10,9.01,11.13,8.5,10.44,1011200.0,10.44,1011200.0
2008-10-13,10.05,12.42,10.05,12.24,615500.0,12.24,615500.0
2008-10-14,10.34,13.16,10.14,13.1,1230600.0,13.1,1230600.0
2008-10-15,13.49,13.62,11.77,12.27,660100.0,12.27,660100.0
2008-10-16,12.5,13.51,10.11,11.89,1251500.0,11.89,1251500.0
2008-10-17,11.76,13.6,10.98,12.4,638000.0,12.4,638000.0
2008-10-20,12.35,12.82,12.14,12.74,567100.0,12.74,567100.0
2008-10-21,12.34,13.09,12.13,12.56,781900.0,12.56,781900.0
2008-10-22,12.05,12.51,11.5,11.8,960200.0,11.8,960200.0
2008-10-23,11.92,12.13,10.38,11.38,934000.0,11.38,934000.0
2008-10-24,10.03,10.36,9.25,9.79,895300.0,9.79,895300.0
2008-10-27,9.76,10.55,9.57,10.0,947000.0,10.0,947000.0
2008-10-28,10.38,10.62,9.7,10.55,419600.0,10.55,419600.0
2008-10-29,10.39,11.97,9.52,11.62,873600.0,11.62,873600.0
2008-10-30,11.96,12.6,11.6,12.59,559800.0,12.59,559800.0
2008-10-31,12.45,13.55,12.45,13.32,717100.0,13.32,717100.0
2008-11-03,13.07,13.32,12.86,13.05,1424100.0,13.05,1424100.0
2008-11-04,13.54,13.88,13.26,13.58,864300.0,13.58,864300.0
2008-11-05,13.88,13.88,13.02,13.26,607900.0,13.26,607900.0
2008-11-06,12.88,13.7,11.35,11.35,448500.0,11.35,448500.0
2008-11-07,11.19,13.58,11.19,13.51,1627800.0,13.51,1627800.0
2008-11-10,13.5,14.24,13.28,13.35,333100.0,13.35,333100.0
2008-11-11,13.08,13.64,12.22,13.14,355700.0,13.14,355700.0
2008-11-12,12.99,13.07,11.46,11.86,401000.0,11.86,401000.0
2008-11-13,12.03,12.99,11.42,12.99,551500.0,12.99,551500.0
2008-11-14,12.82,13.92,12.5,13.46,345500.0,13.46,345500.0
2008-11-17,13.4,13.76,12.56,12.58,273000.0,12.58,273000.0
2008-11-18,12.26,12.81,11.36,11.86,444500.0,11.86,444500.0
2008-11-19,11.71,12.5,11.57,11.75,636700.0,11.75,636700.0
2008-11-20,11.68,12.65,11.44,11.96,1316500.0,11.96,1316500.0
2008-11-21,12.12,12.4,10.87,12.33,941700.0,12.33,941700.0
2008-11-24,12.47,13.27,12.47,13.17,437000.0,13.17,437000.0
2008-11-25,13.43,13.43,12.37,12.72,792900.0,12.72,792900.0
2008-11-26,12.44,13.64,12.37,13.34,370200.0,13.34,370200.0
2008-11-28,13.4,15.25,13.37,15.13,391900.0,15.13,391900.0
2008-12-01,13.19,14.74,13.14,13.17,690200.0,13.17,690200.0
2008-12-02,13.28,13.65,12.97,13.1,543000.0,13.1,543000.0
2008-12-03,12.66,13.5,12.66,13.5,439800.0,13.5,439800.0
2008-12-04,13.15,13.43,12.05,12.39,750000.0,12.39,750000.0
2008-12-05,12.54,13.29,11.83,13.29,684000.0,13.29,684000.0
2008-12-08,13.52,14.36,13.45,14.22,1057000.0,14.22,1057000.0
2008-12-09,14.46,14.46,12.43,13.12,1768900.0,13.12,1768900.0
2008-12-10,13.12,13.64,12.62,12.93,1996400.0,12.93,1996400.0
2008-12-11,12.68,13.48,11.72,12.01,2730400.0,12.01,2730400.0
2008-12-12,11.79,12.65,11.77,12.51,1063500.0,12.51,1063500.0
2008-12-15,12.49,12.94,12.16,12.18,511700.0,12.18,511700.0
2008-12-16,12.18,12.56,11.83,12.44,861800.0,12.44,861800.0
2008-12-17,12.14,12.68,11.99,12.51,1951100.0,12.51,1951100.0
2008-12-18,13.29,13.46,12.5,13.38,680000.0,13.38,680000.0
2008-12-19,13.32,13.91,12.52,13.84,1021800.0,13.84,1021800.0
2008-12-22,13.99,13.99,12.78,13.22,308900.0,13.22,308900.0
2008-12-23,13.71,13.71,12.88,13.16,281700.0,13.16,281700.0
2008-12-24,13.07,13.22,13.04,13.09,69200.0,13.09,69200.0
2008-12-26,13.04,13.38,12.9,13.13,201800.0,13.13,201800.0
2008-12-29,13.28,13.34,12.76,13.14,342500.0,13.14,342500.0
2008-12-30,13.09,13.35,12.57,13.29,276700.0,13.29,276700.0
2008-12-31,13.4,13.46,12.85,13.39,291600.0,13.39,291600.0
2009-01-02,13.27,13.79,13.27,13.78,497100.0,13.78,497100.0
2009-01-05,13.69,14.18,13.67,14.08,299200.0,14.08,299200.0
2009-01-06,14.35,14.52,13.64,14.45,352500.0,14.45,352500.0
2009-01-07,14.06,14.14,13.7,13.8,216500.0,13.8,216500.0
2009-01-08,13.89,14.24,13.42,14.24,732400.0,14.24,732400.0
2009-01-09,14.11,14.51,13.8,14.41,484600.0,14.41,484600.0
2009-01-12,14.43,14.43,14.08,14.38,622700.0,14.38,622700.0
2009-01-13,14.73,14.93,14.44,14.79,418900.0,14.79,418900.0
