Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
2008-05-07,25.2,25.8,24.8,25.5,38943400.0,21.493932074201002,38943400.0
2008-05-08,25.58,25.83,24.74,25.4,12468400.0,21.409642144498,12468400.0
2008-05-09,25.1,25.4,24.94,25.24,9747000.0,21.274778256974002,9747000.0
2008-05-12,25.11,26.85,25.1,25.57,7921800.0,21.552935024993,7921800.0
2008-05-13,25.38,25.92,25.2,25.9,4518800.0,21.831091793012,4518800.0
2008-05-14,25.5,26.31,24.6,26.17,4295600.0,22.058674603209,4295600.0
2008-05-15,25.75,26.41,25.58,26.03,3969300.0,21.940668701626,3969300.0
2008-05-16,25.86,26.75,25.67,26.5,11418200.0,22.336831371229,11418200.0
2008-05-19,26.15,26.45,25.97,26.07,5645100.0,21.974384673507,5645100.0
2008-05-20,25.7,25.94,25.0,25.55,8338100.0,21.536077039052,8338100.0
2008-05-21,25.37,25.78,25.26,25.51,1729100.0,21.502361067171,1729100.0
2008-05-22,25.14,26.13,25.12,25.72,7980000.0,21.679369919547,7980000.0
2008-05-23,25.52,25.72,25.26,25.42,2421100.0,21.426500130439,2421100.0
2008-05-27,25.36,25.53,25.12,25.38,1899300.0,21.392784158557998,1899300.0
2008-05-28,25.22,25.47,25.05,25.21,5346300.0,21.249491278063,5346300.0
2008-05-29,25.01,25.14,24.85,24.95,6850900.0,21.030337460836,6850900.0
2008-05-30,24.82,25.47,24.77,25.18,5456400.0,21.224204299152,5456400.0
2008-06-02,24.97,25.07,24.11,24.12,2692600.0,20.330731044303,2692600.0
2008-06-03,23.8,24.25,23.59,24.2,4636400.0,20.398162988065,4636400.0
2008-06-04,23.95,24.19,23.88,23.9,2871200.0,20.145293198957,2871200.0
2008-06-05,24.8,26.38,24.7,25.56,10802100.0,21.544506032023,10802100.0
2008-06-06,25.12,25.37,24.93,24.98,4040900.0,21.055624439747,4040900.0
2008-06-09,24.8,25.3,24.69,24.97,2018400.0,21.047195446775998,2018400.0
2008-06-10,24.88,25.1,24.85,24.93,3237600.0,21.013479474895,3237600.0
2008-06-11,24.98,24.98,24.06,24.33,2352300.0,20.507739896679002,2352300.0
2008-06-12,24.77,24.85,24.0,24.18,1885800.0,20.381305002125,1885800.0
2008-06-13,24.15,24.73,24.03,24.67,2718300.0,20.794325657668,2718300.0
2008-06-16,24.73,24.77,23.5,23.71,2799100.0,19.985142332522,2799100.0
2008-06-17,23.72,23.74,23.22,23.46,3945100.0,19.774417508265,3945100.0
2008-06-18,23.1,24.0,23.06,23.79,1883200.0,20.052574276284002,1883200.0
2008-06-19,23.85,24.01,23.4,23.89,2262100.0,20.136864205987,2262100.0
2008-06-20,23.35,24.0,23.32,24.0,2339500.0,20.229583128660003,2339500.0
2008-06-23,24.0,24.0,23.56,23.6,1562800.0,19.892423409849,1562800.0
2008-06-24,23.25,23.25,22.2,22.54,4845600.0,18.998950155,4845600.0
2008-06-25,22.33,22.88,22.29,22.54,2268100.0,18.998950155,2268100.0
2008-06-26,22.15,22.56,22.07,22.17,2938500.0,18.687077415099,2938500.0
2008-06-27,22.02,22.08,21.52,21.6,3329000.0,18.206624815794,3329000.0
2008-06-30,21.58,21.58,20.62,20.98,3048100.0,17.684027251637,3048100.0
2008-07-01,20.8,20.84,20.03,20.6,3516700.0,17.363725518766,3516700.0
2008-07-02,20.91,21.49,20.79,21.34,1593500.0,17.987470998566998,1593500.0
2008-07-03,21.21,21.34,20.54,20.94,1530400.0,17.650311279756,1530400.0
2008-07-07,21.05,21.57,20.94,21.32,1491700.0,17.970613012626,1491700.0
2008-07-08,21.15,21.91,21.13,21.5,3116200.0,18.122334886091,3116200.0
2008-07-09,21.59,21.78,21.51,21.65,1155500.0,18.248769780645002,1155500.0
2008-07-10,21.97,22.02,21.46,21.85,1238400.0,18.417349640051,1238400.0
2008-07-11,21.42,21.97,21.23,21.64,1310900.0,18.240340787675,1310900.0
2008-07-14,21.9,22.14,21.4,21.79,1323800.0,18.366775682228997,1323800.0
2008-07-15,21.6,21.73,20.46,21.0,1486900.0,17.700885237577,1486900.0
2008-07-16,20.86,21.08,20.75,21.03,1055600.0,17.726172216488,1055600.0
2008-07-17,20.87,20.91,19.37,20.4,3484300.0,17.195145659361,3484300.0
2008-07-18,20.44,20.48,19.92,20.2,1702100.0,17.026565799955,1702100.0
2008-07-21,20.6,20.88,20.21,20.56,1737700.0,17.330009546884998,1737700.0
2008-07-22,20.27,20.84,20.15,20.76,1582300.0,17.498589406291,1582300.0
2008-07-23,20.7,20.7,20.08,20.21,1757200.0,17.034994792926,1757200.0
2008-07-24,20.1,20.61,20.1,20.45,912300.0,17.237290624212,912300.0
2008-07-25,20.45,20.74,20.21,20.29,862800.0,17.102426736688006,862800.0
2008-07-28,20.09,20.3,20.07,20.18,1285100.0,17.009707814014998,1285100.0
2008-07-29,20.4,20.58,20.17,20.25,2786700.0,17.068710764807,2786700.0
2008-07-30,20.26,20.71,20.26,20.67,3516900.0,17.422728469558,3516900.0
2008-07-31,20.35,20.86,20.35,20.67,1119000.0,17.422728469558,1119000.0
2008-08-01,20.79,21.02,20.6,20.92,1795300.0,17.633453293815,1795300.0
2008-08-04,20.82,20.86,20.49,20.72,2325300.0,17.46487343441,2325300.0
2008-08-05,20.85,21.11,20.7,21.0,960400.0,17.700885237577,960400.0
2008-08-06,20.98,21.28,20.93,21.07,1260000.0,17.759888188369,1260000.0
2008-08-07,21.29,21.48,21.05,21.07,1239900.0,17.759888188369,1239900.0
2008-08-08,21.07,22.05,21.05,21.95,2200600.0,18.501639569753,2200600.0
2008-08-11,21.89,22.55,21.83,21.98,3210200.0,18.526926548664,3210200.0
2008-08-12,21.96,22.11,21.49,21.66,3140400.0,18.257198773615,3140400.0
2008-08-13,22.21,23.77,22.12,22.79,6515600.0,19.209674979257,6515600.0
2008-08-14,22.75,23.54,22.75,23.25,3319000.0,19.597408655889,3319000.0
2008-08-15,23.5,24.03,23.5,23.82,2482400.0,20.077861255195,2482400.0
2008-08-18,23.67,24.1,23.53,23.88,2105100.0,20.128435213017003,2105100.0
2008-08-19,23.99,24.07,23.43,23.97,2280100.0,20.204296149749,2280100.0
2008-08-20,23.34,24.32,23.25,23.99,3635400.0,20.22115413569,3635400.0
2008-08-21,23.91,24.02,23.06,24.02,1376900.0,20.2464411146,1376900.0
2008-08-22,24.31,24.41,24.08,24.3,1353900.0,20.482452917768,1353900.0
2008-08-25,24.59,24.65,24.0,24.17,1409900.0,20.372876009154,1409900.0
2008-08-26,24.3,24.3,23.94,24.15,2507700.0,20.356018023214,2507700.0
2008-08-27,24.34,24.94,24.1,24.9,1619100.0,20.988192495985,1619100.0
2008-08-28,24.86,24.88,24.52,24.81,1380100.0,20.912331559252,1380100.0
