Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1995-05-09,9.12,10.0,9.12,9.75,1566866.6666667,4.6800094542253,2350300.0000001
1995-05-10,10.0,10.62,10.0,10.38,2804400.0,4.9824100651137,4206600.0
1995-05-11,10.38,10.75,10.38,10.62,1811066.6666667,5.097610297833099,2716600.0000001
1995-05-12,10.62,10.75,10.5,10.5,944466.66666667,5.0400101814734,1416700.0
1995-05-15,10.5,10.62,10.5,10.5,667066.66666667,5.0400101814734,1000600.0
1995-05-16,10.5,10.62,10.38,10.5,717400.0,5.0400101814734,1076100.0
1995-05-17,10.5,10.5,10.12,10.25,869400.0,4.9200099390574,1304100.0
1995-05-18,10.25,10.5,10.25,10.38,250466.66666667,4.9824100651137,375700.00000001
1995-05-19,10.5,10.5,10.25,10.38,247000.0,4.9824100651137,370500.0
1995-05-22,10.88,11.37,10.75,11.13,765066.66666667,5.3424107923618,1147600.0
1995-05-23,11.0,11.37,10.88,11.25,776800.0,5.4000109087215,1165200.0
1995-05-24,11.25,11.25,11.0,11.0,589800.0,5.2800106663055,884700.0
1995-05-25,11.0,11.0,10.62,10.75,304266.66666667,5.160010423889402,456400.00000001
1995-05-26,10.88,10.88,10.75,10.88,365666.66666667,5.2224105499458,548500.00000001
1995-05-30,10.75,11.37,10.5,11.13,894800.0,5.3424107923618,1342200.0
1995-05-31,10.88,11.25,10.75,11.0,1307466.6666667,5.2800106663055,1961200.0000001
1995-06-01,10.88,11.0,10.62,10.88,896600.0,5.2224105499458,1344900.0
1995-06-02,10.75,10.88,10.62,10.75,497400.0,5.160010423889402,746100.0
1995-06-05,10.75,11.13,10.62,11.0,1909400.0,5.2800106663055,2864100.0
1995-06-06,10.88,11.13,10.88,11.0,1200866.6666667,5.2800106663055,1801300.0000001
1995-06-07,11.0,11.25,10.88,11.0,709200.0,5.2800106663055,1063800.0
1995-06-08,11.0,11.37,11.0,11.13,863000.0,5.3424107923618,1294500.0
1995-06-09,11.0,11.25,11.0,11.0,1062466.6666667,5.2800106663055,1593700.0000001
1995-06-12,11.13,11.13,11.0,11.0,1522400.0,5.2800106663055,2283600.0
1995-06-13,10.88,11.13,10.88,11.13,1033600.0,5.3424107923618,1550400.0
1995-06-14,11.0,11.25,11.0,11.13,677066.66666667,5.3424107923618,1015600.0
1995-06-15,11.13,11.5,11.13,11.25,1039800.0,5.4000109087215,1559700.0
1995-06-16,11.25,11.37,11.13,11.13,742266.66666667,5.3424107923618,1113400.0
1995-06-19,11.13,11.37,11.0,11.37,917200.0,5.4576110250812,1375800.0
1995-06-20,11.25,11.5,11.13,11.25,1363666.6666667,5.4000109087215,2045500.0000001
1995-06-21,11.25,11.25,10.88,10.88,1063266.6666667,5.2224105499458,1594900.0000001
1995-06-22,10.88,11.0,10.62,10.75,1441000.0,5.160010423889402,2161500.0
1995-06-23,10.88,11.25,10.88,10.88,754666.66666667,5.2224105499458,1132000.0
1995-06-26,10.88,11.13,10.75,10.75,852066.66666667,5.160010423889402,1278100.0
1995-06-27,10.75,11.25,10.75,11.13,753200.0,5.3424107923618,1129800.0
1995-06-28,10.88,11.25,10.88,11.25,1168666.6666667,5.4000109087215,1753000.0000001
1995-06-29,11.0,11.37,11.0,11.13,654400.0,5.3424107923618,981600.0
1995-06-30,11.25,11.25,10.88,10.88,656800.0,5.2224105499458,985200.0
1995-07-03,10.75,11.0,10.75,11.0,178666.66666667,5.2800106663055,268000.00000001
1995-07-05,10.88,11.25,10.88,11.13,559266.66666667,5.3424107923618,838900.00000001
1995-07-06,11.13,11.25,10.88,10.88,904066.66666667,5.2224105499458,1356100.0
1995-07-07,10.88,11.25,10.62,11.13,962866.66666667,5.3424107923618,1444300.0
1995-07-10,11.0,11.13,10.75,10.75,373800.0,5.160010423889402,560700.0
1995-07-11,10.62,11.0,10.62,10.75,809800.0,5.160010423889402,1214700.0
1995-07-12,10.75,10.75,10.5,10.5,614000.0,5.0400101814734,921000.0
1995-07-13,10.38,10.5,10.12,10.5,1462266.6666667,5.0400101814734,2193400.0000001
1995-07-14,10.25,10.5,10.12,10.5,685266.66666667,5.0400101814734,1027900.0
1995-07-17,10.5,10.62,10.38,10.38,564600.0,4.9824100651137,846900.0
