Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1983-04-06,23.13,23.25,23.13,23.13,116775.0,8.3919823971139,155700.0
1983-04-07,23.38,23.38,23.0,23.25,314025.0,8.4355205677864,418700.0
1983-04-08,23.25,23.38,23.25,23.25,149025.0,8.4355205677864,198700.0
1983-04-11,23.25,23.63,23.25,23.5,262875.0,8.5262250900206,350500.0
1983-04-12,23.63,23.63,23.38,23.63,180300.0,8.5733914415824,240400.0
1983-04-13,23.5,23.75,23.38,23.63,702225.0,8.5733914415824,936299.99999999
1983-04-14,23.5,23.63,23.25,23.63,89625.0,8.5733914415824,119500.0
1983-04-15,23.63,23.63,23.38,23.63,317100.0,8.5733914415824,422800.0
1983-04-18,23.63,23.75,23.5,23.63,219375.0,8.5733914415824,292500.0
1983-04-19,23.63,23.75,23.5,23.5,134400.0,8.5262250900206,179200.0
1983-04-20,23.75,24.0,23.63,23.88,456825.0,8.6640959638167,609099.99999999
1983-04-21,23.88,24.0,23.5,23.5,290250.0,8.5262250900206,387000.0
1983-04-22,23.5,23.63,23.25,23.63,896850.0,8.5733914415824,1195800.0
1983-04-25,23.63,23.75,23.38,23.63,98775.0,8.5733914415824,131700.0
1983-04-26,23.63,23.75,23.38,23.75,355875.0,8.616929612254902,474500.0
1983-04-27,23.75,23.88,23.5,23.5,547200.0,8.5262250900206,729599.99999999
1983-04-28,23.5,23.63,23.25,23.38,1075650.0,8.4826869193482,1434200.0
1983-04-29,23.38,23.5,23.13,23.13,650250.0,8.3919823971139,866999.99999999
1983-05-02,23.13,23.25,23.0,23.25,361725.0,8.4355205677864,482300.0
1983-05-03,23.25,23.5,23.13,23.38,779175.0,8.4826869193482,1038900.0
1983-05-04,23.5,23.63,23.38,23.63,130575.0,8.5733914415824,174100.0
1983-05-05,23.63,23.75,23.38,23.63,686775.0,8.5733914415824,915699.99999999
1983-05-06,23.88,24.0,23.63,24.0,248775.0,8.7076341344891,331700.0
1983-05-09,23.75,23.88,22.5,23.63,530325.0,8.5733914415824,707099.99999999
1983-05-10,23.63,23.75,23.5,23.75,777450.0,8.616929612254902,1036600.0
1983-05-11,23.75,23.88,23.63,23.63,1194450.0,8.5733914415824,1592600.0
1983-05-12,23.75,23.88,23.5,23.63,413475.0,8.5733914415824,551299.99999999
1983-05-13,23.63,23.75,23.5,23.5,1632225.0,8.5262250900206,2176300.0
1983-05-16,22.88,22.88,22.75,22.75,1246875.0,8.2541115233178,1662500.0
1983-05-17,22.75,22.88,22.63,22.75,276675.0,8.2541115233178,368900.0
1983-05-18,22.75,22.88,22.75,22.88,286650.0,8.3012778748796,382200.0
1983-05-19,22.75,22.88,22.75,22.88,174150.0,8.3012778748796,232200.0
1983-05-20,22.88,22.88,22.75,22.88,219900.0,8.3012778748796,293200.0
1983-05-23,22.75,22.88,22.63,22.88,345150.0,8.3012778748796,460200.0
