,Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
0,1970-01-02,25.62,27.0,25.62,27.0,18300.0,0.90920369881266,73200.0
1,1970-01-05,27.25,28.12,27.25,28.12,32700.0,0.94691881520785,130800.0
2,1970-01-06,28.12,28.62,27.25,27.75,78100.0,0.93445935711301,312400.0
3,1970-01-07,27.62,27.62,27.25,27.38,12900.0,0.92199989901817,51600.0
4,1970-01-08,27.38,27.75,27.25,27.38,19800.0,0.92199989901817,79200.0
5,1970-01-09,27.38,27.62,27.25,27.62,11400.0,0.93008170967428,45600.0
6,1970-01-12,27.62,27.62,27.38,27.5,12800.0,0.92604080434623,51200.0
7,1970-01-13,27.5,27.5,26.88,26.88,34200.0,0.9051627934846,136800.0
8,1970-01-14,26.88,27.12,26.62,26.88,15400.0,0.9051627934846,61600.0
9,1970-01-15,26.88,26.88,26.25,26.25,21300.0,0.8839480405123101,85200.0
10,1970-01-16,26.25,26.38,26.0,26.12,39500.0,0.87957039307358,158000.0
11,1970-01-19,26.25,26.75,26.25,26.75,14000.0,0.90078514604588,56000.0
12,1970-01-20,26.75,27.38,26.5,27.38,23400.0,0.92199989901817,93600.0
13,1970-01-21,27.25,27.25,26.88,26.88,21700.0,0.9051627934846,86800.0
14,1970-01-22,26.88,26.88,26.62,26.88,17500.0,0.9051627934846,70000.0
15,1970-01-23,26.88,27.12,26.62,27.0,15000.0,0.90920369881266,60000.0
16,1970-01-26,27.0,27.25,27.0,27.25,14900.0,0.91762225157944,59600.0
17,1970-01-27,27.25,27.62,27.0,27.12,18500.0,0.91324460414072,74000.0
18,1970-01-28,27.12,27.25,26.62,26.75,13300.0,0.90078514604588,53200.0
19,1970-01-29,26.75,27.25,26.5,27.25,13400.0,0.91762225157944,53600.0
20,1970-01-30,27.25,27.25,26.88,27.0,11100.0,0.90920369881266,44400.0
21,1970-02-02,27.0,27.25,26.62,27.0,12700.0,0.91015499527531,50800.0
22,1970-02-03,27.0,27.12,26.62,26.75,8300.0,0.90172763420794,33200.0
23,1970-02-04,26.75,27.0,26.75,27.0,8800.0,0.91015499527531,35200.0
24,1970-02-05,26.88,26.88,26.5,26.75,14100.0,0.90172763420794,56400.0
25,1970-02-06,26.75,26.88,26.5,26.88,9400.0,0.90610986196297,37600.0
26,1970-02-09,26.88,26.88,26.62,26.88,14800.0,0.90610986196297,59200.0
27,1970-02-10,26.88,26.88,26.62,26.88,8700.0,0.90610986196297,34800.0
28,1970-02-11,26.88,26.88,26.62,26.75,10000.0,0.90172763420794,40000.0
29,1970-02-12,26.75,26.88,26.62,26.62,8800.0,0.89734540645291,35200.0
30,1970-02-13,26.62,26.75,26.38,26.38,15400.0,0.88925513982824,61600.0
31,1970-02-16,26.38,26.75,26.25,26.38,11200.0,0.88925513982824,44800.0
32,1970-02-17,26.38,26.75,26.25,26.5,9200.0,0.8933002731405799,36800.0
33,1970-02-18,26.5,26.75,26.38,26.5,11800.0,0.8933002731405799,47200.0
34,1970-02-19,26.5,26.88,26.5,26.75,7600.0,0.90172763420794,30400.0
35,1970-02-20,26.75,26.88,26.5,26.88,14800.0,0.90610986196297,59200.0
36,1970-02-24,26.88,26.88,26.62,26.75,14100.0,0.90172763420794,56400.0
37,1970-02-25,26.75,27.12,26.75,27.0,18100.0,0.91015499527531,72400.0
38,1970-02-26,27.0,27.25,27.0,27.0,11200.0,0.91015499527531,44800.0
39,1970-02-27,27.12,27.5,27.12,27.5,10500.0,0.92700971741003,42000.0
40,1970-03-02,27.5,27.75,27.38,27.62,14000.0,0.93105485072237,56000.0
41,1970-03-03,27.62,27.88,27.5,27.75,12200.0,0.9354370784774,48800.0
