Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
2000-07-18,14.5,14.5,10.38,12.25,82800.0,12.25,82800.0
2000-07-19,12.38,12.38,11.62,11.81,13800.0,11.81,13800.0
2000-07-20,12.25,12.25,11.75,12.0,12400.0,12.0,12400.0
2000-07-21,12.12,12.12,10.88,11.12,5600.0,11.12,5600.0
2000-07-24,11.38,11.38,10.88,11.0,19100.0,11.0,19100.0
2000-07-25,11.0,11.0,10.88,10.94,12300.0,10.94,12300.0
2000-07-26,11.06,11.11,10.38,10.44,18500.0,10.44,18500.0
2000-07-27,10.5,10.5,8.94,9.5,26300.0,9.5,26300.0
2000-07-28,9.75,9.75,7.81,8.34,63900.0,8.34,63900.0
2000-07-31,8.25,8.62,8.25,8.5,35300.0,8.5,35300.0
2000-08-01,8.5,8.75,8.5,8.5,12700.0,8.5,12700.0
2000-08-02,8.38,8.88,7.88,7.88,23300.0,7.88,23300.0
2000-08-03,8.25,8.25,7.5,7.75,9600.0,7.75,9600.0
2000-08-04,7.88,7.88,7.5,7.62,8400.0,7.62,8400.0
2000-08-07,7.5,8.19,7.5,8.0,39400.0,8.0,39400.0
2000-08-08,8.31,8.55,7.94,8.12,22800.0,8.12,22800.0
2000-08-09,8.25,8.56,8.06,8.06,32500.0,8.06,32500.0
2000-08-10,8.0,8.12,7.81,7.81,58700.0,7.81,58700.0
2000-08-11,7.75,7.94,7.75,7.81,37900.0,7.81,37900.0
2000-08-14,7.91,8.12,7.75,7.75,56900.0,7.75,56900.0
2000-08-15,7.62,7.75,7.62,7.62,13300.0,7.62,13300.0
2000-08-16,7.62,7.75,7.5,7.75,33100.0,7.75,33100.0
2000-08-17,7.75,7.75,7.69,7.69,13200.0,7.69,13200.0
2000-08-18,7.69,7.75,6.88,7.0,769600.0,7.0,769600.0
2000-08-21,7.25,7.25,6.94,7.19,83200.0,7.19,83200.0
2000-08-22,7.16,7.16,7.0,7.06,29100.0,7.06,29100.0
2000-08-23,7.06,7.25,6.94,7.19,51900.0,7.19,51900.0
2000-08-24,7.25,7.31,7.12,7.12,31600.0,7.12,31600.0
2000-08-25,7.0,7.12,7.0,7.06,8700.0,7.06,8700.0
2000-08-28,7.19,7.19,7.0,7.0,9800.0,7.0,9800.0
2000-08-29,7.0,7.12,6.38,6.38,54100.0,6.38,54100.0
2000-08-30,6.41,6.5,6.38,6.5,77000.0,6.5,77000.0
2000-08-31,6.56,6.56,5.0,5.12,134500.0,5.12,134500.0
2000-09-01,5.62,6.56,5.56,6.5,141700.0,6.5,141700.0
2000-09-05,6.44,6.44,5.75,6.25,103300.0,6.25,103300.0
2000-09-06,6.12,6.12,5.75,5.75,10700.0,5.75,10700.0
2000-09-07,6.0,6.25,5.88,6.19,102300.0,6.19,102300.0
2000-09-08,6.38,7.0,6.25,7.0,68300.0,7.0,68300.0
2000-09-11,6.94,8.25,6.84,7.75,245400.0,7.75,245400.0
2000-09-12,8.25,8.75,7.88,8.75,383600.0,8.75,383600.0
2000-09-13,8.72,8.75,8.38,8.38,12800.0,8.38,12800.0
2000-09-14,8.38,8.5,8.12,8.12,15900.0,8.12,15900.0
2000-09-15,8.22,8.22,7.88,8.06,35300.0,8.06,35300.0
2000-09-18,8.34,8.38,7.94,8.0,19500.0,8.0,19500.0
2000-09-19,7.94,8.0,6.81,6.81,125400.0,6.81,125400.0
2000-09-20,6.81,7.88,6.81,7.88,48300.0,7.88,48300.0
2000-09-21,7.81,8.06,7.62,8.0,14000.0,8.0,14000.0
2000-09-22,7.75,8.0,7.75,8.0,23500.0,8.0,23500.0
2000-09-25,7.88,8.62,7.75,8.38,141600.0,8.38,141600.0
2000-09-26,8.38,8.44,8.25,8.25,12100.0,8.25,12100.0
2000-09-27,8.12,8.31,7.75,8.12,37000.0,8.12,37000.0
2000-09-28,7.81,8.75,7.81,8.38,61000.0,8.38,61000.0
2000-09-29,8.12,10.12,8.12,9.81,201800.0,9.81,201800.0
2000-10-02,10.12,10.12,8.25,8.25,56600.0,8.25,56600.0
2000-10-03,8.25,8.88,8.25,8.81,26600.0,8.81,26600.0
2000-10-04,8.56,9.0,8.38,8.59,47900.0,8.59,47900.0
2000-10-05,8.56,8.88,8.25,8.44,108600.0,8.44,108600.0
2000-10-06,8.38,8.56,8.0,8.0,55800.0,8.0,55800.0
2000-10-09,8.0,8.0,7.44,7.5,90100.0,7.5,90100.0
2000-10-10,7.8,7.8,7.5,7.5,55800.0,7.5,55800.0
2000-10-11,7.5,7.75,7.25,7.62,38300.0,7.62,38300.0
2000-10-12,7.69,7.69,7.12,7.12,13000.0,7.12,13000.0
2000-10-13,7.12,7.25,6.88,7.25,24400.0,7.25,24400.0
2000-10-16,6.88,7.25,6.88,7.25,6700.0,7.25,6700.0
2000-10-17,6.88,7.0,6.62,7.0,33500.0,7.0,33500.0
2000-10-18,7.12,7.12,6.75,6.75,30700.0,6.75,30700.0
2000-10-19,7.12,7.12,7.0,7.0,21000.0,7.0,21000.0
2000-10-20,7.12,7.12,6.81,7.0,21500.0,7.0,21500.0
2000-10-23,6.81,7.09,6.81,7.0,5300.0,7.0,5300.0
2000-10-24,6.81,7.12,6.81,6.88,12800.0,6.88,12800.0
2000-10-25,6.81,7.25,6.81,7.0,8800.0,7.0,8800.0
2000-10-26,7.0,7.0,7.0,7.0,14700.0,7.0,14700.0
2000-10-27,6.88,7.25,6.88,7.25,40400.0,7.25,40400.0
2000-10-30,7.25,7.25,6.62,6.75,14300.0,6.75,14300.0
2000-10-31,6.62,6.88,6.44,6.88,16200.0,6.88,16200.0
2000-11-01,6.88,6.88,6.62,6.62,10800.0,6.62,10800.0
2000-11-02,6.86,6.88,6.75,6.81,36600.0,6.81,36600.0
