Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1993-08-12,29.0,29.0,27.38,28.62,6543300.0,5.882495934681799,13086600.0
1993-08-13,28.5,28.5,27.75,27.75,638900.0,5.7036779240888,1277800.0
1993-08-16,27.75,28.0,27.62,28.0,279500.0,5.7550624098914005,559000.0
1993-08-17,28.0,28.25,27.88,28.12,272800.0,5.7797269630766,545600.0
1993-08-18,28.12,28.12,28.12,28.12,234600.0,5.7797269630766,469200.0
1993-08-19,28.12,28.12,27.62,27.62,204700.0,5.6769579914714,409400.0
1993-08-20,27.75,28.12,27.75,27.88,270400.0,5.7303978567061,540800.0
1993-08-23,27.88,28.12,27.75,28.0,167800.0,5.7550624098914005,335600.0
1993-08-24,28.0,28.38,28.0,28.38,117200.0,5.8331668283113,234400.0
1993-08-25,28.12,28.12,28.0,28.0,51300.0,5.7550624098914005,102600.0
1993-08-26,28.0,28.62,28.0,28.62,90200.0,5.882495934681799,180400.0
1993-08-27,28.62,28.62,28.12,28.25,59800.0,5.806446895693999,119600.0
1993-08-30,28.12,28.5,28.12,28.25,35700.0,5.806446895693999,71400.0
1993-08-31,28.25,28.88,28.25,28.75,73500.0,5.9092158672992,147000.0
1993-09-01,28.88,29.0,28.62,28.62,70800.0,5.882495934681799,141600.0
1993-09-02,29.0,29.0,28.75,29.0,108800.0,5.9606003531018,217600.0
1993-09-03,28.88,29.62,28.88,29.25,89400.0,6.0119848389044,178800.0
1993-09-07,29.12,29.62,29.12,29.38,83800.0,6.0387047715217985,167600.0
1993-09-08,29.62,29.75,29.0,29.0,138100.0,5.9606003531018,276200.0
1993-09-09,29.0,29.75,29.0,29.25,37200.0,6.0119848389044,74400.0
1993-09-10,29.12,30.5,29.12,30.25,122500.0,6.2175227821148,245000.0
1993-09-13,29.88,30.0,29.75,30.0,125600.0,6.1661382963122,251200.0
1993-09-14,29.5,29.62,29.12,29.5,63500.0,6.0633693247070015,127000.0
1993-09-15,29.5,29.5,29.12,29.5,81200.0,6.0633693247070015,162400.0
1993-09-16,29.75,29.75,29.38,29.75,44400.0,6.114753810509598,88800.0
1993-09-17,29.62,30.12,29.5,30.12,56500.0,6.1908028494975,113000.0
1993-09-20,29.62,29.88,29.5,29.5,7700.0,6.084950808744099,15400.0
1993-09-21,29.75,29.75,29.38,29.62,143000.0,6.109703151016902,286000.0
1993-09-22,29.5,29.88,29.38,29.88,27400.0,6.1633332259415,54800.0
1993-09-23,29.75,29.75,29.38,29.62,25500.0,6.109703151016902,51000.0
1993-09-24,29.5,30.12,29.5,30.12,132500.0,6.2128379104872,265000.0
1993-09-27,30.12,31.5,30.12,31.38,337700.0,6.4727375043522,675400.0
1993-09-28,31.25,31.62,31.0,31.5,180400.0,6.497489846625,360800.0
1993-09-29,31.5,32.25,31.5,31.5,411600.0,6.497489846625,823200.0
1993-09-30,31.38,31.5,31.0,31.12,69000.0,6.4191074294277,138000.0
1993-10-01,31.12,31.5,31.12,31.12,15800.0,6.4191074294277,31600.0
1993-10-04,31.0,31.0,30.25,30.5,13800.0,6.2912203276846,27600.0
1993-10-05,30.5,30.88,30.38,30.5,43800.0,6.2912203276846,87600.0
1993-10-06,30.25,31.12,30.25,31.0,163800.0,6.3943550871548,327600.0
1993-10-07,30.75,31.5,30.75,31.12,20200.0,6.4191074294277,40400.0
1993-10-08,31.38,35.0,31.38,34.25,621300.0,7.0647310237114,1242600.0
1993-10-11,34.0,34.5,34.0,34.0,442600.0,7.0131636439762,885200.0
1993-10-12,34.0,36.5,34.0,36.0,354100.0,7.425702681857199,708200.0
1993-10-13,36.25,36.25,35.5,35.5,27800.0,7.322567922387,55600.0
1993-10-14,35.5,35.5,35.5,35.5,27500.0,7.322567922387,55000.0
1993-10-15,35.5,36.75,35.5,36.25,100300.0,7.4772700615923,200600.0
1993-10-18,36.12,36.62,35.5,36.12,23600.0,7.4504550241301,47200.0
1993-10-19,35.88,35.88,35.0,35.0,86700.0,7.219433162916699,173400.0
1993-10-20,35.0,35.12,34.12,34.88,70800.0,7.1946808206439,141600.0
1993-10-21,34.62,34.62,34.38,34.5,16100.0,7.1162984034465016,32200.0
1993-10-22,34.38,35.5,34.38,35.0,80500.0,7.219433162916699,161000.0
1993-10-25,34.88,35.25,34.25,34.75,24000.0,7.1678657831816,48000.0
1993-10-26,34.25,34.25,33.88,33.88,13500.0,6.9884113017034,27000.0
1993-10-27,33.5,33.62,33.38,33.5,61200.0,6.9100288845060005,122400.0
1993-10-28,33.5,34.0,33.0,34.0,37700.0,7.0131636439762,75400.0
1993-10-29,34.25,34.62,34.0,34.62,112200.0,7.1410507457193,224400.0
1993-11-01,34.5,34.75,34.38,34.75,12200.0,7.1678657831816,24400.0
1993-11-02,34.5,34.75,34.38,34.62,34400.0,7.1410507457193,68800.0
1993-11-03,34.62,35.0,34.5,35.0,116800.0,7.219433162916699,233600.0
1993-11-04,34.88,34.88,33.75,33.75,133700.0,6.9615962642410985,267400.0
1993-11-05,33.75,35.0,33.75,34.75,166600.0,7.1678657831816,333200.0
1993-11-08,35.0,35.88,34.75,35.88,82300.0,7.400950339584299,164600.0
1993-11-09,36.25,36.5,35.88,35.88,96400.0,7.400950339584299,192800.0
1993-11-10,35.62,35.62,35.25,35.25,3400.0,7.2710005426518,6800.0
1993-11-11,35.0,35.0,34.38,34.75,47900.0,7.1678657831816,95800.0
1993-11-12,35.0,35.0,34.75,34.88,35200.0,7.1946808206439,70400.0
1993-11-15,34.62,34.62,33.5,34.5,69000.0,7.1162984034465016,138000.0
1993-11-16,34.38,34.38,33.75,33.88,6100.0,6.9884113017034,12200.0
1993-11-17,33.62,33.75,32.62,32.88,95400.0,6.782141782762902,190800.0
1993-11-18,32.5,32.62,31.12,31.5,155300.0,6.497489846625,310600.0
1993-11-19,31.5,31.62,31.12,31.5,90100.0,6.497489846625,180200.0
1993-11-22,31.38,31.38,31.25,31.38,26100.0,6.4727375043522,52200.0
1993-11-23,31.38,31.5,31.0,31.12,81600.0,6.4191074294277,163200.0
1993-11-24,30.88,31.38,30.75,31.12,144600.0,6.4191074294277,289200.0
1993-11-26,31.12,31.12,31.0,31.0,9500.0,6.3943550871548,19000.0
1993-11-29,31.25,31.5,30.88,31.0,48200.0,6.3943550871548,96400.0
