Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1990-03-26,24.87,24.87,24.87,24.87,11000.0,0.69427331596368,352000.0
1990-03-27,24.75,25.0,24.75,24.75,1500.0,0.69092338440294,48000.0
1990-03-28,25.0,25.0,24.75,24.75,27000.0,0.69092338440294,864000.0
1990-03-29,24.75,25.0,24.5,25.0,18800.0,0.6979024084878199,601600.0
1990-03-30,24.5,24.75,24.5,24.5,13100.0,0.68394436031806,419200.0
1990-04-02,24.75,24.75,24.5,24.62,105100.0,0.6872942918788001,3363200.0
1990-04-03,25.0,25.0,24.62,24.75,41100.0,0.69092338440294,1315200.0
1990-04-04,24.5,24.5,24.5,24.5,200.0,0.68394436031806,6400.0
1990-04-05,24.5,24.62,24.25,24.62,5800.0,0.6872942918788001,185600.0
1990-04-06,24.0,24.5,24.0,24.5,303900.0,0.68394436031806,9724800.0
1990-04-09,24.25,24.75,24.25,24.75,3600.0,0.69092338440294,115200.0
1990-04-10,24.0,24.25,24.0,24.0,3700.0,0.6699863121483101,118400.0
1990-04-11,24.75,24.75,24.0,24.0,1800.0,0.6699863121483101,57600.0
1990-04-12,24.5,24.5,24.25,24.25,4400.0,0.67696533623318,140800.0
1990-04-16,24.0,24.5,24.0,24.5,1700.0,0.68394436031806,54400.0
1990-04-17,24.5,24.5,23.5,24.0,242900.0,0.6699863121483101,7772800.0
1990-04-18,24.0,24.5,24.0,24.25,8800.0,0.67696533623318,281600.0
1990-04-19,24.5,24.5,24.0,24.0,16800.0,0.6699863121483101,537600.0
1990-04-20,23.87,23.87,23.87,23.87,800.0,0.66635721962417,25600.0
1990-04-23,24.25,24.25,24.25,24.25,100.0,0.67696533623318,3200.0
1990-04-24,24.25,24.25,23.5,23.5,8500.0,0.6560282639785501,272000.0
1990-04-25,24.25,24.25,23.5,23.5,6400.0,0.6560282639785501,204800.0
1990-04-26,23.5,23.5,23.5,23.5,0.0,0.6560282639785501,0.0
1990-04-27,23.5,24.0,23.5,23.5,2100.0,0.6560282639785501,67200.0
1990-04-30,23.75,23.75,23.5,23.5,7500.0,0.6560282639785501,240000.0
1990-05-01,24.0,24.0,23.5,23.75,10400.0,0.66300728806343,332800.0
1990-05-02,24.25,24.25,24.25,24.25,700.0,0.67696533623318,22400.0
1990-05-03,24.25,24.25,24.25,24.25,2900.0,0.67696533623318,92800.0
1990-05-04,24.25,24.25,24.25,24.25,700.0,0.67696533623318,22400.0
1990-05-07,24.25,25.25,24.25,25.25,6400.0,0.7048814325727,204800.0
1990-05-08,25.5,25.75,24.75,24.75,7400.0,0.69092338440294,236800.0
1990-05-09,25.25,25.25,24.25,24.25,5300.0,0.67696533623318,169600.0
1990-05-10,24.25,24.75,24.25,24.62,7100.0,0.6872942918788001,227200.0
1990-05-11,24.75,24.75,24.75,24.75,8800.0,0.69092338440294,281600.0
1990-05-14,24.25,24.75,24.25,24.5,29000.0,0.68394436031806,928000.0
1990-05-15,24.25,24.5,24.0,24.5,182800.0,0.68394436031806,5849600.0
1990-05-16,24.0,24.25,24.0,24.0,28200.0,0.6699863121483101,902400.0
1990-05-17,24.5,24.5,24.0,24.0,5100.0,0.6699863121483101,163200.0
1990-05-18,24.0,24.5,24.0,24.0,1900.0,0.6699863121483101,60800.0
1990-05-21,24.5,24.75,24.13,24.25,73000.0,0.67696533623318,2336000.0
1990-05-22,24.75,25.0,24.25,24.75,73800.0,0.69092338440294,2361600.0
1990-05-23,24.75,25.0,24.75,24.87,22500.0,0.69427331596368,720000.0
1990-05-24,24.5,25.0,24.5,24.75,16000.0,0.69092338440294,512000.0
