Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1990-03-26,19.5,20.0,19.25,20.0,83500.0,0.53250176089386,2672000.0
1990-03-27,20.0,20.75,19.75,20.0,47600.0,0.53250176089386,1523200.0
1990-03-28,19.25,20.5,19.25,20.0,39300.0,0.53250176089386,1257600.0
1990-03-29,20.5,20.5,20.0,20.0,107000.0,0.53250176089386,3424000.0
1990-03-30,20.0,20.5,19.75,20.25,33800.0,0.5391580329050301,1081600.0
1990-04-02,20.0,20.5,19.5,20.5,12600.0,0.5458143049162101,403200.0
1990-04-03,20.5,21.0,20.0,21.0,47500.0,0.55912684893855,1520000.0
1990-04-04,21.0,21.5,20.5,20.5,82600.0,0.5458143049162101,2643200.0
1990-04-05,21.0,21.0,20.5,21.0,25100.0,0.55912684893855,803200.0
1990-04-06,21.0,21.0,20.5,20.75,3200.0,0.55247057692738,102400.0
1990-04-09,21.0,21.75,20.75,21.25,29300.0,0.5657831209497199,937600.0
1990-04-10,21.25,21.5,21.25,21.5,26900.0,0.5724393929609,860800.0
1990-04-11,21.5,21.75,21.25,21.25,54100.0,0.5657831209497199,1731200.0
1990-04-12,21.5,21.5,21.25,21.5,26900.0,0.5724393929609,860800.0
1990-04-16,21.0,22.75,21.0,22.0,60300.0,0.58575193698324,1929600.0
1990-04-17,22.5,23.25,22.0,22.0,78300.0,0.58575193698324,2505600.0
1990-04-18,22.0,22.5,22.0,22.25,36500.0,0.59240820899442,1168000.0
1990-04-19,22.0,22.5,22.0,22.5,10000.0,0.59906448100559,320000.0
1990-04-20,22.0,22.5,21.38,21.5,174600.0,0.5724393929609,5587200.0
1990-04-23,21.5,21.5,20.75,21.25,22400.0,0.5657831209497199,716800.0
1990-04-24,21.25,21.5,21.0,21.25,33800.0,0.5657831209497199,1081600.0
1990-04-25,21.25,22.0,21.0,21.5,48200.0,0.5724393929609,1542400.0
1990-04-26,22.0,22.0,21.5,22.0,58700.0,0.58575193698324,1878400.0
1990-04-27,22.0,22.0,21.5,21.75,8800.0,0.5790956649720699,281600.0
1990-04-30,21.75,21.75,21.5,21.75,3700.0,0.5790956649720699,118400.0
1990-05-01,21.75,22.25,21.5,21.75,30700.0,0.5790956649720699,982400.0
1990-05-02,22.25,22.25,21.75,22.13,56500.0,0.5892131984290501,1808000.0
1990-05-03,22.25,22.75,22.0,22.25,26700.0,0.59240820899442,854400.0
1990-05-04,22.25,22.75,22.25,22.75,12500.0,0.60572075301676,400000.0
1990-05-07,22.75,23.5,22.25,23.0,83200.0,0.61237702502794,2662400.0
1990-05-08,23.5,24.0,22.75,23.75,117400.0,0.63234584106146,3756800.0
1990-05-09,23.25,23.75,23.0,23.75,28400.0,0.63234584106146,908800.0
1990-05-10,23.75,24.25,23.25,23.62,90500.0,0.62888457961565,2896000.0
1990-05-11,24.0,25.5,23.5,24.75,95900.0,0.6589709291061501,3068800.0
1990-05-14,24.75,25.0,24.5,24.75,73800.0,0.6589709291061501,2361600.0
1990-05-15,25.0,25.0,24.75,25.0,14300.0,0.6656272011173199,457600.0
1990-05-16,24.75,25.0,24.75,25.0,14500.0,0.6656272011173199,464000.0
1990-05-17,24.75,25.5,24.75,25.0,13000.0,0.6656272011173199,416000.0
1990-05-18,25.5,25.5,25.0,25.25,16300.0,0.6722834731285,521600.0
1990-05-21,25.25,25.25,24.75,24.75,24700.0,0.6589709291061501,790400.0
1990-05-22,24.75,25.25,24.75,25.0,4200.0,0.6656272011173199,134400.0
1990-05-23,24.75,25.0,24.5,24.5,13300.0,0.6523146570949799,425600.0
1990-05-24,24.5,25.0,23.75,23.75,34600.0,0.63234584106146,1107200.0
1990-05-25,23.75,24.25,22.0,22.75,83100.0,0.60572075301676,2659200.0
1990-05-29,22.75,23.0,22.5,23.0,62800.0,0.61237702502794,2009600.0
1990-05-30,22.75,24.5,22.75,24.0,56700.0,0.63900211307263,1814400.0
1990-05-31,24.5,24.5,23.0,23.0,90900.0,0.61237702502794,2908800.0
1990-06-01,23.5,23.5,22.0,22.13,82100.0,0.5892131984290501,2627200.0
1990-06-04,22.5,22.5,21.5,21.62,93400.0,0.57563440352626,2988800.0
1990-06-05,21.5,22.25,21.5,22.25,23000.0,0.59240820899442,736000.0
1990-06-06,22.25,22.25,21.75,22.25,25200.0,0.59240820899442,806400.0
1990-06-07,22.25,22.5,22.0,22.5,18700.0,0.59906448100559,598400.0
1990-06-08,22.75,22.75,22.0,22.25,20600.0,0.59240820899442,659200.0
1990-06-11,22.25,22.5,22.25,22.38,66600.0,0.59586947044023,2131200.0
1990-06-12,23.0,23.0,22.25,22.75,9700.0,0.60572075301676,310400.0
1990-06-13,22.75,22.75,22.25,22.25,46600.0,0.59240820899442,1491200.0
1990-06-14,22.5,22.5,22.0,22.25,43800.0,0.59240820899442,1401600.0
1990-06-15,22.0,22.0,21.25,21.38,19800.0,0.56924438239553,633600.0
1990-06-18,21.5,21.5,20.5,20.5,22900.0,0.5458143049162101,732800.0
1990-06-19,20.5,21.25,20.5,20.5,56100.0,0.5458143049162101,1795200.0
1990-06-20,20.5,20.75,20.25,20.5,108600.0,0.5458143049162101,3475200.0
1990-06-21,20.5,21.0,20.5,20.5,61100.0,0.5458143049162101,1955200.0
1990-06-22,21.0,21.0,20.5,20.5,42100.0,0.5458143049162101,1347200.0
1990-06-25,20.5,20.75,20.25,20.75,35800.0,0.55247057692738,1145600.0
1990-06-26,20.75,21.25,20.75,21.25,61500.0,0.5657831209497199,1968000.0
1990-06-27,21.25,21.75,21.0,21.75,57600.0,0.5790956649720699,1843200.0
1990-06-28,21.75,23.0,21.25,22.25,30200.0,0.59240820899442,966400.0
1990-06-29,22.75,23.25,22.25,23.0,26300.0,0.61237702502794,841600.0
1990-07-02,23.25,23.25,22.75,23.25,5900.0,0.61903329703911,188800.0
1990-07-03,23.25,24.5,22.5,24.0,99300.0,0.63900211307263,3177600.0
1990-07-05,24.0,24.25,24.0,24.0,36300.0,0.63900211307263,1161600.0
1990-07-06,24.0,24.25,23.75,23.75,79700.0,0.63234584106146,2550400.0
1990-07-09,24.25,24.25,23.75,24.25,34500.0,0.6456583850838,1104000.0
1990-07-10,23.75,24.5,23.75,23.75,55700.0,0.63234584106146,1782400.0
1990-07-11,24.5,24.5,23.75,23.75,29700.0,0.63234584106146,950400.0
1990-07-12,24.5,24.5,23.75,23.75,18700.0,0.63234584106146,598400.0
1990-07-13,24.5,25.0,23.75,24.25,48700.0,0.6456583850838,1558400.0
