Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1978-04-12,30.38,31.38,30.38,30.38,364300.0,0.8880565654202901,11657600.0
1978-04-13,31.62,32.62,31.62,31.62,230200.0,0.92430377217214,7366400.0
1978-04-14,33.62,34.87,33.62,33.62,211600.0,0.98276700886867,6771200.0
1978-04-17,33.62,33.62,32.62,32.62,127400.0,0.9535353905204,4076800.0
1978-04-18,32.62,33.25,32.38,32.38,92700.0,0.94651980211682,2966400.0
1978-04-19,33.0,33.87,33.0,33.0,71000.0,0.96464340549274,2272000.0
1978-04-20,33.87,34.87,33.87,33.87,53100.0,0.99007491345573,1699200.0
1978-04-21,33.87,34.5,33.62,33.62,32700.0,0.98276700886867,1046400.0
1978-04-24,33.62,33.87,33.0,33.0,29100.0,0.96464340549274,931200.0
1978-04-25,34.5,35.5,34.5,34.5,70500.0,1.0084908330151,2256000.0
1978-04-26,36.13,37.13,36.13,36.13,39500.0,1.0561383709228,1264000.0
1978-04-27,36.13,37.13,36.13,36.13,33600.0,1.0561383709228,1075200.0
1978-04-28,38.38,39.38,38.38,38.38,61600.0,1.1219095122063998,1971200.0
1978-05-01,37.75,37.75,36.75,36.75,46900.0,1.0742619742987,1500800.0
1978-05-02,37.13,38.13,37.13,37.13,25500.0,1.0853699892711,816000.0
1978-05-03,37.13,37.13,36.13,36.13,19600.0,1.0561383709228,627200.0
1978-05-04,36.75,37.75,36.75,36.75,32700.0,1.0742619742987,1046400.0
1978-05-05,37.13,38.13,37.13,37.13,21300.0,1.0853699892711,681600.0
1978-05-08,37.5,38.38,37.5,37.5,28700.0,1.0961856880599,918400.0
1978-05-09,37.75,38.75,37.75,37.75,21700.0,1.103493592647,694400.0
1978-05-10,38.13,39.0,38.13,38.13,24200.0,1.1146016076193,774400.0
1978-05-11,39.38,40.62,39.38,39.38,45300.0,1.1511411305547,1449600.0
1978-05-12,40.0,41.0,40.0,40.0,19600.0,1.1692647339306002,627200.0
1978-05-15,40.0,40.62,39.62,39.62,9600.0,1.1581567189583,307200.0
1978-05-16,42.25,43.25,42.25,42.25,38300.0,1.2350358752142,1225600.0
