Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1973-05-03,10.25,10.63,10.12,10.12,100.0,0.72916169387406,300.0
1973-05-04,10.25,10.75,10.25,10.25,200.0,0.73852839547521,600.0
1973-05-07,10.25,10.75,10.25,10.25,500.0,0.73852839547521,1500.0
1973-05-08,10.37,10.88,10.37,10.37,100.0,0.74717458156857,300.0
1973-05-09,10.37,10.88,10.37,10.37,3100.0,0.74717458156857,9300.0
1973-05-10,10.37,10.88,10.37,10.37,200.0,0.74717458156857,600.0
1973-05-11,10.37,10.75,10.25,10.25,100.0,0.73852839547521,300.0
1973-05-14,10.25,10.5,10.0,10.0,200.0,0.7205155077806898,600.0
1973-05-15,10.0,10.5,10.0,10.0,100.0,0.7205155077806898,300.0
1973-05-16,10.12,10.63,10.12,10.12,100.0,0.72916169387406,300.0
1973-05-17,10.25,10.75,10.25,10.25,200.0,0.73852839547521,600.0
1973-05-18,10.25,10.75,10.25,10.25,500.0,0.73852839547521,1500.0
1973-05-21,10.25,10.75,10.25,10.25,100.0,0.73852839547521,300.0
1973-05-22,10.25,10.75,10.25,10.25,1100.0,0.73852839547521,3300.0
1973-05-23,10.25,10.75,10.25,10.25,2500.0,0.73852839547521,7500.0
1973-05-24,10.25,10.75,10.25,10.25,100.0,0.73852839547521,300.0
1973-05-25,10.25,10.75,10.25,10.25,800.0,0.73852839547521,2400.0
1973-05-29,10.25,10.75,10.25,10.25,100.0,0.73852839547521,300.0
1973-05-30,10.37,10.88,10.37,10.37,100.0,0.74717458156857,300.0
1973-05-31,10.37,10.88,10.37,10.37,100.0,0.74717458156857,300.0
1973-06-01,10.37,10.88,10.37,10.37,1000.0,0.74717458156857,3000.0
1973-06-04,10.37,10.75,10.25,10.25,100.0,0.73852839547521,300.0
1973-06-05,10.25,10.75,10.25,10.25,100.0,0.73852839547521,300.0
1973-06-06,10.25,10.75,10.25,10.25,500.0,0.73852839547521,1500.0
1973-06-07,10.25,10.75,10.25,10.25,100.0,0.73852839547521,300.0
1973-06-08,10.37,10.88,10.37,10.37,100.0,0.74717458156857,300.0
1973-06-11,10.37,10.88,10.37,10.37,100.0,0.74717458156857,300.0
1973-06-12,10.37,10.88,10.37,10.37,100.0,0.74717458156857,300.0
1973-06-13,10.37,10.88,10.37,10.37,300.0,0.74717458156857,900.0
1973-06-14,10.37,10.88,10.37,10.37,500.0,0.74717458156857,1500.0
1973-06-15,10.5,11.0,10.5,10.5,1100.0,0.75654128316972,3300.0
1973-06-18,10.5,10.88,10.37,10.37,200.0,0.74717458156857,600.0
1973-06-19,10.37,10.75,10.25,10.25,100.0,0.73852839547521,300.0
1973-06-20,10.25,10.63,10.12,10.12,1200.0,0.72916169387406,3600.0
1973-06-21,10.12,10.63,10.12,10.12,100.0,0.72916169387406,300.0
1973-06-22,10.12,10.5,10.0,10.0,1100.0,0.7205155077806898,3300.0
1973-06-25,10.12,10.63,10.12,10.12,1600.0,0.72916169387406,4800.0
1973-06-26,10.25,10.75,10.25,10.25,100.0,0.73852839547521,300.0
1973-06-27,10.25,10.75,10.25,10.25,200.0,0.73852839547521,600.0
1973-06-28,10.37,10.88,10.37,10.37,100.0,0.74717458156857,300.0
1973-06-29,10.37,10.88,10.37,10.37,700.0,0.74717458156857,2100.0
1973-07-02,10.37,10.88,10.37,10.37,300.0,0.74717458156857,900.0
1973-07-03,10.37,10.88,10.37,10.37,100.0,0.74717458156857,300.0
1973-07-05,10.37,10.88,10.37,10.37,100.0,0.74717458156857,300.0
1973-07-06,10.5,11.0,10.5,10.5,1300.0,0.75654128316972,3900.0
1973-07-09,10.5,11.0,10.5,10.5,100.0,0.75654128316972,300.0
1973-07-10,10.5,10.63,10.12,10.12,2100.0,0.72916169387406,6300.0
1973-07-11,10.37,10.88,10.37,10.37,700.0,0.74717458156857,2100.0
1973-07-12,10.37,10.75,10.25,10.25,1000.0,0.73852839547521,3000.0
1973-07-13,10.25,10.75,10.25,10.25,100.0,0.73852839547521,300.0
1973-07-16,10.25,10.75,10.25,10.25,100.0,0.73852839547521,300.0
1973-07-17,10.25,10.63,10.12,10.12,100.0,0.72916169387406,300.0
1973-07-18,10.12,10.63,10.12,10.12,100.0,0.72916169387406,300.0
1973-07-19,10.25,10.75,10.25,10.25,400.0,0.73852839547521,1200.0
1973-07-20,10.25,10.75,10.25,10.25,100.0,0.73852839547521,300.0
1973-07-23,10.25,10.63,10.12,10.12,600.0,0.72916169387406,1800.0
1973-07-24,10.12,10.63,10.12,10.12,100.0,0.72916169387406,300.0
1973-07-25,10.12,10.63,10.12,10.12,700.0,0.72916169387406,2100.0
1973-07-26,10.12,10.63,10.12,10.12,100.0,0.72916169387406,300.0
1973-07-27,10.12,10.5,10.0,10.0,500.0,0.7205155077806898,1500.0
1973-07-30,10.0,10.5,10.0,10.0,100.0,0.7205155077806898,300.0
1973-07-31,10.0,10.5,10.0,10.0,100.0,0.7205155077806898,300.0
1973-08-01,10.0,10.5,10.0,10.0,100.0,0.7205155077806898,300.0
1973-08-02,10.0,10.5,9.75,9.75,900.0,0.70250262008617,2700.0
1973-08-03,9.75,10.5,9.75,9.75,700.0,0.70250262008617,2100.0
1973-08-06,9.75,10.5,9.75,9.75,100.0,0.70250262008617,300.0
1973-08-07,9.75,10.25,9.5,9.5,500.0,0.6844897323916501,1500.0
1973-08-08,9.5,10.0,9.25,9.25,1000.0,0.66647684469714,3000.0
1973-08-09,9.25,10.0,9.25,9.25,100.0,0.66647684469714,300.0
1973-08-10,9.25,10.0,9.25,9.25,100.0,0.66647684469714,300.0
1973-08-13,9.25,9.88,9.25,9.25,100.0,0.66647684469714,300.0
1973-08-14,9.25,10.0,9.25,9.25,100.0,0.66647684469714,300.0
1973-08-15,9.25,10.0,9.25,9.25,300.0,0.66647684469714,900.0
1973-08-16,9.25,10.0,9.25,9.25,400.0,0.66647684469714,1200.0
1973-08-17,9.25,10.0,9.25,9.25,200.0,0.66647684469714,600.0
1973-08-20,9.25,10.0,9.25,9.25,100.0,0.66647684469714,300.0
1973-08-21,9.25,10.0,9.25,9.25,100.0,0.66647684469714,300.0
1973-08-22,9.25,10.0,9.25,9.25,100.0,0.66647684469714,300.0
