Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1977-01-03,54.0,54.75,54.0,54.5,42880.0,1.3220188259954,1715200.0
1977-01-04,54.5,54.75,53.62,53.75,10280.0,1.3038259063716,411200.0
1977-01-05,53.75,53.88,53.0,53.0,8000.0,1.2856329867478,320000.0
1977-01-06,53.0,53.5,53.0,53.12,14800.0,1.2885438538876002,592000.0
1977-01-07,53.0,53.0,52.0,52.63,9680.0,1.2766578130667,387200.0
1977-01-10,52.37,52.37,52.0,52.13,4200.0,1.2645291999842,168000.0
1977-01-11,52.0,52.0,50.75,50.75,9680.0,1.2310542278763998,387200.0
1977-01-12,50.75,50.75,49.25,49.75,30280.0,1.2067970017113998,1211200.0
1977-01-13,49.75,49.75,49.0,49.38,15600.0,1.1978218280303,624000.0
1977-01-14,49.38,52.25,49.25,52.25,27600.0,1.267440067124,1104000.0
1977-01-17,52.13,52.13,51.75,52.0,7000.0,1.2613757605828,280000.0
1977-01-18,52.0,53.75,51.75,53.75,14800.0,1.3038259063716,592000.0
1977-01-19,54.25,56.5,54.25,56.5,64080.0,1.3705332783255,2563200.0
1977-01-20,56.5,57.87,56.25,57.0,95480.0,1.382661891408,3819200.0
1977-01-21,57.0,58.0,56.5,56.5,57600.0,1.3705332783255,2304000.0
1977-01-24,56.5,56.5,55.75,56.0,22400.0,1.3584046652430002,896000.0
1977-01-25,56.25,57.25,56.25,56.25,26680.0,1.3644689717842,1067200.0
1977-01-26,56.25,56.5,55.75,56.0,46800.0,1.3584046652430002,1872000.0
1977-01-27,56.0,56.25,55.5,55.75,15480.0,1.3523403587017,619200.0
1977-01-28,55.75,56.25,55.75,56.0,10880.0,1.3584046652430002,435200.0
1977-01-31,56.5,57.87,56.5,57.87,40800.0,1.4037656781716,1632000.0
1977-02-01,57.87,59.12,57.87,58.62,28480.0,1.4219585977954,1139200.0
1977-02-02,58.75,60.25,58.75,59.63,43880.0,1.4464583962221,1755200.0
1977-02-03,59.63,59.63,58.75,59.63,19280.0,1.4464583962221,771200.0
1977-02-04,59.87,61.0,59.87,60.25,36200.0,1.4614978764444,1448000.0
1977-02-07,60.25,60.75,59.25,59.87,17880.0,1.4522801305017,715200.0
1977-02-08,59.87,59.87,58.5,59.5,16600.0,1.4433049568207,664000.0
1977-02-09,59.12,59.12,56.75,58.12,33200.0,1.4098299847129,1328000.0
1977-02-10,58.12,58.25,57.25,57.75,39400.0,1.4008548110318,1576000.0
1977-02-11,57.75,57.75,56.38,56.62,31200.0,1.3734441454653,1248000.0
1977-02-14,56.62,57.37,56.0,57.13,17280.0,1.3858153308094998,691200.0
1977-02-15,57.25,57.87,57.25,57.25,10280.0,1.3887261979493002,411200.0
1977-02-16,57.5,59.0,57.5,58.5,24800.0,1.4190477306556002,992000.0
1977-02-17,58.62,59.0,58.62,58.62,32080.0,1.4219585977954,1283200.0
1977-02-18,58.5,58.5,58.0,58.5,22480.0,1.4190477306556002,899200.0
1977-02-22,58.5,58.5,58.0,58.5,24480.0,1.4190477306556002,979200.0
1977-02-23,58.38,58.38,57.25,57.25,11600.0,1.3887261979493002,464000.0
1977-02-24,57.25,57.25,55.88,55.88,25000.0,1.3554937981031998,1000000.0
1977-02-25,55.88,56.0,55.0,55.75,46200.0,1.3523403587017,1848000.0
1977-02-28,55.75,56.5,55.75,56.5,8200.0,1.3705332783255,328000.0
1977-03-01,56.75,58.25,56.75,58.0,28800.0,1.4069191175731,1152000.0
1977-03-02,58.0,58.25,57.87,58.0,9480.0,1.4069191175731,379200.0
1977-03-03,58.0,59.5,58.0,58.0,24680.0,1.4069191175731,987200.0
1977-03-04,57.75,57.75,57.25,57.25,11200.0,1.3887261979493002,448000.0
1977-03-07,57.25,57.5,56.88,57.0,15800.0,1.382661891408,632000.0
1977-03-08,57.0,57.25,56.75,56.75,18600.0,1.3765975848668,744000.0
1977-03-09,56.25,56.25,55.75,56.12,14480.0,1.3613155323828,579200.0
1977-03-10,56.12,56.5,55.75,56.25,23200.0,1.3644689717842,928000.0
1977-03-11,56.25,56.75,56.25,56.75,4080.0,1.3765975848668,163200.0
1977-03-14,57.0,58.12,57.0,58.0,20200.0,1.4069191175731,808000.0
1977-03-15,58.0,58.0,57.63,58.0,6600.0,1.4069191175731,264000.0
1977-03-16,58.0,58.0,57.75,58.0,19800.0,1.4069191175731,792000.0
1977-03-17,58.0,58.0,57.5,57.5,5000.0,1.3947905044905,200000.0
1977-03-18,57.5,57.75,57.37,57.75,12480.0,1.4008548110318,499200.0
1977-03-21,57.75,57.75,57.25,57.75,12480.0,1.4008548110318,499200.0
1977-03-22,57.75,59.0,57.5,59.0,23080.0,1.4311763437381002,923200.0
1977-03-23,59.0,59.0,57.5,57.87,10880.0,1.4037656781716,435200.0
1977-03-24,57.75,57.75,57.25,57.5,17680.0,1.3947905044905,707200.0
1977-03-25,57.5,57.75,56.62,56.62,8000.0,1.3734441454653,320000.0
1977-03-28,56.38,56.38,56.0,56.38,12600.0,1.3676224111857,504000.0
1977-03-29,56.38,56.62,56.25,56.62,9800.0,1.3734441454653,392000.0
1977-03-30,56.62,56.62,55.75,55.88,12400.0,1.3554937981031998,496000.0
1977-03-31,55.88,57.25,55.88,56.75,20000.0,1.3765975848668,800000.0
1977-04-01,56.75,57.5,56.5,57.5,16280.0,1.3947905044905,651200.0
1977-04-04,57.5,57.75,57.25,57.5,33800.0,1.3947905044905,1352000.0
1977-04-05,57.37,57.37,53.75,54.5,161080.0,1.3220188259954,6443200.0
1977-04-06,54.5,54.63,51.25,52.5,44400.0,1.2735043736653,1776000.0
1977-04-07,52.5,54.5,52.0,54.25,51480.0,1.3159545194541,2059200.0
1977-04-11,54.25,54.25,54.0,54.25,19480.0,1.3159545194541,779200.0
1977-04-12,54.25,56.38,54.0,56.12,50280.0,1.3613155323828,2011200.0
1977-04-13,56.0,56.0,52.75,54.5,41880.0,1.3220188259954,1675200.0
1977-04-14,54.5,55.0,53.0,53.25,51680.0,1.2916972932891,2067200.0
1977-04-15,53.25,54.25,53.12,54.25,13280.0,1.3159545194541,531200.0
1977-04-18,54.0,54.0,53.5,53.5,12480.0,1.2977615998303,499200.0
1977-04-19,53.5,53.88,53.25,53.25,4200.0,1.2916972932891,168000.0
1977-04-20,53.25,53.38,52.75,52.75,10600.0,1.2795686802065,424000.0
1977-04-21,52.5,52.5,52.0,52.0,12880.0,1.2613757605828,515200.0
1977-04-22,52.0,52.13,50.75,51.12,8680.0,1.2400294015575,347200.0
