Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1983-06-10,54.5,54.88,54.5,54.62,47400.0,2.298960677133,758400.0
1983-06-13,54.75,55.5,54.62,55.25,68300.0,2.325477433387,1092800.0
1983-06-14,55.0,55.0,54.25,54.38,12800.0,2.2888590557029,204800.0
1983-06-15,53.75,53.88,53.5,53.5,212200.0,2.2518197771259,3395200.0
1983-06-16,53.75,54.62,53.5,54.5,220800.0,2.2939098664179,3532800.0
1983-06-17,54.5,55.5,54.38,55.5,89600.0,2.33599995571,1433600.0
1983-06-20,55.5,56.38,55.5,56.25,61800.0,2.3675675226791,988800.0
1983-06-21,56.25,56.38,55.5,55.5,219800.0,2.33599995571,3516800.0
1983-06-22,55.75,56.0,55.5,55.88,135900.0,2.351994189641,2174400.0
1983-06-23,56.0,56.0,55.0,55.25,81900.0,2.325477433387,1310400.0
1983-06-24,54.75,55.12,54.38,55.0,37500.0,2.314954911064,600000.0
1983-06-27,55.0,55.0,54.25,54.5,35400.0,2.2939098664179,566400.0
1983-06-28,54.25,54.25,52.12,52.75,94300.0,2.2202522101568,1508800.0
1983-06-29,52.75,54.88,52.75,54.88,47900.0,2.3099041003489,766400.0
1983-06-30,54.5,55.25,54.25,55.25,249000.0,2.325477433387,3984000.0
1983-07-01,54.88,55.25,54.88,55.0,61000.0,2.3162967431106,976000.0
1983-07-05,55.25,55.25,54.88,55.12,90500.0,2.3213504814592,1448000.0
1983-07-06,55.38,55.62,54.5,54.5,84400.0,2.2952394999914,1350400.0
1983-07-07,54.75,55.12,54.5,54.88,30400.0,2.3112430047620003,486400.0
1983-07-08,55.12,55.38,54.62,55.25,65900.0,2.3268253646702,1054400.0
1983-07-11,55.0,56.25,55.0,55.25,40600.0,2.3268253646702,649600.0
1983-07-12,54.75,55.38,54.5,54.5,90100.0,2.2952394999914,1441600.0
1983-07-13,54.25,54.38,53.75,53.88,30400.0,2.2691285185236003,486400.0
1983-07-14,53.88,53.88,53.12,53.25,55700.0,2.2425963921935,891200.0
1983-07-15,53.25,53.25,52.5,53.0,84400.0,2.2320677706339,1350400.0
1983-07-18,52.75,52.75,52.38,52.5,158400.0,2.2110105275147003,2534400.0
1983-07-19,52.75,52.88,52.12,52.12,85900.0,2.1950070227441003,1374400.0
1983-07-20,52.25,53.0,52.25,53.0,67100.0,2.2320677706339,1073600.0
1983-07-21,53.0,53.0,52.25,52.5,114600.0,2.2110105275147003,1833600.0
1983-07-22,52.12,52.25,52.0,52.25,123400.0,2.2004819059551,1974400.0
1983-07-25,52.25,52.25,51.38,51.38,58400.0,2.1638423029277,934400.0
1983-07-26,51.38,52.0,51.25,51.75,136500.0,2.1794246628359,2184000.0
1983-07-27,51.75,51.88,51.25,51.88,86600.0,2.1848995460469,1385600.0
1983-07-28,51.88,52.0,51.75,51.88,60100.0,2.1848995460469,961600.0
1983-07-29,51.38,51.5,50.0,50.75,160300.0,2.1373101765975,2564800.0
1983-08-01,50.5,51.25,50.12,50.62,167500.0,2.1318352933865,2680000.0
1983-08-02,50.62,51.5,50.5,51.25,82400.0,2.1583674197167,1318400.0
1983-08-03,51.38,51.38,51.0,51.12,16900.0,2.1528925365057,270400.0
1983-08-04,51.12,51.12,50.25,50.38,154500.0,2.1217278166893,2472000.0
1983-08-05,50.12,51.38,50.12,50.75,45000.0,2.1373101765975,720000.0
1983-08-08,50.75,51.0,50.0,50.12,61900.0,2.1107780502673,990400.0
1983-08-09,50.25,50.25,49.5,49.75,106100.0,2.0951956903591,1697600.0
1983-08-10,49.5,50.0,49.5,49.88,137400.0,2.1006705735701,2198400.0
1983-08-11,49.62,50.5,49.5,50.38,61200.0,2.1217278166893,979200.0
1983-08-12,50.88,51.25,50.75,50.88,83100.0,2.1427850598085003,1329600.0
1983-08-15,51.12,51.25,50.38,50.38,142000.0,2.1217278166893,2272000.0
1983-08-16,50.38,50.5,49.25,49.25,64600.0,2.07413844724,1033600.0
1983-08-17,48.75,49.5,48.75,49.25,186400.0,2.07413844724,2982400.0
1983-08-18,49.0,49.0,48.0,48.5,205300.0,2.0425525825612,3284800.0
1983-08-19,48.12,48.5,48.0,48.25,70300.0,2.0320239610016,1124800.0
1983-08-22,48.25,48.38,47.62,48.25,102200.0,2.0320239610016,1635200.0
1983-08-23,48.25,48.38,47.62,48.38,165900.0,2.0374988442126,2654400.0
1983-08-24,48.25,48.25,47.88,48.0,94600.0,2.021495339442,1513600.0
1983-08-25,48.12,48.5,47.88,48.5,27800.0,2.0425525825612,444800.0
1983-08-26,48.5,48.62,47.62,47.88,60800.0,2.0164416010934,972800.0
1983-08-29,47.88,48.0,47.62,48.0,54300.0,2.021495339442,868800.0
1983-08-30,48.5,50.12,48.38,50.0,73100.0,2.1057243119187,1169600.0
