,Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
0,1970-01-02,30.75,31.75,30.25,31.5,32300.0,6.615588404553501,64600.0
1,1970-01-05,31.38,31.38,30.5,30.88,23600.0,6.4853768232575,47200.0
2,1970-01-06,30.38,30.38,29.5,30.0,61000.0,6.3005603852890015,122000.0
3,1970-01-07,29.88,29.88,29.25,29.62,22800.0,6.2207532870754,45600.0
4,1970-01-08,29.62,29.88,29.25,29.5,25200.0,6.1955510455342,50400.0
5,1970-01-09,29.5,29.5,29.0,29.0,15100.0,6.0905417057794,30200.0
6,1970-01-12,29.0,29.38,28.88,29.25,7500.0,6.1430463756568,15000.0
7,1970-01-13,29.25,29.62,28.75,28.88,18400.0,6.0653394642383,36800.0
8,1970-01-14,28.88,29.38,28.62,29.0,17400.0,6.0905417057794,34800.0
9,1970-01-15,29.0,29.0,28.5,28.75,25600.0,6.038037035902,51200.0
10,1970-01-16,28.75,29.5,28.5,28.62,21300.0,6.0107346075658,42600.0
11,1970-01-19,28.62,29.0,28.12,28.38,17500.0,5.9603301244834,35000.0
12,1970-01-20,28.38,28.75,28.12,28.75,33200.0,6.038037035902,66400.0
13,1970-01-21,28.75,29.25,28.25,28.62,28600.0,6.0107346075658,57200.0
14,1970-01-22,28.62,29.25,28.5,28.88,21300.0,6.0653394642383,42600.0
15,1970-01-23,28.88,29.0,28.25,28.5,162800.0,5.985532366024599,325600.0
16,1970-01-26,28.5,28.88,28.38,28.5,36500.0,5.985532366024599,73000.0
17,1970-01-27,28.62,29.12,28.62,28.62,25800.0,6.0107346075658,51600.0
18,1970-01-28,28.62,29.0,28.5,28.62,52300.0,6.0107346075658,104600.0
19,1970-01-29,28.62,28.62,27.38,27.38,26600.0,5.7503114449738,53200.0
20,1970-01-30,27.38,27.38,26.12,26.12,31500.0,5.485687908791701,63000.0
21,1970-02-02,26.12,27.75,25.62,27.0,59900.0,5.6705043467601,119800.0
22,1970-02-03,27.0,28.12,26.5,28.12,53600.0,5.9057252678109,107200.0
23,1970-02-04,28.12,28.38,27.12,27.5,18200.0,5.775513686515,36400.0
24,1970-02-05,27.5,27.88,27.25,27.25,14300.0,5.723009016637598,28600.0
25,1970-02-06,27.25,28.0,27.0,27.88,37500.0,5.8553207847286,75000.0
26,1970-02-09,27.88,28.38,27.0,27.0,31600.0,5.6928713361279,63200.0
27,1970-02-10,27.0,27.0,25.88,26.12,45400.0,5.5073258999874986,90800.0
28,1970-02-11,26.12,26.62,25.5,26.5,57600.0,5.587447792866301,115200.0
29,1970-02-12,26.5,26.75,26.25,26.5,18900.0,5.587447792866301,37800.0
30,1970-02-13,26.5,26.75,26.12,26.75,12000.0,5.6401595644971,24000.0
31,1970-02-16,26.75,26.88,26.0,26.25,36800.0,5.534736021235501,73600.0
32,1970-02-17,26.25,26.25,25.5,26.0,13100.0,5.4820242496047,26200.0
33,1970-02-18,26.0,26.38,25.75,26.0,23800.0,5.4820242496047,47600.0
34,1970-02-19,26.0,26.38,25.62,25.62,32500.0,5.4019023567258,65000.0
35,1970-02-20,25.62,26.5,25.5,26.5,54500.0,5.587447792866301,109000.0
36,1970-02-24,26.5,26.88,26.25,26.75,15900.0,5.6401595644971,31800.0
37,1970-02-25,26.75,27.0,26.25,26.88,18800.0,5.6675696857451,37600.0
38,1970-02-26,26.88,26.88,25.88,26.62,22800.0,5.6127494432491,45600.0
39,1970-02-27,26.62,27.5,26.38,27.5,22900.0,5.798294879389499,45800.0
40,1970-03-02,27.5,28.38,27.5,27.88,51400.0,5.8784167722684,102800.0
41,1970-03-03,28.0,28.75,28.0,28.5,46000.0,6.0091419659128,92000.0
42,1970-03-04,28.5,29.0,28.25,29.0,47100.0,6.1145655091744,94200.0
43,1970-03-05,29.0,29.0,28.25,28.25,31200.0,5.956430194282,62400.0
44,1970-03-06,28.25,28.62,27.75,28.0,34000.0,5.903718422651202,68000.0
45,1970-03-09,27.75,27.75,26.88,27.12,32300.0,5.7181729865107,64600.0
46,1970-03-10,27.12,27.88,27.12,27.38,18500.0,5.7729932290068,37000.0
47,1970-03-11,27.38,27.88,26.88,26.88,23200.0,5.6675696857451,46400.0
48,1970-03-12,26.88,27.5,26.62,27.0,37700.0,5.6928713361279,75400.0
49,1970-03-13,27.0,27.25,26.5,26.5,32900.0,5.587447792866301,65800.0
50,1970-03-16,26.5,26.5,25.88,25.88,43600.0,5.4567225992219015,87200.0
51,1970-03-17,25.88,26.75,25.62,26.75,133500.0,5.6401595644971,267000.0
52,1970-03-18,26.75,27.12,26.5,26.5,20800.0,5.587447792866301,41600.0
53,1970-03-19,26.5,27.0,26.5,27.0,26400.0,5.6928713361279,52800.0
54,1970-03-20,27.0,27.0,26.38,26.38,17900.0,5.5621461424835,35800.0
55,1970-03-23,26.38,26.75,26.25,26.62,69800.0,5.6127494432491,139600.0
56,1970-03-24,26.75,27.38,26.75,27.25,72400.0,5.7455831077587,144800.0
57,1970-03-25,27.25,28.38,27.0,28.0,37600.0,5.903718422651202,75200.0
58,1970-03-26,28.0,28.38,27.88,28.12,71900.0,5.929020073034001,143800.0
59,1970-03-30,28.12,28.12,26.75,27.12,32400.0,5.7181729865107,64800.0
60,1970-03-31,27.12,27.38,26.62,27.0,26000.0,5.6928713361279,52000.0
61,1970-04-01,27.0,27.5,26.88,27.25,19600.0,5.7455831077587,39200.0
62,1970-04-02,27.25,27.38,27.12,27.12,14700.0,5.7181729865107,29400.0
63,1970-04-03,27.12,27.38,26.75,27.38,33700.0,5.7729932290068,67400.0
