Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1987-11-05,15.0,15.25,15.0,15.13,12500.0,0.37587785620256,400000.0
1987-11-06,15.13,15.13,14.75,14.87,15100.0,0.36941862007482,483200.0
1987-11-09,14.25,14.25,13.38,13.5,45000.0,0.33538341432482,1440000.0
1987-11-10,13.25,13.25,12.62,12.62,113800.0,0.31352138435402005,3641600.0
1987-11-11,12.87,13.0,12.13,12.13,39700.0,0.30134820857482003,1270400.0
1987-11-12,12.25,13.0,12.25,12.87,34400.0,0.31973218832299,1100800.0
1987-11-13,12.87,13.0,12.62,12.75,29900.0,0.31675100241788,956800.0
1987-11-16,13.0,13.0,12.0,12.5,484400.0,0.31054019844890995,15500800.0
1987-11-17,12.62,12.62,12.13,12.13,50400.0,0.30134820857482003,1612800.0
1987-11-18,12.25,12.5,12.13,12.5,25200.0,0.31054019844890995,806400.0
1987-11-19,12.25,12.75,12.25,12.62,14500.0,0.31352138435402005,464000.0
1987-11-20,12.38,12.38,12.13,12.13,17000.0,0.30134820857482003,544000.0
1987-11-23,11.87,12.13,11.87,12.13,18200.0,0.30134820857482003,582400.0
1987-11-24,12.0,12.25,11.87,12.25,12500.0,0.30432939447993,400000.0
1987-11-25,12.13,12.38,11.75,12.0,23500.0,0.29811859051095,752000.0
1987-11-27,11.87,12.0,11.75,11.75,56000.0,0.29190778654197,1792000.0
1987-11-30,11.62,11.62,10.0,11.0,37200.0,0.27327537463504004,1190400.0
1987-12-01,11.0,11.13,10.25,10.75,26700.0,0.26706457066606,854400.0
1987-12-02,10.5,10.87,10.38,10.75,12100.0,0.26706457066606,387200.0
1987-12-03,10.62,10.87,10.0,10.25,17500.0,0.2546429627281,560000.0
1987-12-04,10.13,10.38,9.62,9.87,17900.0,0.24520254069526,572800.0
1987-12-07,10.13,10.13,9.25,9.62,32700.0,0.23899173672628,1046400.0
1987-12-08,9.75,10.5,9.75,10.5,46200.0,0.26085376669708,1478400.0
1987-12-09,10.75,12.0,10.75,11.87,22100.0,0.29488897244708,707200.0
1987-12-10,11.62,12.5,11.13,12.38,26900.0,0.3075590125438,860800.0
1987-12-11,12.5,12.62,12.25,12.25,41200.0,0.30432939447993,1318400.0
1987-12-14,12.13,12.13,11.62,12.0,19300.0,0.29811859051095,617600.0
1987-12-15,12.0,12.13,11.87,12.13,79800.0,0.30134820857482003,2553600.0
1987-12-16,12.13,12.75,11.87,12.75,61000.0,0.31675100241788,1952000.0
1987-12-17,13.0,13.75,12.87,13.25,49000.0,0.32917261035584,1568000.0
1987-12-18,13.25,13.25,12.87,13.0,32100.0,0.32296180638685995,1027200.0
1987-12-21,13.0,13.5,13.0,13.25,13000.0,0.32917261035584,416000.0
1987-12-22,13.0,13.38,13.0,13.38,23700.0,0.33240222841971,758400.0
