Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1970-01-02,24.63,25.5,24.63,25.12,9000.0,2.2078979718213,54000.0
1970-01-05,25.38,26.0,25.38,26.0,18466.666666667,2.285244716057,110800.0
1970-01-06,26.0,26.5,25.75,26.0,14800.0,2.285244716057,88800.0
1970-01-07,26.0,26.37,25.88,25.88,10800.0,2.2746974327521,64800.0
1970-01-08,26.0,26.5,26.0,26.5,9400.0,2.3291917298274,56400.0
1970-01-09,26.5,26.62,26.0,26.25,12600.0,2.3072182229422005,75600.0
1970-01-12,26.25,26.25,25.88,26.13,9466.6666666667,2.2966709396373,56800.0
1970-01-13,26.13,26.13,25.25,25.25,17466.666666667,2.2193241954015,104800.0
1970-01-14,25.25,25.88,25.25,25.88,7466.666666666701,2.2746974327521,44800.0
1970-01-15,25.62,25.62,25.12,25.25,11000.0,2.2193241954015,66000.0
1970-01-16,25.25,25.62,25.0,25.25,7400.0,2.2193241954015,44400.0
1970-01-19,25.25,25.62,25.0,25.38,7200.0,2.2307504189818,43200.0
1970-01-20,25.38,25.5,24.75,25.25,8200.0,2.2193241954015,49200.0
1970-01-21,25.5,28.0,25.5,27.25,23400.0,2.3951122504827995,140400.0
1970-01-22,27.25,27.5,26.25,26.37,25666.666666667003,2.3177655062471003,154000.0
1970-01-23,26.37,26.5,25.75,25.88,10200.0,2.2746974327521,61200.0
1970-01-26,25.75,25.75,24.5,25.0,15600.0,2.1973506885164,93600.0
1970-01-27,25.0,25.0,24.38,25.0,9000.0,2.1973506885164,54000.0
1970-01-28,24.75,24.75,23.75,23.75,17666.666666667,2.0874831540906,106000.0
1970-01-29,23.62,23.62,22.88,23.37,36666.666666667,2.0540834236251,220000.0
1970-01-30,23.37,23.5,23.0,23.5,27066.666666667003,2.0655096472054,162400.0
1970-02-02,23.5,23.75,23.25,23.75,22000.0,2.0874831540906,132000.0
1970-02-03,23.75,24.0,23.13,24.0,23200.0,2.1094566609757,139200.0
1970-02-04,24.0,24.0,23.0,23.37,24600.0,2.0584781250021003,147600.0
1970-02-05,23.37,23.37,22.88,23.0,12666.666666666999,2.0258877567415,76000.00000000201
1970-02-06,23.0,23.13,22.75,23.0,18266.666666667,2.0258877567415,109600.0
1970-02-09,23.0,23.0,22.75,23.0,19866.666666667,2.0258877567415,119200.0
1970-02-10,23.0,23.0,22.75,23.0,10400.0,2.0258877567415,62400.0
1970-02-11,23.0,23.25,22.88,23.25,12466.666666666999,2.0479082758365,74800.00000000201
1970-02-12,23.25,23.25,22.88,23.0,11200.0,2.0258877567415,67200.0
1970-02-13,23.0,23.25,22.88,23.0,8000.0,2.0258877567415,48000.0
1970-02-16,23.0,23.13,22.75,23.13,11400.0,2.0373384266709,68400.0
1970-02-17,23.0,23.0,22.5,22.5,13800.0,1.9818467185515,82800.0
1970-02-18,22.62,23.13,22.62,22.75,13400.0,2.0038672376465,80400.0
1970-02-19,22.75,23.25,22.62,22.62,17066.666666667,1.9924165677171,102400.0
1970-02-20,22.75,23.5,22.75,22.88,30000.0,2.0153179075759,180000.0
1970-02-24,22.88,23.13,22.88,23.0,26600.0,2.0258877567415,159600.0
1970-02-25,23.0,23.25,22.75,23.0,32066.666666667003,2.0258877567415,192400.0
1970-02-26,23.0,23.13,22.75,22.88,30600.0,2.0153179075759,183600.0
1970-02-27,22.88,24.0,22.62,23.5,35400.0,2.0699287949315,212400.0
1970-03-02,23.75,24.63,23.75,24.0,33600.0,2.1139698331216,201600.0
1970-03-03,24.0,24.63,23.75,24.63,19800.0,2.169461541241,118800.0
1970-03-04,24.63,25.12,24.5,24.75,26200.0,2.1800313904066004,157200.0
