Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1995-11-03,21.75,23.5,20.38,22.75,4749000.0,11.375,9498000.0
1995-11-06,22.5,23.25,22.25,22.88,736900.0,11.44,1473800.0
1995-11-07,23.0,23.0,22.25,22.5,665000.0,11.25,1330000.0
1995-11-08,22.0,22.75,22.0,22.25,166900.0,11.125,333800.0
1995-11-09,22.25,23.0,22.25,22.75,112700.0,11.375,225400.0
1995-11-10,22.25,23.0,21.75,21.75,210000.0,10.875,420000.0
1995-11-13,22.5,22.5,21.75,22.25,96500.0,11.125,193000.0
1995-11-14,21.75,22.5,21.75,21.75,207200.0,10.875,414400.0
1995-11-15,21.75,22.75,21.75,22.19,169200.0,11.095,338400.0
1995-11-16,22.75,22.75,21.75,22.5,124500.0,11.25,249000.0
1995-11-17,21.75,22.75,21.75,22.0,57000.0,11.0,114000.0
1995-11-20,22.0,22.75,22.0,22.0,52800.0,11.0,105600.0
1995-11-21,22.75,22.75,22.0,22.0,68600.0,11.0,137200.0
1995-11-22,22.0,22.75,22.0,22.0,133200.0,11.0,266400.0
1995-11-24,22.75,22.75,22.25,22.69,10900.0,11.345,21800.0
1995-11-27,22.25,23.75,22.25,23.0,108200.0,11.5,216400.0
1995-11-28,23.25,23.5,23.0,23.5,20800.0,11.75,41600.0
1995-11-29,23.0,25.75,23.0,25.5,305900.0,12.75,611800.0
1995-11-30,25.75,26.0,25.0,25.25,171900.0,12.625,343800.0
1995-12-01,25.25,25.75,25.0,25.25,126900.0,12.625,253800.0
1995-12-04,25.5,25.5,24.25,24.38,78200.0,12.19,156400.0
1995-12-05,24.75,24.75,24.25,24.75,99700.0,12.375,199400.0
1995-12-06,24.75,25.0,24.25,24.88,33000.0,12.44,66000.0
1995-12-07,24.25,25.0,24.25,24.25,96000.0,12.125,192000.0
1995-12-08,25.0,25.0,24.25,24.5,144200.0,12.25,288400.0
1995-12-11,24.5,25.0,24.25,24.5,69300.0,12.25,138600.0
1995-12-12,25.0,25.0,24.0,24.25,259500.0,12.125,519000.0
1995-12-13,24.0,24.25,23.5,23.75,203100.0,11.875,406200.0
1995-12-14,23.25,23.75,23.0,23.25,40700.0,11.625,81400.0
1995-12-15,22.75,23.25,22.75,23.25,61500.0,11.625,123000.0
1995-12-18,22.75,23.25,22.75,22.75,14800.0,11.375,29600.0
1995-12-19,23.25,23.38,22.75,23.25,82400.0,11.625,164800.0
1995-12-20,23.0,23.75,23.0,23.75,93900.0,11.875,187800.0
1995-12-21,23.88,24.0,23.25,23.25,3200.0,11.625,6400.0
1995-12-22,24.0,24.0,23.25,24.0,3300.0,12.0,6600.0
1995-12-26,23.25,24.0,23.25,23.25,2900.0,11.625,5800.0
1995-12-27,24.0,26.75,23.5,26.75,97700.0,13.375,195400.0
1995-12-28,27.0,29.0,27.0,28.25,341200.0,14.125,682400.0
1995-12-29,28.25,29.5,27.75,29.5,166900.0,14.75,333800.0
1996-01-02,29.0,29.25,27.25,27.25,60600.0,13.625,121200.0
1996-01-03,27.75,27.75,25.75,26.25,153900.0,13.125,307800.0
1996-01-04,26.25,26.25,23.5,24.38,181400.0,12.19,362800.0
1996-01-05,24.5,24.5,23.62,24.25,75400.0,12.125,150800.0
1996-01-08,24.25,24.25,23.62,23.62,5300.0,11.81,10600.0
1996-01-09,24.5,24.5,23.75,23.81,93800.0,11.905,187600.0
1996-01-10,24.25,24.25,23.75,24.25,143500.0,12.125,287000.0
1996-01-11,24.25,24.25,23.75,23.75,48400.0,11.875,96800.0
1996-01-12,24.75,24.75,23.75,23.75,13800.0,11.875,27600.0
1996-01-15,24.75,24.75,23.75,23.75,18400.0,11.875,36800.0
1996-01-16,23.75,24.75,23.75,24.5,5400.0,12.25,10800.0
1996-01-17,24.5,24.75,23.75,24.5,41600.0,12.25,83200.0
1996-01-18,24.38,25.25,24.38,25.25,23200.0,12.625,46400.0
1996-01-19,25.75,26.75,25.25,26.75,102600.0,13.375,205200.0
1996-01-22,26.75,28.0,26.25,28.0,73600.0,14.0,147200.0
1996-01-23,28.0,28.75,28.0,28.38,64600.0,14.19,129200.0
1996-01-24,28.75,28.75,27.25,28.25,64600.0,14.125,129200.0
1996-01-25,27.25,28.25,27.25,28.25,16600.0,14.125,33200.0
1996-01-26,27.25,28.0,27.25,27.25,11100.0,13.625,22200.0
1996-01-29,28.0,28.0,27.25,28.0,22100.0,14.0,44200.0
1996-01-30,28.0,28.75,27.5,28.0,36100.0,14.0,72200.0
1996-01-31,28.75,30.0,28.0,29.5,106800.0,14.75,213600.0
1996-02-01,30.0,30.25,28.5,28.5,61100.0,14.25,122200.0
1996-02-02,29.0,29.5,27.25,29.25,73200.0,14.625,146400.0
1996-02-05,29.75,30.0,29.0,29.25,42600.0,14.625,85200.0
1996-02-06,30.0,30.0,29.25,29.5,18700.0,14.75,37400.0
1996-02-07,29.0,30.0,29.0,30.0,11200.0,15.0,22400.0
1996-02-08,30.0,30.0,29.25,29.25,13300.0,14.625,26600.0
1996-02-09,29.25,29.75,29.25,29.5,28300.0,14.75,56600.0
1996-02-12,29.75,29.75,29.25,29.5,81700.0,14.75,163400.0
1996-02-13,29.25,30.0,29.25,29.62,76600.0,14.81,153200.0
1996-02-14,30.0,30.0,29.5,29.5,860200.0,14.75,1720400.0
1996-02-15,30.0,30.0,29.0,29.0,3600.0,14.5,7200.0
1996-02-16,29.0,29.75,29.0,29.25,47400.0,14.625,94800.0
1996-02-20,29.75,29.75,29.0,29.0,10400.0,14.5,20800.0
1996-02-21,29.75,29.75,29.0,29.0,6300.0,14.5,12600.0
1996-02-22,29.75,29.75,29.0,29.75,5800.0,14.875,11600.0
1996-02-23,29.0,29.75,29.0,29.12,58600.0,14.56,117200.0
1996-02-26,29.5,29.5,29.0,29.38,13500.0,14.69,27000.0
1996-02-27,29.5,29.5,29.0,29.0,154000.0,14.5,308000.0
1996-02-28,29.0,29.5,29.0,29.0,2900.0,14.5,5800.0
1996-02-29,29.5,29.5,29.0,29.0,22700.0,14.5,45400.0
1996-03-01,29.38,29.38,28.75,29.25,48500.0,14.625,97000.0
