Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1983-04-06,62.37,62.37,61.12,61.37,27391.091532061,1.1801892664248,139900.0
1983-04-07,61.37,61.5,58.75,59.37,84287.81204111599,1.1417278270758,430500.0
1983-04-08,59.0,59.63,58.63,59.63,12980.910425843998,1.1467278141911,66299.99999999799
1983-04-11,59.88,61.37,59.63,61.25,41390.11257954,1.1778815800638,211400.0
1983-04-12,61.5,61.63,61.0,61.63,61791.483113069015,1.1851892535402,315600.0
1983-04-13,61.88,63.88,61.75,63.88,31992.168379834,1.2284583728078,163400.0
1983-04-14,63.62,64.25,63.25,64.13,8693.098384728299,1.2332660527264,44400.0
1983-04-15,64.13,65.62,64.13,65.62,31894.273127752997,1.2619198250415,162900.0
1983-04-18,65.88,68.5,65.88,68.13,96093.979441997,1.3101889314245,490800.0
1983-04-19,67.75,68.25,67.38,67.5,22398.433675967,1.2980735780295,114400.0
1983-04-20,69.0,70.75,68.75,70.0,236691.14047969,1.3461503772158,1208900.0
1983-04-21,70.13,70.25,69.38,69.62,52295.643661282,1.3388427037395,267100.0
1983-04-22,69.38,69.38,68.25,68.25,34498.286833089,1.3124966177853998,176200.0
1983-04-25,67.87,68.75,67.0,67.25,77298.091042584,1.2932658981109,394800.0
1983-04-26,67.25,68.0,66.37,67.62,33284.385707293,1.3003812643905,170000.0
1983-04-27,68.13,68.75,67.5,67.62,45795.398923152,1.3003812643905,233900.0
1983-04-28,67.75,68.0,67.5,67.75,48888.888888889014,1.3028812579482,249700.0
1983-04-29,67.5,67.87,67.13,67.87,23984.336759667003,1.3051889443091,122500.0
1983-05-02,67.75,67.87,67.38,67.38,57581.987273617,1.2957658916686,294100.0
1983-05-03,67.62,67.87,67.38,67.38,50983.84728340701,1.2957658916686,260400.0
1983-05-04,67.5,67.75,67.25,67.62,21399.902104748002,1.3003812643905,109300.0
1983-05-05,69.0,70.38,67.5,70.0,88888.888888889,1.3461503772158,454000.0
1983-05-06,70.0,72.38,69.87,72.13,239588.83994126,1.3871118101225,1223700.0
1983-05-09,72.13,73.0,71.0,72.63,41194.322075379,1.3967271699597998,210400.0
1983-05-10,72.38,73.0,72.13,72.63,66999.51052374,1.3967271699597998,342200.0
1983-05-11,72.38,72.38,71.75,72.13,23886.441507587002,1.3871118101225,122000.0
1983-05-12,72.13,72.38,72.0,72.38,45697.503671072,1.3919194900412,233400.0
1983-05-13,72.13,72.38,72.0,72.25,28291.727851199,1.3894194964835,144500.0
1983-05-16,72.0,72.0,71.38,71.62,18384.728340675,1.3773041430884998,93899.999999998
1983-05-17,71.25,71.62,70.75,71.5,15780.71463534,1.3749964567276,80599.99999999901
1983-05-18,71.75,73.0,71.75,72.25,30484.581497797,1.3894194964835,155700.0
1983-05-19,72.5,72.75,71.75,71.75,80293.685756241,1.3798041366461995,410100.0
1983-05-20,71.5,71.75,70.62,71.75,16485.560450318,1.3798041366461995,84199.99999999901
