Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1983-12-30,44.0,44.5,43.5,44.0,47000.0,6.142492692879701,211500.0
1984-01-03,43.94,44.25,43.62,44.0,85667.0,6.142492692879701,385501.5
1984-01-04,44.84,45.87,44.25,45.87,65000.0,6.4035486323271,292500.0
1984-01-05,46.81,47.38,46.25,47.38,76467.0,6.614347813378202,344101.5
1984-01-06,46.88,47.38,46.38,46.88,43200.0,6.54454676005,194400.0
1984-01-09,47.0,47.38,46.62,47.0,48067.0,6.561299012848799,216301.5
1984-01-10,47.69,48.25,47.12,47.88,31800.0,6.6841488667064,143100.0
1984-01-11,47.88,49.0,47.38,48.87,88400.0,6.8223549522962,397800.0
1984-01-12,48.87,49.63,48.63,49.37,66200.0,6.8921560056243,297900.0
1984-01-13,49.87,50.25,49.5,49.63,131400.0,6.928452553355,591300.0
1984-01-16,49.37,49.63,49.13,49.13,23067.0,6.8586515000268,103801.5
1984-01-17,49.13,49.13,48.0,48.25,29800.0,6.7358016461692,134100.0
1984-01-18,48.94,49.5,48.38,49.37,300600.0,6.8921560056243,1352700.0
1984-01-19,49.37,49.63,49.13,49.37,54467.0,6.8921560056243,245101.5
1984-01-20,49.37,49.37,48.75,49.0,37400.0,6.8405032261615,168300.0
1984-01-23,49.44,49.75,49.13,49.63,54667.0,6.928452553355,246001.5
1984-01-24,49.94,50.25,49.63,50.25,65000.0,7.015005859481901,292500.0
1984-01-25,50.94,51.25,50.62,50.75,54000.0,7.084806912810099,243000.0
1984-01-26,50.75,50.88,50.13,50.25,47200.0,7.015005859481901,212400.0
1984-01-27,50.25,50.25,49.63,50.0,40667.0,6.9801053328178,183001.5
1984-01-30,49.75,49.87,49.63,49.75,22200.0,6.9452048061537015,99900.0
1984-01-31,49.75,51.25,49.75,50.5,78267.0,7.049906386146,352201.5
1984-02-01,50.5,51.0,49.63,49.75,50067.0,6.9452048061537015,225301.5
1984-02-02,49.75,49.87,49.37,49.37,51267.0,6.8921560056243,230701.5
1984-02-03,50.0,50.5,49.5,49.75,71067.0,6.9452048061537015,319801.5
1984-02-06,48.94,49.63,48.25,48.63,15000.0,6.7888504466986,67500.0
1984-02-07,48.0,48.38,47.62,48.0,47200.0,6.700901119505099,212400.0
1984-02-08,48.0,48.87,47.62,48.25,87800.0,6.7358016461692,395100.0
1984-02-09,48.25,48.5,47.75,48.0,43667.0,6.700901119505099,196501.5
1984-02-10,48.0,48.63,48.0,48.63,51667.0,6.7888504466986,232501.5
1984-02-13,48.63,49.0,48.5,48.5,72000.0,6.7707021728333,324000.0
1984-02-14,48.5,49.5,48.38,49.5,30000.0,6.9103042794897,135000.0
1984-02-15,49.5,50.5,49.25,50.25,120800.0,7.015005859481901,543600.0
1984-02-16,50.25,51.38,50.0,51.0,80467.0,7.1197074394742,362101.5
