,Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
0,1984-12-17,46.5,47.25,46.5,46.88,61100.0,3.0096123271045,488800.0
1,1984-12-18,48.0,48.75,47.88,48.12,95100.0,3.0892181139136,760800.0
2,1984-12-19,48.12,48.12,47.0,47.38,41500.0,3.0417114346888,332000.0
3,1984-12-20,47.12,47.5,46.62,47.5,48000.0,3.0494152205091,384000.0
4,1984-12-21,47.62,47.62,45.62,46.5,67500.0,2.9852170053405,540000.0
5,1984-12-24,46.62,47.5,46.62,47.12,47600.0,3.025019898745,380800.0
6,1984-12-26,47.0,47.12,46.75,47.12,3800.0,3.025019898745,30400.0
7,1984-12-27,47.12,47.38,46.88,46.88,12100.0,3.0096123271045,96800.0
8,1984-12-28,46.75,47.5,46.75,47.38,69100.0,3.0417114346888,552800.0
9,1984-12-31,47.0,48.0,46.88,47.62,53900.0,3.0571190063293,431200.0
10,1985-01-02,47.62,47.75,47.5,47.75,45400.0,3.0654647743012,363200.0
11,1985-01-03,48.0,48.75,47.5,48.12,79800.0,3.0892181139136,638400.0
12,1985-01-04,48.25,48.38,47.0,47.38,37200.0,3.0417114346888,297600.0
13,1985-01-07,47.5,47.5,46.5,47.25,50800.0,3.0333656667169,406400.0
14,1985-01-08,47.5,48.0,47.38,47.5,21300.0,3.0494152205091,170400.0
15,1985-01-09,47.75,47.88,47.0,47.0,123500.0,3.0173161129248,988000.0
16,1985-01-10,47.12,47.38,47.0,47.38,103400.0,3.0417114346888,827200.0
17,1985-01-11,47.38,47.88,47.38,47.75,100700.0,3.0654647743012,805600.0
18,1985-01-14,47.75,49.88,47.75,49.88,99500.0,3.2022069726104,796000.0
19,1985-01-15,50.0,50.25,49.5,49.75,82900.0,3.1938612046384,663200.0
20,1985-01-16,49.88,49.88,48.62,48.62,101100.0,3.1213172214979,808800.0
21,1985-01-17,48.75,49.0,47.25,47.5,134100.0,3.0494152205091,1072800.0
22,1985-01-18,46.88,46.88,45.0,46.62,344600.0,2.9929207911607003,2756800.0
23,1985-01-21,46.62,47.0,46.0,47.0,93600.0,3.0173161129248,748800.0
24,1985-01-22,47.38,47.75,47.0,47.0,106700.0,3.0173161129248,853600.0
25,1985-01-23,47.25,47.5,47.0,47.38,104500.0,3.0417114346888,836000.0
26,1985-01-24,47.88,48.5,47.62,47.75,118700.0,3.0654647743012,949600.0
27,1985-01-25,48.0,48.12,47.62,47.75,87300.0,3.0654647743012,698400.0
28,1985-01-28,47.75,47.88,47.25,47.38,169400.0,3.0417114346888,1355200.0
29,1985-01-29,47.5,47.5,46.75,47.25,43400.0,3.0333656667169,347200.0
30,1985-01-30,47.0,47.25,46.75,47.12,86500.0,3.025019898745,692000.0
31,1985-01-31,47.25,47.38,46.62,46.75,86100.0,3.0012665591326,688800.0
32,1985-02-01,46.5,46.88,46.38,46.88,32500.0,3.0096123271045,260000.0
33,1985-02-04,46.88,47.75,46.62,47.75,48400.0,3.0654647743012,387200.0
34,1985-02-05,48.0,48.25,47.25,47.88,98800.0,3.0738105422731,790400.0
35,1985-02-06,47.62,47.88,47.5,47.75,74100.0,3.0654647743012,592800.0
36,1985-02-07,48.0,48.38,47.88,48.38,145800.0,3.1059096498574,1166400.0
37,1985-02-08,48.5,48.75,48.38,48.62,60700.0,3.1213172214979,485600.0
38,1985-02-11,48.75,48.88,48.5,48.75,88800.0,3.1296629894698,710400.0
39,1985-02-12,48.75,49.25,48.75,48.88,41900.0,3.1380087574418,335200.0
40,1985-02-13,49.12,51.12,49.12,49.75,67900.0,3.1938612046384,543200.0
41,1985-02-14,51.0,51.0,49.75,50.0,164900.0,3.2099107584306004,1319200.0
42,1985-02-15,50.25,50.62,49.75,49.75,98700.0,3.1938612046384,789600.0
43,1985-02-19,49.75,50.12,49.62,49.88,44300.0,3.2022069726104,354400.0
44,1985-02-20,50.0,51.0,49.88,50.62,98200.0,3.2497136518351,785600.0
45,1985-02-21,50.88,50.88,49.75,49.75,79700.0,3.1938612046384,637600.0
46,1985-02-22,49.62,49.88,49.5,49.75,80500.0,3.1938612046384,644000.0
47,1985-02-25,50.0,50.0,49.5,49.5,21100.0,3.1778116508463,168800.0
48,1985-02-26,49.62,50.25,49.5,49.5,122600.0,3.1778116508463,980800.0
49,1985-02-27,49.75,49.88,49.62,49.75,38200.0,3.1938612046384,305600.0
50,1985-02-28,49.75,49.75,49.0,49.5,29500.0,3.1778116508463,236000.0
51,1985-03-01,49.75,50.12,49.62,49.62,109600.0,3.1855154366665,876800.0
52,1985-03-04,49.12,49.38,49.0,49.38,158200.0,3.1747622356258,1265600.0
53,1985-03-05,49.38,49.62,49.0,49.62,79300.0,3.1901924287515,634400.0
54,1985-03-06,49.62,49.62,49.38,49.62,24700.0,3.1901924287515,197600.0
55,1985-03-07,49.62,49.62,48.38,48.62,164000.0,3.1258999573942,1312000.0
56,1985-03-08,49.0,49.5,48.88,49.25,19600.0,3.1664042143493,156800.0
57,1985-03-11,49.25,49.25,48.62,48.62,50100.0,3.1258999573942,400800.0
58,1985-03-12,48.88,49.12,48.75,49.0,116400.0,3.1503310965099995,931200.0
59,1985-03-13,49.0,49.5,48.5,48.62,40200.0,3.1258999573942,321600.0
60,1985-03-14,48.62,48.62,48.25,48.62,23000.0,3.1258999573942,184000.0
61,1985-03-15,48.62,48.75,48.12,48.12,51000.0,3.0937537217155,408000.0
62,1985-03-18,48.25,48.5,48.0,48.12,47600.0,3.0937537217155,380800.0
63,1985-03-19,48.12,48.5,48.0,48.5,89800.0,3.1181848608313,718400.0
64,1985-03-20,48.38,48.5,48.12,48.12,25000.0,3.0937537217155,200000.0
65,1985-03-21,48.38,48.38,48.12,48.25,30400.0,3.102111742992,243200.0
66,1985-03-22,48.38,48.38,48.12,48.25,99600.0,3.102111742992,796800.0
67,1985-03-25,48.0,48.25,48.0,48.0,17800.0,3.0860386251526,142400.0
68,1985-03-26,48.25,48.62,48.0,48.62,218700.0,3.1258999573942,1749600.0
69,1985-03-27,48.38,49.0,48.38,48.88,84600.0,3.1426159999471004,676800.0
70,1985-03-28,49.0,49.0,48.5,48.5,262900.0,3.1181848608313,2103200.0
71,1985-03-29,48.5,48.88,48.5,48.62,63100.0,3.1258999573942,504800.0
