Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1997-02-04,22.0,22.0,20.62,21.12,13338800.0,10.56,26677600.0
1997-02-05,21.25,21.5,20.25,20.25,3381400.0,10.125,6762800.0
1997-02-06,20.38,20.75,20.25,20.62,1119100.0,10.31,2238200.0
1997-02-07,20.5,20.62,20.5,20.5,702900.0,10.25,1405800.0
1997-02-10,20.5,21.25,20.5,21.0,833400.0,10.5,1666800.0
1997-02-11,21.0,21.25,20.88,21.0,722100.0,10.5,1444200.0
1997-02-12,21.0,21.12,20.62,20.75,390000.0,10.375,780000.0
1997-02-13,20.88,20.88,20.0,20.0,759300.0,10.0,1518600.0
1997-02-14,20.12,20.25,20.0,20.0,255800.0,10.0,511600.0
1997-02-18,20.12,20.12,20.0,20.12,373000.0,10.06,746000.0
1997-02-19,20.0,20.12,20.0,20.0,796500.0,10.0,1593000.0
1997-02-20,20.0,20.12,20.0,20.0,307000.0,10.0,614000.0
1997-02-21,20.0,20.12,20.0,20.0,378200.0,10.0,756400.0
1997-02-24,20.0,20.12,20.0,20.0,122200.0,10.0,244400.0
1997-02-25,20.0,20.12,20.0,20.0,418400.0,10.0,836800.0
1997-02-26,20.0,20.38,20.0,20.25,1303600.0,10.125,2607200.0
1997-02-27,20.25,20.25,20.0,20.0,1057500.0,10.0,2115000.0
1997-02-28,20.0,20.12,20.0,20.12,94200.0,10.06,188400.0
1997-03-03,20.12,20.12,20.0,20.0,1153500.0,10.0,2307000.0
1997-03-04,20.0,20.12,18.75,19.0,812300.0,9.5,1624600.0
1997-03-05,19.0,19.25,18.88,19.12,397900.0,9.56,795800.0
1997-03-06,19.12,19.38,19.12,19.38,524500.0,9.69,1049000.0
1997-03-07,19.25,19.62,19.12,19.62,208500.0,9.81,417000.0
1997-03-10,19.62,20.0,19.5,19.62,283500.0,9.81,567000.0
1997-03-11,19.62,19.62,19.12,19.25,219400.0,9.625,438800.0
1997-03-12,19.38,19.38,19.0,19.0,36100.0,9.5,72200.0
1997-03-13,19.0,19.0,17.5,17.62,134600.0,8.81,269200.0
1997-03-14,17.75,17.75,16.75,16.88,161100.0,8.44,322200.0
1997-03-17,17.0,17.0,16.62,16.88,222900.0,8.44,445800.0
1997-03-18,16.88,17.0,16.62,16.62,198600.0,8.31,397200.0
1997-03-19,16.62,16.88,16.5,16.5,107900.0,8.25,215800.0
1997-03-20,16.5,16.88,16.5,16.88,91300.0,8.44,182600.0
1997-03-21,16.88,16.88,16.62,16.62,32700.0,8.31,65400.0
1997-03-24,16.5,16.5,15.38,16.25,412600.0,8.125,825200.0
1997-03-25,16.12,16.12,15.38,15.5,249800.0,7.75,499600.0
1997-03-26,15.38,15.88,15.38,15.62,124100.0,7.81,248200.0
1997-03-27,15.62,15.62,15.25,15.25,346000.0,7.625,692000.0
1997-03-31,15.25,15.25,14.62,15.0,372900.0,7.5,745800.0
1997-04-01,15.0,15.0,14.38,14.62,533900.0,7.31,1067800.0
1997-04-02,14.62,14.62,14.38,14.62,172000.0,7.31,344000.0
1997-04-03,14.62,14.88,14.38,14.88,529500.0,7.44,1059000.0
1997-04-04,14.75,15.0,14.5,15.0,169000.0,7.5,338000.0
1997-04-07,15.12,17.0,15.12,16.0,375400.0,8.0,750800.0
1997-04-08,15.38,15.62,15.12,15.25,100500.0,7.625,201000.0
1997-04-09,15.38,15.38,15.19,15.25,109700.0,7.625,219400.0
1997-04-10,15.25,15.38,15.12,15.25,37300.0,7.625,74600.0
1997-04-11,15.25,15.25,15.0,15.0,150500.0,7.5,301000.0
1997-04-14,15.0,15.0,14.62,15.0,288500.0,7.5,577000.0
1997-04-15,15.0,15.12,14.62,14.75,145100.0,7.375,290200.0
1997-04-16,14.75,14.88,14.75,14.88,136000.0,7.44,272000.0
1997-04-17,14.88,15.0,14.75,15.0,216100.0,7.5,432200.0
1997-04-18,15.0,15.0,14.5,14.5,168700.0,7.25,337400.0
1997-04-21,14.38,14.5,14.0,14.12,241300.0,7.06,482600.0
1997-04-22,14.0,14.12,13.88,14.0,123000.0,7.0,246000.0
1997-04-23,14.12,14.5,14.12,14.12,44500.0,7.06,89000.0
1997-04-24,14.0,14.12,13.88,13.88,35900.0,6.94,71800.0
1997-04-25,14.0,14.0,13.75,13.75,33800.0,6.875,67600.0
1997-04-28,13.75,13.75,13.5,13.5,199100.0,6.75,398200.0
1997-04-29,13.62,14.0,13.5,14.0,77400.0,7.0,154800.0
1997-04-30,14.0,15.5,14.0,15.0,95600.0,7.5,191200.0
1997-05-01,15.0,15.12,14.88,15.12,47700.0,7.56,95400.0
1997-05-02,15.12,15.12,14.75,14.75,67400.0,7.375,134800.0
1997-05-05,14.88,15.0,14.62,15.0,70200.0,7.5,140400.0
1997-05-06,15.0,15.38,14.75,15.0,80700.0,7.5,161400.0
1997-05-07,15.12,16.0,15.12,15.88,19400.0,7.94,38800.0
1997-05-08,15.5,15.62,15.25,15.25,67800.0,7.625,135600.0
1997-05-09,15.25,15.75,15.25,15.62,44300.0,7.81,88600.0
1997-05-12,15.62,17.12,15.62,16.62,47700.0,8.31,95400.0
1997-05-13,16.62,16.62,16.25,16.38,41600.0,8.19,83200.0
1997-05-14,16.38,16.38,15.62,15.62,81600.0,7.81,163200.0
1997-05-15,15.62,15.62,15.38,15.38,9100.0,7.69,18200.0
1997-05-16,15.38,15.38,15.12,15.12,38800.0,7.56,77600.0
1997-05-19,15.12,15.25,14.62,14.75,34800.0,7.375,69600.0
