Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
2011-12-15,25.0,25.23,23.51,24.2,42259200.0,24.2,42259200.0
2011-12-16,24.45,24.8,23.51,24.1,3998900.0,24.1,3998900.0
2011-12-19,24.5,25.09,24.31,24.88,3245500.0,24.88,3245500.0
2011-12-20,25.02,25.76,25.02,25.45,1710200.0,25.45,1710200.0
2011-12-21,25.64,26.78,25.46,26.55,2501500.0,26.55,2501500.0
2011-12-22,26.45,27.49,26.45,27.27,1145400.0,27.27,1145400.0
2011-12-23,27.52,27.52,26.84,27.0,979800.0,27.0,979800.0
2011-12-27,27.15,27.33,26.88,27.2,535100.0,27.2,535100.0
2011-12-28,27.58,27.58,27.09,27.41,595200.0,27.41,595200.0
2011-12-29,27.5,27.5,27.22,27.22,260400.0,27.22,260400.0
2011-12-30,27.31,27.35,27.11,27.25,302400.0,27.25,302400.0
2012-01-03,27.25,27.53,27.0,27.15,726500.0,27.15,726500.0
2012-01-04,27.19,27.26,26.36,26.4,726900.0,26.4,726900.0
2012-01-05,26.07,27.06,25.5,26.45,785100.0,26.45,785100.0
2012-01-06,26.45,26.72,25.95,26.0,1680800.0,26.0,1680800.0
2012-01-09,25.87,26.27,25.87,26.2,635100.0,26.2,635100.0
2012-01-10,26.47,26.63,26.24,26.42,926800.0,26.42,926800.0
2012-01-11,26.29,26.61,26.13,26.14,759700.0,26.14,759700.0
2012-01-12,26.47,26.47,25.75,26.1,599700.0,26.1,599700.0
2012-01-13,25.93,26.56,25.93,26.56,613300.0,26.56,613300.0
2012-01-17,26.78,28.55,26.75,28.05,2405400.0,28.05,2405400.0
2012-01-18,28.11,28.85,27.95,28.4,899900.0,28.4,899900.0
2012-01-19,28.69,28.8,28.5,28.68,699100.0,28.68,699100.0
2012-01-20,28.75,29.61,28.72,29.35,1809700.0,29.35,1809700.0
2012-01-23,29.71,29.88,28.75,29.76,831700.0,29.76,831700.0
2012-01-24,30.22,30.25,29.21,29.5,1218500.0,29.5,1218500.0
2012-01-25,29.76,30.5,29.65,30.5,919900.0,30.5,919900.0
2012-01-26,30.58,30.65,29.28,29.78,688600.0,29.78,688600.0
2012-01-27,29.74,30.13,29.4,29.85,890100.0,29.85,890100.0
2012-01-30,29.86,29.95,29.32,29.84,307200.0,29.84,307200.0
2012-01-31,29.95,31.37,29.45,30.95,1919900.0,30.95,1919900.0
2012-02-01,31.0,31.74,30.76,31.3,745100.0,31.3,745100.0
2012-02-02,31.57,32.0,31.38,31.67,1047200.0,31.67,1047200.0
2012-02-03,31.81,32.82,31.81,32.51,936900.0,32.51,936900.0
2012-02-06,32.64,33.81,32.39,33.13,1030700.0,33.13,1030700.0
2012-02-07,33.31,33.78,32.65,32.66,1001800.0,32.66,1001800.0
2012-02-08,32.98,33.33,31.75,33.21,1187500.0,33.21,1187500.0
2012-02-09,33.71,34.24,33.13,33.97,1025400.0,33.97,1025400.0
2012-02-10,33.51,33.82,33.38,33.47,896100.0,33.47,896100.0
2012-02-13,34.2,34.87,33.02,33.61,2767800.0,33.61,2767800.0
2012-02-14,39.49,43.0,39.25,42.85,11284200.0,42.85,11284200.0
2012-02-15,43.47,44.97,41.88,42.85,5557000.0,42.85,5557000.0
2012-02-16,42.75,43.81,41.51,42.25,1622400.0,42.25,1622400.0
2012-02-17,42.35,42.7,41.75,41.82,752000.0,41.82,752000.0
2012-02-21,42.07,42.11,40.17,41.1,1417300.0,41.1,1417300.0
2012-02-22,40.66,42.05,39.62,41.05,1773300.0,41.05,1773300.0
2012-02-23,40.76,42.8,40.67,40.76,1174600.0,40.76,1174600.0
2012-02-24,41.07,42.2,40.61,41.51,683200.0,41.51,683200.0
2012-02-27,41.82,44.02,41.57,43.66,1631400.0,43.66,1631400.0
2012-02-28,43.9,43.9,42.26,42.69,1029500.0,42.69,1029500.0
2012-02-29,42.72,44.15,42.24,43.25,1183000.0,43.25,1183000.0
2012-03-01,43.69,46.5,43.6,45.73,2651200.0,45.73,2651200.0
2012-03-02,46.4,48.83,45.34,47.95,2688000.0,47.95,2688000.0
2012-03-05,48.31,49.75,46.34,48.63,3750400.0,48.63,3750400.0
2012-03-06,47.1,47.8,46.36,46.81,2034300.0,46.81,2034300.0
2012-03-07,47.26,47.5,45.44,46.1,1725500.0,46.1,1725500.0
2012-03-08,46.87,47.64,46.29,47.08,1137000.0,47.08,1137000.0
2012-03-09,47.7,50.69,47.49,49.59,3940400.0,49.59,3940400.0
2012-03-12,46.94,48.6,46.3,48.57,3081100.0,48.57,3081100.0
2012-03-13,48.52,49.93,48.13,48.75,2468100.0,48.75,2468100.0
2012-03-14,48.9,48.9,47.17,47.57,1576600.0,47.57,1576600.0
2012-03-15,48.03,48.17,46.7,47.65,1219700.0,47.65,1219700.0
2012-03-16,47.72,47.97,45.72,46.28,1299600.0,46.28,1299600.0
2012-03-19,46.51,47.41,44.59,45.32,2699400.0,45.32,2699400.0
2012-03-20,47.02,48.33,44.31,48.09,5487100.0,48.09,5487100.0
2012-03-21,48.87,49.25,47.97,48.63,2443300.0,48.63,2443300.0
2012-03-22,48.2,50.48,47.97,48.72,3695200.0,48.72,3695200.0
2012-03-23,46.78,47.83,46.62,47.0,18077000.0,47.0,18077000.0
2012-03-26,47.63,47.75,46.94,47.08,3688100.0,47.08,3688100.0
2012-03-27,47.27,47.35,46.35,46.53,2376700.0,46.53,2376700.0
2012-03-28,46.07,46.42,44.95,45.02,3189100.0,45.02,3189100.0
2012-03-29,44.5,45.98,44.46,45.69,2601900.0,45.69,2601900.0
2012-03-30,46.24,46.75,45.0,46.59,4633700.0,46.59,4633700.0
2012-04-02,46.8,47.0,45.92,46.15,1475400.0,46.15,1475400.0
2012-04-03,46.22,47.49,46.22,47.01,1619500.0,47.01,1619500.0
2012-04-04,46.45,47.94,46.3,47.45,1964300.0,47.45,1964300.0
2012-04-05,47.27,48.0,46.96,47.53,3722600.0,47.53,3722600.0
2012-04-09,46.59,47.27,46.4,46.8,1495600.0,46.8,1495600.0
2012-04-10,46.51,46.71,42.3,43.17,5875100.0,43.17,5875100.0
2012-04-11,43.74,44.2,41.39,42.9,4165800.0,42.9,4165800.0
2012-04-12,42.9,44.07,42.79,43.98,1526900.0,43.98,1526900.0
2012-04-13,44.0,44.74,43.03,43.62,1304100.0,43.62,1304100.0
2012-04-16,44.32,44.6,41.08,42.1,3018800.0,42.1,3018800.0
2012-04-17,42.3,43.2,41.91,42.88,1175100.0,42.88,1175100.0
2012-04-18,42.6,43.29,42.25,42.98,1003800.0,42.98,1003800.0
2012-04-19,43.38,44.65,41.61,41.9,2162600.0,41.9,2162600.0
2012-04-20,41.9,42.25,41.2,41.28,1356300.0,41.28,1356300.0
2012-04-23,40.82,43.66,39.73,43.39,3497900.0,43.39,3497900.0
2012-04-24,43.55,44.39,40.95,41.32,2826200.0,41.32,2826200.0
2012-04-25,42.38,42.69,41.01,42.56,1291600.0,42.56,1291600.0
2012-04-26,42.62,44.78,42.6,44.36,1979600.0,44.36,1979600.0
2012-04-27,44.36,46.5,43.2,45.9,2344000.0,45.9,2344000.0
2012-04-30,45.92,46.39,44.82,45.67,2035600.0,45.67,2035600.0
2012-05-01,45.69,48.6,45.4,48.11,4134900.0,48.11,4134900.0
2012-05-02,48.19,49.5,47.51,48.62,2057600.0,48.62,2057600.0
2012-05-03,48.91,48.91,45.64,45.96,2367100.0,45.96,2367100.0
2012-05-04,45.97,46.31,43.42,43.8,2191100.0,43.8,2191100.0
2012-05-07,43.57,45.46,43.25,44.1,2100000.0,44.1,2100000.0
2012-05-08,41.96,42.9,39.5,41.75,5772300.0,41.75,5772300.0
2012-05-09,40.75,42.59,40.6,41.5,2164100.0,41.5,2164100.0
2012-05-10,41.97,42.14,38.85,40.18,4624300.0,40.18,4624300.0
2012-05-11,39.81,41.39,39.64,40.62,1929800.0,40.62,1929800.0
2012-05-14,40.0,40.62,39.53,40.2,2388100.0,40.2,2388100.0
2012-05-15,40.36,41.59,40.12,40.75,2581200.0,40.75,2581200.0
2012-05-16,40.71,40.83,39.1,40.14,4753300.0,40.14,4753300.0
2012-05-17,40.27,40.79,37.6,37.79,4407600.0,37.79,4407600.0
2012-05-18,37.85,38.39,37.07,37.55,2198900.0,37.55,2198900.0
2012-05-21,37.55,40.96,37.0,40.71,2625000.0,40.71,2625000.0
2012-05-22,40.9,42.51,40.8,41.78,2557600.0,41.78,2557600.0
2012-05-23,41.56,42.3,40.4,41.96,1300000.0,41.96,1300000.0
2012-05-24,41.78,41.93,40.2,40.94,1318500.0,40.94,1318500.0
2012-05-25,41.08,41.31,39.9,41.2,1093500.0,41.2,1093500.0
2012-05-29,41.54,42.29,41.18,41.95,1305200.0,41.95,1305200.0
2012-05-30,41.13,41.73,39.5,40.0,1948600.0,40.0,1948600.0
2012-05-31,40.53,40.6,39.02,39.38,1602600.0,39.38,1602600.0
2012-06-01,38.1,38.37,36.88,37.76,2200200.0,37.76,2200200.0
2012-06-04,37.75,38.2,35.95,37.37,1904100.0,37.37,1904100.0
2012-06-05,37.5,38.94,37.12,38.73,1412400.0,38.73,1412400.0
2012-06-06,39.4,40.19,38.42,38.59,1399100.0,38.59,1399100.0
2012-06-07,38.56,38.96,35.73,36.04,3644700.0,36.04,3644700.0
2012-06-08,36.52,38.38,35.5,38.37,3320100.0,38.37,3320100.0
2012-06-11,39.0,39.86,37.74,38.18,4413700.0,38.18,4413700.0
2012-06-12,42.38,42.73,38.03,41.1,22597300.0,41.1,22597300.0
2012-06-13,40.84,42.1,38.48,38.84,11427200.0,38.84,11427200.0
2012-06-14,38.72,39.54,37.05,37.69,4780800.0,37.69,4780800.0
2012-06-15,37.88,39.45,36.81,39.25,6366700.0,39.25,6366700.0
2012-06-18,38.62,39.61,37.55,39.41,2891500.0,39.41,2891500.0
2012-06-19,39.88,42.0,39.75,41.11,4230500.0,41.11,4230500.0
2012-06-20,40.8,42.47,40.68,41.97,3775300.0,41.97,3775300.0
2012-06-21,41.96,43.7,41.0,41.35,3792200.0,41.35,3792200.0
2012-06-22,41.59,43.04,41.41,42.86,4437800.0,42.86,4437800.0
2012-06-25,42.2,43.25,41.72,42.54,2552600.0,42.54,2552600.0
2012-06-26,42.61,44.2,42.56,43.94,2925500.0,43.94,2925500.0
2012-06-27,44.0,44.5,42.59,43.21,3456600.0,43.21,3456600.0
2012-06-28,42.47,42.81,39.74,40.69,5076100.0,40.69,5076100.0
2012-06-29,41.72,42.38,39.92,41.84,2812500.0,41.84,2812500.0
2012-07-02,42.03,43.17,41.72,42.89,2351200.0,42.89,2351200.0
2012-07-03,42.95,43.0,42.3,42.67,852200.0,42.67,852200.0
2012-07-05,42.51,44.73,42.27,44.44,3975400.0,44.44,3975400.0
2012-07-06,43.49,43.82,42.69,43.54,1949900.0,43.54,1949900.0
2012-07-09,42.85,43.63,42.16,42.62,1668100.0,42.62,1668100.0
2012-07-10,43.0,43.49,42.18,42.62,1601700.0,42.62,1601700.0
2012-07-11,42.06,42.58,39.8,40.69,3101900.0,40.69,3101900.0
2012-07-12,40.0,40.03,38.62,39.05,2726500.0,39.05,2726500.0
2012-07-13,39.45,40.09,39.04,39.4,2191800.0,39.4,2191800.0
2012-07-16,39.06,39.26,38.5,38.91,1862600.0,38.91,1862600.0
2012-07-17,39.2,39.5,38.18,38.92,2005000.0,38.92,2005000.0
2012-07-18,38.77,41.22,38.67,40.63,3006100.0,40.63,3006100.0
2012-07-19,41.12,42.32,41.02,41.67,2488900.0,41.67,2488900.0
2012-07-20,41.23,41.23,39.8,39.98,3812800.0,39.98,3812800.0
2012-07-23,38.3,39.95,37.77,39.66,1964900.0,39.66,1964900.0
2012-07-24,39.66,40.65,38.9,39.9,2244900.0,39.9,2244900.0
2012-07-25,39.8,40.84,39.24,39.53,1725500.0,39.53,1725500.0
2012-07-26,40.4,42.0,40.4,41.44,2863100.0,41.44,2863100.0
2012-07-27,41.75,42.12,41.05,41.33,1923000.0,41.33,1923000.0
2012-07-30,41.55,42.05,40.54,41.48,1203200.0,41.48,1203200.0
2012-07-31,39.67,41.6,39.67,41.29,2323300.0,41.29,2323300.0
2012-08-01,41.55,41.55,40.17,40.41,1330100.0,40.41,1330100.0
2012-08-02,40.09,40.78,38.94,39.59,1478600.0,39.59,1478600.0
2012-08-03,40.37,41.35,39.85,41.19,3021800.0,41.19,3021800.0
2012-08-06,41.56,43.6,41.22,42.85,3002800.0,42.85,3002800.0
2012-08-07,44.19,45.2,43.23,43.26,3837400.0,43.26,3837400.0
