Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1987-11-05,24.0,24.25,23.75,24.12,8200.0,1.6060672220636,65600.0
1987-11-06,24.25,24.5,24.12,24.12,1900.0,1.6060672220636,15200.0
1987-11-09,24.25,24.25,24.0,24.0,1200.0,1.5980768378742,9600.0
1987-11-10,24.0,24.62,24.0,24.5,4000.0,1.6313701053298997,32000.0
1987-11-11,24.5,24.75,24.5,24.5,11800.0,1.6313701053298997,94400.0
1987-11-12,24.5,24.62,24.25,24.25,26700.0,1.614723471602,213600.0
1987-11-13,24.25,24.38,23.75,23.75,3300.0,1.5814302041463,26400.0
1987-11-16,24.0,24.25,23.75,23.75,21900.0,1.5814302041463,175200.0
1987-11-17,23.5,23.5,23.12,23.12,7300.0,1.5394806871521003,58400.0
1987-11-18,23.0,23.25,22.75,23.25,42400.0,1.5481369366906002,339200.0
1987-11-19,23.25,23.5,23.12,23.12,40100.0,1.5394806871521003,320800.0
1987-11-20,22.88,22.88,22.5,22.62,8700.0,1.5073526840574,69600.0
1987-11-23,22.62,22.75,22.38,22.62,2400.0,1.5073526840574,19200.0
1987-11-24,23.0,23.5,23.0,23.25,27400.0,1.549334655364,219200.0
1987-11-25,23.12,23.12,23.0,23.0,11200.0,1.5326751429407,89600.0
1987-11-27,23.0,23.0,22.25,22.25,9600.0,1.4826966056709,76800.0
1987-11-30,22.0,22.12,21.0,21.25,18000.0,1.4160585559779,144000.0
1987-12-01,21.5,22.25,21.5,22.12,3600.0,1.4740336592108,28800.0
1987-12-02,22.12,22.38,22.12,22.12,10000.0,1.4740336592108,80000.0
1987-12-03,22.38,22.38,21.75,21.75,55700.0,1.4493775808243998,445600.0
1987-12-04,21.62,21.75,21.0,21.25,27400.0,1.4160585559779,219200.0
1987-12-07,21.12,21.12,21.0,21.0,14100.0,1.3993990435546002,112800.0
1987-12-08,21.0,21.12,20.75,21.0,23300.0,1.3993990435546002,186400.0
1987-12-09,21.0,21.88,21.0,21.62,6700.0,1.4407146343643,53600.0
1987-12-10,21.62,21.75,20.88,20.88,26400.0,1.3914024775913998,211200.0
1987-12-11,21.0,21.0,20.38,20.38,33300.0,1.3580834527449,266400.0
1987-12-14,20.5,21.0,20.5,21.0,12000.0,1.3993990435546002,96000.0
1987-12-15,21.12,21.88,21.12,21.88,13700.0,1.4580405272845,109600.0
1987-12-16,22.12,23.88,22.12,23.62,16600.0,1.5739907337505,132800.0
1987-12-17,23.88,24.0,23.25,23.25,18500.0,1.549334655364,148000.0
1987-12-18,23.25,23.62,23.12,23.62,11300.0,1.5739907337505,90400.0
1987-12-21,23.38,23.5,23.0,23.5,20900.0,1.5659941677873,167200.0
1987-12-22,23.38,23.5,23.12,23.12,46600.0,1.5406717089038997,372800.0
1987-12-23,23.38,23.38,22.38,22.62,12200.0,1.5073526840574,97600.0
1987-12-24,22.38,22.5,22.12,22.38,12600.0,1.491359552131,100800.0
