Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1970-01-02,43.0,44.25,43.0,44.25,23256.0,0.21751237146585,2825604.0
1970-01-05,44.25,45.0,44.0,45.0,18193.0,0.22119902182968,2210449.5
1970-01-06,45.0,45.75,45.0,45.25,16059.0,0.22242790528429,1951168.5
1970-01-07,45.25,45.75,45.0,45.0,22459.0,0.22119902182968,2728768.5
1970-01-08,45.0,45.38,45.0,45.0,18456.0,0.22119902182968,2242404.0
1970-01-09,45.0,45.13,43.5,43.75,27062.0,0.21505460455663,3288033.0
1970-01-12,43.75,43.87,41.5,42.0,20267.0,0.20645242037437,2462440.5
1970-01-13,41.75,41.75,40.88,41.25,19595.0,0.20276577001054,2380792.5
1970-01-14,41.25,41.37,40.88,41.37,8263.0,0.20335563406875,1003954.5
1970-01-15,41.37,41.37,40.88,41.13,15388.0,0.20217590595232,1869642.0
1970-01-16,41.13,41.25,40.25,40.75,13458.0,0.20030800310132,1635147.0
1970-01-19,40.75,40.88,39.13,39.13,10588.0,0.19234483831545,1286442.0
1970-01-20,39.13,40.25,38.25,40.25,23467.0,0.1978502361921,2851240.5
1970-01-21,40.25,41.25,40.0,40.0,9784.0,0.19662135273749,1188756.0
1970-01-22,40.0,40.5,39.13,39.25,16184.0,0.19293470237366006,1966356.0
1970-01-23,39.5,40.0,39.5,39.62,15058.0,0.19475344988648,1829547.0
1970-01-26,39.37,39.37,38.88,39.0,13992.0,0.19170581891905,1700028.0
1970-01-27,39.0,39.13,38.75,39.0,15256.0,0.19170581891905,1853604.0
1970-01-28,39.0,39.0,38.25,38.37,15388.0,0.18860903261344,1869642.0
1970-01-29,38.37,38.5,37.13,37.25,26851.0,0.18310363473679006,3262396.5
1970-01-30,37.25,37.88,37.25,37.75,24454.0,0.18556140164601,2971161.0
1970-02-02,38.25,39.25,38.25,39.0,30051.0,0.19170581891905,3651196.5
1970-02-03,39.0,42.0,39.0,40.5,33251.0,0.19907911964671,4039996.5
1970-02-04,40.62,42.0,40.62,41.5,11858.0,0.20399465346515,1440747.0
1970-02-05,41.5,42.0,41.0,42.0,2667.0,0.20645242037437,324040.5
1970-02-06,42.62,44.25,42.62,44.25,12188.0,0.21751237146585,1480842.0
1970-02-09,44.25,45.0,44.0,44.13,7651.0,0.21692250740764,929596.5
1970-02-10,44.0,44.0,42.75,43.13,6262.0,0.2120069735892,760833.0
1970-02-11,43.13,43.25,41.75,42.87,19384.0,0.21072893479641006,2355156.0
1970-02-12,42.87,43.0,42.0,42.38,5393.0,0.20832032322537,655249.5
1970-02-13,42.38,43.13,42.0,43.13,5788.0,0.2120069735892,703242.0
1970-02-16,43.13,43.5,42.62,42.75,3463.0,0.21013907073819,420754.5
