Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
2013-06-17,43.2,50.0,43.2,45.0,236700.0,45.0,236700.0
2013-06-18,44.5,45.0,43.5,44.0,1082600.0,44.0,1082600.0
2013-06-19,44.0,44.05,43.0,43.1,540800.0,43.1,540800.0
2013-06-20,43.0,43.5,42.0,42.94,1013600.0,42.94,1013600.0
2013-06-21,43.29,43.5,42.04,43.5,913700.0,43.5,913700.0
2013-06-24,44.0,44.0,42.96,43.5,272100.0,43.5,272100.0
2013-06-25,43.5,44.38,42.71,44.0,224300.0,44.0,224300.0
2013-06-26,43.5,45.47,43.31,44.1,1422800.0,44.1,1422800.0
2013-06-27,44.85,45.5,44.22,44.95,612700.0,44.95,612700.0
2013-06-28,45.49,46.65,44.1,45.43,7775700.0,45.43,7775700.0
2013-07-01,45.94,46.43,43.75,44.0,5787000.0,44.0,5787000.0
2013-07-02,43.66,45.26,41.85,42.26,6730400.0,42.26,6730400.0
2013-07-03,42.0,43.1,41.2,43.1,5069300.0,43.1,5069300.0
2013-07-05,42.26,44.32,42.26,44.23,1754500.0,44.23,1754500.0
2013-07-08,43.25,44.27,41.5,43.01,4796400.0,43.01,4796400.0
2013-07-09,42.5,43.51,42.1,43.27,4196300.0,43.27,4196300.0
2013-07-10,42.81,42.83,41.18,42.12,5929100.0,42.12,5929100.0
2013-07-11,42.15,42.57,42.04,42.4,2292300.0,42.4,2292300.0
2013-07-12,42.0,42.44,41.66,41.96,1226900.0,41.96,1226900.0
2013-07-15,41.82,42.03,41.31,41.87,1182200.0,41.87,1182200.0
2013-07-16,41.87,41.87,41.0,41.51,1452700.0,41.51,1452700.0
2013-07-17,41.5,42.05,41.35,41.93,687000.0,41.93,687000.0
2013-07-18,41.93,43.48,41.53,43.09,1417300.0,43.09,1417300.0
2013-07-19,43.39,44.32,42.85,43.48,1329900.0,43.48,1329900.0
2013-07-22,43.2,43.74,43.01,43.51,1226400.0,43.51,1226400.0
2013-07-23,43.3,44.5,43.23,44.0,735000.0,44.0,735000.0
2013-07-24,43.97,44.4,43.5,43.98,889100.0,43.98,889100.0
2013-07-25,43.67,44.65,43.67,44.38,862000.0,44.38,862000.0
2013-07-26,44.16,45.56,43.78,45.05,740200.0,45.05,740200.0
2013-07-29,45.35,46.66,45.0,46.2,1976100.0,46.2,1976100.0
2013-07-30,46.07,47.23,45.73,47.16,1033600.0,47.16,1033600.0
2013-07-31,47.25,47.68,45.63,45.89,1145400.0,45.89,1145400.0
2013-08-01,46.26,48.26,46.08,46.22,974400.0,46.22,974400.0
2013-08-02,46.47,46.56,44.92,45.83,539600.0,45.83,539600.0
2013-08-05,45.51,46.0,45.0,45.14,388700.0,45.14,388700.0
2013-08-06,45.1,45.2,43.83,44.36,821300.0,44.36,821300.0
2013-08-07,44.04,44.86,44.02,44.78,373900.0,44.78,373900.0
2013-08-08,44.85,46.05,44.83,45.92,947000.0,45.92,947000.0
2013-08-09,45.0,45.77,44.51,45.36,914800.0,45.36,914800.0
2013-08-12,44.55,45.57,44.32,45.32,538300.0,45.32,538300.0
2013-08-13,45.13,45.28,44.21,44.66,1236500.0,44.66,1236500.0
2013-08-14,44.51,44.6,44.0,44.11,547600.0,44.11,547600.0
2013-08-15,43.85,44.52,42.79,42.89,734600.0,42.89,734600.0
2013-08-16,42.75,42.83,42.16,42.69,486600.0,42.69,486600.0
2013-08-19,42.58,43.55,42.5,42.82,343500.0,42.82,343500.0
2013-08-20,42.98,43.25,42.7,43.0,313700.0,43.0,313700.0
2013-08-21,42.74,43.25,42.02,42.5,335600.0,42.5,335600.0
2013-08-22,42.35,42.57,42.02,42.5,457400.0,42.5,457400.0
2013-08-23,42.43,42.96,42.12,42.33,268200.0,42.33,268200.0
2013-08-26,42.26,43.15,42.21,42.66,286400.0,42.66,286400.0
2013-08-27,42.51,42.74,42.06,42.64,320700.0,42.64,320700.0
2013-08-28,43.11,44.69,42.4,43.98,643700.0,43.98,643700.0
2013-08-29,44.0,44.23,43.45,44.07,240300.0,44.07,240300.0
2013-08-30,41.89,44.17,41.89,43.65,452100.0,43.65,452100.0
2013-09-03,43.75,44.87,43.09,44.62,692500.0,44.62,692500.0
2013-09-04,44.38,45.78,44.26,45.02,552400.0,45.02,552400.0
2013-09-05,44.9,46.57,44.71,46.1,840700.0,46.1,840700.0
2013-09-06,45.97,48.06,45.62,46.84,1195400.0,46.84,1195400.0
2013-09-09,46.76,47.06,44.73,46.58,970700.0,46.58,970700.0
2013-09-10,45.98,46.61,45.37,45.4,667600.0,45.4,667600.0
2013-09-11,45.09,45.27,44.39,44.9,577900.0,44.9,577900.0
2013-09-12,44.74,45.05,44.05,44.46,593600.0,44.46,593600.0
2013-09-13,44.36,44.5,43.5,43.6,565100.0,43.6,565100.0
2013-09-16,43.79,43.99,43.02,43.26,705700.0,43.26,705700.0
2013-09-17,43.2,43.75,43.02,43.34,482300.0,43.34,482300.0
2013-09-18,43.22,43.59,42.55,43.1,570800.0,43.1,570800.0
