Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
2011-01-27,24.9,25.85,24.9,25.4,5809300.0,24.231869941733,5809300.0
2011-01-28,25.4,25.4,25.0,25.0,2611900.0,23.850265690682,2611900.0
2011-01-31,24.98,26.5,24.75,26.07,2505300.0,24.871057062243,2505300.0
2011-02-01,26.45,26.63,25.5,25.75,2155300.0,24.565773661402,2155300.0
2011-02-02,25.98,26.33,25.74,25.95,1173100.0,24.756575786928,1173100.0
2011-02-03,25.76,26.08,25.75,25.95,668300.0,24.756575786928,668300.0
2011-02-04,26.05,27.1,25.75,26.08,720200.0,24.880597168519,720200.0
2011-02-07,26.05,26.2,25.64,25.79,1204800.0,24.603934086507,1204800.0
2011-02-08,25.7,26.06,25.65,26.03,3632000.0,24.832896637138,3632000.0
2011-02-09,25.97,26.2,25.53,25.58,873200.0,24.403591854706,873200.0
2011-02-10,25.5,25.64,25.0,25.4,1149600.0,24.231869941733,1149600.0
2011-02-11,26.02,26.02,25.11,25.22,2107900.0,24.06014802876,2107900.0
2011-02-14,25.47,25.47,25.11,25.37,1122500.0,24.203249622904,1122500.0
2011-02-15,25.32,25.42,25.06,25.38,887500.0,24.21278972918,887500.0
2011-02-16,25.31,26.0,25.31,26.0,853400.0,24.804276318309,853400.0
2011-02-17,25.88,27.21,25.88,27.01,1733100.0,25.767827052213,1733100.0
2011-02-18,27.08,27.84,26.9,27.69,1360800.0,26.416554278999,1360800.0
2011-02-22,27.15,27.49,26.21,26.42,1109400.0,25.204960781912998,1109400.0
2011-02-23,26.15,26.72,25.97,26.66,1125400.0,25.433923332543,1125400.0
2011-02-24,26.46,26.52,25.94,25.95,496900.0,24.756575786928,496900.0
2011-02-25,26.04,26.16,25.78,25.99,556100.0,24.794736212033,556100.0
2011-02-28,26.11,26.74,25.96,26.59,872400.0,25.367142588609,872400.0
2011-03-01,26.0,27.5,25.92,27.13,1033500.0,25.882308327528,1033500.0
2011-03-02,27.05,27.25,26.74,26.92,419700.0,25.681966095726,419700.0
2011-03-03,26.84,26.94,26.07,26.74,2173600.0,25.510244182753,2173600.0
2011-03-04,26.52,27.04,26.32,26.55,719100.0,25.328982163504,719100.0
2011-03-07,27.27,27.84,26.85,27.0,1476600.0,25.758286945935996,1476600.0
2011-03-08,27.0,27.49,26.9,27.1,921300.0,25.853688008699002,921300.0
2011-03-09,27.0,27.18,26.68,26.97,470800.0,25.729666627108003,470800.0
2011-03-10,26.47,26.94,25.87,26.02,1128300.0,24.823356530862004,1128300.0
2011-03-11,25.81,26.48,25.81,26.0,706900.0,24.804276318309,706900.0
2011-03-14,25.79,26.76,25.77,26.46,786600.0,25.243121207018,786600.0
2011-03-15,25.9,26.58,25.81,26.34,859600.0,25.128639931701997,859600.0
2011-03-16,26.32,26.38,25.71,26.03,1261100.0,24.832896637138,1261100.0
2011-03-17,26.43,26.49,26.04,26.09,363600.0,24.890137274796,363600.0
2011-03-18,26.2,26.66,26.2,26.64,663900.0,25.414843119991,663900.0
2011-03-21,26.65,27.06,26.44,27.0,377600.0,25.758286945935996,377600.0
2011-03-22,26.91,27.47,26.82,27.15,720600.0,25.901388540081,720600.0
2011-03-23,27.01,27.38,26.63,26.78,812000.0,25.548404607858,812000.0
2011-03-24,26.85,27.14,26.43,27.06,225200.0,25.815527583593997,225200.0
2011-03-25,27.21,28.15,27.21,27.62,475200.0,26.349773535064998,475200.0
2011-03-28,27.58,28.02,27.34,27.49,605300.0,26.225752153474,605300.0
2011-03-29,27.52,27.94,27.31,27.94,410800.0,26.655056935906,410800.0
2011-03-30,28.01,28.15,27.62,27.82,912000.0,26.540575660591006,912000.0
2011-03-31,27.84,27.95,27.15,27.31,5847400.0,26.054030240501,5847400.0
2011-04-01,27.4,27.66,27.01,27.29,609800.0,26.034950027948,609800.0
2011-04-04,27.28,28.0,27.28,27.75,945500.0,26.473794916657,945500.0
2011-04-05,27.64,27.64,27.17,27.41,273400.0,26.149431303264,273400.0
2011-04-06,27.49,27.53,27.06,27.5,653900.0,26.23529225975,653900.0
2011-04-07,27.39,27.61,26.94,27.48,242400.0,26.216212047198,242400.0
2011-04-08,27.77,27.77,26.91,27.03,446100.0,25.786907264765,446100.0
2011-04-11,27.0,27.97,26.88,27.65,483700.0,26.378393853894,483700.0
2011-04-12,27.48,28.26,27.32,28.08,1260300.0,26.788618423774,1260300.0
2011-04-13,28.18,28.42,27.93,28.07,1031600.0,26.779078317498,1031600.0
2011-04-14,27.97,28.05,27.48,27.66,161600.0,26.387933960170002,161600.0
2011-04-15,27.63,28.03,27.54,28.02,246800.0,26.731377786116,246800.0
2011-04-18,27.7,27.88,27.22,27.3,311500.0,26.044490134225,311500.0
2011-04-19,27.3,28.19,27.27,27.6,371200.0,26.330693322513,371200.0
2011-04-20,27.92,28.0,27.14,27.28,1493500.0,26.025409921672,1493500.0
2011-04-21,27.48,29.23,27.48,28.75,1009500.0,27.427805544284002,1009500.0
2011-04-25,28.87,29.06,27.81,28.6,1074200.0,27.28470395014,1074200.0
2011-04-26,28.6,28.74,28.09,28.47,491200.0,27.160682568549,491200.0
2011-04-27,28.57,29.11,28.52,28.72,848500.0,27.399185225455,848500.0
2011-04-28,28.77,31.5,28.65,29.32,2091200.0,27.971591602032,2091200.0
2011-04-29,29.38,30.1,29.27,29.89,1065600.0,28.515377659779,1065600.0
2011-05-02,29.89,30.15,29.74,29.83,437800.0,28.458137022122003,437800.0
2011-05-03,29.85,29.95,29.26,29.35,470700.0,28.000211920861002,470700.0
2011-05-04,29.5,29.58,28.58,28.85,599000.0,27.523206607047,599000.0
2011-05-05,28.77,29.83,28.75,29.77,415600.0,28.400896384464,415600.0
2011-05-06,29.94,30.13,29.6,29.83,198500.0,28.458137022122003,198500.0
2011-05-09,29.9,30.78,29.78,30.29,742200.0,28.89698191083,742200.0
2011-05-10,30.43,30.85,30.09,30.22,328500.0,28.830201166896,328500.0
2011-05-11,30.41,30.5,30.04,30.19,701900.0,28.801580848068,701900.0
2011-05-12,30.08,30.52,29.35,30.27,657000.0,28.877901698278,657000.0
2011-05-13,30.37,30.72,29.91,30.6,383700.0,29.192725205395003,383700.0
2011-05-16,30.49,31.47,30.2,30.9,694400.0,29.478928393683,694400.0
2011-05-17,30.89,32.62,30.89,32.06,1846300.0,30.585580721731,1846300.0
2011-05-18,31.13,32.33,30.73,32.03,1327400.0,30.556960402902003,1327400.0
2011-05-19,31.9,32.15,31.35,31.7,643200.0,30.242136895785,643200.0
2011-05-20,31.73,32.07,31.5,31.94,599400.0,30.471099446415,599400.0
2011-05-23,31.69,32.03,31.21,31.45,732900.0,30.003634238878004,732900.0
2011-05-24,31.74,31.75,30.13,30.61,1721400.0,29.202265311671,1721400.0
2011-05-25,30.61,31.86,30.33,30.74,1114400.0,29.326286693263,1114400.0
2011-05-26,30.77,31.2,30.54,31.02,669100.0,29.593409668998,669100.0
2011-05-27,31.31,31.83,31.09,31.36,1110200.0,29.917773282391,1110200.0
2011-05-31,31.78,33.0,31.25,31.49,4236000.0,30.041794663983,4236000.0
2011-06-01,31.59,31.69,30.7,30.83,618100.0,29.412147649749,618100.0
2011-06-02,30.9,32.11,30.85,32.0,597600.0,30.528340084073,597600.0
2011-06-03,31.65,31.96,31.14,31.62,360400.0,30.165816045575,360400.0
2011-06-06,31.64,31.79,31.07,31.15,281200.0,29.71743105059,281200.0
2011-06-07,31.18,32.06,31.15,31.77,782900.0,30.308917639719,782900.0
2011-06-08,31.64,31.85,31.38,31.44,397200.0,29.994094132602,397200.0
2011-06-09,31.55,31.55,31.13,31.49,153200.0,30.041794663983,153200.0
2011-06-10,31.43,31.43,30.29,30.56,280900.0,29.15456478029,280900.0
2011-06-13,30.54,31.27,30.48,30.64,508900.0,29.2308856305,508900.0
2011-06-14,30.82,31.2,30.57,30.61,242200.0,29.202265311671,242200.0
2011-06-15,30.36,31.16,29.72,29.74,848200.0,28.372276065635,848200.0
