Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1995-11-21,17.25,21.25,17.25,20.5,3213300.0,1.2292942161381,51412800.0
1995-11-22,20.5,25.75,20.25,25.0,745100.0,1.4991392879732002,11921600.0
1995-11-24,25.0,27.25,25.0,27.0,151200.0,1.6190704310111002,2419200.0
1995-11-27,28.5,29.0,24.5,25.25,420000.0,1.514130680853,6720000.0
1995-11-28,25.25,25.75,25.0,25.5,215700.0,1.5291220737327,3451200.0
1995-11-29,25.0,29.0,25.0,28.75,226800.0,1.7240101811692,3628800.0
1995-11-30,28.75,31.75,28.25,30.25,515900.0,1.8139585384476,8254400.0
1995-12-01,30.75,31.5,29.75,30.0,163500.0,1.7989671455679,2616000.0
1995-12-04,30.0,38.5,30.0,37.5,372600.0,2.2487089319599,5961600.0
1995-12-05,37.5,38.0,35.25,35.38,181700.0,2.1215819203397,2907200.0
1995-12-06,35.75,36.25,33.25,33.5,216000.0,2.0088466458841,3456000.0
1995-12-07,33.5,33.5,31.75,31.75,166600.0,1.903906895726,2665600.0
1995-12-08,31.75,36.25,31.75,35.25,193700.0,2.1137863960423,3099200.0
1995-12-11,35.5,35.75,34.75,35.75,35300.0,2.1437691818017,564800.0
1995-12-12,36.0,37.75,34.75,36.75,130400.0,2.2037347533207003,2086400.0
1995-12-13,37.38,37.38,36.5,37.0,94400.0,2.2187261462004,1510400.0
1995-12-14,36.75,37.25,36.75,36.75,41800.0,2.2037347533207003,668800.0
1995-12-15,36.75,37.5,35.75,35.75,164700.0,2.1437691818017,2635200.0
1995-12-18,36.0,36.75,31.5,32.25,77900.0,1.9338896814855,1246400.0
1995-12-19,31.25,33.0,30.56,32.5,285500.0,1.9488810743652,4568000.0
1995-12-20,33.5,34.5,32.0,34.0,142200.0,2.0388294316436,2275200.0
1995-12-21,34.5,34.75,33.5,33.75,20100.0,2.0238380387639,321600.0
1995-12-22,33.0,35.0,33.0,34.0,103600.0,2.0388294316436,1657600.0
1995-12-26,34.0,36.5,33.75,36.25,142900.0,2.1737519675612,2286400.0
1995-12-27,36.5,37.75,35.12,37.25,164600.0,2.2337175390801,2633600.0
1995-12-28,36.75,40.0,36.75,39.25,160600.0,2.353648682118,2569600.0
1995-12-29,39.75,41.75,39.25,40.12,120000.0,2.4058187293395,1920000.0
1996-01-02,40.0,40.0,38.0,38.0,118300.0,2.2786917177193,1892800.0
1996-01-03,38.0,38.5,33.5,34.0,208500.0,2.0388294316436,3336000.0
1996-01-04,34.25,34.25,27.0,30.0,377600.0,1.7989671455679,6041600.0
1996-01-05,30.25,33.0,29.0,31.0,204600.0,1.8589327170868,3273600.0
1996-01-08,31.5,32.0,31.25,31.25,10400.0,1.8739241099666,166400.0
1996-01-09,32.0,32.0,26.5,27.0,156300.0,1.6190704310111002,2500800.0
1996-01-10,25.75,27.5,25.25,26.0,188500.0,1.5591048594922,3016000.0
1996-01-11,28.25,30.25,27.75,28.75,228400.0,1.7240101811692,3654400.0
1996-01-12,30.0,30.0,27.0,28.0,49600.0,1.67903600253,793600.0
1996-01-15,28.0,28.25,26.25,27.25,41800.0,1.6340618238908002,668800.0
1996-01-16,26.75,27.0,22.75,27.0,245800.0,1.6190704310111002,3932800.0
1996-01-17,25.5,27.0,25.25,26.75,96600.0,1.6040790381314,1545600.0
1996-01-18,26.0,27.0,26.0,27.0,198800.0,1.6190704310111002,3180800.0
1996-01-19,26.88,30.75,26.25,29.28,301600.0,1.7557919340743,4825600.0
1996-01-22,30.0,31.0,29.25,30.0,119600.0,1.7989671455679,1913600.0
1996-01-23,29.75,30.75,29.75,30.38,70400.0,1.8217540627451,1126400.0
1996-01-24,30.5,33.0,30.25,32.0,79200.0,1.9188982886057,1267200.0
1996-01-25,32.75,34.75,32.0,33.75,168900.0,2.0238380387639,2702400.0
1996-01-26,33.5,35.0,33.0,34.38,61400.0,2.0616163488208,982400.0
1996-01-29,34.25,35.0,33.75,34.0,58500.0,2.0388294316436,936000.0
1996-01-30,33.25,34.0,30.0,32.0,219600.0,1.9188982886057,3513600.0
1996-01-31,31.5,33.25,30.75,30.75,70600.0,1.8439413242071,1129600.0
1996-02-01,31.25,32.5,30.75,31.5,53600.0,1.8889155028463,857600.0
1996-02-02,32.5,32.5,30.75,31.12,116100.0,1.8661285856691,1857600.0
1996-02-05,31.0,32.25,30.75,32.25,60300.0,1.9338896814855,964800.0
1996-02-06,32.25,35.25,31.75,33.25,155200.0,1.9938552530044,2483200.0
1996-02-07,34.0,35.0,32.75,34.0,195400.0,2.0388294316436,3126400.0
1996-02-08,35.25,37.25,34.5,36.25,180400.0,2.1737519675612,2886400.0
1996-02-09,36.25,38.25,35.75,35.75,120900.0,2.1437691818017,1934400.0
1996-02-12,36.12,36.12,33.0,35.25,131800.0,2.1137863960423,2108800.0
1996-02-13,34.25,37.75,33.5,36.0,151600.0,2.1587605746815,2425600.0
1996-02-14,36.5,38.0,36.0,37.88,150900.0,2.2714958491371,2414400.0
1996-02-15,37.88,40.25,37.25,38.75,259300.0,2.3236658963585,4148800.0
1996-02-16,40.5,41.25,35.25,35.75,256800.0,2.1437691818017,4108800.0
1996-02-20,35.5,36.38,34.75,34.75,90800.0,2.0838036102828004,1452800.0
1996-02-21,35.0,36.0,34.75,36.0,79400.0,2.1587605746815,1270400.0
1996-02-22,36.0,37.75,35.75,37.5,166200.0,2.2487089319599,2659200.0
1996-02-23,37.0,37.75,34.5,35.5,160800.0,2.128777788922,2572800.0
1996-02-26,34.5,34.5,33.5,34.0,191500.0,2.0388294316436,3064000.0
