Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1990-03-26,22.88,23.25,22.88,23.25,127800.0,2.2446133336687,1022400.0
1990-03-27,23.0,23.38,23.0,23.38,321700.0,2.2571638598354,2573600.0
1990-03-28,23.5,23.62,23.25,23.62,54700.0,2.2803340619894,437600.0
1990-03-29,23.38,23.38,23.38,23.38,12200.0,2.2571638598354,97600.0
1990-03-30,23.38,23.5,23.38,23.5,96000.0,2.2687489609124,768000.0
1990-04-02,23.5,23.5,23.12,23.12,87300.0,2.2320628075019,698400.0
1990-04-03,23.25,23.25,23.12,23.12,19300.0,2.2320628075019,154400.0
1990-04-04,23.12,23.25,22.12,23.12,119100.0,2.2320628075019,952800.0
1990-04-05,22.88,23.12,22.75,22.88,64900.0,2.2088926053479,519200.0
1990-04-06,22.75,23.0,22.62,22.62,152100.0,2.1837915530144,1216800.0
1990-04-09,22.62,22.88,22.62,22.75,61200.0,2.1963420791812,489600.0
1990-04-10,22.62,22.88,22.62,22.62,68100.0,2.1837915530144,544800.0
1990-04-11,22.62,22.88,22.62,22.75,33000.0,2.1963420791812,264000.0
1990-04-12,22.88,23.12,22.75,23.12,45400.0,2.2320628075019,363200.0
1990-04-16,22.88,23.5,22.88,23.38,34200.0,2.2571638598354,273600.0
1990-04-17,23.38,23.5,23.38,23.5,26500.0,2.2687489609124,212000.0
1990-04-18,23.38,23.38,23.12,23.25,89400.0,2.2446133336687,715200.0
1990-04-19,23.25,23.25,23.0,23.0,124200.0,2.2204777064249,993600.0
1990-04-20,23.0,23.25,22.75,22.88,106400.0,2.2088926053479,851200.0
1990-04-23,23.0,23.0,22.75,22.88,66000.0,2.2088926053479,528000.0
1990-04-24,22.75,23.0,22.75,23.0,109600.0,2.2204777064249,876800.0
1990-04-25,22.88,23.0,22.75,23.0,56900.0,2.2204777064249,455200.0
1990-04-26,22.88,23.0,22.75,23.0,158300.0,2.2204777064249,1266400.0
1990-04-27,23.0,23.0,22.75,22.88,81400.0,2.2088926053479,651200.0
1990-04-30,23.0,23.12,22.88,23.12,35500.0,2.2320628075019,284000.0
1990-05-01,22.88,23.25,22.88,23.0,398200.0,2.2204777064249,3185600.0
1990-05-02,23.0,23.12,22.88,22.88,58700.0,2.2088926053479,469600.0
1990-05-03,22.88,23.0,22.88,23.0,351200.0,2.2204777064249,2809600.0
1990-05-04,22.88,23.12,22.88,23.12,51500.0,2.2320628075019,412000.0
1990-05-07,23.0,23.5,23.0,23.5,44600.0,2.2687489609124,356800.0
1990-05-08,23.5,24.38,23.5,24.12,94800.0,2.3286053164769,758400.0
1990-05-09,24.0,24.38,24.0,24.38,41400.0,2.3537063688104,331200.0
1990-05-10,24.25,24.38,24.25,24.38,33900.0,2.3537063688104,271200.0
1990-05-11,24.38,24.5,24.25,24.38,79700.0,2.3537063688104,637600.0
1990-05-14,24.5,24.75,24.25,24.75,113700.0,2.3894270971311,909600.0
1990-05-15,24.88,24.88,24.62,24.88,36700.0,2.4019776232979,293600.0
