Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1986-03-12,20.5,20.75,20.5,20.5,1212900.0,0.058970396623579,392979600.0
1986-03-13,21.0,21.25,21.0,21.0,386700.0,0.060408698980251,125290800.0
1986-03-14,21.75,22.0,21.75,21.75,178600.0,0.06256615251526,57866400.0
1986-03-17,21.5,21.5,21.25,21.25,87300.0,0.061127850158588,28285200.0
1986-03-18,21.0,21.0,20.75,20.75,99800.0,0.059689547801915,32335200.0
1986-03-19,20.75,20.75,20.25,20.25,70100.0,0.058251245445242,22712400.0
1986-03-20,20.25,20.5,20.25,20.25,54900.0,0.058251245445242,17787600.0
1986-03-21,20.0,20.0,19.5,19.5,50100.0,0.056093791910233004,16232400.0
1986-03-24,19.5,19.75,19.5,19.5,64000.0,0.056093791910233004,20736000.0
1986-03-25,19.5,19.75,19.5,19.5,66900.0,0.056093791910233004,21675600.0
1986-03-26,19.75,20.25,19.75,19.75,72000.0,0.05681294308857,23328000.0
1986-03-27,20.5,21.0,20.5,20.5,66400.0,0.058970396623579,21513600.0
1986-03-31,20.75,21.0,20.75,20.75,30500.0,0.059689547801915,9882000.0
1986-04-01,20.0,20.0,19.75,19.75,62700.0,0.05681294308857,20314800.0
1986-04-02,19.75,20.0,19.5,19.5,40000.0,0.056093791910233004,12960000.0
1986-04-03,20.25,20.75,20.25,20.25,36900.0,0.058251245445242,11955600.0
1986-04-04,20.25,20.5,20.0,20.0,32900.0,0.057532094266906,10659600.0
1986-04-07,20.25,20.5,20.25,20.25,27800.0,0.058251245445242,9007200.0
1986-04-08,20.25,20.75,20.25,20.25,46300.0,0.058251245445242,15001200.0
1986-04-09,20.25,20.5,20.25,20.25,27600.0,0.058251245445242,8942400.0
1986-04-10,20.25,20.5,20.25,20.25,29100.0,0.058251245445242,9428400.0
1986-04-11,20.75,21.0,20.75,20.75,56400.0,0.059689547801915,18273600.0
1986-04-14,20.75,21.0,20.75,20.75,144400.0,0.059689547801915,46785600.0
1986-04-15,20.75,21.0,20.75,21.0,37100.0,0.060408698980251,12020400.0
1986-04-16,21.0,22.0,20.75,22.0,69600.0,0.063285303693597,22550400.0
1986-04-17,22.0,24.0,22.0,24.0,60800.0,0.069038513120287,19699200.0
1986-04-18,24.0,26.5,24.0,26.0,85800.0,0.074791722546978,27799200.0
1986-04-21,26.0,28.87,25.75,28.5,103500.0,0.081983234330341,33534000.0
1986-04-22,28.5,28.5,26.75,27.0,118100.0,0.077668327260323,38264400.0
1986-04-23,27.0,27.0,26.25,26.25,12700.0,0.07551087372531401,4114800.0
1986-04-24,26.25,26.75,26.25,26.75,33300.0,0.076949176081987,10789200.0
