,Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
0,1993-04-23,19.5,19.5,18.75,19.25,2060600.0,2.40625,16484800.0
1,1993-04-26,19.0,19.25,18.75,18.75,416800.0,2.34375,3334400.0
2,1993-04-27,19.0,19.0,18.25,18.5,255800.0,2.3125,2046400.0
3,1993-04-28,18.75,18.75,18.25,18.25,112200.0,2.28125,897600.0
4,1993-04-29,18.25,18.75,18.25,18.5,105600.0,2.3125,844800.0
5,1993-04-30,18.75,19.25,18.5,18.75,147600.0,2.34375,1180800.0
6,1993-05-03,19.25,19.25,18.5,18.75,77900.0,2.34375,623200.0
7,1993-05-04,19.0,19.25,18.5,19.0,69400.0,2.375,555200.0
8,1993-05-05,19.0,19.5,19.0,19.5,112600.0,2.4375,900800.0
9,1993-05-06,19.5,19.75,19.0,19.63,79400.0,2.45375,635200.0
10,1993-05-07,19.25,19.75,19.25,19.25,21300.0,2.40625,170400.0
11,1993-05-10,19.75,20.0,19.25,19.5,54800.0,2.4375,438400.0
12,1993-05-11,19.5,20.25,19.5,19.75,39100.0,2.46875,312800.0
13,1993-05-12,20.0,20.25,19.5,20.25,113400.0,2.53125,907200.0
14,1993-05-13,20.25,20.75,19.75,20.75,76000.0,2.59375,608000.0
15,1993-05-14,20.75,22.25,20.25,21.88,96800.0,2.735,774400.0
16,1993-05-17,22.25,22.25,21.0,21.5,43700.0,2.6875,349600.0
17,1993-05-18,21.0,21.5,20.75,21.25,69400.0,2.65625,555200.0
18,1993-05-19,21.25,21.25,20.5,20.87,51100.0,2.60875,408800.0
19,1993-05-20,21.0,21.0,20.5,20.5,53500.0,2.5625,428000.0
20,1993-05-21,20.5,21.0,20.5,20.75,18000.0,2.59375,144000.0
21,1993-05-24,21.0,21.0,20.5,20.5,2100.0,2.5625,16800.0
22,1993-05-25,20.5,21.0,20.5,20.75,7800.0,2.59375,62400.0
23,1993-05-26,21.0,21.0,20.5,20.5,25800.0,2.5625,206400.0
24,1993-05-27,20.75,21.0,20.5,21.0,24600.0,2.625,196800.0
25,1993-05-28,21.0,21.25,20.5,21.25,21900.0,2.65625,175200.0
26,1993-06-01,21.25,22.0,21.25,21.25,65700.0,2.65625,525600.0
27,1993-06-02,21.75,22.25,21.25,22.25,37800.0,2.78125,302400.0
