Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
2001-10-23,20.5,21.39,20.4,21.0,32584000.0,15.980195325853,32584000.0
2001-10-24,21.1,22.2,21.0,22.15,5847500.0,16.855301260364,5847500.0
2001-10-25,22.0,22.15,21.65,21.95,2038800.0,16.703108923928,2038800.0
2001-10-26,21.95,22.0,21.4,21.5,3339100.0,16.360676166944998,3339100.0
2001-10-29,22.0,22.0,21.0,21.2,1758700.0,16.13238766229,1758700.0
2001-10-30,21.4,22.25,21.0,22.04,2225300.0,16.771595475324,2225300.0
2001-10-31,22.4,23.99,21.95,22.5,5101800.0,17.121637849128998,5101800.0
2001-11-01,22.63,22.63,21.7,21.95,2747400.0,16.703108923928,2747400.0
2001-11-02,22.1,22.25,21.95,22.18,1183800.0,16.87813011083,1183800.0
2001-11-05,22.1,22.2,21.75,22.0,1144000.0,16.741157008037,1144000.0
2001-11-06,21.92,22.7,21.85,22.6,695100.0,17.197734017347,695100.0
2001-11-07,22.65,22.65,21.65,21.85,1002900.0,16.627012755709,1002900.0
2001-11-08,21.95,22.0,21.59,21.82,1642800.0,16.604183905244,1642800.0
2001-11-09,21.5,21.77,21.5,21.6,1601000.0,16.436772335164,1601000.0
2001-11-12,21.61,22.0,21.31,21.98,1101400.0,16.725937774393,1101400.0
2001-11-13,22.0,22.0,21.75,21.85,687300.0,16.627012755709,687300.0
2001-11-14,22.1,22.1,21.4,21.75,1964000.0,16.550916587491,1964000.0
2001-11-15,21.65,21.99,21.6,21.93,867300.0,16.687889690284,867300.0
2001-11-16,22.0,22.88,21.98,22.25,1851600.0,16.931397428583,1851600.0
2001-11-19,22.0,22.74,22.0,22.33,1231800.0,16.992274363158,1231800.0
2001-11-20,22.25,22.75,22.25,22.72,1182300.0,17.289049419209,1182300.0
2001-11-21,22.8,22.9,22.65,22.87,1016400.0,17.403193671537,1016400.0
2001-11-23,22.88,22.88,22.2,22.38,328800.0,17.030322447267,328800.0
2001-11-26,22.1,22.48,21.98,22.33,2417500.0,16.992274363158,2417500.0
2001-11-27,22.25,22.6,22.25,22.4,1536000.0,17.045541680910002,1536000.0
2001-11-28,22.93,22.93,22.48,22.8,871900.0,17.349926353784,871900.0
2001-11-29,22.8,22.95,22.5,22.88,523100.0,17.410803288358,523100.0
2001-11-30,22.9,23.0,22.7,22.95,2255100.0,17.464070606111,2255100.0
2001-12-03,22.98,23.2,22.25,22.95,1037600.0,17.464070606111,1037600.0
2001-12-04,22.95,22.99,22.65,22.95,578700.0,17.464070606111,578700.0
2001-12-05,23.03,23.3,22.95,23.2,1370400.0,17.654311026657,1370400.0
2001-12-06,23.2,23.81,23.12,23.45,509400.0,17.844551447203,509400.0
2001-12-07,23.3,23.78,23.2,23.45,1175600.0,17.844551447203,1175600.0
2001-12-10,23.44,23.44,23.2,23.35,1396900.0,17.768455278984998,1396900.0
2001-12-11,23.35,23.85,23.35,23.49,1376300.0,17.874989914489998,1376300.0
2001-12-12,23.65,23.95,23.5,23.65,1933800.0,17.99674378364,1933800.0
2001-12-13,23.75,23.85,23.35,23.48,1813400.0,17.867380297669,1813400.0
2001-12-14,23.4,24.35,23.4,24.08,2133900.0,18.323957306979,2133900.0
2001-12-17,24.28,24.75,23.52,23.69,1285500.0,18.027182250927,1285500.0
2001-12-18,23.9,24.09,23.5,23.69,1949800.0,18.027182250927,1949800.0
2001-12-19,23.88,24.12,23.0,23.51,3143500.0,17.890209148134,3143500.0
2001-12-20,23.51,23.7,23.0,23.58,3660000.0,17.943476465887002,3660000.0
2001-12-21,23.1,23.56,23.08,23.37,2871400.0,17.783674512628,2871400.0
2001-12-24,23.4,23.49,23.3,23.4,1578200.0,17.806503363094002,1578200.0
2001-12-26,23.5,23.7,23.25,23.3,2152100.0,17.730407194876,2152100.0
2001-12-27,23.45,23.9,23.2,23.55,1772400.0,17.920647615421,1772400.0
2001-12-28,23.6,24.05,23.4,23.52,1977900.0,17.897818764956,1977900.0
2001-12-31,23.6,24.05,23.55,24.0,1596000.0,18.263080372404,1596000.0
2002-01-02,24.05,24.2,23.43,23.83,2708100.0,18.133716886433,2708100.0
2002-01-03,23.81,23.95,23.55,23.75,1501300.0,18.072839951858,1501300.0
2002-01-04,23.8,24.26,23.75,23.95,2971800.0,18.225032288295,2971800.0
2002-01-07,24.0,24.1,23.4,23.85,2623000.0,18.148936120076,2623000.0
2002-01-08,23.75,24.15,23.52,24.08,2397100.0,18.323957306979,2397100.0
2002-01-09,24.08,24.15,23.72,23.9,2569100.0,18.186984204186,2569100.0
2002-01-10,24.3,24.3,24.0,24.2,2023900.0,18.415272708840998,2023900.0
2002-01-11,24.2,24.3,23.75,24.0,1845800.0,18.263080372404,1845800.0
2002-01-14,24.05,24.15,23.8,23.98,1516500.0,18.24786113876,1516500.0
2002-01-15,23.85,24.06,23.65,23.8,1548300.0,18.110888035967,1548300.0
2002-01-16,23.95,23.95,23.54,23.7,1409800.0,18.034791867749,1409800.0
2002-01-17,23.78,24.18,23.77,24.18,2317000.0,18.400053475197,2317000.0
2002-01-18,24.3,24.4,23.94,24.2,1503600.0,18.415272708840998,1503600.0
2002-01-22,24.5,24.65,24.23,24.48,2034700.0,18.628341979852,2034700.0
2002-01-23,24.5,24.58,23.75,23.8,2306700.0,18.110888035967,2306700.0
2002-01-24,24.1,24.25,23.93,24.15,2413800.0,18.377224624731,2413800.0
2002-01-25,24.25,26.0,24.07,25.64,2492400.0,19.511057531185,2492400.0
2002-01-28,25.44,26.2,25.05,26.0,1486900.0,19.785003736771,1486900.0
2002-01-29,25.9,27.05,25.7,25.97,2980800.0,19.762174886305,2980800.0
2002-01-30,25.95,26.15,25.0,25.5,1981800.0,19.404522895678998,1981800.0
2002-01-31,25.58,25.58,25.0,25.45,2352100.0,19.36647481157,2352100.0
2002-02-01,25.15,25.2,24.4,24.4,4133400.0,18.567465045277,4133400.0
2002-02-04,24.3,24.54,22.2,23.75,3861300.0,18.072839951858,3861300.0
2002-02-05,23.5,23.6,22.9,23.25,3665100.0,17.692359110766002,3665100.0
2002-02-06,24.0,24.47,23.77,23.92,2942300.0,18.202203437829002,2942300.0
2002-02-07,23.92,24.4,23.85,24.0,1683200.0,18.263080372404,1683200.0
2002-02-08,24.1,24.79,24.02,24.79,1214000.0,18.864240101329,1214000.0
2002-02-11,24.85,25.06,24.22,24.36,2064500.0,18.53702657799,2064500.0
2002-02-12,24.5,24.84,24.4,24.8,1156500.0,18.871849718151,1156500.0
2002-02-13,24.9,25.3,24.6,24.75,1899000.0,18.833801634042,1899000.0
2002-02-14,24.75,24.75,23.95,24.36,3033900.0,18.53702657799,3033900.0
2002-02-15,24.5,24.5,23.7,24.05,1902200.0,18.301128456513,1902200.0
2002-02-19,23.99,24.0,23.3,23.58,2002100.0,17.943476465887002,2002100.0
2002-02-20,23.72,23.78,23.38,23.55,943100.0,17.920647615421,943100.0
2002-02-21,23.65,23.9,23.05,23.2,1624200.0,17.654311026657,1624200.0
2002-02-22,23.4,23.4,22.0,22.5,2532900.0,17.121637849128998,2532900.0
2002-02-25,22.9,23.24,22.9,23.19,2515300.0,17.646701409835,2515300.0
2002-02-26,23.4,23.95,23.12,23.7,1166900.0,18.034791867749,1166900.0
2002-02-27,23.8,24.47,23.75,24.44,1842500.0,18.597903512565,1842500.0
2002-02-28,24.75,24.98,24.0,24.36,1467600.0,18.53702657799,1467600.0
2002-03-01,24.3,24.8,24.15,24.8,1293700.0,18.871849718151,1293700.0
2002-03-04,24.8,26.0,24.5,25.27,1993100.0,19.229501708777,1993100.0
2002-03-05,25.23,25.51,25.02,25.05,2963400.0,19.062090138697,2963400.0
2002-03-06,25.2,25.32,24.55,25.0,995300.0,19.024042054587,995300.0
2002-03-07,25.0,25.48,24.55,25.2,1714400.0,19.176234391024,1714400.0
2002-03-08,25.15,25.5,25.0,25.05,1085900.0,19.062090138697,1085900.0
2002-03-11,25.05,25.24,24.77,24.95,1338800.0,18.985993970478,1338800.0
2002-03-12,25.08,25.2,24.88,25.0,615600.0,19.024042054587,615600.0
2002-03-13,25.0,25.14,24.8,25.02,965100.0,19.039261288231,965100.0
2002-03-14,25.0,25.48,25.0,25.42,1636200.0,19.343645961105,1636200.0
2002-03-15,25.4,25.75,25.3,25.5,504400.0,19.404522895678998,504400.0
