Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1986-07-09,31.25,31.25,31.0,31.25,169800.0,0.6532246416511899,6112800.0
1986-07-10,31.5,31.5,31.0,31.5,30000.0,0.6584504387844,1080000.0
1986-07-11,31.0,31.5,31.0,31.5,74500.0,0.6584504387844,2682000.0
1986-07-14,31.25,31.5,30.5,30.5,12100.0,0.6375472502515601,435600.0
1986-07-15,30.25,30.5,29.75,30.25,75200.0,0.63232145311835,2707200.0
1986-07-16,30.25,30.25,29.75,30.0,20800.0,0.6270956559851399,748800.0
1986-07-17,29.87,30.0,29.75,29.75,125300.0,0.62186985885193,4510800.0
1986-07-18,29.75,30.0,29.5,30.0,66800.0,0.6270956559851399,2404800.0
1986-07-21,30.0,30.75,29.5,30.25,121100.0,0.63232145311835,4359600.0
1986-07-22,30.5,31.5,30.5,31.0,20900.0,0.64799884451798,752400.0
1986-07-23,31.75,32.25,31.75,32.25,35000.0,0.6741278301840301,1260000.0
1986-07-24,32.0,32.0,31.5,31.5,248900.0,0.6584504387844,8960400.0
1986-07-25,32.0,34.25,31.5,33.75,386300.0,0.70548261298328,13906800.0
1986-07-28,34.0,34.25,33.0,33.25,56900.0,0.69503101871686,2048400.0
1986-07-29,33.0,33.5,33.0,33.5,73100.0,0.7002568158500699,2631600.0
1986-07-30,33.25,33.75,33.25,33.5,75100.0,0.7002568158500699,2703600.0
1986-07-31,33.5,34.5,33.5,34.0,137100.0,0.71070841011649,4935600.0
1986-08-01,34.0,34.0,33.0,33.0,307900.0,0.6898052215836601,11084400.0
1986-08-04,33.0,33.0,32.5,33.0,119400.0,0.6898052215836601,4298400.0
1986-08-05,32.62,33.25,32.62,33.0,32200.0,0.6898052215836601,1159200.0
1986-08-06,33.5,33.5,33.0,33.5,14800.0,0.7002568158500699,532800.0
1986-08-07,33.5,33.5,33.0,33.0,14300.0,0.6898052215836601,514800.0
1986-08-08,33.5,33.75,33.5,33.75,77400.0,0.70548261298328,2786400.0
1986-08-11,33.75,34.0,33.5,34.0,78500.0,0.71070841011649,2826000.0
