Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1985-07-01,16.38,16.88,16.38,16.5,22300.0,1.9059156775305,178400.0
1985-07-02,16.5,16.5,16.12,16.25,42200.0,1.8770381672649,337600.0
1985-07-03,16.38,16.75,16.38,16.75,238700.0,1.9347931877961,1909600.0
1985-07-05,16.75,16.75,16.62,16.62,14600.0,1.919776882458,116800.0
1985-07-08,16.62,16.75,16.5,16.75,19800.0,1.9347931877961,158400.0
1985-07-09,16.75,16.75,16.25,16.5,32700.0,1.9059156775305,261600.0
1985-07-10,16.5,16.5,15.88,16.12,163900.0,1.8620218619268,1311200.0
1985-07-11,16.12,16.75,16.12,16.5,129100.0,1.9059156775305,1032800.0
1985-07-12,16.5,16.75,16.38,16.5,200300.0,1.9059156775305,1602400.0
1985-07-15,16.5,17.0,16.5,17.0,97800.0,1.9636706980618,782400.0
1985-07-16,17.0,17.5,16.88,17.5,59100.0,2.021425718593,472800.0
1985-07-17,17.62,18.25,17.62,18.12,168000.0,2.0930419440517,1344000.0
1985-07-18,18.12,18.25,17.75,17.88,76100.0,2.0653195341967,608800.0
1985-07-19,17.88,18.25,17.88,18.0,138400.0,2.0791807391242,1107200.0
1985-07-22,18.0,18.0,17.75,18.0,56200.0,2.0791807391242,449600.0
1985-07-23,18.0,18.0,17.62,17.88,28500.0,2.0653195341967,228000.0
1985-07-24,17.88,17.88,17.38,17.5,36700.0,2.021425718593,293600.0
1985-07-25,17.5,17.5,17.25,17.25,14600.0,1.9925482083274,116800.0
1985-07-26,17.25,17.38,17.0,17.12,66200.0,1.9775319029893,529600.0
1985-07-29,17.12,17.12,16.5,16.75,19800.0,1.9347931877961,158400.0
1985-07-30,16.62,16.62,15.75,16.0,37700.0,1.8481606569993,301600.0
1985-07-31,16.0,16.25,15.88,16.0,31500.0,1.8481606569993,252000.0
1985-08-01,16.0,16.25,15.88,16.12,27200.0,1.8620218619268,217600.0
1985-08-02,16.12,16.12,15.88,15.88,39200.0,1.8342994520718,313600.0
1985-08-05,15.75,15.75,15.12,15.38,26100.0,1.7765444315406,208800.0
1985-08-06,15.38,15.38,14.38,15.0,81200.0,1.7326506159368,649600.0
1985-08-07,15.0,15.0,14.88,15.0,19400.0,1.7326506159368,155200.0
1985-08-08,15.0,15.0,14.0,14.5,173700.0,1.6748955954056002,1389600.0
1985-08-09,14.62,15.0,14.62,15.0,72200.0,1.7326506159368,577600.0
1985-08-12,15.0,15.12,14.75,14.75,7200.0,1.7037731056711998,57600.0
1985-08-13,14.75,14.75,14.62,14.62,42100.0,1.6887568003331,336800.0
1985-08-14,14.62,14.62,14.5,14.5,14100.0,1.6748955954056002,112800.0
1985-08-15,14.5,14.75,14.38,14.62,4300.0,1.6887568003331,34400.0
1985-08-16,14.62,14.75,14.25,14.25,8600.0,1.64601808514,68800.0
1985-08-19,14.25,14.5,14.0,14.0,41800.0,1.6171405748744,334400.0
1985-08-20,14.0,14.25,14.0,14.0,113900.0,1.6171405748744,911200.0
1985-08-21,14.0,14.12,13.88,14.0,64200.0,1.6171405748744,513600.0
1985-08-22,14.0,14.38,14.0,14.12,16300.0,1.6310017798019,130400.0
1985-08-23,14.12,14.25,14.0,14.25,10200.0,1.64601808514,81600.0
1985-08-26,14.25,14.38,14.0,14.0,8700.0,1.6171405748744,69600.0
1985-08-27,14.0,14.12,14.0,14.12,16300.0,1.6310017798019,130400.0
1985-08-28,14.12,14.12,13.62,13.62,32300.0,1.5732467592707,258400.0
1985-08-29,13.62,13.88,13.62,13.75,96500.0,1.5882630646088,772000.0
1985-08-30,14.0,14.38,14.0,14.38,47900.0,1.6610343904781002,383200.0
1985-09-03,14.38,14.62,14.0,14.25,18600.0,1.64601808514,148800.0
1985-09-04,14.25,14.5,14.12,14.38,19900.0,1.6610343904781002,159200.0
1985-09-05,14.38,14.38,13.62,14.0,15900.0,1.6171405748744,127200.0
1985-09-06,13.88,13.88,13.5,13.88,19800.0,1.6032793699469,158400.0
1985-09-09,13.75,13.75,13.38,13.62,9900.0,1.5736799219246,79200.0
1985-09-10,13.62,13.75,13.38,13.5,9700.0,1.5598149005861002,77600.0
1985-09-11,13.38,13.38,12.88,12.88,24200.0,1.4881789570036,193600.0
1985-09-12,12.88,12.88,12.25,12.25,25100.0,1.4153875949763,200800.0
1985-09-13,12.25,12.38,11.88,12.0,44000.0,1.3865021338543,352000.0
1985-09-16,11.88,11.88,11.0,11.5,36600.0,1.3287312116104,292800.0
1985-09-17,11.5,12.0,11.25,12.0,21500.0,1.3865021338543,172000.0
1985-09-18,12.0,12.5,11.88,12.0,55400.0,1.3865021338543,443200.0
1985-09-19,12.0,12.5,12.0,12.38,31600.0,1.4304080347597,252800.0
1985-09-20,12.38,12.75,12.25,12.25,32300.0,1.4153875949763,258400.0
1985-09-23,12.25,12.75,12.25,12.5,38100.0,1.4442730560982,304800.0
1985-09-24,12.5,12.5,12.25,12.38,9200.0,1.4304080347597,73600.0
1985-09-25,12.38,12.38,12.12,12.12,5400.0,1.4003671551929,43200.0
1985-09-26,12.12,12.25,12.12,12.25,19000.0,1.4153875949763,152000.0
1985-09-30,12.25,12.38,12.0,12.38,20100.0,1.4304080347597,160800.0
1985-10-01,12.12,12.38,12.12,12.25,36600.0,1.4153875949763,292800.0
1985-10-02,12.38,12.75,12.38,12.62,40400.0,1.4581380774368,323200.0
1985-10-03,12.62,12.88,12.5,12.5,17300.0,1.4442730560982,138400.0
1985-10-04,12.5,12.75,12.5,12.75,103200.0,1.4731585172202,825600.0
1985-10-07,12.62,12.62,12.5,12.62,7300.0,1.4581380774368,58400.0
1985-10-08,12.62,12.62,12.38,12.5,6000.0,1.4442730560982,48000.0
1985-10-09,12.5,12.62,12.38,12.5,15200.0,1.4442730560982,121600.0
1985-10-10,12.5,12.5,12.0,12.0,201100.0,1.3865021338543,1608800.0
1985-10-11,12.0,12.12,11.62,11.75,13100.0,1.3576166727323002,104800.0
