Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
2008-03-17,50.0,52.65,49.24,49.39,1988000.0,35.760951877635,1988000.0
2008-03-18,49.85,52.0,47.75,49.6,8067600.0,35.913002897969,8067600.0
2008-03-19,49.6,51.0,46.9,50.1,3007700.0,36.27502913686,3007700.0
2008-03-20,50.2,50.2,48.87,49.15,3007700.0,35.587179282967,3007700.0
2008-03-24,49.81,51.0,49.81,51.0,1437000.0,36.926676366863,1437000.0
2008-03-25,51.4,51.75,50.6,51.75,1100800.0,37.469715725198995,1100800.0
2008-03-26,51.7,52.47,50.3,50.3,2023200.0,36.419839632416,2023200.0
2008-03-27,50.95,52.03,50.0,50.68,8653300.0,36.694979573973,8653300.0
2008-03-28,50.95,52.5,50.56,51.06,9961200.0,36.97011951553,9961200.0
2008-03-31,52.4,54.7,50.0,50.58,19408900.0,36.622574326195,19408900.0
2008-04-01,51.1,52.19,49.01,50.58,23322500.0,36.622574326195,23322500.0
2008-04-02,51.16,52.07,50.15,51.21,12944700.0,37.078727387197,12944700.0
2008-04-03,51.0,51.5,50.4,51.05,12439100.0,36.962878990752,12439100.0
2008-04-04,51.48,51.48,50.8,51.37,6651000.0,37.194575783642,6651000.0
2008-04-07,51.6,51.6,50.5,50.67,7099300.0,36.687739049194995,7099300.0
2008-04-08,50.41,51.01,50.21,50.6,8283300.0,36.637055375749995,8283300.0
2008-04-09,50.5,50.59,49.15,49.38,8916200.0,35.753711352856996,8916200.0
2008-04-10,49.49,49.91,48.5,48.66,14321900.0,35.232393568854,14321900.0
2008-04-11,48.49,48.89,48.08,48.33,11400700.0,34.993456251186,11400700.0
2008-04-14,48.3,48.35,47.43,48.0,11532500.0,34.754518933518,11532500.0
2008-04-15,47.78,48.35,47.78,48.2,9603400.0,34.899329429074,9603400.0
2008-04-16,48.41,49.61,48.35,49.46,14837600.0,35.811635551079,14837600.0
2008-04-17,49.72,50.0,49.42,49.85,6660700.0,36.094016017414,6660700.0
2008-04-18,50.49,50.94,49.38,49.96,9630700.0,36.173661789970005,9630700.0
