Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
2015-07-20,41.46,42.55,39.8,40.479,52092040.0,40.479,52092040.0
2015-07-21,41.08,41.11,39.12,39.35,32136725.0,39.35,32136725.0
2015-07-22,39.35,39.7178,38.1,38.39,25296362.0,38.39,25296362.0
2015-07-23,38.74,38.75,36.93,37.01,19091245.0,37.01,19091245.0
2015-07-24,37.71,38.0,36.91,37.02,13996547.0,37.02,13996547.0
2015-07-27,36.78,37.38,36.22,36.38,15455361.0,36.38,15455361.0
2015-07-28,37.19,38.0,36.8296,37.6,18810764.0,37.6,18810764.0
2015-07-29,38.03,38.1,37.62,37.95,11675209.0,37.95,11675209.0
2015-07-30,38.04,39.01,37.715,38.45,13823888.0,38.45,13823888.0
2015-07-31,39.14,39.2,38.2199,38.7,12254993.0,38.7,12254993.0
2015-08-03,39.25,39.88,38.9,39.39,15063371.0,39.39,15063371.0
2015-08-04,39.91,39.91,38.43,38.95,10832333.0,38.95,10832333.0
2015-08-05,39.7,39.88,39.17,39.27,9349565.0,39.27,9349565.0
2015-08-06,39.63,39.74,38.55,38.85,7204137.0,38.85,7204137.0
2015-08-07,39.04,39.23,38.6,39.13,8270434.0,39.13,8270434.0
2015-08-10,39.43,39.69,38.7701,39.05,7894673.0,39.05,7894673.0
2015-08-11,38.93,39.28,38.72,38.85,8013376.0,38.85,8013376.0
2015-08-12,38.55,38.58,37.01,38.19,21165622.0,38.19,21165622.0
2015-08-13,38.4,38.49,37.44,37.62,7808216.0,37.62,7808216.0
2015-08-14,37.49,38.18,37.38,38.14,6209412.0,38.14,6209412.0
2015-08-17,38.3,38.75,37.7,38.73,4751135.0,38.73,4751135.0
2015-08-18,39.0,39.0,37.87,37.99,4591682.0,37.99,4591682.0
2015-08-19,37.87,38.1,37.03,37.21,6826312.0,37.21,6826312.0
2015-08-20,36.85,37.34,35.88,35.98,10522236.0,35.98,10522236.0
2015-08-21,35.57,36.11,33.83,34.3275,14347029.0,34.3275,14347029.0
2015-08-24,31.17,34.85,30.0,33.89,16854628.0,33.89,16854628.0
