Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1993-12-14,22.5,22.5,22.25,22.5,7162800.0,7.2163575647175,7162800.0
1993-12-15,22.5,22.5,22.25,22.5,1702100.0,7.2163575647175,1702100.0
1993-12-16,22.5,22.62,22.38,22.5,579800.0,7.2163575647175,579800.0
1993-12-17,22.5,22.5,22.38,22.38,455500.0,7.1778703243723,455500.0
1993-12-20,22.38,22.5,22.38,22.5,506900.0,7.2163575647175,506900.0
1993-12-21,22.38,22.5,22.25,22.38,289100.0,7.1778703243723,289100.0
1993-12-22,22.38,22.5,22.38,22.5,255200.0,7.2163575647175,255200.0
1993-12-23,22.5,22.5,22.38,22.5,136800.0,7.2163575647175,136800.0
1993-12-27,22.5,22.5,22.38,22.38,152500.0,7.1778703243723,152500.0
1993-12-28,22.38,22.5,22.38,22.5,263200.0,7.2163575647175,263200.0
1993-12-29,22.5,22.62,22.38,22.5,238100.0,7.2163575647175,238100.0
1993-12-30,22.62,22.62,22.5,22.5,142800.0,7.2163575647175,142800.0
1993-12-31,22.5,22.62,22.38,22.62,186500.0,7.254844805062599,186500.0
1994-01-03,22.5,22.62,22.5,22.5,289800.0,7.2163575647175,289800.0
1994-01-04,22.62,22.62,22.5,22.62,219500.0,7.254844805062599,219500.0
1994-01-05,22.5,22.75,22.5,22.5,222900.0,7.2163575647175,222900.0
1994-01-06,22.5,22.62,22.5,22.5,139800.0,7.2163575647175,139800.0
1994-01-07,22.62,22.75,22.5,22.75,290300.0,7.2965393154365,290300.0
1994-01-10,22.75,23.12,22.62,23.0,404900.0,7.376721066155598,404900.0
1994-01-11,22.88,23.5,22.88,23.25,477700.0,7.456902816874701,477700.0
1994-01-12,23.38,23.38,23.25,23.25,338100.0,7.456902816874701,338100.0
1994-01-13,23.25,23.62,23.25,23.62,390300.0,7.575571807939,390300.0
1994-01-14,23.62,23.75,23.25,23.5,387200.0,7.5370845675938,387200.0
1994-01-17,23.62,23.62,23.38,23.5,153800.0,7.5370845675938,153800.0
1994-01-18,23.38,23.62,23.38,23.62,318800.0,7.575571807939,318800.0
1994-01-19,23.5,23.5,23.38,23.5,238000.0,7.5370845675938,238000.0
1994-01-20,23.5,23.62,23.38,23.62,204700.0,7.575571807939,204700.0
1994-01-21,23.5,23.75,23.38,23.62,234700.0,7.575571807939,234700.0
1994-01-24,23.5,23.62,23.38,23.38,336800.0,7.4985973272486,336800.0
1994-01-25,23.25,23.62,23.25,23.62,248200.0,7.575571807939,248200.0
1994-01-26,23.75,24.25,23.75,24.0,791600.0,7.697448069032,791600.0
1994-01-27,24.12,24.62,24.0,24.5,550800.0,7.8578115704700995,550800.0
1994-01-28,24.5,24.62,24.25,24.62,422500.0,7.8962988108153,422500.0
1994-01-31,24.62,24.62,24.38,24.5,350600.0,7.8578115704700995,350600.0
1994-02-01,24.62,25.0,24.5,25.0,438200.0,8.0181750719083,438200.0
1994-02-02,25.0,25.0,24.75,24.88,219500.0,7.9796878315630995,219500.0
1994-02-03,25.0,25.25,24.75,24.88,1445200.0,7.9796878315630995,1445200.0
1994-02-04,24.88,24.88,24.12,24.38,578900.0,7.819324330125,578900.0
1994-02-07,24.38,24.62,24.12,24.5,406000.0,7.8578115704700995,406000.0
1994-02-08,24.62,25.0,24.62,25.0,761700.0,8.0181750719083,761700.0
1994-02-09,24.88,25.0,24.62,24.75,473400.0,7.937993321189199,473400.0
1994-02-10,24.75,24.88,24.25,24.62,957200.0,7.8962988108153,957200.0
1994-02-11,24.75,25.38,24.75,25.25,264500.0,8.0983568226274,264500.0
1994-02-14,25.25,26.0,25.25,25.62,954500.0,8.217025813691599,954500.0
1994-02-15,25.75,25.88,25.0,25.38,1414500.0,8.140051333001301,1414500.0
1994-02-16,25.38,25.62,25.25,25.62,310000.0,8.217025813691599,310000.0
1994-02-17,25.5,25.88,25.5,25.88,315800.0,8.3004148344395,315800.0
1994-02-18,25.75,25.88,25.38,25.88,310900.0,8.3004148344395,310900.0
1994-02-22,25.75,26.12,25.75,26.0,258000.0,8.338902074784599,258000.0
1994-02-23,26.12,26.38,25.88,26.38,378100.0,8.460778335877599,378100.0
1994-02-24,26.38,26.62,26.12,26.62,302800.0,8.537752816568,302800.0
1994-02-25,26.5,26.62,26.25,26.5,259000.0,8.4992655762228,259000.0
1994-02-28,26.5,26.5,25.75,25.75,256400.0,8.2587203240655,256400.0
1994-03-01,25.5,26.25,25.5,26.12,557700.0,8.3773893151298,557700.0
1994-03-02,25.75,26.25,25.5,26.25,293300.0,8.4190838255037,293300.0
1994-03-03,26.38,26.38,25.75,26.0,341200.0,8.338902074784599,341200.0
1994-03-04,26.0,26.38,25.75,26.0,303100.0,8.338902074784599,303100.0
1994-03-07,26.0,26.5,26.0,26.5,268200.0,8.4992655762228,268200.0
1994-03-08,26.5,26.5,26.38,26.38,224200.0,8.460778335877599,224200.0
1994-03-09,26.38,26.88,26.25,26.5,251300.0,8.4992655762228,251300.0
1994-03-10,26.62,27.0,26.5,26.5,324300.0,8.4992655762228,324300.0
1994-03-11,26.62,27.25,26.5,27.0,294800.0,8.659629077661,294800.0
1994-03-14,27.0,27.25,26.88,27.12,210700.0,8.6981163180061,210700.0
1994-03-15,27.12,27.5,26.75,27.25,247200.0,8.739810828380001,247200.0
1994-03-16,27.5,27.88,27.25,27.5,225700.0,8.8199925790991,225700.0
1994-03-17,27.5,27.62,26.75,26.75,262200.0,8.5794473269419,262200.0
1994-03-18,26.75,27.62,26.75,27.62,261800.0,8.858479819444302,261800.0
1994-03-21,27.62,27.88,27.38,27.5,128800.0,8.8199925790991,128800.0
1994-03-22,27.5,27.5,26.88,27.5,198400.0,8.9723379054654,198400.0
1994-03-23,27.5,28.0,27.5,28.0,409000.0,9.1354713219284,409000.0
1994-03-24,28.0,28.0,27.38,27.75,168400.0,9.0539046136969,168400.0
1994-03-25,27.62,28.0,27.5,27.75,301800.0,9.0539046136969,301800.0
1994-03-28,27.62,27.62,26.62,26.62,196900.0,8.6852230924905,196900.0
1994-03-29,26.62,26.62,25.75,25.88,448100.0,8.4437856361252,448100.0
1994-03-30,25.25,25.88,24.0,25.88,291700.0,8.4437856361252,291700.0
1994-03-31,25.88,26.12,25.5,25.62,193000.0,8.3589562595645,193000.0
1994-04-04,24.0,25.88,23.62,25.0,208600.0,8.1566708231503,208600.0
1994-04-05,25.25,25.88,25.25,25.62,184400.0,8.3589562595645,184400.0
1994-04-06,25.88,26.25,25.38,26.0,297900.0,8.4829376560764,297900.0
1994-04-07,26.0,26.0,25.88,25.88,164800.0,8.4437856361252,164800.0
1994-04-08,26.0,26.0,25.75,25.88,107700.0,8.4437856361252,107700.0
1994-04-11,25.88,25.88,25.62,25.88,161700.0,8.4437856361252,161700.0
1994-04-12,25.88,25.88,25.62,25.88,142600.0,8.4437856361252,142600.0
1994-04-13,25.88,25.88,25.62,25.75,113400.0,8.4013709478449,113400.0
1994-04-14,25.88,26.25,25.75,26.25,161400.0,8.5645043643079,161400.0
1994-04-15,26.12,26.12,25.62,25.75,89000.0,8.4013709478449,89000.0
1994-04-18,25.88,26.12,25.62,26.0,77900.0,8.4829376560764,77900.0
1994-04-19,26.12,26.12,25.75,25.88,98400.0,8.4437856361252,98400.0
1994-04-20,26.0,26.0,25.62,25.75,72500.0,8.4013709478449,72500.0
1994-04-21,25.88,26.12,25.62,25.75,77100.0,8.4013709478449,77100.0
1994-04-22,25.88,26.12,25.38,25.5,141800.0,8.3198042396134,141800.0
1994-04-25,25.62,25.75,25.5,25.62,167700.0,8.3589562595645,167700.0
1994-04-26,25.75,25.88,25.62,25.62,137900.0,8.3589562595645,137900.0
1994-04-28,25.62,25.88,25.62,25.88,126800.0,8.4437856361252,126800.0
1994-04-29,25.88,26.75,25.75,26.75,137800.0,8.7276377807709,137800.0
1994-05-02,26.75,27.5,26.75,27.25,84100.0,8.8907711972339,84100.0
1994-05-03,27.25,27.38,26.62,26.75,109100.0,8.7276377807709,109100.0
1994-05-04,27.0,27.12,26.12,26.5,102000.0,8.6460710725394,102000.0
1994-05-05,26.5,27.25,26.5,27.25,144700.0,8.8907711972339,144700.0
1994-05-06,27.38,27.5,26.88,27.5,98800.0,8.9723379054654,98800.0
1994-05-09,27.5,27.88,26.88,27.5,88700.0,8.9723379054654,88700.0
1994-05-10,27.25,27.88,27.25,27.75,82700.0,9.0539046136969,82700.0
1994-05-11,27.75,27.75,27.0,27.0,103400.0,8.8092044890024,103400.0
1994-05-12,27.12,27.62,27.0,27.5,80800.0,8.9723379054654,80800.0
1994-05-13,27.75,27.75,26.88,27.25,65100.0,8.8907711972339,65100.0
1994-05-16,27.12,27.38,27.12,27.38,146900.0,8.933185885514302,146900.0
1994-05-17,27.38,27.5,27.12,27.5,143800.0,8.9723379054654,143800.0
1994-05-18,27.5,27.62,27.12,27.5,156700.0,8.9723379054654,156700.0
1994-05-19,27.5,27.62,27.25,27.62,80100.0,9.0114899254165,80100.0
1994-05-20,27.38,27.62,27.38,27.5,89000.0,8.9723379054654,89000.0
1994-05-23,27.62,27.75,27.5,27.75,173800.0,9.0539046136969,173800.0
1994-05-24,27.88,27.88,27.5,27.75,189000.0,9.0539046136969,189000.0
1994-05-25,27.62,27.88,27.62,27.88,157400.0,9.096319301977301,157400.0
1994-05-26,27.75,27.75,27.5,27.62,167000.0,9.0114899254165,167000.0
1994-05-27,27.62,28.0,27.62,27.75,81400.0,9.0539046136969,81400.0
1994-05-31,27.88,27.88,27.38,27.38,94400.0,8.933185885514302,94400.0
1994-06-01,27.62,27.62,27.12,27.25,102400.0,8.8907711972339,102400.0
1994-06-02,27.38,27.5,27.12,27.25,73600.0,8.8907711972339,73600.0
1994-06-03,27.5,27.5,27.12,27.5,45200.0,8.9723379054654,45200.0
1994-06-06,27.62,28.0,27.38,27.88,89100.0,9.096319301977301,89100.0
1994-06-07,27.88,28.0,27.75,28.0,81600.0,9.1354713219284,81600.0
1994-06-08,27.88,28.0,27.75,27.88,87900.0,9.096319301977301,87900.0
1994-06-09,27.88,28.0,27.5,27.5,149900.0,8.9723379054654,149900.0
1994-06-10,27.5,27.75,27.38,27.62,82300.0,9.0114899254165,82300.0
1994-06-13,27.62,28.0,27.5,28.0,71400.0,9.1354713219284,71400.0
1994-06-14,27.88,28.0,27.62,27.88,136800.0,9.096319301977301,136800.0
1994-06-15,27.88,28.0,27.62,27.62,116800.0,9.0114899254165,116800.0
1994-06-16,27.88,27.88,27.5,27.88,114400.0,9.096319301977301,114400.0
1994-06-17,27.88,28.0,27.75,28.0,150000.0,9.1354713219284,150000.0
1994-06-20,27.75,28.0,27.75,27.88,60800.0,9.096319301977301,60800.0
1994-06-21,27.88,28.0,27.62,28.0,81900.0,9.1354713219284,81900.0
1994-06-22,27.88,28.0,27.62,27.88,100400.0,9.096319301977301,100400.0
1994-06-23,27.88,27.88,27.5,27.5,104700.0,8.9723379054654,104700.0
1994-06-24,27.62,27.62,27.0,27.12,118200.0,8.8483565089535,118200.0
1994-06-27,27.12,27.5,27.0,27.12,77500.0,8.8483565089535,77500.0
1994-06-28,27.12,27.25,26.62,26.88,139900.0,8.7700524690513,139900.0
1994-06-29,26.25,26.5,25.88,26.38,68700.0,8.7618957982281,68700.0
1994-06-30,26.38,26.62,26.12,26.62,119000.0,8.841609785778301,119000.0
1994-07-01,26.62,26.62,26.12,26.25,96300.0,8.7187173883051,96300.0
1994-07-05,26.38,26.38,25.75,26.12,97600.0,8.675538978381999,97600.0
1994-07-06,26.12,26.12,25.62,25.75,306000.0,8.5526465809088,306000.0
1994-07-07,25.88,25.88,25.5,25.88,155400.0,8.5958249908318,155400.0
1994-07-08,25.88,26.0,25.75,26.0,65600.0,8.6356819846069,65600.0
1994-07-11,26.0,26.25,26.0,26.12,86800.0,8.675538978381999,86800.0
1994-07-12,26.0,26.5,25.75,26.25,245200.0,8.7187173883051,245200.0
1994-07-13,26.5,27.0,26.25,26.88,73100.0,8.9279666056244,73100.0
1994-07-14,26.88,27.12,26.5,26.75,222200.0,8.8847881957014,222200.0
1994-07-15,27.0,27.12,26.88,27.12,274300.0,9.0076805931746,274300.0
1994-07-18,27.38,27.88,27.25,27.75,102500.0,9.2169298104939,102500.0
1994-07-19,27.62,27.75,27.38,27.5,152900.0,9.1338944067958,152900.0
1994-07-20,27.62,27.75,27.5,27.62,105500.0,9.1737514005709,105500.0
1994-07-21,27.62,27.62,27.12,27.25,70200.0,9.0508590030976,70200.0
1994-07-22,27.25,27.5,26.38,26.62,59900.0,8.841609785778301,59900.0
1994-07-25,26.5,27.0,26.5,26.88,30700.0,8.9279666056244,30700.0
1994-07-26,26.88,26.88,26.62,26.62,55200.0,8.841609785778301,55200.0
1994-07-27,26.88,26.88,26.38,26.38,53800.0,8.7618957982281,53800.0
1994-07-28,26.5,26.62,26.12,26.5,60000.0,8.8017527920032,60000.0
1994-07-29,26.5,26.62,26.12,26.62,101400.0,8.841609785778301,101400.0
1994-08-01,26.62,26.62,26.12,26.62,136800.0,8.841609785778301,136800.0
1994-08-02,26.62,26.62,26.12,26.25,52000.0,8.7187173883051,52000.0
1994-08-03,26.38,26.5,26.0,26.25,65200.0,8.7187173883051,65200.0
1994-08-04,26.12,26.5,26.0,26.38,40800.0,8.7618957982281,40800.0
1994-08-05,26.5,26.5,26.12,26.38,33500.0,8.7618957982281,33500.0
1994-08-08,26.38,26.88,26.12,26.62,35200.0,8.841609785778301,35200.0
1994-08-09,26.62,26.88,26.38,26.5,29500.0,8.8017527920032,29500.0
1994-08-10,26.62,26.62,26.12,26.38,58900.0,8.7618957982281,58900.0
1994-08-11,26.38,26.38,26.12,26.25,64400.0,8.7187173883051,64400.0
1994-08-12,26.38,26.38,26.0,26.12,32900.0,8.675538978381999,32900.0
1994-08-15,26.25,26.25,25.25,25.88,40300.0,8.5958249908318,40300.0
1994-08-16,25.88,26.0,25.5,25.5,110500.0,8.469611177210599,110500.0
1994-08-17,25.62,25.75,25.5,25.75,55000.0,8.5526465809088,55000.0
1994-08-18,25.75,25.88,25.62,25.88,87600.0,8.5958249908318,87600.0
1994-08-19,25.88,25.88,25.75,25.88,69500.0,8.5958249908318,69500.0
1994-08-22,26.0,26.0,25.62,25.88,80600.0,8.5958249908318,80600.0
1994-08-23,25.88,26.12,25.75,25.88,80400.0,8.5958249908318,80400.0
1994-08-24,26.0,26.38,26.0,26.12,81100.0,8.675538978381999,81100.0
1994-08-25,26.12,26.38,26.0,26.0,100900.0,8.6356819846069,100900.0
1994-08-26,26.12,26.12,25.88,25.88,102800.0,8.5958249908318,102800.0
1994-08-29,26.12,26.12,25.88,26.12,40900.0,8.675538978381999,40900.0
1994-08-30,26.12,26.38,25.88,26.25,50000.0,8.7187173883051,50000.0
1994-08-31,26.38,26.38,26.12,26.38,44900.0,8.7618957982281,44900.0
1994-09-01,26.38,26.38,26.0,26.12,47900.0,8.675538978381999,47900.0
1994-09-02,25.88,26.12,25.88,26.12,130400.0,8.675538978381999,130400.0
1994-09-06,26.12,26.12,25.88,26.0,61100.0,8.6356819846069,61100.0
1994-09-07,26.0,26.12,25.88,26.0,281200.0,8.6356819846069,281200.0
1994-09-08,26.0,26.38,25.88,26.25,69700.0,8.7187173883051,69700.0
1994-09-09,26.25,26.25,25.88,26.0,87900.0,8.6356819846069,87900.0
1994-09-12,26.0,26.0,25.25,25.5,386600.0,8.469611177210599,386600.0
1994-09-13,25.75,25.75,25.5,25.75,49300.0,8.5526465809088,49300.0
1994-09-14,25.75,25.75,25.12,25.5,372900.0,8.469611177210599,372900.0
1994-09-15,25.5,25.62,25.25,25.62,155400.0,8.5094681709857,155400.0
1994-09-16,25.62,25.62,25.25,25.5,55300.0,8.469611177210599,55300.0
1994-09-19,25.5,25.5,25.25,25.38,53500.0,8.4297541834355,53500.0
1994-09-20,25.38,25.5,25.12,25.12,55900.0,8.3433973635895,55900.0
1994-09-21,25.25,25.25,25.12,25.25,37600.0,8.3865757735125,37600.0
1994-09-22,25.25,25.62,25.25,25.38,122800.0,8.4297541834355,122800.0
1994-09-23,25.38,25.75,25.25,25.75,134300.0,8.5526465809088,134300.0
1994-09-26,25.75,25.75,25.5,25.75,136600.0,8.5526465809088,136600.0
1994-09-27,25.75,26.12,25.62,26.0,185300.0,8.6356819846069,185300.0
1994-09-28,26.0,26.0,25.88,26.0,182500.0,8.6356819846069,182500.0
1994-09-29,25.75,25.88,25.5,25.62,98300.0,8.6672354380122,98300.0
1994-09-30,25.75,25.88,25.38,25.62,60600.0,8.6672354380122,60600.0
1994-10-03,25.62,25.75,25.38,25.5,38400.0,8.626639487482901,38400.0
1994-10-04,25.62,25.62,25.12,25.25,36200.0,8.5420645905468,36200.0
1994-10-05,25.25,25.38,25.12,25.12,55400.0,8.49808564414,55400.0
1994-10-06,25.25,25.25,24.5,24.62,51000.0,8.3289358502678,51000.0
1994-10-07,24.75,24.75,24.38,24.75,74100.0,8.3729147966746,74100.0
1994-10-10,24.75,25.0,24.62,25.0,36400.0,8.4574896936107,36400.0
1994-10-11,25.0,25.12,24.75,25.0,56700.0,8.4574896936107,56700.0
1994-10-12,25.0,25.25,24.75,25.0,80400.0,8.4574896936107,80400.0
1994-10-13,25.5,25.5,25.0,25.12,45000.0,8.49808564414,45000.0
1994-10-14,25.38,25.38,25.0,25.25,53600.0,8.5420645905468,53600.0
1994-10-17,25.25,25.38,25.12,25.25,51700.0,8.5420645905468,51700.0
1994-10-18,25.38,25.38,25.0,25.12,71500.0,8.49808564414,71500.0
1994-10-19,25.12,25.12,24.75,25.12,30600.0,8.49808564414,30600.0
1994-10-20,25.12,25.12,24.62,24.88,74300.0,8.4168937430813,74300.0
1994-10-21,25.12,25.12,24.62,24.75,66000.0,8.3729147966746,66000.0
1994-10-24,24.88,24.88,24.25,24.25,60800.0,8.2037650028024,60800.0
1994-10-25,24.25,24.62,24.12,24.5,35900.0,8.2883398997385,35900.0
1994-10-26,24.5,24.5,23.88,24.25,74200.0,8.2037650028024,74200.0
1994-10-27,24.25,24.5,23.62,23.75,57900.0,8.0346152089301,57900.0
1994-10-28,24.0,24.25,23.75,24.0,67600.0,8.1191901058663,67600.0
1994-10-31,24.25,24.25,23.25,23.88,158200.0,8.078594155336901,158200.0
1994-11-01,23.62,24.0,23.38,23.88,195000.0,8.078594155336901,195000.0
1994-11-02,23.62,24.0,23.25,23.62,313500.0,7.990636262523401,313500.0
1994-11-03,23.62,23.75,23.38,23.5,99800.0,7.950040311993999,99800.0
1994-11-04,23.62,23.62,23.25,23.38,47000.0,7.9094443614647005,47000.0
1994-11-07,23.38,23.62,23.38,23.5,48400.0,7.950040311993999,48400.0
1994-11-08,23.5,23.62,23.25,23.25,100300.0,7.8654654150578995,100300.0
1994-11-09,23.38,23.5,23.38,23.38,85400.0,7.9094443614647005,85400.0
1994-11-10,23.38,23.38,23.0,23.12,143200.0,7.821486468651202,143200.0
1994-11-11,23.0,23.12,22.75,23.12,143300.0,7.821486468651202,143300.0
1994-11-14,23.38,23.38,23.0,23.0,59800.0,7.780890518121799,59800.0
1994-11-15,22.88,23.0,22.75,23.0,118200.0,7.780890518121799,118200.0
1994-11-16,23.25,23.25,23.0,23.12,402800.0,7.821486468651202,402800.0
1994-11-17,23.25,23.25,23.0,23.12,88700.0,7.821486468651202,88700.0
1994-11-18,23.12,23.25,23.0,23.25,349100.0,7.8654654150578995,349100.0
1994-11-21,23.25,23.25,23.0,23.12,54700.0,7.821486468651202,54700.0
1994-11-22,23.12,23.12,22.75,23.12,129700.0,7.821486468651202,129700.0
1994-11-23,23.12,23.38,23.0,23.12,32800.0,7.821486468651202,32800.0
1994-11-25,23.12,23.62,23.12,23.62,23800.0,7.990636262523401,23800.0
1994-11-28,23.75,23.75,23.5,23.62,108400.0,7.990636262523401,108400.0
1994-11-29,23.62,23.62,23.38,23.62,55900.0,7.990636262523401,55900.0
1994-11-30,23.5,23.62,23.5,23.62,34100.0,7.990636262523401,34100.0
1994-12-01,23.62,23.88,23.62,23.62,65000.0,7.990636262523401,65000.0
1994-12-02,23.5,23.62,23.38,23.5,128000.0,7.950040311993999,128000.0
