Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
2002-12-11,11.5,12.0,11.25,11.5,36719700.0,8.3245895920352,36719700.0
2002-12-12,11.5,11.59,11.02,11.18,9195600.0,8.0929488381699,9195600.0
2002-12-13,11.1,11.5,10.95,11.42,7739400.0,8.2666794035689,7739400.0
2002-12-16,11.32,11.62,11.13,11.61,3836400.0,8.4042161011764,3836400.0
2002-12-17,11.6,11.78,11.45,11.5,2729900.0,8.3245895920352,2729900.0
2002-12-18,11.42,11.43,11.13,11.2,2152800.0,8.1074263852864,2152800.0
2002-12-19,11.15,11.2,10.71,10.76,6450800.0,7.788920348721598,6450800.0
2002-12-20,10.85,10.94,10.56,10.81,2930900.0,7.8251142165131,2930900.0
2002-12-23,10.71,10.71,10.2,10.4,3455900.0,7.5283245006231,3455900.0
2002-12-24,10.4,10.45,10.0,10.24,3302500.0,7.4125041236905,3302500.0
2002-12-26,10.05,10.2,10.0,10.03,2019200.0,7.2604898789662995,2019200.0
2002-12-27,10.0,10.13,9.86,10.13,1639400.0,7.332877614549298,1639400.0
2002-12-30,10.22,10.55,10.0,10.47,2742800.0,7.5789959155312,2742800.0
2002-12-31,10.3,10.96,10.3,10.73,3730800.0,7.7672040280467,3730800.0
2003-01-02,10.75,10.76,10.25,10.5,3473000.0,7.600712236206,3473000.0
2003-01-03,10.5,10.75,10.33,10.75,1716600.0,7.7816815751633,1716600.0
2003-01-06,10.9,11.57,10.85,11.43,4041400.0,8.273918177127099,4041400.0
2003-01-07,11.5,12.25,11.4,12.25,6823500.0,8.867497608907,6823500.0
2003-01-08,12.05,12.24,11.95,12.2,4623100.0,8.8313037411156,4623100.0
2003-01-09,12.3,12.95,12.25,12.6,9553400.0,9.120854683447199,9553400.0
2003-01-10,11.5,11.95,10.7,11.1,7554700.0,8.0350386497035,7554700.0
2003-01-13,11.15,11.28,10.15,10.23,2834700.0,7.4052653501322,2834700.0
2003-01-14,10.23,10.35,10.0,10.25,1629200.0,7.4197428972488,1629200.0
2003-01-15,10.36,10.88,10.19,10.77,2588100.0,7.7961591222799,2588100.0
2003-01-16,10.98,11.1,10.78,11.01,1443400.0,7.969889687678901,1443400.0
2003-01-17,10.98,11.0,10.4,10.8,2000000.0,7.8178754429548,2000000.0
2003-01-21,10.9,10.98,10.21,10.24,1165700.0,7.4125041236905,1165700.0
2003-01-22,10.34,10.34,9.3,9.52,3488500.0,6.891312427493499,3488500.0
2003-01-23,9.75,10.15,9.61,10.0,2498200.0,7.238773558291499,2498200.0
2003-01-24,10.17,10.43,9.8,9.95,2772100.0,7.2025796905,2772100.0
2003-01-27,9.8,9.9,9.32,9.35,1150600.0,6.7682532770025015,1150600.0
2003-01-28,9.43,9.71,9.4,9.4,1267000.0,6.8044471447940005,1267000.0
2003-01-29,9.42,9.92,9.4,9.73,1174400.0,7.043326672217599,1174400.0
2003-01-30,9.79,9.89,9.4,9.4,720700.0,6.8044471447940005,720700.0
2003-01-31,9.3,9.34,8.99,9.18,1402500.0,6.6451941265116,1402500.0
2003-02-03,9.23,9.45,9.16,9.17,1002400.0,6.637955352953299,1002400.0
2003-02-04,9.18,9.18,8.95,9.05,1087700.0,6.5510900702538,1087700.0
2003-02-05,9.12,9.21,8.98,9.05,1233500.0,6.5510900702538,1233500.0
2003-02-06,9.1,9.34,9.03,9.05,923500.0,6.5510900702538,923500.0
2003-02-07,9.15,9.17,8.96,9.0,1069500.0,6.5148962024623005,1069500.0
2003-02-10,8.75,8.75,7.78,8.7,10046400.0,6.2977329957136,10046400.0
2003-02-11,8.7,8.93,8.23,8.93,2238900.0,6.4642247875543,2238900.0
2003-02-12,8.95,8.95,8.18,8.34,1726000.0,6.05885346829,1726000.0
2003-02-13,8.35,8.45,8.0,8.06,2111000.0,5.855438723551201,2111000.0
2003-02-14,8.06,8.4,8.06,8.4,881000.0,6.102442342162499,881000.0
2003-02-18,8.4,8.74,8.39,8.74,2049100.0,6.3494459607739016,2049100.0
2003-02-19,8.81,9.0,8.74,8.99,1506300.0,6.5310662685763,1506300.0
2003-02-20,8.89,9.15,8.87,9.01,760000.0,6.5455958932005,760000.0
