Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1985-07-01,28.75,29.5,28.75,29.0,32400.0,6.3982390966643,97200.0
1985-07-02,29.0,29.75,29.0,29.25,38800.0,6.4533963302562,116400.0
1985-07-03,29.25,30.0,29.25,30.0,50067.0,6.618868031031999,150201.0
1985-07-05,30.0,30.13,29.75,30.0,36067.0,6.618868031031999,108201.0
1985-07-08,30.0,30.0,29.62,30.0,34667.0,6.618868031031999,104001.0
1985-07-09,30.0,30.0,29.5,29.5,12467.0,6.5085535638481,37401.0
1985-07-10,29.5,29.75,29.25,29.25,48467.0,6.4533963302562,145401.0
1985-07-11,29.25,29.62,28.75,28.75,49267.0,6.3430818630723,147801.0
1985-07-12,28.75,29.0,28.5,29.0,32867.0,6.3982390966643,98601.0
1985-07-15,29.0,29.12,27.5,29.12,17467.0,6.424714568788401,52401.0
1985-07-16,29.25,30.0,29.25,29.75,35200.0,6.5637107974401,105600.0
1985-07-17,29.75,30.75,29.75,30.25,163000.0,6.674025264623902,489000.0
1985-07-18,30.25,30.88,30.13,30.62,61867.0,6.755657970340001,185601.0
1985-07-19,30.62,30.88,30.5,30.62,20200.0,6.755657970340001,60600.0
1985-07-22,30.62,30.62,30.13,30.38,11267.0,6.7027070260917,33801.0
1985-07-23,30.38,30.62,30.25,30.38,19600.0,6.7027070260917,58800.0
1985-07-24,30.38,30.88,30.25,30.5,52867.0,6.7291824982159,158601.0
1985-07-25,30.5,31.37,30.25,31.12,50867.0,6.8659724375239,152601.0
1985-07-26,31.0,31.0,30.13,30.38,24400.0,6.7027070260917,73200.0
1985-07-29,30.38,30.38,29.5,29.62,18067.0,6.5350290359723,54201.0
1985-07-30,29.62,30.0,29.0,29.0,61600.0,6.3982390966643,184800.0
1985-07-31,28.88,28.88,28.5,28.75,88000.0,6.3430818630723,264000.0
1985-08-01,28.75,30.0,28.75,30.0,53267.0,6.618868031031999,159801.0
1985-08-02,30.0,30.0,29.5,30.0,8267.0,6.618868031031999,24801.0
1985-08-05,30.0,30.25,29.75,30.25,42600.0,6.674025264623902,127800.0
1985-08-06,30.25,30.25,29.5,29.5,20067.0,6.5085535638481,60201.0
1985-08-07,29.5,30.0,29.5,29.75,23067.0,6.5637107974401,69201.0
1985-08-08,29.75,29.87,29.62,29.62,11667.0,6.5350290359723,35001.0
1985-08-09,29.62,30.25,29.62,30.13,21400.0,6.6475497924998,64200.0
1985-08-12,30.0,30.0,29.62,29.75,7267.0,6.5637107974401,21801.0
1985-08-13,29.75,30.0,29.62,29.87,11000.0,6.5901862695642,33000.0
1985-08-14,29.87,30.25,29.75,30.0,17667.0,6.618868031031999,53001.0
1985-08-15,30.0,30.0,29.75,29.87,10267.0,6.5901862695642,30801.0
1985-08-16,29.87,30.0,29.75,29.87,8200.0,6.5901862695642,24600.0
1985-08-19,29.87,30.25,29.5,29.5,88667.0,6.5085535638481,266001.0
1985-08-20,29.62,29.87,29.62,29.87,12800.0,6.5901862695642,38400.0
1985-08-21,29.87,30.13,29.75,30.13,8267.0,6.6475497924998,24801.0
1985-08-22,30.13,30.25,29.62,29.87,9467.0,6.5901862695642,28401.0
1985-08-23,29.87,30.0,29.62,29.87,10000.0,6.5901862695642,30000.0
1985-08-26,29.87,29.87,29.5,29.75,16000.0,6.5637107974401,48000.0
1985-08-27,29.75,29.87,29.5,29.5,14867.0,6.5085535638481,44601.0
1985-08-28,29.5,29.87,29.38,29.87,19200.0,6.5901862695642,57600.0
1985-08-29,29.87,30.0,29.75,30.0,6667.0,6.618868031031999,20001.0
1985-08-30,30.0,30.25,29.62,30.0,16667.0,6.618868031031999,50001.0
1985-09-03,30.0,30.0,29.62,30.0,12267.0,6.618868031031999,36801.0
1985-09-04,30.0,30.25,29.75,29.75,18467.0,6.5637107974401,55401.0
1985-09-05,29.75,30.25,29.62,29.87,19067.0,6.5901862695642,57201.0
1985-09-06,29.75,29.75,29.62,29.62,8200.0,6.5350290359723,24600.0
1985-09-09,29.62,30.0,29.62,29.75,10267.0,6.5637107974401,30801.0
1985-09-10,29.75,30.0,29.62,29.75,20467.0,6.5637107974401,61401.0
1985-09-11,29.75,29.87,28.5,28.75,30867.0,6.3430818630723,92601.0
1985-09-12,28.75,28.75,28.12,28.12,34400.0,6.2040856344207,103200.0
1985-09-13,28.0,28.0,27.62,27.88,25067.0,6.151134690172402,75201.0
1985-09-16,27.88,28.37,27.75,28.25,15067.0,6.2327673958885015,45201.0
1985-09-17,28.25,28.25,27.88,28.12,39267.0,6.2040856344207,117801.0
1985-09-18,28.12,28.25,27.88,28.0,14200.0,6.1776101622965,42600.0
1985-09-19,28.0,28.37,28.0,28.37,15667.0,6.2592428680126,47001.0
1985-09-20,28.37,28.5,28.25,28.25,28667.0,6.2327673958885015,86001.0
1985-09-23,28.25,28.5,27.75,28.0,104000.0,6.1776101622965,312000.0
1985-09-24,28.0,28.5,27.88,28.12,67000.0,6.2040856344207,201000.0
1985-09-25,28.12,28.25,28.0,28.0,41467.0,6.1776101622965,124401.0
1985-09-26,28.0,28.5,28.0,28.12,27200.0,6.2040856344207,81600.0
1985-09-30,28.12,28.75,28.0,28.75,23467.0,6.3430818630723,70401.0
1985-10-01,28.75,28.75,28.37,28.63,40000.0,6.3166063909482,120000.0
1985-10-02,28.63,29.0,28.63,28.63,18467.0,6.3166063909482,55401.0
1985-10-03,28.63,29.0,28.63,28.63,17467.0,6.3166063909482,52401.0
1985-10-04,28.5,28.5,28.0,28.5,36067.0,6.2879246294804,108201.0
1985-10-07,28.5,28.75,28.25,28.63,15600.0,6.3166063909482,46800.0
1985-10-08,28.63,28.63,28.25,28.63,9667.0,6.3166063909482,29001.0
1985-10-09,28.63,28.88,28.37,28.5,48467.0,6.2879246294804,145401.0
1985-10-10,28.5,28.88,28.37,28.5,13800.0,6.2879246294804,41400.0
1985-10-11,28.5,28.63,28.37,28.63,5867.0,6.3166063909482,17601.0
1985-10-14,28.63,28.75,28.37,28.75,3867.0,6.3430818630723,11601.0
1985-10-15,28.75,29.38,28.5,29.0,29667.0,6.3982390966643,89001.0
1985-10-16,29.0,29.38,29.0,29.12,15800.0,6.424714568788401,47400.0
1985-10-17,29.12,29.38,28.75,29.0,58667.0,6.3982390966643,176001.0
1985-10-18,29.0,29.25,29.0,29.12,39400.0,6.424714568788401,118200.0
1985-10-21,29.12,29.25,29.0,29.12,23600.0,6.424714568788401,70800.0
1985-10-22,29.12,29.25,29.12,29.12,20467.0,6.424714568788401,61401.0
1985-10-23,29.12,29.25,29.0,29.0,11867.0,6.3982390966643,35601.0
1985-10-24,29.0,29.25,28.88,28.88,14667.0,6.3717636245401,44001.0
1985-10-25,28.88,29.75,28.75,29.75,26200.0,6.5637107974401,78600.0
1985-10-28,29.75,29.75,29.25,29.5,64600.0,6.5085535638481,193800.0
1985-10-29,29.38,29.38,29.12,29.25,54267.0,6.4533963302562,162801.0
1985-10-30,29.25,29.25,28.63,29.0,21667.0,6.3982390966643,65001.0
1985-10-31,29.0,29.75,29.0,29.25,22200.0,6.4533963302562,66600.0
1985-11-01,29.25,30.0,29.25,30.0,60800.0,6.618868031031999,182400.0
1985-11-04,30.0,30.0,29.38,29.87,35667.0,6.5901862695642,107001.0
1985-11-05,29.87,30.0,29.5,29.5,22467.0,6.5085535638481,67401.0
1985-11-06,29.5,29.87,29.5,29.87,21800.0,6.5901862695642,65400.0
1985-11-07,29.87,30.0,29.12,29.5,45800.0,6.5085535638481,137400.0
1985-11-08,29.5,29.5,29.12,29.25,32400.0,6.4533963302562,97200.0
1985-11-11,29.25,29.87,29.25,29.75,17867.0,6.5637107974401,53601.0
1985-11-12,29.75,30.5,29.62,30.25,89667.0,6.674025264623902,269001.0
1985-11-13,30.25,30.75,29.87,29.87,32000.0,6.5901862695642,96000.0
1985-11-14,29.87,30.38,29.5,30.38,27200.0,6.7027070260917,81600.0
1985-11-15,30.38,30.38,30.0,30.25,15400.0,6.674025264623902,46200.0
1985-11-18,30.25,30.25,30.0,30.25,11400.0,6.674025264623902,34200.0
1985-11-19,30.25,30.62,30.25,30.5,34000.0,6.7291824982159,102000.0
1985-11-20,30.5,30.62,30.25,30.62,20067.0,6.755657970340001,60201.0
1985-11-21,30.62,30.75,30.0,30.25,26867.0,6.674025264623902,80601.0
1985-11-22,30.25,31.0,30.0,31.0,51000.0,6.8394969653997,153000.0
1985-11-25,31.0,31.5,30.75,31.5,49200.0,6.949811432583599,147600.0
1985-11-26,31.5,31.88,31.25,31.5,23800.0,6.949811432583599,71400.0
1985-11-27,31.5,32.0,31.5,31.75,85400.0,7.0049686661755,256200.0
1985-11-29,31.75,31.75,31.0,31.12,17467.0,6.8659724375239,52401.0
1985-12-02,31.12,31.37,30.5,30.75,17600.0,6.784339731807799,52800.0
