Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1984-10-29,28.38,28.5,28.25,28.25,1546000.0,1.8657721719384,6184000.0
1984-10-30,28.12,28.38,28.0,28.38,83900.0,1.874358026181,335600.0
1984-10-31,28.38,28.38,28.12,28.25,16400.0,1.8657721719384,65600.0
1984-11-01,28.38,28.5,28.25,28.5,15600.0,1.8822834300972,62400.0
1984-11-02,28.5,28.62,28.38,28.5,126200.0,1.8822834300972,504800.0
1984-11-05,28.25,28.62,28.25,28.5,55500.0,1.8822834300972,222000.0
1984-11-06,28.75,28.75,28.62,28.62,34100.0,1.8902088340134,136400.0
1984-11-07,28.75,28.75,28.12,28.5,44700.0,1.8822834300972,178800.0
1984-11-08,28.38,28.62,28.38,28.62,11100.0,1.8902088340134,44400.0
1984-11-09,28.5,28.5,28.0,28.5,37100.0,1.8822834300972,148400.0
1984-11-12,28.25,28.62,28.25,28.62,21700.0,1.8902088340134,86800.0
1984-11-13,28.62,28.62,28.25,28.62,26200.0,1.8902088340134,104800.0
1984-11-14,28.38,28.5,28.12,28.38,30000.0,1.874358026181,120000.0
1984-11-15,27.75,27.75,27.12,27.75,100500.0,1.8327496556209,402000.0
1984-11-16,27.75,28.0,27.5,28.0,53000.0,1.8492609137797,212000.0
1984-11-19,27.75,27.75,27.38,27.75,30800.0,1.8327496556209,123200.0
1984-11-20,27.62,27.62,27.38,27.62,45100.0,1.8241638013784,180400.0
1984-11-21,27.38,27.62,27.12,27.62,35100.0,1.8241638013784,140400.0
1984-11-23,27.5,27.75,27.25,27.5,33300.0,1.8162383974622,133200.0
1984-11-26,27.62,27.75,27.38,27.62,36400.0,1.8241638013784,145600.0
1984-11-27,27.38,27.5,27.38,27.5,134200.0,1.8162383974622,536800.0
1984-11-28,27.5,27.75,27.5,27.75,63800.0,1.8327496556209,255200.0
1984-11-29,27.88,27.88,27.62,27.88,14300.0,1.8413355098635,57200.0
1984-11-30,27.88,28.0,27.62,28.0,32500.0,1.8492609137797,130000.0
1984-12-03,28.0,28.0,27.75,28.0,42600.0,1.8492609137797,170400.0
1984-12-04,27.75,27.88,27.62,27.88,36000.0,1.8413355098635,144000.0
1984-12-05,27.88,27.88,27.5,27.75,38300.0,1.8327496556209,153200.0
1984-12-06,27.75,27.88,27.38,27.62,21200.0,1.8241638013784,84800.0
1984-12-07,27.62,27.62,27.38,27.5,66900.0,1.8162383974622,267600.0
1984-12-10,27.62,28.0,27.5,27.88,51100.0,1.8413355098635,204400.0
1984-12-11,28.0,28.25,27.88,27.88,84700.0,1.8413355098635,338800.0
1984-12-12,27.88,28.0,27.75,27.88,141400.0,1.8413355098635,565600.0
1984-12-13,27.88,27.88,27.12,27.75,17900.0,1.8327496556209,71600.0
1984-12-14,27.88,28.12,27.75,28.12,81300.0,1.8571863176959,325200.0
1984-12-17,28.12,28.25,28.0,28.25,46700.0,1.8657721719384,186800.0
1984-12-18,28.38,29.0,28.38,29.0,59700.0,1.9153059464147,238800.0
1984-12-19,28.88,29.25,28.88,29.25,78000.0,1.9318172045734,312000.0
1984-12-20,29.25,29.62,29.25,29.62,15800.0,1.9562538666484,63200.0
1984-12-21,29.62,30.5,29.5,30.5,27700.0,2.0143734953672,110800.0
1984-12-24,30.25,30.25,29.88,30.0,24000.0,1.9813509790497,96000.0
1984-12-26,30.0,30.0,29.75,29.75,4500.0,1.9648397208909,18000.0
1984-12-27,29.75,30.0,29.75,30.0,14100.0,1.9813509790497,56400.0
1984-12-28,30.25,30.25,29.88,29.88,10800.0,1.9734255751335,43200.0
1984-12-31,29.75,30.0,29.62,29.75,14300.0,1.9648397208909,57200.0
1985-01-02,30.0,30.0,29.75,29.88,19600.0,1.9734255751335,78400.0
1985-01-03,29.75,29.75,29.5,29.75,67800.0,1.9648397208909,271200.0
1985-01-04,29.75,29.75,29.5,29.62,24200.0,1.9562538666484,96800.0
1985-01-07,29.75,29.88,29.5,29.88,23100.0,1.9734255751335,92400.0
1985-01-08,29.62,29.88,29.62,29.88,89300.0,1.9734255751335,357200.0
1985-01-09,30.0,30.25,29.88,30.25,65400.0,1.9978622372084,261600.0
1985-01-10,30.12,30.62,30.12,30.5,14300.0,2.0143734953672,57200.0
1985-01-11,30.62,30.62,30.5,30.5,36400.0,2.0143734953672,145600.0
1985-01-14,30.5,31.0,30.5,30.75,15400.0,2.0308847535259,61600.0
1985-01-15,30.75,30.88,30.62,30.88,15800.0,2.0394706077685,63200.0
1985-01-16,30.62,30.88,30.62,30.75,20900.0,2.0308847535259,83600.0
1985-01-17,30.75,30.75,30.62,30.62,13200.0,2.0222988992834,52800.0
1985-01-18,30.75,31.25,30.75,31.12,74700.0,2.0553214156009,298800.0
1985-01-21,31.12,31.38,31.12,31.12,24700.0,2.0553214156009,98800.0
1985-01-22,31.25,31.5,31.25,31.5,31900.0,2.0804185280022,127600.0
1985-01-23,31.5,31.62,31.25,31.38,640600.0,2.072493124086,2562400.0
1985-01-24,31.25,31.5,31.25,31.38,195700.0,2.072493124086,782800.0
1985-01-25,31.38,31.5,31.25,31.5,77900.0,2.0804185280022,311600.0
1985-01-28,30.75,30.75,30.38,30.62,42300.0,2.0313800912707003,169200.0
1985-01-29,30.38,30.75,30.38,30.62,62800.0,2.0313800912707003,251200.0
1985-01-30,30.75,30.88,30.75,30.88,51800.0,2.0486289098118,207200.0
1985-01-31,30.62,30.88,30.5,30.62,87000.0,2.0313800912707003,348000.0
1985-02-01,30.75,30.88,30.62,30.62,27100.0,2.0313800912707003,108400.0
1985-02-04,30.75,30.75,30.5,30.5,45500.0,2.0234190980978,182000.0
1985-02-05,30.5,30.62,30.5,30.5,61500.0,2.0234190980978,246000.0
1985-02-06,30.38,30.5,30.25,30.25,35600.0,2.0068336956544,142400.0
1985-02-07,30.12,30.25,29.88,30.12,25400.0,1.9982092863838,101600.0
1985-02-08,30.12,30.12,29.75,30.0,49800.0,1.990248293211,199200.0
1985-02-11,30.0,30.0,29.38,29.5,130500.0,1.9570774883241,522000.0
1985-02-12,29.5,29.5,29.12,29.38,230800.0,1.9491164951513,923200.0
1985-02-13,29.38,29.62,29.25,29.5,39500.0,1.9570774883241,158000.0
1985-02-14,29.62,29.62,29.0,29.25,291700.0,1.9404920858807,1166800.0
1985-02-15,28.75,28.88,28.5,28.62,116500.0,1.8986968717233,466000.0
1985-02-19,28.75,29.0,28.62,28.88,74100.0,1.9159456902644,296400.0
1985-02-20,28.75,28.88,28.62,28.88,42500.0,1.9159456902644,170000.0
1985-02-21,28.88,28.88,28.75,28.88,172000.0,1.9159456902644,688000.0
1985-02-22,28.75,28.75,28.62,28.62,13800.0,1.8986968717233,55200.0
1985-02-25,28.5,28.75,28.5,28.62,85200.0,1.8986968717233,340800.0
1985-02-26,28.62,28.88,28.62,28.88,46600.0,1.9159456902644,186400.0
1985-02-27,28.88,28.88,28.75,28.88,48900.0,1.9159456902644,195600.0
1985-02-28,28.75,28.88,28.62,28.88,26000.0,1.9159456902644,104000.0
1985-03-01,28.75,28.88,28.62,28.75,17100.0,1.9073212809939,68400.0
1985-03-04,28.75,28.75,28.5,28.62,35300.0,1.8986968717233,141200.0
1985-03-05,28.62,28.62,28.38,28.5,32600.0,1.8907358785504,130400.0
1985-03-06,28.5,28.5,28.25,28.5,61400.0,1.8907358785504,245600.0
1985-03-07,28.25,28.5,28.25,28.25,31200.0,1.874150476107,124800.0
1985-03-08,28.38,28.5,28.38,28.5,38000.0,1.8907358785504,152000.0
1985-03-11,28.62,28.62,28.25,28.38,24800.0,1.8827748853776003,99200.0
1985-03-12,28.38,28.38,28.12,28.38,80400.0,1.8827748853776003,321600.0
1985-03-13,28.25,28.38,27.88,27.88,26600.0,1.8496040804907,106400.0
1985-03-14,28.0,28.25,27.88,28.25,176000.0,1.874150476107,704000.0
1985-03-15,28.38,28.38,28.12,28.38,26400.0,1.8827748853776003,105600.0
1985-03-18,28.38,28.62,28.25,28.62,163000.0,1.8986968717233,652000.0
1985-03-19,28.5,28.88,28.5,28.88,142900.0,1.9159456902644,571600.0
1985-03-20,29.0,29.12,28.75,28.88,99600.0,1.9159456902644,398400.0
1985-03-21,29.12,29.25,29.0,29.25,266100.0,1.9404920858807,1064400.0
1985-03-22,29.38,29.62,29.38,29.5,10600.0,1.9570774883241,42400.0
1985-03-25,29.5,29.62,29.5,29.62,11400.0,1.965038481497,45600.0
1985-03-26,29.75,29.88,29.62,29.62,20200.0,1.965038481497,80800.0
1985-03-27,29.5,30.25,29.5,30.12,55100.0,1.9982092863838,220400.0
1985-03-28,30.25,30.5,30.12,30.12,316600.0,1.9982092863838,1266400.0
1985-03-29,30.12,30.38,30.0,30.25,31800.0,2.0068336956544,127200.0
1985-04-01,30.25,30.62,30.12,30.5,37200.0,2.0234190980978,148800.0
1985-04-02,30.62,30.75,30.62,30.75,18600.0,2.0400045005413,74400.0
1985-04-03,30.75,30.75,30.62,30.75,41600.0,2.0400045005413,166400.0
1985-04-04,30.75,30.75,30.5,30.62,323900.0,2.0313800912707003,1295600.0
1985-04-08,30.75,31.12,30.5,31.12,91800.0,2.0645508961575003,367200.0
1985-04-09,31.12,31.25,30.88,31.0,79000.0,2.0565899029847,316000.0
1985-04-10,31.12,31.38,31.0,31.38,124000.0,2.0817997146987,496000.0
1985-04-11,31.25,31.5,31.25,31.5,88900.0,2.0897607078715,355600.0
1985-04-12,31.5,31.75,31.38,31.75,551500.0,2.106346110315,2206000.0
1985-04-15,31.5,32.25,31.5,32.0,78400.0,2.1229315127584,313600.0
1985-04-16,32.38,32.38,32.12,32.25,39300.0,2.1395169152018,157200.0
1985-04-17,32.38,32.38,32.12,32.38,21600.0,2.1481413244724,86400.0
1985-04-18,32.5,32.5,32.12,32.12,78200.0,2.1308925059312003,312800.0
1985-04-19,32.12,32.25,32.12,32.12,68600.0,2.1308925059312003,274400.0
1985-04-22,32.12,32.12,31.62,31.75,51900.0,2.106346110315,207600.0
1985-04-23,31.88,31.88,31.5,31.5,221000.0,2.0897607078715,884000.0
1985-04-24,31.5,31.75,31.5,31.75,434800.0,2.106346110315,1739200.0
1985-04-25,31.0,31.12,30.75,31.12,130300.0,2.0743362835991,521200.0
1985-04-26,30.88,31.12,30.88,30.88,18700.0,2.0583388315405,74800.0
1985-04-29,31.0,31.0,30.62,30.75,58500.0,2.0496735450088,234000.0
1985-04-30,30.62,30.75,30.62,30.62,26300.0,2.041008258477,105200.0
1985-05-01,30.75,30.75,30.5,30.62,25500.0,2.041008258477,102000.0
1985-05-02,30.5,30.62,30.38,30.5,21900.0,2.0330095324477,87600.0
1985-05-03,30.62,30.88,30.62,30.88,60300.0,2.0583388315405,241200.0
1985-05-06,31.0,31.0,30.75,30.88,20800.0,2.0583388315405,83200.0
1985-05-07,30.88,31.25,30.88,31.25,66200.0,2.0830015701309,264800.0
1985-05-08,31.38,31.75,31.12,31.75,22400.0,2.116329595253,89600.0
1985-05-09,31.62,32.62,31.62,32.5,42300.0,2.1663216329361,169200.0
1985-05-10,32.38,33.0,32.38,33.0,105200.0,2.1996496580582003,420800.0
1985-05-13,33.0,33.12,32.88,33.0,25300.0,2.1996496580582003,101200.0
1985-05-14,32.88,33.12,32.88,32.88,73900.0,2.1916509320289,295600.0
1985-05-15,32.88,33.0,32.62,32.62,53600.0,2.1743203589654,214400.0
1985-05-16,32.62,32.88,32.5,32.62,131600.0,2.1743203589654,526400.0
1985-05-17,32.75,32.88,32.62,32.88,39800.0,2.1916509320289,159200.0
1985-05-20,32.88,33.0,32.75,32.75,75800.0,2.1829856454972,303200.0
1985-05-21,32.75,33.0,32.75,32.88,28300.0,2.1916509320289,113200.0
1985-05-22,32.75,32.75,32.38,32.38,35700.0,2.1583229069068,142800.0
1985-05-23,32.5,32.5,32.25,32.38,38000.0,2.1583229069068,152000.0
1985-05-24,32.25,32.75,32.25,32.5,27000.0,2.1663216329361,108000.0
1985-05-28,32.5,32.75,32.5,32.75,88300.0,2.1829856454972,353200.0
1985-05-29,32.62,33.0,32.62,32.75,21200.0,2.1829856454972,84800.0
1985-05-30,32.88,32.88,32.62,32.88,12200.0,2.1916509320289,48800.0
1985-05-31,32.88,32.88,32.62,32.88,26300.0,2.1916509320289,105200.0
1985-06-03,32.88,33.0,32.75,32.75,39600.0,2.1829856454972,158400.0
1985-06-04,32.75,33.0,32.75,32.75,25800.0,2.1829856454972,103200.0
1985-06-05,32.75,33.0,32.62,32.62,43800.0,2.1743203589654,175200.0
1985-06-06,32.75,33.0,32.5,32.5,35900.0,2.1663216329361,143600.0
1985-06-07,32.62,32.88,32.5,32.88,59800.0,2.1916509320289,239200.0
1985-06-10,32.75,33.0,32.75,32.88,65100.0,2.1916509320289,260400.0
1985-06-11,33.0,33.25,33.0,33.12,16400.0,2.2076483840875,65600.0
1985-06-12,33.0,33.12,32.75,32.88,36200.0,2.1916509320289,144800.0
1985-06-13,32.88,33.12,32.75,33.0,10800.0,2.1996496580582003,43200.0
1985-06-14,32.88,33.25,32.75,33.25,38200.0,2.2163136706193,152800.0
1985-06-17,33.25,33.5,33.12,33.25,63800.0,2.2163136706193,255200.0
1985-06-18,33.5,33.5,33.25,33.5,22900.0,2.2329776831803,91600.0
1985-06-19,33.62,33.62,33.38,33.38,14100.0,2.224978957151,56400.0
1985-06-20,33.5,33.62,33.25,33.38,323700.0,2.224978957151,1294800.0
1985-06-21,33.38,33.5,33.25,33.5,10500.0,2.2329776831803,42000.0
1985-06-24,33.62,33.62,33.25,33.5,16400.0,2.2329776831803,65600.0
1985-06-25,33.5,33.5,33.25,33.38,11600.0,2.224978957151,46400.0
1985-06-26,33.38,33.75,33.38,33.75,15300.0,2.2496416957414,61200.0
1985-06-27,33.62,34.38,33.62,34.38,179000.0,2.2916350073952003,716000.0
1985-06-28,34.25,34.88,34.12,34.75,182600.0,2.3162977459855,730400.0
1985-07-01,34.88,35.0,34.75,34.88,23900.0,2.3249630325173,95600.0
1985-07-02,34.88,35.38,34.88,35.25,53700.0,2.3496257711076,214800.0
1985-07-03,35.25,35.25,35.0,35.12,88700.0,2.3409604845759,354800.0
1985-07-05,35.0,35.5,35.0,35.5,13300.0,2.3662897836687,53200.0
1985-07-08,35.25,35.38,35.0,35.25,98700.0,2.3496257711076,394800.0
1985-07-09,35.38,35.38,35.12,35.12,9600.0,2.3409604845759,38400.0
1985-07-10,35.12,35.38,35.12,35.38,35500.0,2.3582910576394,142000.0
1985-07-11,35.5,35.62,35.38,35.5,15800.0,2.3662897836687,63200.0
1985-07-12,35.62,35.88,35.5,35.75,8100.0,2.3829537962297,32400.0
1985-07-15,35.88,36.25,35.88,36.12,61000.0,2.4076165348201,244000.0
1985-07-16,36.12,36.62,35.88,36.38,159500.0,2.4249471078836,638000.0
1985-07-17,36.38,36.5,36.25,36.5,51300.0,2.4329458339129,205200.0
1985-07-18,36.38,36.38,36.12,36.12,39600.0,2.4076165348201,158400.0
1985-07-19,36.25,36.25,35.88,36.12,32600.0,2.4076165348201,130400.0
1985-07-22,35.88,36.0,35.38,35.75,88000.0,2.3829537962297,352000.0
1985-07-23,35.75,35.75,34.25,34.25,42700.0,2.2829697208635,170800.0
1985-07-24,34.12,34.12,33.0,33.25,90400.0,2.2163136706193,361600.0
1985-07-25,33.0,33.12,32.62,32.88,560600.0,2.1916509320289,2242400.0
1985-07-26,31.75,32.38,31.5,31.75,53800.0,2.126161362664,215200.0
1985-07-29,31.5,31.5,31.0,31.38,62700.0,2.1013840491463,250800.0
1985-07-30,31.5,31.5,30.62,30.75,42100.0,2.0591956504541,168400.0
1985-07-31,30.75,31.75,30.62,30.88,118300.0,2.0679011930414,473200.0
1985-08-01,30.88,31.12,30.88,31.12,42600.0,2.0839729639718,170400.0
1985-08-02,30.88,31.25,30.88,31.0,36400.0,2.0759370785066,145600.0
1985-08-05,30.75,31.25,30.5,30.75,21600.0,2.0591956504541,86400.0
1985-08-06,30.88,30.88,30.12,30.25,44800.0,2.0257127943492,179200.0
1985-08-07,30.0,30.25,29.88,30.0,62200.0,2.0089713662967,248800.0
1985-08-08,30.12,30.38,30.0,30.38,34500.0,2.0344183369364,138000.0
1985-08-09,30.5,31.38,30.38,31.38,77100.0,2.1013840491463,308400.0
1985-08-12,31.5,31.5,31.0,31.12,33100.0,2.0839729639718,132400.0
1985-08-13,31.12,31.25,30.88,30.88,47500.0,2.0679011930414,190000.0
1985-08-14,30.75,31.0,30.75,30.75,17500.0,2.0591956504541,70000.0
1985-08-15,30.5,30.62,30.25,30.25,73800.0,2.0257127943492,295200.0
1985-08-16,30.5,30.75,30.25,30.62,51700.0,2.0504901078668003,206800.0
1985-08-19,30.62,31.0,30.62,31.0,98900.0,2.0759370785066,395600.0
1985-08-20,31.0,31.12,30.88,31.12,54200.0,2.0839729639718,216800.0
1985-08-21,31.25,31.38,31.12,31.25,36700.0,2.0926785065591003,146800.0
1985-08-22,31.5,31.88,31.5,31.88,21400.0,2.1348669052513,85600.0
1985-08-23,31.62,31.88,31.62,31.88,66700.0,2.1348669052513,266800.0
1985-08-26,31.75,32.25,31.62,32.12,32800.0,2.1509386761817,131200.0
1985-08-27,32.25,32.25,32.0,32.0,96700.0,2.1429027907165,386800.0
1985-08-28,32.25,32.25,32.0,32.0,13500.0,2.1429027907165,54000.0
1985-08-29,32.12,32.38,32.12,32.25,24400.0,2.1596442187689,97600.0
1985-08-30,32.38,32.38,32.12,32.25,49600.0,2.1596442187689,198400.0
1985-09-03,32.38,32.5,32.25,32.25,76400.0,2.1596442187689,305600.0
1985-09-04,32.38,32.38,32.12,32.25,12400.0,2.1596442187689,49600.0
1985-09-05,32.25,32.38,32.25,32.38,114900.0,2.1683497613562,459600.0
1985-09-06,32.12,32.38,32.12,32.25,14000.0,2.1596442187689,56000.0
1985-09-09,32.12,32.25,31.75,31.75,83400.0,2.126161362664,333600.0
1985-09-10,31.62,31.75,31.25,31.5,24700.0,2.1094199346115,98800.0
1985-09-11,31.5,31.62,31.0,31.25,47500.0,2.0926785065591003,190000.0
1985-09-12,31.0,31.25,30.62,30.88,145400.0,2.0679011930414,581600.0
1985-09-13,30.88,31.12,30.88,31.12,128900.0,2.0839729639718,515600.0
1985-09-16,31.25,31.38,31.12,31.12,42900.0,2.0839729639718,171600.0
1985-09-17,31.38,31.5,31.0,31.12,148500.0,2.0839729639718,594000.0
1985-09-18,31.0,31.25,30.88,31.25,39800.0,2.0926785065591003,159200.0
1985-09-19,31.25,31.62,31.25,31.62,13200.0,2.1174558200767,52800.0
1985-09-20,31.62,31.75,31.25,31.62,22400.0,2.1174558200767,89600.0
1985-09-23,31.62,31.75,31.25,31.25,229100.0,2.0926785065591003,916400.0
1985-09-24,31.25,31.38,31.25,31.38,26200.0,2.1013840491463,104800.0
1985-09-25,31.25,31.38,31.12,31.25,9500.0,2.0926785065591003,38000.0
1985-09-26,31.38,31.38,31.12,31.12,18400.0,2.0839729639718,73600.0
1985-09-30,31.38,31.38,31.0,31.0,48100.0,2.0759370785066,192400.0
1985-10-01,31.25,31.62,31.0,31.62,21200.0,2.1174558200767,84800.0
1985-10-02,31.62,31.62,31.12,31.12,34200.0,2.0839729639718,136800.0
1985-10-03,31.12,31.25,31.0,31.12,12400.0,2.0839729639718,49600.0
1985-10-04,31.0,31.38,30.88,31.25,56000.0,2.0926785065591003,224000.0
1985-10-07,31.0,31.25,31.0,31.12,38000.0,2.0839729639718,152000.0
1985-10-08,31.38,31.38,31.0,31.12,161200.0,2.0839729639718,644800.0
1985-10-09,31.25,31.38,31.0,31.12,162400.0,2.0839729639718,649600.0
1985-10-10,31.12,31.25,31.0,31.25,9000.0,2.0926785065591003,36000.0
1985-10-11,31.25,31.25,31.0,31.12,15200.0,2.0839729639718,60800.0
1985-10-14,31.25,31.5,31.12,31.5,20300.0,2.1094199346115,81200.0
1985-10-15,31.25,31.5,31.12,31.25,221600.0,2.0926785065591003,886400.0
1985-10-16,31.12,31.5,31.12,31.5,180700.0,2.1094199346115,722800.0
1985-10-17,31.5,31.75,31.38,31.62,53500.0,2.1174558200767,214000.0
1985-10-18,31.75,32.12,31.62,32.0,327600.0,2.1429027907165,1310400.0
1985-10-21,32.0,32.38,32.0,32.38,825700.0,2.1683497613562,3302800.0
1985-10-22,32.25,32.38,32.0,32.38,45900.0,2.1683497613562,183600.0
1985-10-23,32.5,32.62,32.38,32.5,674500.0,2.1763856468214,2698000.0
1985-10-24,32.5,32.62,32.38,32.5,112600.0,2.1763856468214,450400.0
1985-10-25,32.5,32.62,32.38,32.5,51000.0,2.1763856468214,204000.0
1985-10-28,32.12,32.25,31.88,32.12,57000.0,2.1608161187326003,228000.0
1985-10-29,32.25,32.38,32.0,32.25,41900.0,2.1695616385158,167600.0
1985-10-30,32.62,32.88,32.5,32.88,35500.0,2.2119437728496,142000.0
1985-10-31,33.12,33.38,33.0,33.38,36500.0,2.2455803874002003,146000.0
1985-11-01,33.25,33.5,33.25,33.5,18000.0,2.2536531748924,72000.0
1985-11-04,33.38,33.62,33.38,33.62,13300.0,2.2617259623845,53200.0
1985-11-05,33.62,33.62,33.38,33.5,15000.0,2.2536531748924,60000.0
1985-11-06,33.5,33.62,33.5,33.62,16800.0,2.2617259623845,67200.0
1985-11-07,33.62,33.62,33.38,33.5,38600.0,2.2536531748924,154400.0
1985-11-08,33.5,33.75,33.38,33.75,144300.0,2.2704714821677,577200.0
1985-11-11,33.5,33.88,33.5,33.88,23700.0,2.2792170019508,94800.0
1985-11-12,33.75,33.88,33.62,33.62,42900.0,2.2617259623845,171600.0
1985-11-13,33.5,33.5,33.12,33.5,29700.0,2.2536531748924,118800.0
1985-11-14,33.38,33.5,33.38,33.38,20400.0,2.2455803874002003,81600.0
1985-11-15,33.38,33.38,32.62,33.0,119300.0,2.2200165603417004,477200.0
1985-11-18,32.88,33.0,32.75,33.0,36300.0,2.2200165603417004,145200.0
1985-11-19,32.88,33.0,32.75,33.0,70500.0,2.2200165603417004,282000.0
1985-11-20,33.0,33.0,32.75,32.75,67300.0,2.2031982530664,269200.0
1985-11-21,32.75,33.0,32.75,33.0,76500.0,2.2200165603417004,306000.0
1985-11-22,33.0,33.25,33.0,33.0,90000.0,2.2200165603417004,360000.0
