Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1982-01-04,18.0,18.5,17.5,18.12,150506.66666666663,11.015053506984644,141100.0
1982-01-05,18.38,18.63,18.0,18.25,142080.0,11.09407982905462,133200.0
1982-01-06,17.75,18.12,17.37,17.62,110080.0,10.711106114407805,103200.0
1982-01-07,17.62,17.75,17.37,17.5,71680.0,10.63815874018936,67200.0
1982-01-08,17.75,17.88,17.5,17.62,79360.0,10.711106114407805,74400.0
1982-01-11,17.13,17.62,16.62,17.13,199786.66666666663,10.4132376696825,187300.0
1982-01-12,17.37,17.62,17.0,17.5,136000.0,10.63815874018936,127500.0
1982-01-13,17.37,17.5,17.13,17.13,86400.0,10.4132376696825,81000.0
1982-01-14,17.25,17.37,17.0,17.37,212373.33333333328,10.559132418119383,199100.0
1982-01-15,17.37,17.5,17.13,17.13,72320.0,10.4132376696825,67800.0
1982-01-18,16.88,17.0,16.62,16.88,92160.0,10.26126397339408,86400.0
1982-01-19,16.75,17.25,16.13,16.13,166400.0,9.805342884528821,156000.0
1982-01-20,16.0,16.13,15.87,16.0,102506.66666666669,9.726316562458845,96100.0
1982-01-21,16.38,16.75,15.87,16.62,135680.0,10.103211329254126,127200.0
1982-01-22,16.13,16.62,15.5,15.75,192640.0,9.574342866170426,180600.0
1982-01-25,15.5,15.75,15.12,15.5,91306.66666666669,9.422369169882005,85600.0
1982-01-26,15.37,15.5,15.12,15.12,140053.33333333337,9.191369151523608,131300.0
1982-01-27,15.0,15.25,14.63,14.75,202346.66666666663,8.966448081016749,189700.0
1982-01-28,15.63,16.25,15.0,16.0,205120.0,9.726316562458845,192300.0
1982-01-29,17.25,17.75,16.75,16.88,203733.33333333328,10.26126397339408,191000.0
1982-02-01,16.5,16.88,16.13,16.38,147306.66666666663,9.957316580817242,138100.0
1982-02-02,16.38,16.5,16.13,16.25,162453.33333333337,9.878290258747263,152300.0
1982-02-03,16.38,16.5,16.13,16.38,96960.0,9.957316580817242,90900.0
1982-02-04,16.38,16.62,16.13,16.62,98773.33333333331,10.103211329254126,92600.0
1982-02-05,16.62,16.88,16.25,16.38,96853.33333333331,9.957316580817242,90800.0
1982-02-08,16.13,16.38,15.75,15.87,133440.0,9.647290240388866,125100.0
1982-02-09,15.63,16.0,15.25,15.63,95253.33333333331,9.501395491951984,89300.0
1982-02-10,15.63,15.87,15.25,15.87,56213.33333333334,9.647290240388866,52700.0
1982-02-11,15.75,16.13,15.37,15.75,60800.0,9.574342866170426,57000.0
1982-02-12,15.75,15.87,15.63,15.87,39253.333333333336,9.647290240388866,36800.0
1982-02-16,15.87,16.38,15.37,16.38,67733.33333333331,9.957316580817242,63500.0
1982-02-17,16.0,16.25,15.63,15.87,48746.66666666666,9.647290240388866,45700.0
1982-02-18,16.38,16.75,15.87,16.25,148800.0,9.878290258747263,139500.0
1982-02-19,16.0,16.5,15.37,15.75,95253.33333333331,9.574342866170426,89300.0
1982-02-22,16.0,16.88,15.0,15.0,192853.33333333328,9.183265914037511,180800.0
1982-02-23,15.25,15.5,14.88,15.37,122880.0,9.409786473250431,115200.0
1982-02-24,15.75,16.0,15.37,16.0,64853.33333333334,9.79548364164001,60800.0
1982-02-25,16.13,16.25,16.0,16.13,69653.33333333331,9.875071946228333,65300.0
1982-02-26,15.87,16.13,15.63,15.63,50133.33333333334,9.568963082427084,47000.0
1982-03-01,15.75,15.87,15.5,15.87,53760.0,9.715895337051684,50400.0
1982-03-02,15.75,15.87,15.5,15.63,43200.0,9.568963082427084,40500.0
1982-03-03,15.37,15.63,15.12,15.25,53333.33333333334,9.336320345938134,50000.0
1982-03-04,14.13,15.0,13.25,14.25,469760.0,8.724102618335634,440400.0
1982-03-05,14.0,14.25,13.75,13.88,324480.0,8.497582059122706,304200.0
1982-03-08,13.75,14.0,13.5,13.5,116160.0,8.264939322633758,108900.0
1982-03-09,13.5,13.88,13.12,13.25,258880.0,8.111884890733132,242700.0
1982-03-10,13.38,13.5,13.12,13.38,120000.0,8.191473195321459,112500.0
1982-03-11,13.12,13.38,12.87,13.0,216000.0,7.958830458832509,202500.0
1982-03-12,13.0,13.62,12.37,12.63,75626.66666666669,7.7323098996195805,70900.0
1982-03-15,12.63,12.87,12.25,12.87,142506.66666666663,7.879242154244182,133600.0
1982-03-16,13.25,13.62,12.87,13.12,125546.66666666669,8.032296586144808,117700.0
1982-03-17,12.87,13.12,12.5,12.75,288106.66666666674,7.805776026931883,270100.0
1982-03-18,12.87,13.38,12.75,13.25,188480.0,8.111884890733132,176700.0
