Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
2005-11-18,30.5,31.0,24.39,25.3,17963300.0,6.325,71853200.0
2005-11-21,26.03,26.95,25.5,26.15,4209600.0,6.5375,16838400.0
2005-11-22,25.5,25.85,22.75,23.5,3219400.0,5.875,12877600.0
2005-11-23,23.94,24.1,23.51,23.8,1031700.0,5.95,4126800.0
2005-11-25,23.83,24.0,23.5,23.68,291300.0,5.92,1165200.0
2005-11-28,23.68,24.2,23.58,23.7,810600.0,5.925,3242400.0
2005-11-29,23.56,23.65,21.08,21.35,2030200.0,5.3375,8120800.0
2005-11-30,21.33,22.71,21.27,22.51,804100.0,5.6275,3216400.0
2005-12-01,22.85,23.73,22.6,23.15,729600.0,5.7875,2918400.0
2005-12-02,23.71,25.0,23.25,24.66,1179300.0,6.165,4717200.0
2005-12-05,25.12,25.9,24.55,25.66,706700.0,6.415,2826800.0
2005-12-06,26.06,26.16,24.52,24.7,577200.0,6.175,2308800.0
2005-12-07,24.91,25.65,24.91,25.65,440400.0,6.4125,1761600.0
2005-12-08,25.5,25.88,25.3,25.5,249100.0,6.375,996400.0
2005-12-09,25.6,25.84,24.8,25.0,199900.0,6.25,799600.0
2005-12-12,25.0,25.58,24.75,25.49,327800.0,6.3725,1311200.0
2005-12-13,25.76,25.9,25.25,25.59,266100.0,6.3975,1064400.0
2005-12-14,26.0,27.25,25.87,27.0,1031100.0,6.75,4124400.0
2005-12-15,27.0,27.65,26.8,27.39,531300.0,6.8475,2125200.0
2005-12-16,27.38,27.64,26.51,27.64,1004600.0,6.91,4018400.0
2005-12-19,27.59,27.6,25.15,26.49,892700.0,6.6225,3570800.0
2005-12-20,27.54,28.29,26.85,28.07,1447600.0,7.0175,5790400.0
2005-12-21,28.15,28.8,27.89,28.55,1235600.0,7.1375,4942400.0
2005-12-22,28.58,28.83,27.99,28.7,535700.0,7.175,2142800.0
2005-12-23,28.7,31.72,28.55,31.22,1889200.0,7.805,7556800.0
2005-12-27,31.9,34.92,31.52,33.26,4149200.0,8.315,16596800.0
2005-12-28,34.01,36.74,33.7,36.35,3663800.0,9.0875,14655200.0
2005-12-29,38.95,40.0,38.28,39.86,4522200.0,9.965,18088800.0
2005-12-30,39.63,39.74,37.21,38.31,3669400.0,9.5775,14677600.0
2006-01-03,37.19,37.39,33.18,33.36,4082600.0,8.34,16330400.0
2006-01-04,32.74,33.19,31.28,31.67,3764200.0,7.9175,15056800.0
2006-01-05,32.52,35.7,32.17,35.63,3573300.0,8.9075,14293200.0
2006-01-06,35.2,36.37,33.65,35.47,2776100.0,8.8675,11104400.0
2006-01-09,35.93,35.97,34.77,35.83,1061800.0,8.9575,4247200.0
2006-01-10,36.18,38.49,35.54,37.5,2962300.0,9.375,11849200.0
2006-01-11,38.28,38.55,36.5,37.69,1295200.0,9.4225,5180800.0
2006-01-12,37.14,39.4,37.14,38.51,1549100.0,9.6275,6196400.0
2006-01-13,38.81,40.34,38.51,39.02,1080900.0,9.755,4323600.0
2006-01-17,39.16,39.41,37.05,38.17,931100.0,9.5425,3724400.0
2006-01-18,36.66,39.55,36.5,38.55,1007700.0,9.6375,4030800.0
2006-01-19,38.3,39.7,38.2,38.78,625700.0,9.695,2502800.0
2006-01-20,38.95,39.25,37.5,38.28,669900.0,9.57,2679600.0
2006-01-23,38.2,38.5,36.49,37.32,948200.0,9.33,3792800.0
2006-01-24,37.33,37.85,36.55,36.7,742400.0,9.175,2969600.0
2006-01-25,36.6,37.75,34.78,36.86,818200.0,9.215,3272800.0
2006-01-26,36.86,38.65,36.86,37.55,644500.0,9.3875,2578000.0
2006-01-27,37.85,39.0,37.3,38.36,409700.0,9.59,1638800.0
2006-01-30,38.39,41.9,37.91,40.3,2263500.0,10.075,9054000.0
2006-01-31,40.95,41.09,39.6,39.99,677200.0,9.9975,2708800.0
2006-02-01,39.75,40.75,38.26,39.03,621900.0,9.7575,2487600.0
2006-02-02,39.6,40.0,38.02,39.42,501700.0,9.855,2006800.0
2006-02-03,39.55,39.97,37.8,38.84,480400.0,9.71,1921600.0
2006-02-06,39.37,39.65,37.55,39.2,1146400.0,9.8,4585600.0
2006-02-07,33.21,34.0,30.63,30.94,7298300.0,7.735,29193200.0
2006-02-08,30.99,31.0,28.5,29.45,3177500.0,7.3625,12710000.0
2006-02-09,30.25,30.65,29.2,29.49,936200.0,7.3725,3744800.0
2006-02-10,29.51,30.42,29.5,29.93,492600.0,7.4825,1970400.0
2006-02-13,29.77,30.73,29.77,30.25,686700.0,7.5625,2746800.0
2006-02-14,30.25,30.83,30.06,30.29,350000.0,7.5725,1400000.0
2006-02-15,29.97,30.43,28.88,29.07,749800.0,7.2675,2999200.0
2006-02-16,28.82,29.13,27.05,28.77,1590300.0,7.1925,6361200.0
2006-02-17,28.72,29.25,27.91,28.92,496600.0,7.23,1986400.0
2006-02-21,28.7,28.7,27.32,27.4,706900.0,6.85,2827600.0
2006-02-22,27.2,28.36,27.15,28.2,692200.0,7.05,2768800.0
2006-02-23,28.2,29.48,27.6,29.15,521300.0,7.2875,2085200.0
2006-02-24,28.9,29.17,28.47,28.8,358400.0,7.2,1433600.0
2006-02-27,28.79,28.84,28.5,28.57,272400.0,7.1425,1089600.0
2006-02-28,28.31,28.55,27.98,28.19,326000.0,7.0475,1304000.0
2006-03-01,28.0,28.95,28.0,28.65,329000.0,7.1625,1316000.0
2006-03-02,28.8,29.39,28.25,29.23,353400.0,7.3075,1413600.0
2006-03-03,29.5,29.5,28.55,28.87,202500.0,7.2175,810000.0
2006-03-06,28.76,28.91,28.28,28.6,327800.0,7.15,1311200.0
2006-03-07,28.31,29.25,27.85,28.35,439400.0,7.0875,1757600.0
2006-03-08,28.25,28.25,26.75,26.93,508100.0,6.7325,2032400.0
2006-03-09,26.8,27.37,26.8,27.0,388700.0,6.75,1554800.0
