Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1990-03-26,8.75,8.75,8.5,8.62,7600.0,1.0326130468675,60800.0
1990-03-27,8.5,8.5,8.5,8.5,300.0,1.0182379232452,2400.0
1990-03-28,8.5,8.62,8.5,8.5,9700.0,1.0182379232452,77600.0
1990-03-29,8.62,8.62,8.5,8.5,64700.0,1.0182379232452,517600.0
1990-03-30,8.5,8.5,8.5,8.5,600.0,1.0182379232452,4800.0
1990-04-02,8.5,8.5,8.38,8.38,24000.0,1.003862799623,192000.0
1990-04-03,8.38,8.5,8.38,8.38,25100.0,1.003862799623,200800.0
1990-04-04,8.5,8.5,8.38,8.38,15100.0,1.003862799623,120800.0
1990-04-05,8.38,8.38,8.38,8.38,300.0,1.003862799623,2400.0
1990-04-06,8.62,8.62,8.38,8.38,2100.0,1.003862799623,16800.0
1990-04-09,8.38,8.5,8.38,8.5,66300.0,1.0182379232452,530400.0
1990-04-10,8.38,8.38,8.38,8.38,1400.0,1.003862799623,11200.0
1990-04-11,8.38,8.38,8.12,8.12,47100.0,0.97271669844133,376800.0
1990-04-12,8.12,8.25,8.12,8.25,3600.0,0.98828974903214,28800.0
1990-04-16,8.12,8.38,8.12,8.12,20700.0,0.97271669844133,165600.0
1990-04-17,8.25,8.38,8.12,8.25,165500.0,0.98828974903214,1324000.0
1990-04-18,8.25,8.25,7.88,8.12,33500.0,0.97271669844133,268000.0
1990-04-19,8.12,8.12,8.0,8.12,12600.0,0.97271669844133,100800.0
1990-04-20,8.25,8.25,8.0,8.0,20200.0,0.95834157481905,161600.0
1990-04-23,8.0,8.0,7.62,7.62,12700.0,0.91282035001514,101600.0
1990-04-24,7.88,7.88,7.5,7.62,21100.0,0.91282035001514,168800.0
1990-04-25,7.62,7.75,7.5,7.75,49900.0,0.92839340060595,399200.0
1990-04-26,7.88,7.88,7.75,7.75,2400.0,0.92839340060595,19200.0
1990-04-27,7.75,7.75,7.62,7.62,33500.0,0.91282035001514,268000.0
1990-04-30,7.75,7.75,7.62,7.62,1900.0,0.91282035001514,15200.0
1990-05-01,7.75,8.0,7.75,7.75,26000.0,0.92839340060595,208000.0
1990-05-02,7.88,8.12,7.88,8.0,38400.0,0.95834157481905,307200.0
1990-05-03,8.0,8.25,8.0,8.12,223000.0,0.97271669844133,1784000.0
1990-05-04,8.25,8.38,7.88,7.88,78100.0,0.94396645119676,624800.0
1990-05-07,7.88,8.12,7.88,8.0,14600.0,0.95834157481905,116800.0
1990-05-08,8.12,8.12,8.0,8.12,61500.0,0.97271669844133,492000.0
1990-05-09,8.0,8.25,8.0,8.12,673200.0,0.97271669844133,5385600.0
1990-05-10,8.0,8.25,8.0,8.12,90800.0,0.97271669844133,726400.0
1990-05-11,8.0,8.25,8.0,8.12,214400.0,0.97271669844133,1715200.0
1990-05-14,8.0,8.0,8.0,8.0,3600.0,0.95834157481905,28800.0
1990-05-15,8.0,8.25,8.0,8.25,116000.0,0.98828974903214,928000.0
1990-05-16,8.12,8.62,8.12,8.5,48700.0,1.0182379232452,389600.0
1990-05-17,8.38,8.62,8.38,8.62,22400.0,1.0326130468675,179200.0
1990-05-18,8.5,8.62,8.5,8.62,25700.0,1.0326130468675,205600.0
1990-05-21,8.38,8.62,8.38,8.38,27200.0,1.003862799623,217600.0
1990-05-22,8.62,8.88,8.38,8.62,105300.0,1.0326130468675,842400.0
1990-05-23,8.62,9.38,8.62,9.25,50900.0,1.1080824458845,407200.0
1990-05-24,9.12,9.38,9.12,9.38,10000.0,1.1236554964753,80000.0
1990-05-25,9.5,9.5,9.25,9.25,38000.0,1.1080824458845,304000.0
1990-05-29,9.25,9.5,9.25,9.38,19500.0,1.1236554964753,156000.0
1990-05-30,9.25,9.5,9.25,9.5,13800.0,1.1380306200976,110400.0
1990-05-31,9.25,9.5,9.25,9.5,1800.0,1.1380306200976,14400.0
1990-06-01,9.5,9.5,9.25,9.25,1800.0,1.1080824458845,14400.0
1990-06-04,9.25,9.25,9.25,9.25,6000.0,1.1080824458845,48000.0
1990-06-05,9.25,9.5,9.25,9.38,13800.0,1.1236554964753,110400.0
1990-06-06,9.25,9.25,9.25,9.25,1300.0,1.1080824458845,10400.0
1990-06-07,9.5,9.5,9.0,9.0,12600.0,1.0781342716714,100800.0
1990-06-08,9.0,9.0,9.0,9.0,5000.0,1.0781342716714,40000.0
1990-06-11,9.0,9.0,9.0,9.0,1900.0,1.0781342716714,15200.0
1990-06-12,9.0,9.25,9.0,9.12,56800.0,1.0925093952937,454400.0
1990-06-13,9.0,9.38,9.0,9.12,3100.0,1.0925093952937,24800.0
1990-06-14,9.38,9.38,9.12,9.12,7700.0,1.0925093952937,61600.0
1990-06-15,9.12,9.38,9.12,9.12,5600.0,1.0925093952937,44800.0
1990-06-18,9.12,9.25,9.12,9.12,27600.0,1.0925093952937,220800.0
1990-06-19,9.12,9.38,9.12,9.38,73400.0,1.1236554964753,587200.0
1990-06-20,9.12,9.25,9.12,9.12,14600.0,1.0925093952937,116800.0
1990-06-21,9.25,9.38,9.12,9.25,103100.0,1.1080824458845,824800.0
1990-06-22,9.12,9.38,9.12,9.38,18900.0,1.1236554964753,151200.0
1990-06-25,9.25,9.38,9.12,9.25,47200.0,1.1080824458845,377600.0
1990-06-26,9.12,9.12,9.12,9.12,10300.0,1.0925093952937,82400.0
