Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1980-01-02,71.62,72.62,71.62,71.75,72850.0,3.3857047543956,1165600.0
1980-01-03,71.25,71.25,70.13,70.75,90850.0,3.3385172316863,1453600.0
1980-01-04,70.87,72.0,70.87,72.0,86400.0,3.3975016350729,1382400.0
1980-01-07,72.0,72.62,71.62,71.62,67950.0,3.3795703764434,1087200.0
1980-01-08,71.62,72.25,69.0,69.0,75825.0,3.2559390669449,1213200.0
1980-01-09,69.0,69.75,67.0,68.5,622825.0,3.2323453055902003,9965200.0
1980-01-10,68.5,68.63,68.0,68.0,370150.0,3.2087515442356,5922400.0
1980-01-11,68.0,68.38,67.75,68.13,337150.0,3.2148859221878,5394400.0
1980-01-14,68.13,69.75,68.13,69.5,250000.0,3.2795328282996,4000000.0
1980-01-15,70.0,71.75,70.0,71.75,117925.0,3.3857047543956,1886800.0
1980-01-16,72.0,72.87,72.0,72.38,317350.0,3.4154328937025,5077600.0
1980-01-17,72.38,72.62,72.0,72.38,75550.0,3.4154328937025,1208800.0
1980-01-18,72.38,73.75,72.38,73.38,70175.0,3.4626204164118,1122800.0
1980-01-21,74.12,75.37,74.12,75.37,92950.0,3.5565235866034,1487200.0
1980-01-22,75.37,76.75,75.13,75.75,86250.0,3.574454845233,1380000.0
1980-01-23,75.75,76.25,75.25,75.62,56200.0,3.5683204672808,899200.0
1980-01-24,78.38,79.5,78.38,78.5,145575.0,3.7042205326837,2329200.0
1980-01-25,78.25,78.25,77.25,77.88,53975.0,3.6749642686039,863600.0
1980-01-28,77.88,78.87,77.5,78.25,107950.0,3.6924236520064,1727200.0
1980-01-29,78.25,79.38,78.25,78.25,59325.0,3.6924236520064,949200.0
1980-01-30,78.25,78.5,78.0,78.25,43850.0,3.6924236520064,701600.0
1980-01-31,78.25,79.38,77.5,77.5,61700.0,3.6570330099744,987200.0
1980-02-01,77.5,78.38,77.5,78.38,38950.0,3.6985580299586,623200.0
1980-02-04,78.38,79.0,70.62,78.25,47425.0,3.6924236520064,758800.0
1980-02-05,78.75,82.25,78.75,82.25,122225.0,3.8811737428438,1955600.0
1980-02-06,83.75,89.5,83.75,86.5,200325.0,4.0817207143585,3205200.0
1980-02-07,86.5,92.75,86.5,92.0,500575.0,4.3412520892599,8009200.0
1980-02-08,92.0,96.25,89.0,96.0,232875.0,4.5300021800972985,3726000.0
1980-02-11,96.0,98.0,94.0,94.38,266650.0,4.453558393308099,4266400.0
1980-02-12,94.25,94.25,91.75,93.75,225750.0,4.4238302540012,3612000.0
1980-02-13,93.75,94.25,92.75,94.0,159875.0,4.4356271346786,2558000.0
1980-02-14,93.88,93.88,89.5,90.5,173550.0,4.2704708051959,2776800.0
1980-02-15,90.5,91.87,89.5,91.75,237050.0,4.3294552085825,3792800.0
1980-02-19,91.75,93.37,91.62,93.37,212200.0,4.4058989953717,3395200.0
1980-02-20,93.37,94.75,93.13,94.75,102600.0,4.4710177767106,1641600.0
1980-02-21,94.75,97.75,94.38,96.25,131750.0,4.5417990607746,2108000.0
1980-02-22,96.25,101.0,94.75,98.75,236750.0,4.659767867548,3788000.0
1980-02-25,98.75,99.62,95.75,96.0,80300.0,4.5300021800972985,1284800.0
1980-02-26,96.0,97.5,95.25,97.13,106325.0,4.5833240807588,1701200.0
1980-02-27,97.13,98.25,93.62,94.5,104100.0,4.4592208960332,1665600.0
1980-02-28,94.5,96.13,92.75,93.25,127600.0,4.4002364926466,2041600.0
1980-02-29,93.5,95.75,93.5,94.25,118825.0,4.4474240153559,1901200.0
1980-03-03,94.25,94.87,93.5,93.5,88025.0,4.4120333733239,1408400.0
1980-03-04,93.5,94.25,93.13,94.25,94575.0,4.4474240153559,1513200.0
1980-03-05,94.25,95.87,93.75,94.0,81775.0,4.4356271346786,1308400.0
1980-03-06,93.75,93.75,90.75,90.87,111225.0,4.2879301885983,1779600.0
1980-03-07,90.75,90.75,87.5,88.25,141125.0,4.1642988790998,2258000.0
1980-03-10,88.25,88.75,86.38,87.5,109900.0,4.128908237067799,1758400.0
1980-03-11,87.5,87.75,84.13,85.25,155850.0,4.0227363109718,2493600.0
1980-03-12,85.25,85.75,84.5,85.75,118225.0,4.0463300723265,1891600.0
1980-03-13,85.75,86.5,85.0,85.75,57550.0,4.0463300723265,920800.0
1980-03-14,85.5,85.5,84.38,84.5,87575.0,3.9873456689398,1401200.0
1980-03-17,84.5,84.5,80.5,80.75,71675.0,3.8103924587797,1146800.0
1980-03-18,80.75,81.5,79.62,81.5,100825.0,3.8457831008117,1613200.0
1980-03-19,82.5,86.0,82.5,84.38,141275.0,3.981683166214701,2260400.0
1980-03-20,84.38,84.63,81.75,82.87,164325.0,3.9104300069235,2629200.0
1980-03-21,82.25,82.25,81.38,81.5,73750.0,3.8457831008117,1180000.0
1980-03-24,81.5,81.75,79.13,79.62,151225.0,3.7570705581182,2419600.0
1980-03-25,79.62,81.25,79.0,80.75,120750.0,3.8103924587797,1932000.0
1980-03-26,80.75,81.62,80.38,80.38,49800.0,3.7929330753773,796800.0
1980-03-27,80.38,81.0,78.0,79.75,103500.0,3.7632049360704,1656000.0
1980-03-28,79.75,82.63,79.75,82.0,75825.0,3.8693768621664,1213200.0
1980-03-31,82.75,84.38,82.75,83.87,57550.0,3.9576175296329,920800.0
1980-04-01,83.62,83.62,81.75,82.5,126100.0,3.8929706235211,2017600.0
1980-04-02,82.5,84.0,82.25,82.75,82675.0,3.9047675041984,1322800.0
