Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1993-11-09,23.0,24.5,21.0,23.75,1905300.0,1.484375,30484800.0
1993-11-10,24.5,25.0,23.75,24.25,297200.0,1.515625,4755200.0
1993-11-11,24.5,24.75,23.5,23.5,237600.0,1.46875,3801600.0
1993-11-12,23.5,24.75,23.5,24.75,126400.0,1.546875,2022400.0
1993-11-15,24.75,24.75,23.75,23.75,101500.0,1.484375,1624000.0
1993-11-16,24.25,24.25,23.0,23.25,76900.0,1.453125,1230400.0
1993-11-17,23.75,24.0,23.0,23.5,120100.0,1.46875,1921600.0
1993-11-18,23.5,24.0,23.5,24.0,32300.0,1.5,516800.0
1993-11-19,23.5,24.25,23.5,23.75,114800.0,1.484375,1836800.0
1993-11-22,23.5,24.0,23.5,23.88,72400.0,1.4925,1158400.0
1993-11-23,24.0,24.25,23.5,24.25,73800.0,1.515625,1180800.0
1993-11-24,24.25,26.5,23.75,26.5,99500.0,1.65625,1592000.0
1993-11-26,27.0,29.75,26.25,29.38,100900.0,1.83625,1614400.0
1993-11-29,30.0,30.5,29.25,30.25,64000.0,1.890625,1024000.0
1993-11-30,29.75,30.5,29.75,29.75,46500.0,1.859375,744000.0
1993-12-01,30.5,31.75,29.75,31.0,83200.0,1.9375,1331200.0
1993-12-02,31.0,31.75,30.5,31.0,77900.0,1.9375,1246400.0
1993-12-03,30.25,30.88,28.75,29.5,124300.0,1.84375,1988800.0
1993-12-06,28.5,29.0,28.0,28.0,22900.0,1.75,366400.0
1993-12-07,28.0,28.75,27.25,27.5,23200.0,1.71875,371200.0
1993-12-08,27.5,28.25,27.5,27.5,21100.0,1.71875,337600.0
1993-12-09,27.5,28.25,26.0,26.0,76700.0,1.625,1227200.0
1993-12-10,26.0,26.75,25.25,25.75,28500.0,1.609375,456000.0
1993-12-13,26.25,26.25,25.0,25.75,43000.0,1.609375,688000.0
1993-12-14,25.75,25.75,24.5,24.5,50700.0,1.53125,811200.0
1993-12-15,24.25,25.75,24.25,25.75,29900.0,1.609375,478400.0
1993-12-16,25.5,26.0,24.0,24.12,69900.0,1.5075,1118400.0
1993-12-17,24.0,24.5,23.5,24.25,29000.0,1.515625,464000.0
1993-12-20,24.25,24.5,24.0,24.0,39400.0,1.5,630400.0
1993-12-21,24.5,24.5,23.5,23.75,73200.0,1.484375,1171200.0
1993-12-22,23.5,24.0,22.25,22.38,42300.0,1.39875,676800.0
1993-12-23,22.25,23.0,21.0,21.38,93400.0,1.33625,1494400.0
1993-12-27,21.75,24.25,21.25,24.0,166800.0,1.5,2668800.0
1993-12-28,24.25,24.75,24.0,24.0,51500.0,1.5,824000.0
1993-12-29,24.75,24.75,23.5,24.5,97700.0,1.53125,1563200.0
1993-12-30,24.5,26.25,23.75,25.75,76600.0,1.609375,1225600.0
1993-12-31,25.5,27.25,25.5,26.75,62900.0,1.671875,1006400.0
1994-01-03,26.25,27.0,25.25,25.25,45700.0,1.578125,731200.0
1994-01-04,25.25,26.0,25.25,26.0,22700.0,1.625,363200.0
1994-01-05,25.25,25.25,25.25,25.25,1900.0,1.578125,30400.0
1994-01-06,25.5,26.75,25.5,26.25,30700.0,1.640625,491200.0
1994-01-07,26.75,26.75,25.25,25.25,36700.0,1.578125,587200.0
1994-01-10,25.25,26.0,25.25,25.25,17200.0,1.578125,275200.0
1994-01-11,25.25,25.38,24.0,24.5,47200.0,1.53125,755200.0
1994-01-12,24.75,25.25,24.0,25.25,23300.0,1.578125,372800.0
1994-01-13,25.25,25.25,24.75,24.75,8900.0,1.546875,142400.0
1994-01-14,25.25,25.25,24.75,25.25,11000.0,1.578125,176000.0
1994-01-17,24.75,25.0,24.5,24.5,48200.0,1.53125,771200.0
1994-01-18,25.0,25.0,24.5,24.88,14600.0,1.555,233600.0
1994-01-19,25.0,25.0,24.0,24.0,38500.0,1.5,616000.0
1994-01-20,24.5,24.5,23.25,24.0,30900.0,1.5,494400.0
1994-01-21,23.75,24.0,23.5,23.5,15000.0,1.46875,240000.0
1994-01-24,24.0,24.0,22.75,23.0,32500.0,1.4375,520000.0
1994-01-25,22.75,23.25,22.5,22.75,11800.0,1.421875,188800.0
1994-01-26,23.25,23.25,22.5,22.5,6900.0,1.40625,110400.0
1994-01-27,23.25,24.25,22.75,24.25,199400.0,1.515625,3190400.0
1994-01-28,24.75,25.75,24.5,25.75,80300.0,1.609375,1284800.0
1994-01-31,26.0,26.0,25.5,26.0,22700.0,1.625,363200.0
1994-02-01,26.25,26.25,25.25,25.25,17800.0,1.578125,284800.0
1994-02-02,26.0,26.0,25.25,25.25,6100.0,1.578125,97600.0
1994-02-03,25.25,25.5,24.5,24.75,28100.0,1.546875,449600.0
1994-02-04,25.25,25.25,23.0,23.0,213500.0,1.4375,3416000.0
1994-02-07,22.75,23.5,22.25,22.75,64300.0,1.421875,1028800.0
1994-02-08,23.0,23.5,22.5,23.0,48000.0,1.4375,768000.0
1994-02-09,23.5,24.25,23.5,24.25,12700.0,1.515625,203200.0
1994-02-10,24.25,24.75,24.0,24.75,12100.0,1.546875,193600.0
1994-02-11,25.0,25.0,25.0,25.0,200.0,1.5625,3200.0
1994-02-14,24.0,25.25,24.0,25.25,8200.0,1.578125,131200.0
1994-02-15,25.12,25.75,25.0,25.62,25800.0,1.60125,412800.0
1994-02-16,26.0,27.75,25.25,27.25,66200.0,1.703125,1059200.0
1994-02-17,27.25,28.0,26.5,27.12,40700.0,1.695,651200.0
1994-02-18,26.25,27.25,25.75,26.0,22400.0,1.625,358400.0
1994-02-22,26.75,26.75,26.0,26.0,26600.0,1.625,425600.0
1994-02-23,26.0,26.75,25.88,25.88,8300.0,1.6175,132800.0
1994-02-24,26.5,26.75,25.5,25.5,42600.0,1.59375,681600.0
1994-02-25,25.25,26.0,25.25,25.25,3300.0,1.578125,52800.0
1994-02-28,26.0,26.25,25.25,26.0,58300.0,1.625,932800.0
1994-03-01,25.5,26.25,25.12,25.5,26500.0,1.59375,424000.0
1994-03-02,25.0,25.25,24.75,25.25,13800.0,1.578125,220800.0
1994-03-03,24.75,25.25,24.75,24.75,2500.0,1.546875,40000.0
1994-03-04,25.25,25.25,24.75,25.25,2600.0,1.578125,41600.0
1994-03-07,25.75,25.75,25.5,25.5,5300.0,1.59375,84800.0
1994-03-08,25.75,25.75,24.75,25.25,17300.0,1.578125,276800.0
1994-03-09,25.25,25.25,24.5,24.5,9600.0,1.53125,153600.0
1994-03-10,24.62,25.25,23.75,23.75,30800.0,1.484375,492800.0
1994-03-11,24.75,26.0,24.5,24.5,67100.0,1.53125,1073600.0
1994-03-14,25.5,25.5,25.0,25.5,28100.0,1.59375,449600.0
1994-03-15,26.25,26.25,25.75,26.25,10200.0,1.640625,163200.0
1994-03-16,25.5,26.0,25.5,25.5,25500.0,1.59375,408000.0
1994-03-17,26.25,27.0,26.0,27.0,16600.0,1.6875,265600.0
1994-03-18,26.25,27.25,26.25,27.25,10300.0,1.703125,164800.0
1994-03-21,27.25,27.25,26.0,26.5,27200.0,1.65625,435200.0
1994-03-22,26.0,26.25,25.5,25.75,13300.0,1.609375,212800.0
1994-03-23,27.5,28.0,26.5,27.88,256100.0,1.7425,4097600.0
1994-03-24,27.75,27.75,27.0,27.75,190600.0,1.734375,3049600.0
1994-03-25,27.25,27.5,27.0,27.0,8600.0,1.6875,137600.0
1994-03-28,27.0,27.0,25.5,25.75,62600.0,1.609375,1001600.0
1994-03-29,25.75,26.0,24.5,24.5,23900.0,1.53125,382400.0
1994-03-30,24.75,25.5,24.75,24.75,2500.0,1.546875,40000.0
1994-03-31,24.25,25.25,22.5,23.75,138800.0,1.484375,2220800.0
1994-04-04,22.75,23.5,22.5,23.5,150400.0,1.46875,2406400.0
1994-04-05,24.0,25.25,23.75,24.75,27500.0,1.546875,440000.0
