,Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
0,2016-01-05,123.43,126.25,122.31,125.84,2162396.0,125.84,2162396.0
1,2016-01-06,125.24,125.54,119.94,119.98,2381712.0,119.98,2381712.0
2,2016-01-07,116.38,119.74,114.93,114.95,2489451.0,114.95,2489451.0
3,2016-01-08,115.48,117.44,113.5,116.62,1995957.0,116.62,1995957.0
4,2016-01-11,117.01,117.33,114.09,114.97,1398340.0,114.97,1398340.0
5,2016-01-12,115.51,116.06,114.5,115.55,1086306.0,115.55,1086306.0
6,2016-01-13,116.46,117.065,112.59,112.85,926768.0,112.85,926768.0
7,2016-01-14,113.51,115.03,110.05,114.38,779753.0,114.38,779753.0
8,2016-01-15,113.33,114.88,111.92,112.51,968990.0,112.51,968990.0
9,2016-01-19,113.66,115.87,109.87,110.38,1450686.0,110.38,1450686.0
10,2016-01-20,109.06,111.6,108.32,109.3,1650689.0,109.3,1650689.0
11,2016-01-21,109.73,110.58,108.315,110.0,935893.0,110.0,935893.0
12,2016-01-22,111.88,112.949,110.19,111.95,729795.0,111.95,729795.0
13,2016-01-25,111.32,114.63,110.0,110.12,686804.0,110.12,686804.0
14,2016-01-26,110.42,111.4,107.3025,111.0,558453.0,111.0,558453.0
15,2016-01-27,110.77,112.57,109.02,110.71,889264.0,110.71,889264.0
16,2016-01-28,110.9,112.97,109.9,112.58,677008.0,112.58,677008.0
17,2016-01-29,113.35,114.59,111.67,114.47,718163.0,114.47,718163.0
18,2016-02-01,114.0,114.85,112.9,114.5,557386.0,114.5,557386.0
19,2016-02-02,113.25,113.86,109.75,110.56,674567.0,110.56,674567.0
20,2016-02-03,113.38,114.64,109.64,114.05,879483.0,114.05,879483.0
21,2016-02-04,114.08,116.32,114.08,115.71,939913.0,115.71,939913.0
22,2016-02-05,115.12,116.49,109.71,114.02,986995.0,114.02,986995.0
23,2016-02-08,113.3,113.3,110.46,111.16,1178864.0,111.16,1178864.0
24,2016-02-09,111.17,112.108,109.64,110.65,1702146.0,110.65,1702146.0
25,2016-02-10,106.73,112.1099,106.36,107.52,1942997.0,107.52,1942997.0
26,2016-02-11,105.63,109.255,104.11,107.13,1298181.0,107.13,1298181.0
27,2016-02-12,108.56,109.4275,107.07,107.84,909656.0,107.84,909656.0
28,2016-02-16,109.11,111.3,107.01,110.77,1154012.0,110.77,1154012.0
29,2016-02-17,110.83,112.11,107.9699,111.24,910695.0,111.24,910695.0
30,2016-02-18,111.12,112.2,108.93,111.6,435511.0,111.6,435511.0
31,2016-02-19,111.37,112.395,107.28,110.33,1235035.0,110.33,1235035.0
32,2016-02-22,111.36,113.23,111.01,113.04,667178.0,113.04,667178.0
33,2016-02-23,112.37,112.8,111.35,111.89,396893.0,111.89,396893.0
34,2016-02-24,110.77,112.49,109.82,111.56,446444.0,111.56,446444.0
35,2016-02-25,111.6,112.99,110.75,112.88,555765.0,112.88,555765.0
36,2016-02-26,113.34,114.18,111.01,112.75,458073.0,112.75,458073.0
37,2016-02-29,113.04,115.36,111.65,113.32,902821.0,113.32,902821.0
38,2016-03-01,114.27,115.57,112.65,115.51,685724.0,115.51,685724.0
39,2016-03-02,115.35,117.09,115.2,116.78,1141970.0,116.78,1141970.0
40,2016-03-03,116.49,117.67,115.42,117.0,867420.0,117.0,867420.0
41,2016-03-04,116.61,117.48,115.5701,117.19,689673.0,117.19,689673.0
42,2016-03-07,116.05,117.48,115.99,116.95,891279.0,116.95,891279.0
43,2016-03-08,116.5,117.37,115.4501,116.71,841579.0,116.71,841579.0
44,2016-03-09,117.05,117.31,115.5,116.49,793480.0,116.49,793480.0
45,2016-03-11,117.93,120.76,116.63,120.62,588026.0,120.62,588026.0
46,2016-03-14,120.42,121.04,118.6,120.63,487380.0,120.63,487380.0
47,2016-03-15,119.84,120.76,118.09,120.7,501480.0,120.7,501480.0
48,2016-03-16,120.35,121.04,119.01,120.82,553763.0,120.82,553763.0
49,2016-03-17,121.01,124.41,119.45,124.03,809321.0,124.03,809321.0
50,2016-03-18,124.25,124.56,120.09,121.27,1607637.0,121.27,1607637.0
51,2016-03-21,120.86,121.84,119.14,121.45,1001334.0,121.45,1001334.0
52,2016-03-22,121.03,122.91,120.72,121.47,711414.0,121.47,711414.0
53,2016-03-23,121.47,121.47,119.1,119.38,444186.0,119.38,444186.0
54,2016-03-24,118.89,119.44,117.64,119.41,530927.0,119.41,530927.0
