Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
1972-08-25,32.5,33.13,32.5,33.0,4900.0,0.04841874726591599,2508800.0
1972-08-28,33.0,33.25,32.88,32.88,1900.0,0.04824267909404,972800.0
1972-08-29,32.75,32.75,32.5,32.5,3800.0,0.047685129883099,1945600.0
1972-08-30,32.5,32.5,32.25,32.5,800.0,0.047685129883099,409600.0
1972-08-31,32.25,32.25,32.0,32.0,1700.0,0.046951512500282,870400.0
1972-09-01,32.12,32.25,32.12,32.25,500.0,0.047318321191690986,256000.0
1972-09-05,32.25,32.25,32.0,32.0,1100.0,0.046951512500282,563200.0
1972-09-06,32.25,32.25,32.25,32.25,500.0,0.047318321191690986,256000.0
1972-09-07,32.25,32.25,32.12,32.12,2300.0,0.047127580672157984,1177600.0
1972-09-08,32.0,32.0,31.88,31.88,1300.0,0.046775444328406,665600.0
1972-09-11,32.12,32.12,32.12,32.12,1800.0,0.047127580672157984,921600.0
1972-09-12,32.12,32.12,32.12,32.12,1200.0,0.047127580672157984,614400.0
1972-09-13,32.12,32.12,32.12,32.12,300.0,0.047127580672157984,153600.0
1972-09-14,32.12,32.37,32.0,32.37,2500.0,0.047494389363567,1280000.0
1972-09-15,32.25,32.25,32.12,32.12,1000.0,0.047127580672157984,512000.0
1972-09-18,32.25,32.37,32.25,32.25,2100.0,0.047318321191690986,1075200.0
1972-09-19,32.12,32.12,31.88,32.0,6100.0,0.046951512500282,3123200.0
1972-09-20,31.75,31.75,31.75,31.75,100.0,0.046584703808874,51200.0
1972-09-21,31.5,31.5,30.75,30.75,2800.0,0.04511746904324,1433600.0
1972-09-22,30.62,30.62,29.62,29.62,1700.0,0.043459493758074,870400.0
1972-09-25,29.5,29.5,28.75,28.75,1900.0,0.042182999511972005,972800.0
1972-09-26,28.75,28.75,28.5,28.63,1400.0,0.042006931340096,716800.0
1972-09-27,28.38,28.38,28.0,28.0,1300.0,0.041082573437747,665600.0
1972-09-28,28.5,29.0,28.5,28.75,2800.0,0.042182999511972005,1433600.0
1972-09-29,29.0,29.12,29.0,29.12,500.0,0.042725876375257,256000.0
1972-10-02,29.37,30.5,29.37,30.5,3200.0,0.044750660351830986,1638400.0
1972-10-03,30.75,31.0,30.75,31.0,1000.0,0.045484277734648,512000.0
1972-10-04,31.12,31.88,31.12,31.63,3000.0,0.046408635636998014,1536000.0
1972-10-05,31.44,31.44,30.75,30.75,2700.0,0.04511746904324,1382400.0
1972-10-06,30.62,30.62,29.5,29.5,19100.0,0.043283425586198,9779200.0
1972-10-09,29.75,30.0,29.75,30.0,2500.0,0.044017042969015,1280000.0
1972-10-10,30.0,30.0,30.0,30.0,0.0,0.044017042969015,0.0
1972-10-11,30.0,30.13,29.75,30.13,900.0,0.044207783488547,460800.0
1972-10-12,30.0,30.0,29.88,29.88,700.0,0.043840974797138006,358400.0
1972-10-13,29.88,29.88,29.88,29.88,100.0,0.043840974797138006,51200.0
