Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
2006-10-02,19.2,20.08,19.17,19.76,7111800.0,16.8080587071,7111800.0
2006-10-03,19.89,20.04,19.63,20.0,11416000.0,17.012205169129,11416000.0
2006-10-04,20.0,20.05,19.5,19.78,10722800.0,16.825070912269002,10722800.0
2006-10-05,19.95,19.95,19.59,19.64,8782400.0,16.705985476085,8782400.0
2006-10-06,19.7,19.78,19.32,19.57,6282100.0,16.646442757993,6282100.0
2006-10-09,19.9,19.96,19.51,19.73,3518000.0,16.782540399346,3518000.0
2006-10-10,19.58,19.82,19.5,19.71,6132200.0,16.765528194177,6132200.0
2006-10-11,19.68,19.68,19.28,19.31,9504800.0,16.425284090794,9504800.0
2006-10-12,19.42,19.42,18.95,19.03,8323700.0,16.187113218426006,8323700.0
2006-10-13,19.0,19.02,18.57,18.87,10659500.0,16.051015577073,10659500.0
2006-10-16,19.06,19.22,18.72,18.74,9966300.0,15.940436243474,9966300.0
2006-10-17,18.5,18.68,18.36,18.58,4902400.0,15.804338602121,4902400.0
2006-10-18,18.55,19.12,18.55,19.0,6600200.0,16.161594910673,6600200.0
2006-10-19,19.4,19.75,19.2,19.5,8959200.0,16.586900039901,8959200.0
2006-10-20,19.6,20.0,19.44,19.63,5712600.0,16.6974793735,5712600.0
2006-10-23,19.66,19.88,19.14,19.58,6780900.0,16.654948860577,6780900.0
2006-10-24,20.0,21.0,19.9,19.95,14763500.0,16.969674656206,14763500.0
2006-10-25,20.06,22.2,20.05,21.85,11829500.0,18.585834147274,11829500.0
2006-10-26,21.72,23.04,21.65,22.34,13490500.0,19.002633173917,13490500.0
2006-10-27,22.1,22.34,21.52,21.95,4564700.0,18.670895173119,4564700.0
2006-10-30,21.98,22.2,21.45,22.11,5795000.0,18.806992814472,5795000.0
2006-10-31,22.49,22.78,21.81,22.05,4165200.0,18.755956198965002,4165200.0
2006-11-01,22.15,22.58,21.94,21.97,8517800.0,18.687907378288,8517800.0
2006-11-02,21.68,22.08,21.44,21.83,7359000.0,18.568821942104,7359000.0
2006-11-03,22.08,22.29,21.34,21.54,4821000.0,18.322144967152,4821000.0
2006-11-06,22.05,22.41,21.79,22.23,5462100.0,18.909066045487002,5462100.0
2006-11-07,22.13,22.94,22.13,22.5,5057500.0,19.13873081527,5057500.0
2006-11-08,22.4,22.88,22.22,22.62,4660200.0,19.240804046285,4660200.0
2006-11-09,22.6,23.55,22.5,23.28,8630700.0,19.802206816866,8630700.0
2006-11-10,23.28,23.5,22.76,22.83,4421300.0,19.419432200560998,4421300.0
2006-11-13,23.2,23.44,22.88,23.24,5379500.0,19.768182406528002,5379500.0
2006-11-14,23.48,23.55,22.9,23.42,4358300.0,19.92129225305,4358300.0
2006-11-15,23.63,23.8,23.31,23.35,4149900.0,19.861749534958,4149900.0
2006-11-16,23.5,23.8,23.1,23.12,4629000.0,19.666109175513,4629000.0
2006-11-17,22.98,23.2,22.65,22.68,4082900.0,19.291840661791998,4082900.0
2006-11-20,22.68,22.82,22.21,22.51,3844400.0,19.147236917855,3844400.0
2006-11-21,22.63,22.84,22.54,22.55,4081200.0,19.181261328193,4081200.0
2006-11-22,22.45,22.66,22.36,22.54,2753500.0,19.172755225609,2753500.0
2006-11-24,22.52,22.55,22.36,22.36,886000.0,19.019645379086,886000.0
2006-11-27,22.17,22.37,21.72,21.85,4876600.0,18.585834147274,4876600.0
2006-11-28,21.66,22.5,21.49,21.62,4878100.0,18.390193787829002,4878100.0
2006-11-29,22.5,23.84,21.52,22.16,5716900.0,18.849523327395,5716900.0
2006-11-30,22.19,22.94,22.09,22.8,6002400.0,19.393913892807,6002400.0
2006-12-01,22.41,22.85,22.41,22.85,4519400.0,19.43644440573,4519400.0
2006-12-04,23.05,23.75,22.9,23.5,5347100.0,19.989341073727,5347100.0
2006-12-05,23.5,24.14,23.38,24.12,7449100.0,20.51671943397,7449100.0
2006-12-06,24.1,24.1,23.35,23.45,5195700.0,19.946810560804,5195700.0
2006-12-07,23.45,24.06,23.34,23.91,5155300.0,20.338091279693998,5155300.0
2006-12-08,23.84,24.1,23.74,23.85,3518300.0,20.287054664187,3518300.0
2006-12-11,23.65,23.75,23.24,23.57,3447100.0,20.048883791819,3447100.0
2006-12-12,23.45,23.65,22.95,23.3,3342400.0,19.819219022035,3342400.0
2006-12-13,23.3,23.31,22.5,22.84,4484900.0,19.43644440573,4484900.0
2006-12-14,23.02,23.24,22.55,22.77,5321800.0,19.376875618147,5321800.0
2006-12-15,22.6,23.08,22.6,22.99,5120800.0,19.564091807694,5120800.0
2006-12-18,22.99,23.09,22.75,22.88,4316100.0,19.470483712921,4316100.0
2006-12-19,22.89,23.03,22.55,22.55,2284100.0,19.1896594286,2284100.0
2006-12-20,22.7,22.7,22.33,22.39,2778400.0,19.053502199838,2778400.0
2006-12-21,22.31,22.5,22.14,22.22,3918900.0,18.908835144279,3918900.0
2006-12-22,22.21,22.4,21.92,21.98,3743900.0,18.704599301136,3743900.0
