,Date,Open,High,Low,Close,Volume,Adj. Close,Adj. Volume
0,1990-06-18,15.75,15.75,14.75,14.87,186900.0,0.96688033176334,2242800.0
1,1990-06-19,14.75,15.5,14.5,15.38,569100.0,1.000041661232,6829200.0
2,1990-06-20,15.5,15.5,15.0,15.25,77600.0,0.99158877332824,931200.0
3,1990-06-21,15.0,15.25,14.75,15.25,70200.0,0.99158877332824,842400.0
4,1990-06-22,15.25,15.25,14.75,15.13,119000.0,0.9837861075709,1428000.0
5,1990-06-25,15.0,15.5,14.75,15.0,154100.0,0.97533321966712,1849200.0
6,1990-06-26,15.25,15.5,14.75,14.75,123500.0,0.959077666006,1482000.0
7,1990-06-27,14.75,15.75,14.75,15.38,600500.0,1.000041661232,7206000.0
8,1990-06-28,15.5,15.5,15.0,15.25,173700.0,0.99158877332824,2084400.0
9,1990-06-29,15.25,15.25,15.0,15.0,192700.0,0.97533321966712,2312400.0
10,1990-07-02,15.0,15.25,14.75,14.87,49700.0,0.96688033176334,596400.0
11,1990-07-03,15.0,15.0,14.5,15.0,164500.0,0.97533321966712,1974000.0
12,1990-07-05,14.75,15.0,14.75,14.75,98100.0,0.959077666006,1177200.0
13,1990-07-06,15.0,15.0,14.5,15.0,33000.0,0.97533321966712,396000.0
14,1990-07-09,15.25,15.25,14.75,14.75,44500.0,0.959077666006,534000.0
15,1990-07-10,14.75,16.0,14.75,15.5,256600.0,1.0078443269894002,3079200.0
16,1990-07-11,15.5,16.0,15.25,15.25,140300.0,0.99158877332824,1683600.0
17,1990-07-12,15.75,15.75,15.0,15.25,405300.0,0.99158877332824,4863600.0
18,1990-07-13,15.75,16.0,15.25,16.0,297800.0,1.0403554343116,3573600.0
19,1990-07-16,16.25,16.5,15.25,16.0,335800.0,1.0403554343116,4029600.0
20,1990-07-17,16.0,16.25,15.75,16.0,210500.0,1.0403554343116,2526000.0
21,1990-07-18,16.25,17.0,16.0,16.5,281300.0,1.0728665416338,3375600.0
22,1990-07-19,16.5,16.75,16.25,16.37,78600.0,1.06441365373,943200.0
23,1990-07-20,16.75,16.75,16.25,16.25,52500.0,1.0566109879727,630000.0
24,1990-07-23,16.25,16.5,15.0,15.25,162700.0,0.99158877332824,1952400.0
25,1990-07-24,15.5,15.75,14.5,14.87,90400.0,0.96688033176334,1084800.0
26,1990-07-25,15.0,15.75,14.75,15.5,128600.0,1.0078443269894002,1543200.0
27,1990-07-26,15.75,15.75,15.25,15.25,37300.0,0.99158877332824,447600.0
28,1990-07-27,15.25,15.5,15.25,15.25,10200.0,0.99158877332824,122400.0
29,1990-07-30,15.0,15.25,13.75,14.75,154400.0,0.959077666006,1852800.0
30,1990-07-31,14.75,15.25,14.25,14.5,84200.0,0.94282211234488,1010400.0
31,1990-08-01,14.75,14.75,14.25,14.75,34300.0,0.959077666006,411600.0
32,1990-08-02,14.25,14.5,13.25,13.75,159800.0,0.89405545136153,1917600.0
33,1990-08-03,13.75,14.0,13.25,13.34,69100.0,0.86739634335729,829200.0
34,1990-08-06,13.25,13.25,12.0,12.5,131800.0,0.81277768305593,1581600.0
35,1990-08-07,13.25,13.5,12.75,13.25,96400.0,0.8615443440392901,1156800.0
36,1990-08-08,13.25,14.25,13.25,14.25,68700.0,0.92656655868376,824400.0
37,1990-08-09,14.25,14.5,14.0,14.0,105000.0,0.91031100502264,1260000.0
38,1990-08-10,14.25,14.25,13.5,14.0,44400.0,0.91031100502264,532800.0
39,1990-08-13,13.25,13.5,13.0,13.37,37900.0,0.86934700979663,454800.0
40,1990-08-14,13.5,13.75,13.25,13.63,69100.0,0.88625278560419,829200.0
